Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1346.1,390.5,946.9,0.0,0.0,688.5,428.9,258.4,93.4,56.3,22388.9,7188.2,Utilities,55
1995Q2,1995,Q2,1572.1,431.9,1133.0,0.0,0.0,698.2,605.7,434.8,273.5,143.6,22510.7,7346.2,Utilities,55
1995Q3,1995,Q3,1937.4,588.9,1366.2,0.0,0.0,760.1,783.6,606.1,441.3,242.6,22596.6,7494.9,Utilities,55
1995Q4,1995,Q4,1418.8,415.4,1003.4,0.0,0.0,777.2,401.8,226.2,12.5,2.5,22265.9,7426.1,Utilities,55
1996Q1,1996,Q1,1599.0,548.2,1050.8,0.0,0.0,903.0,342.4,147.8,-39.4,-87.1,23249.3,7138.4,Utilities,55
1996Q2,1996,Q2,1852.5,608.4,1245.3,0.0,0.0,744.0,696.4,501.3,315.7,188.3,23045.7,7323.3,Utilities,55
1996Q3,1996,Q3,2138.2,717.8,1430.5,0.0,0.0,820.7,806.7,609.8,473.2,279.9,23144.1,7602.5,Utilities,55
1996Q4,1996,Q4,1573.7,521.3,1052.4,0.0,0.0,621.3,635.4,431.1,91.5,38.9,22966.3,7568.9,Utilities,55
1997Q1,1997,Q1,2045.6,836.9,1208.8,0.0,0.0,836.6,711.2,372.2,193.4,109.7,27148.6,7655.3,Utilities,55
1997Q2,1997,Q2,2178.1,822.6,1355.5,0.0,0.0,921.5,675.3,434.0,247.4,146.3,26982.9,7747.5,Utilities,55
1997Q3,1997,Q3,2797.6,1184.3,1613.3,0.0,0.0,1174.7,2797.6,438.6,210.7,93.3,27110.2,7674.7,Utilities,55
1997Q4,1997,Q4,2540.2,1179.2,1361.0,0.0,0.0,748.4,1298.3,612.6,120.6,-77.5,27000.7,7882.0,Utilities,55
1998Q1,1998,Q1,2313.1,1150.3,1162.8,0.0,0.0,877.4,618.0,285.4,108.4,48.2,27041.8,7738.2,Utilities,55
1998Q2,1998,Q2,2508.8,1157.1,1351.7,0.0,0.0,879.0,785.8,472.7,282.6,204.3,27173.4,7922.8,Utilities,55
1998Q3,1998,Q3,4587.4,3024.3,1563.1,0.0,0.0,1040.9,1026.3,522.2,340.4,251.0,27370.3,8080.4,Utilities,55
1998Q4,1998,Q4,2085.5,1043.5,1042.0,0.0,0.0,554.8,736.0,487.2,320.9,235.5,22848.0,7978.0,Utilities,55
1999Q1,1999,Q1,1639.9,796.3,843.6,0.0,0.0,640.1,408.9,203.5,118.0,62.2,22849.4,7893.5,Utilities,55
1999Q2,1999,Q2,2316.4,1184.833,1131.571,0.0,0.0,767.62,640.657,363.951,296.2,199.777,23083.7,8018.3,Utilities,55
1999Q3,1999,Q3,3064.5,1743.5,1321.0,0.0,0.0,719.1,785.9,601.9,507.0,286.3,23397.8,8105.6,Utilities,55
1999Q4,1999,Q4,1752.5,876.7,875.8,0.0,0.0,803.3,273.6,72.5,30.5,16.2,22985.1,7677.507,Utilities,55
