Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1058.6,200.3,858.3,0.0,0.0,503.6,482.3,354.7,251.3,152.0,15178.6,4732.5,Utilities,55
1995Q2,1995,Q2,958.6,166.6,792.0,0.0,0.0,415.1,508.7,376.9,271.8,153.6,15079.4,4793.3,Utilities,55
1995Q3,1995,Q3,1125.2,198.0,927.2,0.0,0.0,509.6,531.1,417.6,310.6,184.3,15215.3,4882.3,Utilities,55
1995Q4,1995,Q4,1043.7,197.9,845.8,0.0,0.0,504.0,483.0,341.8,239.3,119.8,14960.6,4823.4,Utilities,55
1996Q1,1996,Q1,1170.5,299.5,871.0,0.0,0.0,513.8,490.9,357.2,253.6,150.3,15076.4,4877.6,Utilities,55
1996Q2,1996,Q2,989.4,211.3,778.1,0.0,0.0,510.9,403.8,267.2,170.5,98.8,14875.3,4875.3,Utilities,55
1996Q3,1996,Q3,1110.2,226.0,884.2,0.0,0.0,537.6,460.3,346.6,246.0,149.8,14901.9,4924.3,Utilities,55
1996Q4,1996,Q4,1013.5,235.6,777.9,0.0,0.0,500.4,497.1,277.5,187.2,118.3,15260.6,4938.1,Utilities,55
1997Q1,1997,Q1,1163.4,334.0,829.4,0.0,0.0,527.4,451.9,302.0,204.7,113.0,15358.4,4945.9,Utilities,55
1997Q2,1997,Q2,1032.3,266.1,766.2,0.0,0.0,446.7,497.3,319.5,222.4,122.8,15390.9,4964.4,Utilities,55
1997Q3,1997,Q3,1278.2,354.1,924.1,0.0,0.0,536.0,554.8,388.1,286.0,158.0,15365.2,5015.8,Utilities,55
1997Q4,1997,Q4,1144.0,336.0,808.0,0.0,0.0,742.2,274.8,65.8,-83.7,-1890.9,12356.6,2956.9,Utilities,55
1998Q1,1998,Q1,1173.1,369.7,803.4,0.0,0.0,520.0,453.6,287.2,182.3,113.6,12357.6,3008.5,Utilities,55
1998Q2,1998,Q2,1207.5,350.9,856.6,0.0,0.0,488.7,538.4,366.3,245.9,151.5,12388.3,3108.5,Utilities,55
1998Q3,1998,Q3,1773.9,726.0,1047.9,0.0,0.0,503.8,720.0,548.8,448.3,273.7,12348.0,3350.6,Utilities,55
1998Q4,1998,Q4,1055.9,305.2,750.7,0.0,0.0,660.2,322.9,90.5,-24.4,-26.1,12048.0,3195.0,Utilities,55
1999Q1,1999,Q1,1256.4,465.1,791.3,0.0,0.0,423.0,446.0,376.0,259.0,149.7,14971.3,2708.8,Utilities,55
1999Q2,1999,Q2,1194.4,500.3,694.1,0.0,0.0,445.0,325.0,253.0,144.0,60.9,13346.7,1918.3,Utilities,55
1999Q3,1999,Q3,1731.8,774.2,957.6,0.0,0.0,472.0,564.0,471.0,368.0,233.1,13163.5,2065.9,Utilities,55
1999Q4,1999,Q4,1254.2,405.6,848.6,0.0,0.0,551.9,402.7,296.7,228.9,138.7,13087.0,1773.0,Utilities,55
2000Q1,2000,Q1,1343.0,457.0,886.0,0.0,0.0,538.0,459.0,352.0,268.0,165.0,13031.0,2032.0,Utilities,55
2000Q2,2000,Q2,1373.0,469.0,904.0,0.0,0.0,600.0,430.0,309.0,194.0,121.0,13515.0,1609.0,Utilities,55
2000Q3,2000,Q3,1629.0,576.0,1053.0,0.0,0.0,607.0,553.0,446.0,374.0,237.0,13667.0,1864.0,Utilities,55
2000Q4,2000,Q4,3133.0,1091.0,2042.0,0.0,0.0,1620.0,705.0,422.0,64.0,63.0,34597.0,7215.0,Utilities,55
2001Q1,2001,Q1,3823.0,1330.0,2493.0,0.0,0.0,1604.0,1379.0,889.0,659.0,399.0,34590.0,7357.0,Utilities,55
2001Q2,2001,Q2,3651.0,1210.0,2441.0,0.0,0.0,1649.0,1241.0,792.0,542.0,315.0,35359.0,7534.0,Utilities,55
2001Q3,2001,Q3,4285.0,1731.0,2554.0,0.0,0.0,1642.0,1454.0,912.0,619.0,403.0,35680.0,7832.0,Utilities,55
2001Q4,2001,Q4,3381.0,1042.0,2339.0,0.0,0.0,1570.0,1122.0,769.0,475.0,311.0,34744.0,8102.0,Utilities,55
2002Q1,2002,Q1,3870.0,1677.0,2193.0,0.0,0.0,1588.0,1032.0,605.0,386.0,8.0,34903.0,8051.0,Utilities,55
2002Q2,2002,Q2,3519.0,1123.0,2396.0,0.0,0.0,1583.0,1234.0,813.0,764.0,485.0,35621.0,8346.0,Utilities,55
2002Q3,2002,Q3,4370.0,1710.0,2660.0,0.0,0.0,1660.0,1436.0,1000.0,848.0,551.0,35236.0,8511.0,Utilities,55
2002Q4,2002,Q4,3710.0,1266.0,2444.0,0.0,0.0,1562.0,1299.0,882.0,671.0,397.0,37869.0,7742.0,Utilities,55
2003Q1,2003,Q1,4074.0,1737.0,2337.0,0.0,0.0,1580.0,1180.0,757.0,397.0,361.0,39901.0,8004.0,Utilities,55
2003Q2,2003,Q2,3721.0,1387.0,2334.0,0.0,0.0,1534.0,1223.0,800.0,594.0,372.0,40288.0,8378.0,Utilities,55
2003Q3,2003,Q3,4441.0,1863.0,2578.0,0.0,0.0,2572.0,450.0,6.0,-214.0,-102.0,39144.0,8327.0,Utilities,55
