Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2332.6,1148.3,1184.3,0.0,1344.9,1979.3,-669.9,-504.8,110.7,63.1,6135.7,2143.9,Industrials,20
1995Q2,1995,Q2,2469.6,1221.6,1248.0,0.0,1343.3,2019.1,-605.5,-436.8,153.0,87.2,6433.4,2245.6,Industrials,20
1995Q3,1995,Q3,2453.4,1205.8,1247.6,0.0,1370.7,2053.2,-636.0,-461.9,129.9,75.3,6493.7,2325.3,Industrials,20
1995Q4,1995,Q4,2547.0,1313.3,1233.7,0.0,1357.8,2070.8,-666.6,-487.9,155.0,89.9,6634.7,2420.3,Industrials,20
1996Q1,1996,Q1,2535.5,1361.9,1173.6,0.0,1415.6,2153.5,-797.6,-614.9,52.7,27.2,6693.0,2452.3,Industrials,20
1996Q2,1996,Q2,2737.7,1388.7,1349.0,0.0,1434.9,2176.1,-642.6,-457.5,202.5,115.4,6699.0,2576.1,Industrials,20
1996Q3,1996,Q3,2692.3,1394.1,1298.2,0.0,1484.8,2227.4,-739.0,-548.4,107.8,62.0,6830.5,2642.3,Industrials,20
1996Q4,1996,Q4,2852.4,1496.5,1355.9,0.0,1514.4,2304.6,-777.2,-586.2,180.4,103.7,7082.5,2751.9,Industrials,20
1997Q1,1997,Q1,2906.8,1557.2,1349.6,0.0,1576.5,2408.0,-862.2,-666.5,109.6,63.0,7362.5,2817.1,Industrials,20
1997Q2,1997,Q2,3068.3,1570.7,1497.6,0.0,1590.4,2466.0,-771.8,-571.3,230.5,132.5,9044.3,3501.2,Industrials,20
1997Q3,1997,Q3,3297.2,1654.7,1642.5,0.0,1725.0,2650.8,-814.5,-612.1,247.0,143.3,8019.4,3103.3,Industrials,20
1997Q4,1997,Q4,3299.2,1767.5,1531.7,0.0,1742.0,2696.3,-955.1,-746.2,184.5,107.0,8125.9,3209.5,Industrials,20
1998Q1,1998,Q1,3986.3,2221.5,1764.8,0.0,2029.0,2980.5,417.5,-591.0,63.6,17.7,9353.4,3779.1,Industrials,20
1998Q2,1998,Q2,4078.01,-5052.245,9130.255,0.0,2033.0,5376.527,5434.488,3753.957,294.418,170.73,9686.06,3961.23,Industrials,20
1998Q3,1998,Q3,4082.3,2131.7,1950.6,0.0,2079.7,3029.2,534.1,-574.9,255.4,149.4,9849.1,4092.6,Industrials,20
1998Q4,1998,Q4,4209.2,2210.7,1998.5,0.0,2104.6,3084.9,-834.5,-582.3,312.4,182.8,10553.9,4299.9,Industrials,20
1999Q1,1999,Q1,4098.4,2284.6,1813.8,0.0,2126.5,3187.1,-1109.6,-840.3,121.2,77.8,10196.4,4405.3,Industrials,20
1999Q2,1999,Q2,4383.47,-5230.206,9613.676,0.0,2173.6,5704.261,5705.864,3904.646,371.964,221.333,10648.211,4663.692,Industrials,20
1999Q3,1999,Q3,4320.0,2294.8,2025.2,0.0,2197.5,3206.1,-903.6,-626.0,262.8,159.0,10795.7,4818.9,Industrials,20
1999Q4,1999,Q4,4570.104,787.012,3783.092,0.0,2267.3,4040.456,23.014,304.535,282.928,171.183,11538.227,4640.386,Industrials,20
2000Q1,2000,Q1,4518.057,386.473,4131.584,0.0,2313.0,4054.733,-1033.1,206.472,186.998,113.128,11515.684,4639.069,Industrials,20
2000Q2,2000,Q2,4848.807,1930.734,2918.073,0.0,2358.877,4170.466,758.77,426.26,404.934,244.991,11527.111,4785.243,Industrials,20
2000Q3,2000,Q3,4778.736,781.37,3997.366,0.0,2385.447,4217.775,86.217,310.967,274.245,168.66,11757.759,4961.562,Industrials,20
2000Q4,2000,Q4,4894.921,814.706,4080.215,0.0,2407.21,4236.324,148.325,345.412,315.128,193.804,12487.171,5146.993,Industrials,20
2001Q1,2001,Q1,4838.78,835.392,4003.388,0.0,2515.864,4345.315,-17.485,191.305,158.489,108.689,13519.731,5778.579,Industrials,20
2001Q2,2001,Q2,5116.603,868.628,4247.975,0.0,2604.94,4615.995,1845.761,223.206,179.711,113.218,13340.012,5900.42,Industrials,20
2001Q3,2001,Q3,5037.0,864.0,4173.0,0.0,2668.0,4512.0,-5.0,235.0,200.0,109.0,13485.0,6021.0,Industrials,20
2001Q4,2001,Q4,5135.0,944.0,4191.0,0.0,2703.0,4535.0,659.0,433.0,395.0,245.0,13691.0,6253.0,Industrials,20
2002Q1,2002,Q1,5019.0,888.0,4131.0,0.0,2690.0,4541.0,535.0,237.0,194.0,120.0,13697.0,6327.0,Industrials,20
2002Q2,2002,Q2,5416.0,864.0,4552.0,0.0,2818.0,4717.0,716.0,416.0,371.0,236.0,13812.0,6545.0,Industrials,20
2002Q3,2002,Q3,5445.0,888.0,4557.0,0.0,2870.0,4868.0,594.0,283.0,255.0,158.0,14003.0,6657.0,Industrials,20
2002Q4,2002,Q4,5667.0,930.0,4737.0,0.0,2868.0,4904.0,-960.0,427.0,395.0,245.0,14483.0,6896.0,Industrials,20
2003Q1,2003,Q1,5545.0,904.0,4641.0,0.0,2916.0,4924.0,1408.0,269.0,237.0,147.0,14846.0,7028.0,Industrials,20
2003Q2,2003,Q2,5830.0,884.0,4946.0,0.0,2927.0,4971.0,791.0,492.0,451.0,280.0,15385.0,7288.0,Industrials,20
2003Q3,2003,Q3,5687.0,858.0,4829.0,0.0,2999.0,5033.0,261.0,200.0,196.0,128.0,15465.0,7327.0,Industrials,20
2003Q4,2003,Q4,5920.0,894.0,5026.0,0.0,3006.0,5114.0,260.0,183.0,146.0,91.0,16214.0,7410.0,Industrials,20
2004Q1,2004,Q1,6062.0,948.0,5114.0,0.0,3123.0,5286.0,674.0,372.0,334.0,207.0,18349.0,7601.0,Industrials,20
2004Q2,2004,Q2,7041.0,1136.0,5905.0,0.0,3518.0,5921.0,872.0,685.0,643.0,412.0,19134.0,8036.0,Industrials,20
2004Q3,2004,Q3,6975.0,1118.0,5857.0,0.0,3479.0,5927.0,296.0,579.0,534.0,330.0,19379.0,8389.0,Industrials,20
2004Q4,2004,Q4,7334.0,1168.0,6166.0,0.0,3514.0,6094.0,917.0,600.0,554.0,354.0,20037.0,8796.0,Industrials,20
