Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,339.6,145.1,194.5,0.0,47.6,95.2,103.0,99.3,99.3,66.1,15603.8,1478.7,Financial ,40
1995Q2,1995,Q2,360.5,160.5,200.0,0.0,47.3,97.2,106.3,102.8,102.8,68.5,16164.2,1536.3,Financial ,40
1995Q3,1995,Q3,383.0,170.6,212.4,0.0,49.6,99.5,125.1,112.9,112.9,75.2,17152.9,1645.4,Financial ,40
1995Q4,1995,Q4,395.9,176.7,219.2,0.0,46.4,103.6,123.8,115.6,115.6,77.9,17052.9,1724.6,Financial ,40
1996Q1,1996,Q1,406.8,171.3,235.5,0.0,56.8,117.2,130.6,118.3,118.3,79.1,18869.9,1792.8,Financial ,40
1996Q2,1996,Q2,435.4,190.1,245.3,0.0,60.0,120.5,138.9,124.8,124.8,83.2,19855.5,1950.7,Financial ,40
1996Q3,1996,Q3,454.4,198.3,256.1,0.0,58.9,137.7,130.8,118.4,118.4,79.1,20087.0,2030.9,Financial ,40
1996Q4,1996,Q4,456.9,200.2,256.7,0.0,54.8,117.8,149.8,138.9,138.9,93.7,20549.0,2144.1,Financial ,40
1997Q1,1997,Q1,461.3,198.8,262.5,0.0,57.4,121.0,156.7,141.5,141.5,94.5,20175.7,1914.9,Financial ,40
1997Q2,1997,Q2,475.0,201.7,273.3,0.0,59.0,127.7,159.2,145.6,145.6,96.1,20694.5,2003.5,Financial ,40
1997Q3,1997,Q3,613.5,274.9,338.6,0.0,75.7,160.5,200.1,178.1,178.1,118.6,20927.0,2142.8,Financial ,40
1997Q4,1997,Q4,501.5,210.7,290.8,0.0,58.7,128.7,175.5,162.1,162.1,107.2,27710.7,2762.8,Financial ,40
1998Q1,1998,Q1,646.9,286.7,360.2,0.0,84.5,173.4,209.0,186.8,186.8,124.2,22856.5,2339.4,Financial ,40
1998Q2,1998,Q2,661.7,308.6,353.1,0.0,79.7,261.0,110.3,92.1,92.1,57.8,28292.7,3077.4,Financial ,40
1998Q3,1998,Q3,676.5,271.7,404.8,0.0,91.1,182.7,242.0,222.1,222.1,144.8,28332.8,3109.6,Financial ,40
1998Q4,1998,Q4,677.0,262.9,414.1,0.0,85.4,187.8,247.9,226.3,226.3,150.0,37092.0,3795.0,Financial ,40
1999Q1,1999,Q1,847.4,327.102,520.298,0.0,101.183,254.311,296.707,265.987,265.987,176.342,29652.2,3278.9,Financial ,40
1999Q2,1999,Q2,889.808,351.546,538.262,0.0,133.711,266.242,293.022,272.02,272.02,180.172,31628.4,3333.3,Financial ,40
1999Q3,1999,Q3,924.881,375.183,549.698,0.0,125.683,256.502,324.045,293.196,293.196,195.448,33237.7,3405.3,Financial ,40
1999Q4,1999,Q4,1472.0,645.3,826.7,0.0,213.1,525.7,343.7,301.0,301.0,191.0,41589.0,4077.0,Financial ,40
2000Q1,2000,Q1,1007.343,425.088,582.255,0.0,135.61,273.9,336.324,308.355,308.355,206.369,44388.765,4152.051,Financial ,40
2000Q2,2000,Q2,1065.977,479.535,586.442,0.0,132.63,303.251,313.836,283.191,283.191,192.088,44723.932,4324.949,Financial ,40
2000Q3,2000,Q3,1648.552,735.429,913.123,0.0,229.21,456.757,530.127,456.366,456.366,309.68,44395.9,4436.129,Financial ,40
2000Q4,2000,Q4,1106.042,487.876,618.166,0.0,126.903,272.633,375.214,345.533,345.533,236.517,45857.0,4891.0,Financial ,40
2001Q1,2001,Q1,1672.37,736.725,935.645,0.0,241.088,485.379,508.222,450.266,450.266,299.619,47014.747,5200.953,Financial ,40
2001Q2,2001,Q2,1653.238,681.754,971.484,0.0,255.158,732.322,278.55,239.162,239.162,128.888,69833.64,7068.224,Financial ,40
2001Q3,2001,Q3,1620.857,595.057,1025.8,0.0,249.219,619.171,472.84,406.629,406.629,279.602,70118.176,7405.662,Financial ,40
2001Q4,2001,Q4,1559.535,498.464,1061.071,0.0,247.535,506.128,627.388,554.943,554.943,385.891,71026.0,7639.0,Financial ,40
2002Q1,2002,Q1,1513.987,426.507,1087.48,0.0,267.573,517.297,632.795,570.183,570.183,390.154,70565.568,7803.49,Financial ,40
2002Q2,2002,Q2,1554.173,433.325,1120.848,0.0,269.497,529.304,674.741,591.544,591.544,404.262,74923.337,8190.339,Financial ,40
2002Q3,2002,Q3,1644.204,414.398,1229.806,0.0,267.046,628.584,695.565,601.222,601.222,416.739,77694.01,8375.738,Financial ,40
2002Q4,2002,Q4,1610.635,400.77,1209.865,0.0,302.885,578.815,728.898,631.05,631.05,423.844,80894.448,8475.017,Financial ,40
2003Q1,2003,Q1,1585.631,378.872,1206.759,0.0,329.36,624.157,701.119,582.602,582.602,389.947,84286.745,8663.744,Financial ,40
2003Q2,2003,Q2,1637.73,389.467,1248.263,0.0,334.102,631.473,736.415,616.79,616.79,415.46,88264.838,8554.234,Financial ,40
2003Q3,2003,Q3,1663.0,370.0,1293.0,0.0,287.0,633.0,833.858,660.0,660.0,436.0,89413.714,8553.786,Financial ,40
2003Q4,2003,Q4,1578.754,346.937,1231.817,0.0,270.751,630.757,739.346,601.06,601.06,460.94,91181.096,8667.003,Financial ,40
2004Q1,2004,Q1,1616.53,323.622,1292.908,0.0,321.0,652.068,765.48,640.84,640.84,430.316,93732.21,8863.757,Financial ,40
2004Q2,2004,Q2,1749.0,326.0,1423.0,0.0,320.0,743.0,799.36,680.0,680.0,448.0,95613.539,8392.704,Financial ,40
2004Q3,2004,Q3,1654.0,316.0,1338.0,0.0,316.0,644.0,803.0,694.0,694.0,471.0,98293.0,9040.0,Financial ,40
2004Q4,2004,Q4,1560.0,405.0,1155.0,0.0,421.0,932.0,329.0,223.0,223.0,176.0,94456.0,8924.0,Financial ,40
2005Q1,2005,Q1,1752.0,461.0,1291.0,0.0,347.0,705.0,681.0,586.0,586.0,405.0,102713.0,8888.0,Financial ,40
2005Q2,2005,Q2,1850.0,525.0,1325.0,0.0,362.0,728.0,698.0,597.0,597.0,417.0,103160.0,9353.0,Financial ,40
2005Q3,2005,Q3,1905.0,615.0,1290.0,0.0,391.0,732.0,668.0,558.0,558.0,395.0,104608.0,9385.0,Financial ,40
2005Q4,2005,Q4,1988.0,758.0,1230.0,0.0,380.0,764.0,565.0,466.0,466.0,331.0,105225.0,9446.0,Financial ,40
2006Q1,2006,Q1,2015.0,765.0,1250.0,0.0,371.0,731.0,613.0,519.0,519.0,363.0,105044.0,9469.0,Financial ,40
2006Q2,2006,Q2,2132.0,838.0,1294.0,0.0,372.0,759.0,634.0,535.0,535.0,382.0,106111.0,9556.0,Financial ,40
2006Q3,2006,Q3,2196.0,908.0,1288.0,0.0,362.0,767.0,626.0,521.0,521.0,377.0,105828.0,10022.0,Financial ,40
2006Q4,2006,Q4,1764.0,913.0,851.0,0.0,485.0,799.0,153.0,52.0,52.0,65.0,100669.0,10022.0,Financial ,40
2007Q1,2007,Q1,2108.0,808.0,1300.0,0.0,379.0,793.0,597.0,507.0,507.0,359.0,99824.0,9804.0,Financial ,40
2007Q2,2007,Q2,2196.0,871.0,1325.0,0.0,377.0,803.0,617.0,522.0,522.0,376.0,101390.0,9191.0,Financial ,40
2007Q3,2007,Q3,2210.0,914.0,1296.0,0.0,483.0,853.0,533.0,443.0,443.0,325.0,104265.0,9293.0,Financial ,40
2007Q4,2007,Q4,1696.0,1054.0,642.0,0.0,383.0,578.0,156.0,64.0,64.0,17.0,110962.0,9161.0,Financial ,40
2008Q1,2008,Q1,2311.0,1171.0,1140.0,0.0,432.0,715.0,490.0,425.0,425.0,286.0,111396.0,9352.0,Financial ,40
2008Q2,2008,Q2,1929.0,1188.0,741.0,0.0,391.0,858.0,-10.0,-117.0,-117.0,-202.0,114975.0,10754.0,Financial ,40
2008Q3,2008,Q3,2265.0,1426.0,839.0,0.0,510.0,967.0,-32.0,-128.0,-128.0,-56.0,116294.0,10696.0,Financial ,40
2008Q4,2008,Q4,1237.0,2870.0,-1633.0,0.0,294.0,1210.0,-3103.0,-2843.0,-2843.0,-2142.0,119764.0,12077.0,Financial ,40
2009Q1,2009,Q1,1875.0,1175.0,700.0,0.0,455.0,962.0,-176.0,-262.0,-262.0,50.0,119313.0,12102.0,Financial ,40
2009Q2,2009,Q2,1998.0,1389.0,609.0,0.0,541.0,-743.0,1448.0,1352.0,1352.0,882.0,115984.0,13700.0,Financial ,40
2009Q3,2009,Q3,2026.0,1252.0,774.0,0.0,486.0,882.0,-32.0,-108.0,-108.0,-97.0,110740.0,13688.0,Financial ,40
2009Q4,2009,Q4,1124.0,1042.0,82.0,0.0,735.0,296.0,-131.0,-214.0,-214.0,-98.0,113380.0,13497.0,Financial ,40
2010Q1,2010,Q1,1770.0,836.0,934.0,0.0,485.0,956.0,75.0,-22.0,-22.0,-10.0,112651.0,13408.0,Financial ,40
2010Q2,2010,Q2,1736.0,559.0,1177.0,0.0,505.0,935.0,351.0,242.0,242.0,192.0,112025.0,13701.0,Financial ,40
2010Q3,2010,Q3,1953.0,671.0,1282.0,0.0,516.0,979.0,424.0,303.0,303.0,238.0,112322.0,13884.0,Financial ,40
2010Q4,2010,Q4,1440.0,356.0,1084.0,0.0,691.0,667.0,547.0,417.0,417.0,333.0,111007.0,14051.0,Financial ,40
2011Q1,2011,Q1,1644.0,349.0,1295.0,0.0,522.0,918.0,489.0,377.0,377.0,265.0,110485.0,12163.0,Financial ,40
2011Q2,2011,Q2,1701.0,294.0,1407.0,0.0,521.0,901.0,609.0,506.0,506.0,337.0,110805.0,12572.0,Financial ,40
2011Q3,2011,Q3,1720.0,244.0,1476.0,0.0,521.0,946.0,641.0,530.0,530.0,381.0,114905.0,13029.0,Financial ,40
2011Q4,2011,Q4,1236.0,197.0,1039.0,0.0,658.0,621.0,547.0,418.0,418.0,314.0,116967.0,13201.0,Financial ,40
2012Q1,2012,Q1,1643.0,233.0,1410.0,0.0,574.0,807.0,731.0,603.0,603.0,430.0,116747.0,13560.0,Financial ,40
2012Q2,2012,Q2,1603.0,203.0,1400.0,0.0,562.0,835.0,691.0,565.0,565.0,385.0,117543.0,13773.0,Financial ,40
2012Q3,2012,Q3,1594.0,185.0,1409.0,0.0,572.0,906.0,637.0,503.0,503.0,363.0,117483.0,13718.0,Financial ,40
2012Q4,2012,Q4,1259.0,193.0,1066.0,0.0,610.0,526.0,683.0,540.0,540.0,398.0,121894.0,13716.0,Financial ,40
2013Q1,2013,Q1,1650.0,169.0,1481.0,0.0,596.0,890.0,728.0,591.0,591.0,422.0,121382.0,13882.0,Financial ,40
2013Q2,2013,Q2,1704.0,168.0,1536.0,0.0,575.0,695.0,980.0,841.0,841.0,591.0,123360.0,14239.0,Financial ,40
2013Q3,2013,Q3,1538.0,150.0,1388.0,0.0,561.0,784.0,738.0,604.0,604.0,421.0,125673.0,14641.0,Financial ,40
2013Q4,2013,Q4,1603.0,155.0,1448.0,0.0,543.0,887.0,658.0,561.0,561.0,403.0,130443.0,14589.0,Financial ,40
2014Q1,2014,Q1,1483.0,169.0,1314.0,0.0,538.0,876.0,536.0,438.0,438.0,318.0,129654.0,14826.0,Financial ,40
2014Q2,2014,Q2,1567.0,184.0,1383.0,0.0,525.0,777.0,708.0,606.0,606.0,439.0,132562.0,15469.0,Financial ,40
2014Q3,2014,Q3,1458.0,186.0,1272.0,0.0,509.0,808.0,571.0,464.0,464.0,340.0,134188.0,15404.0,Financial ,40
2014Q4,2014,Q4,1557.0,227.0,1330.0,0.0,511.0,811.0,626.0,519.0,519.0,385.0,138706.0,15626.0,Financial ,40
2015Q1,2015,Q1,1531.0,192.0,1339.0,0.0,541.0,854.0,592.0,485.0,485.0,361.0,140470.0,15864.0,Financial ,40
2015Q2,2015,Q2,1570.0,195.0,1375.0,0.0,545.0,958.0,531.0,417.0,417.0,315.0,141658.0,15605.0,Financial ,40
2015Q3,2015,Q3,1653.0,281.0,1372.0,0.0,550.0,857.0,627.0,515.0,515.0,381.0,141918.0,15826.0,Financial ,40
2015Q4,2015,Q4,1632.0,223.0,1409.0,0.0,544.0,461.0,1056.0,948.0,948.0,656.0,141048.0,15839.0,Financial ,40
2016Q1,2016,Q1,1595.0,254.0,1341.0,0.0,596.0,906.0,545.0,435.0,435.0,326.0,142430.0,16323.0,Financial ,40
2016Q2,2016,Q2,1549.0,235.0,1314.0,0.0,580.0,887.0,545.0,427.0,427.0,328.0,143625.0,16726.0,Financial ,40
2016Q3,2016,Q3,1553.0,230.0,1323.0,0.0,577.0,629.0,807.0,694.0,694.0,516.0,143279.0,16776.0,Financial ,40
2016Q4,2016,Q4,1563.0,202.0,1361.0,0.0,568.0,852.0,621.0,509.0,509.0,389.0,142177.0,16205.0,Financial ,40
2017Q1,2017,Q1,1547.0,227.0,1320.0,0.0,610.0,924.0,485.0,396.0,396.0,305.0,140200.0,16430.0,Financial ,40
2017Q2,2017,Q2,1602.0,219.0,1383.0,0.0,578.0,889.0,575.0,494.0,494.0,367.0,141067.0,16419.0,Financial ,40
2017Q3,2017,Q3,1606.0,249.0,1357.0,0.0,586.0,-132.0,1574.0,1489.0,1489.0,1014.0,142264.0,16360.0,Financial ,40
2017Q4,2017,Q4,1600.0,257.0,1343.0,0.0,589.0,951.0,478.0,392.0,392.0,509.0,142081.0,16200.0,Financial ,40
2018Q1,2018,Q1,1653.0,223.0,1430.0,0.0,653.0,548.0,975.0,882.0,882.0,701.0,141500.0,16184.0,Financial ,40
2018Q2,2018,Q2,1789.0,263.0,1526.0,0.0,644.0,778.0,881.0,748.0,748.0,602.0,140695.0,16232.0,Financial ,40
2018Q3,2018,Q3,1811.0,356.0,1455.0,0.0,610.0,905.0,599.0,550.0,550.0,436.0,141685.0,15830.0,Financial ,40
2018Q4,2018,Q4,1898.0,407.0,1491.0,0.0,596.0,768.0,808.0,723.0,723.0,472.0,146069.0,16250.0,Financial ,40
2019Q1,2019,Q1,1932.0,441.0,1491.0,0.0,699.0,495.0,1085.0,996.0,996.0,775.0,167853.0,19647.0,Financial ,40
2019Q2,2019,Q2,2229.0,476.0,1753.0,0.0,750.0,1176.0,686.0,577.0,577.0,453.0,168802.0,20474.0,Financial ,40
2019Q3,2019,Q3,2295.0,517.0,1778.0,0.0,698.0,1089.0,780.0,689.0,689.0,549.0,171079.0,21404.0,Financial ,40
2019Q4,2019,Q4,2175.0,493.0,1682.0,0.0,686.0,741.0,1124.0,941.0,941.0,734.0,169369.0,21203.0,Financial ,40
2020Q1,2020,Q1,2133.0,936.0,1197.0,0.0,748.0,1137.0,178.0,60.0,60.0,46.0,185391.0,21873.0,Financial ,40
2020Q2,2020,Q2,1996.0,688.0,1308.0,0.0,712.0,1064.0,357.0,244.0,244.0,195.0,202906.0,22335.0,Financial ,40
2020Q3,2020,Q3,1989.0,144.0,1845.0,0.0,740.0,1099.0,873.0,746.0,746.0,581.0,201996.0,22951.0,Financial ,40
2020Q4,2020,Q4,1955.0,120.0,1835.0,0.0,787.0,1089.0,880.0,746.0,746.0,604.0,204680.0,23111.0,Financial ,40
2021Q1,2021,Q1,1973.0,-47.0,2020.0,0.0,792.0,1137.0,1005.0,883.0,883.0,694.0,206899.0,22595.0,Financial ,40
