Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,34783.0,26941.0,7842.0,0.0,1214.0,2735.0,6628.0,5107.0,2538.0,1550.0,232025.0,25427.0,Consumer Discretionary,25
1995Q2,1995,Q2,36389.0,27795.0,8594.0,0.0,2027.0,3627.0,6567.0,4967.0,2625.0,1572.0,239808.0,27216.0,Consumer Discretionary,25
1995Q3,1995,Q3,31418.0,24681.0,6737.0,0.0,1853.0,3568.0,4884.0,3169.0,514.0,357.0,238576.0,24955.0,Consumer Discretionary,25
1995Q4,1995,Q4,34547.0,31417.0,3130.0,0.0,289.0,1953.0,1389.0,1177.0,1028.0,660.0,243283.0,24547.0,Consumer Discretionary,25
1996Q1,1996,Q1,36261.0,28974.0,7287.0,0.0,2048.0,3739.0,5239.0,3548.0,1066.0,653.0,248004.0,24540.0,Consumer Discretionary,25
1996Q2,1996,Q2,37937.0,28976.0,8961.0,0.0,2243.0,3918.0,6718.0,5043.0,2597.0,1903.0,260566.0,25840.0,Consumer Discretionary,25
1996Q3,1996,Q3,33960.0,26485.0,7475.0,0.0,2222.0,3990.0,5253.0,3485.0,1160.0,686.0,258501.0,26152.0,Consumer Discretionary,25
1996Q4,1996,Q4,38833.0,34123.0,4710.0,0.0,112.0,1853.0,3097.0,2857.0,1970.0,1204.0,262867.0,26762.0,Consumer Discretionary,25
1997Q1,1997,Q1,36202.0,27183.0,9019.0,0.0,2383.0,4148.0,6636.0,4871.0,2367.0,1469.0,261957.0,27252.0,Consumer Discretionary,25
1997Q2,1997,Q2,40265.0,30233.0,10032.0,0.0,2496.0,4270.0,7536.0,5762.0,3712.0,2530.0,271416.0,29113.0,Consumer Discretionary,25
1997Q3,1997,Q3,36096.0,27408.0,8688.0,0.0,2504.0,4515.0,6184.0,4173.0,1720.0,1125.0,274223.0,29677.0,Consumer Discretionary,25
1997Q4,1997,Q4,41064.0,33795.0,7269.0,0.0,-301.0,1794.0,4954.0,5475.0,3140.0,1796.0,279097.0,30734.0,Consumer Discretionary,25
1998Q1,1998,Q1,36584.0,26937.0,9647.0,0.0,2624.0,4661.0,7023.0,4986.0,2663.0,17646.0,223238.0,21497.0,Consumer Discretionary,25
1998Q2,1998,Q2,37289.0,27403.0,9886.0,0.0,2430.0,4588.0,7456.0,5298.0,3573.0,2381.0,228271.0,23070.0,Consumer Discretionary,25
1998Q3,1998,Q3,32640.0,25253.0,7387.0,0.0,1971.0,4191.0,5416.0,3196.0,1483.0,1001.0,228514.0,23718.0,Consumer Discretionary,25
1998Q4,1998,Q4,37903.0,33109.0,4794.0,0.0,707.0,2881.0,20659.0,1913.0,17677.0,1043.0,237545.0,23409.0,Consumer Discretionary,25
1999Q1,1999,Q1,37549.0,27737.0,9812.0,0.0,3165.0,5322.0,6647.0,4490.0,2667.0,1979.0,246511.0,24747.0,Consumer Discretionary,25
