Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,753.0,666.0,87.0,0.0,0.0,8.0,87.0,79.0,92.0,60.0,2663.0,1353.0,Industrials,20
1995Q2,1995,Q2,703.0,618.0,85.0,0.0,0.0,9.0,85.0,76.0,93.0,82.0,2700.0,1411.0,Industrials,20
1995Q3,1995,Q3,718.0,632.0,86.0,0.0,0.0,9.0,86.0,77.0,93.0,91.0,3117.0,1480.0,Industrials,20
1995Q4,1995,Q4,893.0,798.0,95.0,0.0,0.0,12.0,95.0,83.0,97.0,88.0,3164.0,1567.0,Industrials,20
1996Q1,1996,Q1,893.0,797.0,96.0,0.0,0.0,13.0,96.0,83.0,98.0,65.0,3222.0,1601.0,Industrials,20
1996Q2,1996,Q2,930.0,825.0,105.0,0.0,0.0,16.0,105.0,89.0,102.0,67.0,3258.0,1641.0,Industrials,20
1996Q3,1996,Q3,862.0,753.0,109.0,0.0,0.0,20.0,109.0,89.0,103.0,68.0,3265.0,1665.0,Industrials,20
1996Q4,1996,Q4,896.0,786.0,110.0,0.0,0.0,18.0,110.0,92.0,106.0,70.0,3299.0,1714.0,Industrials,20
1997Q1,1997,Q1,941.0,818.0,123.0,0.0,0.0,21.0,123.0,102.0,108.0,71.0,3444.0,1744.0,Industrials,20
1997Q2,1997,Q2,1032.0,896.0,136.0,0.0,0.0,22.0,136.0,114.0,122.0,80.0,3391.0,1792.0,Industrials,20
1997Q3,1997,Q3,988.0,854.0,134.0,0.0,0.0,21.0,134.0,113.0,123.0,82.0,3492.0,1856.0,Industrials,20
1997Q4,1997,Q4,1101.0,957.0,144.0,0.0,0.0,27.0,144.0,117.0,126.0,83.0,4091.0,1915.0,Industrials,20
