Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1287.0,528.5,758.5,0.0,516.2,564.1,242.3,194.4,28.6,5.4,5191.3,1333.1,Consumer Staples,30
1995Q2,1995,Q2,1078.4,439.8,638.6,0.0,545.7,595.6,92.9,43.0,-27.2,62.0,3358.2,141.0,Consumer Staples,30
1995Q3,1995,Q3,1276.3,525.6,750.7,0.0,458.6,505.3,292.1,245.4,218.4,136.9,3455.0,209.7,Consumer Staples,30
1995Q4,1995,Q4,1448.4,596.1,852.3,0.0,551.7,598.4,300.6,253.9,228.1,145.7,3515.6,299.7,Consumer Staples,30
1996Q1,1996,Q1,1309.2,533.1,776.1,0.0,523.1,568.1,253.0,208.0,182.9,116.3,3436.2,351.7,Consumer Staples,30
1996Q2,1996,Q2,1382.1,586.2,795.9,0.0,594.9,643.2,201.0,152.7,126.4,77.5,3294.7,307.7,Consumer Staples,30
1996Q3,1996,Q3,1315.6,535.8,779.8,0.0,510.7,553.6,269.1,226.2,154.2,97.7,3413.4,225.8,Consumer Staples,30
1996Q4,1996,Q4,1560.1,659.4,900.7,0.0,587.5,630.5,313.2,270.2,247.2,156.7,3431.7,240.6,Consumer Staples,30
1997Q1,1997,Q1,1289.6,548.3,741.3,0.0,470.0,515.1,271.3,226.2,195.5,122.8,3987.8,649.0,Consumer Staples,30
1997Q2,1997,Q2,1444.0,584.9,859.1,0.0,671.0,722.8,188.1,136.3,106.8,68.2,3902.4,494.6,Consumer Staples,30
1997Q3,1997,Q3,1416.5,543.9,872.6,0.0,577.6,626.5,295.0,246.1,215.8,134.3,3962.5,446.1,Consumer Staples,30
1997Q4,1997,Q4,1638.3,653.7,984.6,0.0,645.4,693.9,339.2,290.7,96.2,64.6,3949.1,389.2,Consumer Staples,30
1998Q1,1998,Q1,1424.7,552.4,872.3,0.0,588.1,634.9,284.2,237.4,208.4,131.1,3899.8,433.1,Consumer Staples,30
1998Q2,1998,Q2,1553.5,639.3,914.2,0.0,687.5,738.2,226.7,176.0,143.3,91.8,3861.4,190.2,Consumer Staples,30
1998Q3,1998,Q3,1473.1,536.6,936.5,0.0,634.1,681.2,302.4,255.3,228.1,145.0,4024.9,145.8,Consumer Staples,30
1998Q4,1998,Q4,1677.4,651.7,1025.7,0.0,667.8,715.1,357.9,310.6,227.3,143.6,4020.8,197.3,Consumer Staples,30
1999Q1,1999,Q1,1495.1,570.8,924.3,0.0,618.8,666.8,305.5,257.5,220.6,141.1,4138.5,167.9,Consumer Staples,30
1999Q2,1999,Q2,1600.5,640.2,960.3,0.0,714.2,766.0,246.1,194.3,162.5,104.8,4140.7,164.2,Consumer Staples,30
1999Q3,1999,Q3,1573.6,573.5,1000.1,0.0,677.2,725.1,322.9,275.0,245.8,158.5,4504.3,216.3,Consumer Staples,30
1999Q4,1999,Q4,1817.2,678.4,1138.8,0.0,760.0,809.8,378.8,329.0,298.0,193.7,4594.3,256.7,Consumer Staples,30
2000Q1,2000,Q1,1619.6,598.9,1020.7,0.0,687.4,739.1,333.3,281.6,239.6,153.3,4596.7,34.7,Consumer Staples,30
2000Q2,2000,Q2,1689.8,638.0,1051.8,0.0,779.1,838.5,272.7,213.3,166.9,108.9,4574.0,-289.0,Consumer Staples,30
2000Q3,2000,Q3,1674.9,602.2,1072.7,0.0,725.5,776.6,347.2,296.1,244.3,158.9,4769.2,-302.0,Consumer Staples,30
2000Q4,2000,Q4,1895.2,700.2,1195.0,0.0,785.7,838.6,409.3,356.4,309.9,202.7,4899.4,-160.9,Consumer Staples,30
2001Q1,2001,Q1,1701.6,651.9,1049.7,0.0,697.8,753.9,351.9,295.8,242.4,157.5,4995.5,-34.6,Consumer Staples,30
2001Q2,2001,Q2,1806.0,886.9,919.1,0.0,858.2,698.1,284.0,221.0,201.7,146.0,5091.0,52.0,Consumer Staples,30
2001Q3,2001,Q3,1771.2,720.4,1050.8,0.0,738.9,738.9,364.5,311.9,286.5,188.0,5158.6,-97.0,Consumer Staples,30
2001Q4,2001,Q4,1842.0,1040.0,802.0,0.0,415.0,415.0,448.4,387.0,212.0,131.0,17124.3,3552.7,Consumer Staples,30
2002Q1,2002,Q1,2379.0,1467.0,912.0,0.0,615.0,615.0,387.0,297.0,113.0,82.0,16838.2,3547.1,Consumer Staples,30
2002Q2,2002,Q2,730.7,1508.4,-777.7,0.0,-1054.8,-1054.8,369.5,277.1,88.5,56.7,16540.0,3576.0,Consumer Staples,30
2002Q3,2002,Q3,2362.0,1386.0,976.0,0.0,533.0,533.0,533.0,443.0,263.0,176.0,16597.0,3661.0,Consumer Staples,30
2002Q4,2002,Q4,2953.0,1768.0,1185.0,0.0,623.0,623.0,652.0,562.0,415.0,276.0,19276.0,3809.0,Consumer Staples,30
2003Q1,2003,Q1,2645.0,1567.0,1078.0,0.0,571.0,571.0,597.0,507.0,363.0,240.0,18562.0,4012.0,Consumer Staples,30
2003Q2,2003,Q2,2546.0,1482.0,1064.0,0.0,651.0,713.0,508.0,351.0,336.0,225.0,18227.0,4175.0,Consumer Staples,30
2003Q3,2003,Q3,2518.0,1474.0,1044.0,0.0,591.0,591.0,546.0,453.0,319.0,227.0,18392.0,4409.0,Consumer Staples,30
2003Q4,2003,Q4,3060.0,1797.0,1263.0,0.0,677.0,686.0,682.0,577.0,466.0,308.0,18779.0,4743.0,Consumer Staples,30
2004Q1,2004,Q1,2703.0,1638.0,1065.0,0.0,589.0,594.0,578.0,471.0,348.0,242.0,18534.0,5040.0,Consumer Staples,30
2004Q2,2004,Q2,2789.0,1675.0,1114.0,0.0,586.0,598.0,636.0,516.0,392.0,278.0,18448.0,5248.0,Consumer Staples,30
2004Q3,2004,Q3,2585.0,1581.0,1004.0,0.0,611.0,651.0,501.0,353.0,240.0,183.0,18351.0,5373.0,Consumer Staples,30
2004Q4,2004,Q4,3168.0,1889.0,1279.0,0.0,637.0,640.0,755.0,639.0,514.0,367.0,18649.0,4983.0,Consumer Staples,30
2005Q1,2005,Q1,2772.0,1695.0,1077.0,0.0,580.0,583.0,606.0,494.0,387.0,230.0,18460.0,5292.0,Consumer Staples,30
2005Q2,2005,Q2,2719.0,1669.0,1050.0,0.0,590.0,628.0,573.0,422.0,674.0,460.0,18066.0,5676.0,Consumer Staples,30
2005Q3,2005,Q3,2662.0,1557.0,1105.0,0.0,642.0,651.0,568.0,454.0,364.0,252.0,18376.0,5144.0,Consumer Staples,30
2005Q4,2005,Q4,3293.0,2090.0,1203.0,0.0,559.0,561.0,750.0,642.0,538.0,370.0,18460.0,5396.0,Consumer Staples,30
2006Q1,2006,Q1,2877.0,1891.0,986.0,0.0,528.0,533.0,566.0,453.0,353.0,246.0,18215.0,5538.0,Consumer Staples,30
2006Q2,2006,Q2,2845.0,1735.0,1110.0,0.0,682.0,696.0,535.0,414.0,309.0,222.0,18075.0,5772.0,Consumer Staples,30
2006Q3,2006,Q3,2860.4,1796.7,1063.7,0.0,574.8,572.9,601.9,490.8,385.8,266.9,18586.0,5330.0,Consumer Staples,30
2006Q4,2006,Q4,3466.6,2187.0,1279.6,0.0,605.5,604.4,785.2,675.2,564.7,385.4,18763.0,5546.0,Consumer Staples,30
2007Q1,2007,Q1,3053.6,1981.9,1071.7,0.0,584.9,585.6,598.3,486.1,379.3,267.5,18666.0,5961.0,Consumer Staples,30
2007Q2,2007,Q2,3061.0,1989.0,1072.0,0.0,625.0,666.0,521.0,406.0,301.0,224.0,18183.7,5319.1,Consumer Staples,30
2007Q3,2007,Q3,3072.0,1915.8,1156.2,0.0,631.6,646.1,624.0,510.1,396.8,288.9,18477.9,4458.7,Consumer Staples,30
2007Q4,2007,Q4,3703.4,2372.2,1331.2,0.0,641.3,644.1,820.8,687.1,571.2,390.5,19081.5,5679.5,Consumer Staples,30
2008Q1,2008,Q1,3405.6,2051.4,1354.2,0.0,653.8,658.8,815.6,695.4,592.8,430.1,19266.8,5926.8,Consumer Staples,30
2008Q2,2008,Q2,3471.1,2438.9,1032.2,0.0,698.3,697.0,453.9,335.2,245.3,185.2,19041.6,6215.8,Consumer Staples,30
2008Q3,2008,Q3,3497.3,2305.6,1191.7,0.0,718.0,720.7,582.6,471.0,384.4,278.5,19162.0,6066.5,Consumer Staples,30
2008Q4,2008,Q4,4010.8,2791.2,1219.6,0.0,729.6,603.3,733.9,616.3,520.0,378.2,19109.7,5295.2,Consumer Staples,30
2009Q1,2009,Q1,3537.4,2259.9,1277.5,0.0,670.6,671.8,721.1,605.7,507.1,288.9,19078.7,5537.1,Consumer Staples,30
2009Q2,2009,Q2,3645.7,2101.1,1544.6,0.0,834.1,913.2,733.9,631.4,529.0,358.8,17874.8,5172.3,Consumer Staples,30
2009Q3,2009,Q3,3482.4,2041.6,1440.8,0.0,748.7,747.9,806.3,692.9,601.0,420.6,18190.1,5393.7,Consumer Staples,30
2009Q4,2009,Q4,4034.7,2306.4,1728.3,0.0,824.7,849.6,997.1,878.7,790.2,565.5,18561.3,6088.9,Consumer Staples,30
2010Q1,2010,Q1,3589.3,2229.5,1359.8,0.0,791.9,798.2,675.4,561.6,467.4,332.5,18216.2,6232.1,Consumer Staples,30
2010Q2,2010,Q2,3570.4,2279.1,1291.3,0.0,817.4,818.4,591.2,472.9,345.9,211.9,17678.9,5402.9,Consumer Staples,30
2010Q3,2010,Q3,3533.1,2008.8,1524.3,0.0,762.9,763.9,873.1,760.4,670.1,472.1,18210.5,5124.8,Consumer Staples,30
2010Q4,2010,Q4,4066.6,2432.6,1634.0,0.0,810.1,811.1,942.8,822.9,741.3,613.9,18378.5,5639.6,Consumer Staples,30
