Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,532.1,0.0,532.1,0.0,0.0,-406.4,0.0,206.598,267.0,68.621,8707.4,1386.2,Financial ,40
1995Q2,1995,Q2,530.5,0.0,530.5,0.0,0.0,-404.1,0.0,474.3,272.1,70.0,9065.4,1534.7,Financial ,40
1995Q3,1995,Q3,514.4,0.0,514.4,0.0,0.0,-400.8,0.0,459.4,244.0,60.9,9279.2,1594.1,Financial ,40
1995Q4,1995,Q4,490.382,0.0,490.382,0.0,0.0,-474.614,0.0,-977.325,428.175,-56.365,9364.104,1588.952,Financial ,40
1996Q1,1996,Q1,553.863,0.0,553.863,0.0,0.0,-414.302,0.0,498.207,291.236,76.274,9359.801,1546.446,Financial ,40
1996Q2,1996,Q2,555.643,0.0,555.643,0.0,0.0,-412.986,0.0,501.934,294.766,79.039,9413.366,1562.907,Financial ,40
1996Q3,1996,Q3,554.739,0.0,554.739,0.0,0.0,-417.409,0.0,502.184,289.484,73.693,9598.084,1576.857,Financial ,40
1996Q4,1996,Q4,541.565,0.0,541.565,0.0,0.0,-395.508,0.0,-1007.193,495.132,82.366,9800.8,1629.343,Financial ,40
1997Q1,1997,Q1,560.552,0.0,560.552,0.0,0.0,-421.894,0.0,506.696,283.52,77.328,9993.175,1637.981,Financial ,40
1997Q2,1997,Q2,558.399,0.0,558.399,0.0,0.0,-424.101,0.0,505.581,272.81,74.59,10381.734,1709.693,Financial ,40
1997Q3,1997,Q3,588.56,0.0,588.56,0.0,0.0,-427.143,0.0,197.8,329.75,93.0,10684.671,1831.765,Financial ,40
1997Q4,1997,Q4,574.939,0.0,574.939,0.0,0.0,-421.216,0.0,-1039.737,509.394,92.851,10967.291,1932.736,Financial ,40
1998Q1,1998,Q1,605.762,0.0,605.762,0.0,0.0,-442.015,0.0,182.5,336.492,92.9,11833.415,2439.661,Financial ,40
1998Q2,1998,Q2,621.981,0.0,621.981,0.0,0.0,-481.606,0.0,164.3,322.992,63.1,11323.146,2487.286,Financial ,40
1998Q3,1998,Q3,511.271,0.0,511.271,0.0,0.0,-456.212,0.0,143.5,128.366,14.6,11277.14,2528.902,Financial ,40
1998Q4,1998,Q4,540.142,0.0,540.142,0.0,0.0,-418.673,0.0,-996.814,446.991,73.835,11249.028,2259.528,Financial ,40
1999Q1,1999,Q1,572.149,0.0,572.149,0.0,0.0,-432.181,0.0,187.63,249.353,96.434,11309.896,2134.874,Financial ,40
1999Q2,1999,Q2,507.228,0.0,507.228,0.0,0.0,-440.592,0.0,459.361,103.854,35.246,11300.258,2060.235,Financial ,40
1999Q3,1999,Q3,565.779,0.0,565.779,0.0,0.0,-441.121,0.0,517.819,218.587,73.312,11382.555,2010.355,Financial ,40
1999Q4,1999,Q4,586.378,0.0,586.378,0.0,0.0,-468.47,0.0,-1095.074,402.408,68.964,12131.664,1993.337,Financial ,40
2000Q1,2000,Q1,619.017,0.0,619.017,0.0,0.0,-472.704,154.738,137.91,137.91,88.882,12841.942,2030.889,Financial ,40
2000Q2,2000,Q2,615.133,0.0,615.133,0.0,0.0,-476.752,17.188,200.07,129.774,83.294,12611.488,2013.105,Financial ,40
2000Q3,2000,Q3,640.554,0.0,640.554,0.0,0.0,-481.064,168.206,151.836,151.836,97.736,12862.439,2108.428,Financial ,40
2000Q4,2000,Q4,641.19,0.0,641.19,0.0,0.0,-490.086,159.614,143.438,143.438,92.123,12962.558,2202.36,Financial ,40
2001Q1,2001,Q1,674.766,0.0,674.766,0.0,0.0,-515.625,15.585,263.127,155.278,96.398,12801.747,2363.735,Financial ,40
2001Q2,2001,Q2,689.03,0.0,689.03,0.0,0.0,-553.689,170.504,155.725,155.725,73.174,12503.436,2371.528,Financial ,40
2001Q3,2001,Q3,686.69,0.0,686.69,0.0,0.0,-520.447,174.106,160.666,160.666,103.815,12187.43,2535.176,Financial ,40
2001Q4,2001,Q4,656.556,0.0,656.556,0.0,0.0,-522.37,142.537,129.76,129.76,83.126,12428.153,2497.127,Financial ,40
2002Q1,2002,Q1,689.674,0.0,689.674,0.0,0.0,-534.034,0.0,149.329,149.329,98.154,12284.369,2478.956,Financial ,40
2002Q2,2002,Q2,633.48,32.338,601.142,0.0,0.0,-499.951,0.0,94.932,94.932,62.712,12091.404,2564.456,Financial ,40
2002Q3,2002,Q3,715.825,34.135,681.69,0.0,0.0,-496.154,0.0,290.863,179.32,117.375,12168.596,2759.866,Financial ,40
2002Q4,2002,Q4,698.987,0.0,698.987,0.0,0.0,10.215,0.0,160.739,160.739,105.192,12360.722,2851.453,Financial ,40
2003Q1,2003,Q1,711.988,36.073,675.915,0.0,0.0,-516.492,166.33,152.667,153.983,100.633,12616.386,2942.348,Financial ,40
2003Q2,2003,Q2,727.84,34.059,693.781,0.0,0.0,-520.59,0.0,166.539,167.836,109.592,13096.891,3182.774,Financial ,40
2003Q3,2003,Q3,730.389,35.064,695.325,0.0,0.0,-517.202,0.0,164.226,164.226,107.882,13217.339,3173.03,Financial ,40
2003Q4,2003,Q4,747.503,-2027.862,2775.365,0.0,0.0,2358.142,0.0,169.68,169.68,112.034,13460.886,3240.099,Financial ,40
2004Q1,2004,Q1,772.542,37.234,735.308,0.0,0.0,-546.228,0.0,182.2,182.236,112.4,13839.861,3400.313,Financial ,40
2004Q2,2004,Q2,763.959,38.001,725.958,0.0,0.0,-538.646,0.0,173.234,173.234,116.561,13433.115,3153.507,Financial ,40
2004Q3,2004,Q3,774.199,37.395,736.804,0.0,0.0,-533.289,0.0,189.46,189.46,124.132,13891.472,3344.05,Financial ,40
