Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1322.1,1159.3,162.8,0.0,41.1,100.5,121.7,62.3,63.1,39.1,5104.1,1962.3,Energy,10
1995Q2,1995,Q2,1444.5,1239.1,205.4,0.0,44.5,105.7,160.9,99.7,91.1,56.2,5198.0,2003.2,Energy,10
1995Q3,1995,Q3,1489.8,1308.3,181.5,0.0,8.3,70.4,173.2,111.1,103.7,1.1,3758.2,1968.6,Energy,10
1995Q4,1995,Q4,1537.4,1351.0,186.4,0.0,11.6,73.0,174.8,113.4,111.7,71.9,3646.6,1749.8,Energy,10
1996Q1,1996,Q1,1661.4,1512.7,148.7,0.0,8.8,67.9,139.9,80.8,80.5,51.5,3817.6,1784.4,Energy,10
1996Q2,1996,Q2,1830.8,1641.6,189.2,0.0,8.4,73.5,184.5,115.7,109.5,71.8,3878.0,1830.9,Energy,10
1996Q3,1996,Q3,1859.9,1655.6,204.3,0.0,9.2,73.4,200.3,130.9,54.7,75.5,4086.7,1889.5,Energy,10
1996Q4,1996,Q4,2133.6,1656.6,477.0,0.0,210.2,294.3,266.8,182.7,158.7,99.2,4436.6,2159.2,Energy,10
1997Q1,1997,Q1,1897.5,1681.3,216.2,0.0,7.9,77.5,208.3,138.7,135.7,83.0,4480.7,2248.7,Energy,10
1997Q2,1997,Q2,2231.1,1962.5,268.6,0.0,8.1,86.6,260.5,182.0,170.4,101.9,5162.9,2339.5,Energy,10
1997Q3,1997,Q3,4139.0,3581.4,557.6,0.0,125.8,205.1,623.7,352.5,332.6,202.6,5482.1,2440.3,Energy,10
1997Q4,1997,Q4,2385.3,2033.3,352.0,0.0,9.5,91.6,342.5,260.4,246.0,148.4,5603.0,2584.7,Energy,10
1998Q1,1998,Q1,4202.0,3586.0,616.0,0.0,160.0,308.0,456.0,308.0,331.0,203.0,5804.5,2688.9,Energy,10
1998Q2,1998,Q2,4585.0,3902.0,683.0,0.0,165.0,247.0,579.0,436.0,396.0,243.0,6186.0,2796.1,Energy,10
1998Q3,1998,Q3,4170.0,3565.0,605.0,0.0,110.0,384.0,495.0,221.0,-624.0,-527.0,11642.0,4048.1,Energy,10
1998Q4,1998,Q4,4456.4,3767.1,689.3,0.0,164.7,310.2,524.6,379.1,126.0,65.7,11112.0,4061.2,Energy,10
