Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,526.5,268.5,258.0,0.0,191.0,219.5,67.0,38.5,35.3,21.7,2329.8,1420.0,Consumer Discretionary,25
1995Q2,1995,Q2,481.9,192.9,289.0,0.0,280.4,311.3,8.6,-22.3,-24.2,-14.9,2459.8,1402.6,Consumer Discretionary,25
1995Q3,1995,Q3,826.2,335.7,490.5,0.0,344.8,379.7,145.7,110.8,103.4,63.6,2917.5,1461.9,Consumer Discretionary,25
1995Q4,1995,Q4,1023.7,403.9,619.8,0.0,406.6,442.2,213.2,177.6,138.2,85.2,2616.4,1525.6,Consumer Discretionary,25
1996Q1,1996,Q1,538.7,219.1,319.6,0.0,250.1,278.6,69.5,41.0,39.1,24.4,2403.9,1553.6,Consumer Discretionary,25
1996Q2,1996,Q2,511.6,207.1,304.5,0.0,255.5,292.6,49.0,11.9,9.2,6.0,2527.5,1536.4,Consumer Discretionary,25
1996Q3,1996,Q3,845.1,347.0,498.1,0.0,349.3,384.5,148.8,113.6,105.0,70.5,2999.5,1570.9,Consumer Discretionary,25
1996Q4,1996,Q4,1107.0,457.5,649.5,0.0,446.3,483.8,203.2,165.7,153.7,99.1,2701.5,1652.0,Consumer Discretionary,25
1997Q1,1997,Q1,555.8,214.8,341.0,63.9,206.1,300.6,71.0,40.4,40.2,25.7,2449.9,1633.9,Consumer Discretionary,25
1997Q2,1997,Q2,583.9,225.2,358.7,87.9,209.2,336.0,61.6,22.7,20.3,13.0,2646.8,1599.0,Consumer Discretionary,25
1997Q3,1997,Q3,915.5,378.0,537.5,102.6,272.4,411.7,168.5,125.8,115.4,77.4,3024.0,1635.1,Consumer Discretionary,25
1997Q4,1997,Q4,1133.4,434.1,699.3,132.6,341.0,528.0,225.7,171.3,28.6,18.9,2899.7,1838.1,Consumer Discretionary,25
1998Q1,1998,Q1,482.8,184.7,298.1,67.3,191.0,292.0,39.8,6.1,11.8,7.8,2592.0,1802.7,Consumer Discretionary,25
1998Q2,1998,Q2,572.1,222.8,349.3,82.1,214.7,337.0,52.5,12.3,8.3,5.5,3027.8,1745.8,Consumer Discretionary,25
1998Q3,1998,Q3,945.5,376.8,568.7,113.8,290.8,449.5,164.1,119.2,89.6,61.3,3676.3,1758.8,Consumer Discretionary,25
1998Q4,1998,Q4,1304.1,484.8,819.3,141.5,400.2,592.1,277.6,227.2,193.8,131.8,3793.8,1944.8,Consumer Discretionary,25
1999Q1,1999,Q1,668.398,236.2,432.198,111.9,244.4,402.5,75.898,29.698,20.0,13.8,3407.2,1908.8,Consumer Discretionary,25
1999Q2,1999,Q2,874.6,316.8,557.8,179.8,259.7,499.6,118.3,58.2,46.8,32.3,3901.1,1804.1,Consumer Discretionary,25
1999Q3,1999,Q3,1098.2,415.9,682.3,170.8,311.1,541.1,200.4,141.2,123.5,85.2,4193.3,1864.1,Consumer Discretionary,25
1999Q4,1999,Q4,1591.1,625.4,965.7,249.3,441.7,802.8,274.7,162.9,83.6,57.7,4463.3,1879.0,Consumer Discretionary,25
2000Q1,2000,Q1,773.481,277.876,495.605,126.039,274.095,455.415,95.471,40.19,21.923,15.127,4006.686,1514.074,Consumer Discretionary,25
2000Q2,2000,Q2,778.373,271.34,507.033,135.15,276.706,470.487,95.177,36.546,9.421,6.5,4015.216,1501.821,Consumer Discretionary,25
2000Q3,2000,Q3,1072.617,429.94,642.677,164.912,357.374,585.742,120.391,56.935,20.046,13.832,4370.586,1491.325,Consumer Discretionary,25
2000Q4,2000,Q4,1162.744,588.359,574.385,209.265,408.299,704.417,-43.179,-130.032,-277.376,-180.09,3828.459,1327.406,Consumer Discretionary,25
2001Q1,2001,Q1,463.286,189.805,273.481,56.735,201.432,287.588,34.427,-14.107,-35.232,-25.024,3362.958,1273.383,Consumer Discretionary,25
2001Q2,2001,Q2,510.971,204.008,306.963,69.868,208.274,307.004,51.33,-0.041,-26.957,-18.331,3333.789,1257.931,Consumer Discretionary,25
2001Q3,2001,Q3,893.353,402.155,491.198,97.182,260.481,387.424,161.291,103.774,74.414,50.602,3590.586,1285.134,Consumer Discretionary,25
2001Q4,2001,Q4,988.729,427.515,561.214,111.573,296.124,439.51,188.386,121.704,83.974,52.485,3368.979,1352.864,Consumer Discretionary,25
2002Q1,2002,Q1,452.267,166.414,285.853,84.669,186.08,292.198,32.054,-6.345,-23.052,-17.058,3134.548,1325.319,Consumer Discretionary,25
2002Q2,2002,Q2,545.99,196.165,349.825,36.77,210.576,335.824,60.075,14.001,-34.983,-25.888,2884.777,1092.029,Consumer Discretionary,25
2002Q3,2002,Q3,820.532,342.918,477.614,36.687,236.732,380.897,146.091,96.717,75.47,55.848,3124.198,1139.082,Consumer Discretionary,25
2002Q4,2002,Q4,997.441,393.665,603.776,47.105,616.038,488.858,164.909,114.918,86.653,62.156,3142.881,1191.366,Consumer Discretionary,25
2003Q1,2003,Q1,461.768,172.237,289.531,30.5,193.077,273.575,46.703,15.956,1.629,1.189,2804.006,1262.363,Consumer Discretionary,25
2003Q2,2003,Q2,581.469,230.807,350.662,33.105,218.106,322.271,67.598,28.391,15.64,11.417,2904.227,1309.862,Consumer Discretionary,25
2003Q3,2003,Q3,971.071,419.869,551.202,38.811,273.544,414.209,176.573,136.993,118.124,68.464,3248.494,1271.391,Consumer Discretionary,25
2003Q4,2003,Q4,1124.349,465.049,659.3,40.767,602.116,496.024,217.865,163.276,108.671,76.594,3163.376,1405.24,Consumer Discretionary,25
2004Q1,2004,Q1,474.247,186.723,287.524,31.683,193.289,272.852,43.652,14.672,8.411,6.532,2905.903,1404.248,Consumer Discretionary,25
2004Q2,2004,Q2,516.433,207.35,309.083,37.696,198.885,286.354,55.681,22.729,22.852,18.839,2877.151,1417.125,Consumer Discretionary,25
2004Q3,2004,Q3,947.312,423.458,523.854,39.257,280.582,401.814,164.199,122.04,119.296,88.687,3122.238,1501.65,Consumer Discretionary,25
2004Q4,2004,Q4,1059.518,434.126,625.392,48.526,197.421,491.821,176.732,133.571,109.529,81.919,3240.66,1639.724,Consumer Discretionary,25
2005Q1,2005,Q1,454.944,165.975,288.969,31.041,190.761,287.429,39.656,1.54,-3.225,-3.713,3027.743,1619.186,Consumer Discretionary,25
2005Q2,2005,Q2,572.388,224.766,347.622,36.514,206.263,320.502,72.637,27.12,32.69,29.454,2997.714,1606.494,Consumer Discretionary,25
2005Q3,2005,Q3,988.052,444.775,543.277,39.387,280.906,414.999,182.022,128.278,126.326,92.063,3271.64,1670.625,Consumer Discretionary,25
2005Q4,2005,Q4,1072.243,450.755,621.488,43.644,313.001,467.905,196.338,153.583,155.122,94.271,3301.143,1723.476,Consumer Discretionary,25
2006Q1,2006,Q1,468.181,186.092,282.089,38.164,201.809,284.215,29.721,-2.126,-5.453,-4.899,2896.779,1622.65,Consumer Discretionary,25
2006Q2,2006,Q2,527.764,210.369,317.395,39.606,207.85,296.796,58.08,20.599,32.502,27.088,2735.365,1457.521,Consumer Discretionary,25
2006Q3,2006,Q3,1039.138,461.511,577.627,44.445,296.131,412.43,207.736,165.197,143.876,99.584,2962.777,1418.425,Consumer Discretionary,25
2006Q4,2006,Q4,1116.398,445.913,670.485,49.143,345.42,477.792,227.533,192.693,170.549,108.282,3096.905,1537.89,Consumer Discretionary,25
2007Q1,2007,Q1,625.267,243.452,381.815,35.31,224.56,328.088,88.545,53.727,49.6,32.89,2892.131,1532.251,Consumer Discretionary,25
2007Q2,2007,Q2,691.408,273.212,418.196,38.787,306.058,362.419,95.115,55.777,21.961,4.801,2908.944,1546.944,Consumer Discretionary,25
2007Q3,2007,Q3,1223.038,521.022,702.016,43.466,430.823,492.279,255.877,209.737,203.921,161.58,3286.173,1352.921,Consumer Discretionary,25
2007Q4,2007,Q4,1297.844,538.935,758.909,49.631,178.168,558.8,236.333,200.109,186.9,133.732,3237.063,1385.092,Consumer Discretionary,25
2008Q1,2008,Q1,704.22,271.161,433.059,41.77,253.176,371.806,95.004,61.253,55.67,37.47,3126.479,1266.711,Consumer Discretionary,25
2008Q2,2008,Q2,784.286,308.222,476.064,45.432,276.312,410.555,109.338,65.509,55.285,37.486,3205.311,1308.217,Consumer Discretionary,25
2008Q3,2008,Q3,1301.961,573.835,728.126,49.993,442.468,512.201,261.777,215.925,201.52,138.229,3406.752,1356.155,Consumer Discretionary,25
2008Q4,2008,Q4,1231.053,539.51,691.543,54.229,153.276,539.934,188.267,151.609,128.58,93.581,3168.797,1390.786,Consumer Discretionary,25
2009Q1,2009,Q1,621.34,299.206,322.134,37.131,223.899,280.917,73.417,41.217,28.587,19.73,2927.822,1380.855,Consumer Discretionary,25
2009Q2,2009,Q2,792.202,393.278,398.924,43.529,263.53,325.851,118.431,73.073,56.854,39.275,3478.176,1389.67,Consumer Discretionary,25
2009Q3,2009,Q3,1279.221,649.751,629.47,43.87,333.936,398.761,286.917,230.709,217.859,150.362,3861.327,1487.932,Consumer Discretionary,25
2009Q4,2009,Q4,1375.184,562.105,813.079,56.665,156.769,569.48,293.498,243.599,226.397,165.563,3896.892,1594.772,Consumer Discretionary,25
