Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,3077.5,2141.7,935.8,0.0,663.5,698.9,272.3,236.9,233.0,146.0,5778.0,3442.2,Consumer Discretionary,25
1995Q2,1995,Q2,3569.0,2532.1,1036.9,0.0,743.4,782.7,293.5,254.2,256.2,157.8,6366.4,4417.8,Consumer Discretionary,25
1995Q3,1995,Q3,4151.7,2985.5,1166.2,0.0,780.9,824.1,385.3,342.1,345.6,212.9,6642.0,4634.9,Consumer Discretionary,25
1995Q4,1995,Q4,3997.8,2874.3,1123.5,0.0,796.3,843.2,327.2,280.3,284.9,175.5,7136.9,4810.4,Consumer Discretionary,25
1996Q1,1996,Q1,3751.9,2611.6,1140.3,0.0,785.2,837.0,355.1,303.3,308.7,185.4,7354.0,4987.8,Consumer Discretionary,25
1996Q2,1996,Q2,4362.2,3089.3,1272.9,0.0,901.0,954.0,371.9,318.9,320.7,195.0,7829.4,5209.8,Consumer Discretionary,25
1996Q3,1996,Q3,5292.9,3799.7,1493.2,0.0,995.0,1051.3,498.2,441.9,444.4,270.2,7997.6,5468.6,Consumer Discretionary,25
1996Q4,1996,Q4,4921.8,3524.4,1397.4,0.0,977.2,1036.4,420.2,361.0,364.1,221.4,9381.3,5712.0,Consumer Discretionary,25
1997Q1,1997,Q1,4958.5,3455.7,1502.8,0.0,1027.3,1091.1,475.5,411.7,405.4,251.1,9341.7,5955.2,Consumer Discretionary,25
1997Q2,1997,Q2,5657.3,4038.1,1619.2,0.0,1125.2,1192.6,494.0,426.6,423.6,258.8,10548.7,6230.2,Consumer Discretionary,25
1997Q3,1997,Q3,6550.2,4682.7,1867.5,0.0,1213.2,1280.0,654.3,587.5,585.8,357.9,10662.2,6572.9,Consumer Discretionary,25
1997Q4,1997,Q4,6217.0,4420.4,1796.6,0.0,1339.2,1409.7,457.4,386.9,386.1,235.9,11214.1,6814.2,Consumer Discretionary,25
1998Q1,1998,Q1,5731.5,3950.8,1780.7,0.0,1087.4,1165.7,693.3,615.0,502.6,307.4,11229.0,7098.0,Consumer Discretionary,25
1998Q2,1998,Q2,7123.0,5068.0,2055.0,0.0,1408.0,1495.0,647.0,560.0,556.0,337.0,12477.0,7474.0,Consumer Discretionary,25
1998Q3,1998,Q3,8139.0,5783.0,2356.0,0.0,1493.0,1586.0,863.0,770.0,769.0,467.0,12593.0,7905.0,Consumer Discretionary,25
1998Q4,1998,Q4,7699.0,5425.0,2274.0,0.0,1532.0,1629.0,742.0,645.0,646.0,392.0,13324.0,8316.0,Consumer Discretionary,25
1999Q1,1999,Q1,7258.0,4966.0,2292.0,0.0,1510.0,1606.0,782.0,686.0,684.0,418.0,13465.0,8740.0,Consumer Discretionary,25
1999Q2,1999,Q2,8952.0,6279.0,2673.0,0.0,1756.0,1863.0,917.0,810.0,805.0,489.0,15199.0,9329.0,Consumer Discretionary,25
1999Q3,1999,Q3,10431.0,7288.0,3143.0,0.0,1913.0,2027.0,1230.0,1116.0,1117.0,679.0,15709.0,10020.0,Consumer Discretionary,25
1999Q4,1999,Q4,9877.0,6866.0,3011.0,0.0,1955.0,2072.0,1056.0,939.0,943.0,573.0,17037.0,11766.0,Consumer Discretionary,25
2000Q1,2000,Q1,9174.0,6127.0,3047.0,0.0,1993.0,2118.0,1054.0,929.0,939.0,578.0,17081.0,12341.0,Consumer Discretionary,25
2000Q2,2000,Q2,11112.0,7838.0,3274.0,0.0,2257.0,2257.0,1154.0,1017.0,1027.0,629.0,19792.0,13011.0,Consumer Discretionary,25
2000Q3,2000,Q3,12618.0,8879.0,3739.0,0.0,2350.0,2380.0,1507.0,1359.0,1369.0,838.0,20194.0,13886.0,Consumer Discretionary,25
2000Q4,2000,Q4,11545.0,8095.0,3450.0,0.0,2357.0,2396.0,1208.0,1054.0,1062.0,650.0,20726.0,14455.0,Consumer Discretionary,25
2001Q1,2001,Q1,10463.0,7245.0,3218.0,0.0,2459.0,2459.0,923.0,759.0,759.0,465.0,21385.0,15004.0,Consumer Discretionary,25
2001Q2,2001,Q2,12200.0,8545.0,3655.0,0.0,2628.0,2628.0,1204.0,1027.0,1030.0,632.0,24076.0,15646.0,Consumer Discretionary,25
2001Q3,2001,Q3,14576.0,10250.0,4326.0,0.0,2798.0,2830.0,1685.0,1496.0,1504.0,924.0,24678.0,16649.0,Consumer Discretionary,25
2001Q4,2001,Q4,13289.0,9279.0,4010.0,0.0,2725.0,2753.0,1455.0,1257.0,1267.0,778.0,25667.0,17360.0,Consumer Discretionary,25
2002Q1,2002,Q1,13488.0,9332.0,4156.0,0.0,3004.0,3004.0,1352.0,1152.0,1156.0,710.0,26394.0,18082.0,Consumer Discretionary,25
2002Q2,2002,Q2,14282.0,9922.0,4360.0,0.0,2998.0,2998.0,1571.0,1362.0,1372.0,856.0,30409.0,19074.0,Consumer Discretionary,25
2002Q3,2002,Q3,16277.0,11331.0,4946.0,0.0,3069.0,3069.0,2102.0,1877.0,1894.0,1182.0,31480.0,20244.0,Consumer Discretionary,25
2002Q4,2002,Q4,14475.0,9895.0,4580.0,0.0,3084.0,3084.0,1727.0,1496.0,1507.0,940.0,31347.0,20119.0,Consumer Discretionary,25
2003Q1,2003,Q1,13213.0,8991.0,4222.0,0.0,3127.0,3127.0,1333.0,1095.0,1099.0,686.0,30011.0,19802.0,Consumer Discretionary,25
2003Q2,2003,Q2,15104.0,10275.0,4829.0,0.0,3381.0,3381.0,1696.0,1448.0,1442.0,907.0,33747.0,20678.0,Consumer Discretionary,25
2003Q3,2003,Q3,17989.0,12384.0,5605.0,0.0,3539.0,3539.0,2323.0,2066.0,2065.0,1299.0,34612.0,21933.0,Consumer Discretionary,25
2003Q4,2003,Q4,16598.0,11405.0,5193.0,0.0,3370.0,3370.0,2104.0,1823.0,1823.0,1147.0,35374.0,22261.0,Consumer Discretionary,25
2004Q1,2004,Q1,15125.0,10172.0,4953.0,0.0,3444.0,3444.0,1799.0,1509.0,1513.0,951.0,34437.0,22407.0,Consumer Discretionary,25
2004Q2,2004,Q2,17550.0,11782.0,5768.0,0.0,3727.0,4022.0,2058.0,1746.0,1742.0,1098.0,37948.0,22422.0,Consumer Discretionary,25
2004Q3,2004,Q3,19960.0,13299.0,6661.0,0.0,3899.0,4204.0,2781.0,2457.0,2454.0,1545.0,38331.0,22450.0,Consumer Discretionary,25
2004Q4,2004,Q4,18772.0,12520.0,6252.0,0.0,4196.0,4196.0,2391.0,2056.0,2060.0,1317.0,39631.0,23747.0,Consumer Discretionary,25
2005Q1,2005,Q1,16812.0,11063.0,5749.0,0.0,4682.0,4082.0,2015.0,1667.0,1656.0,1041.0,38907.0,24158.0,Consumer Discretionary,25
2005Q2,2005,Q2,18973.0,12618.0,6355.0,0.0,4019.0,4356.0,2360.0,1999.0,1986.0,1247.0,41957.0,23821.0,Consumer Discretionary,25
2005Q3,2005,Q3,22305.0,14896.0,7409.0,0.0,4219.0,4566.0,3211.0,2843.0,2823.0,1768.0,42689.0,25139.0,Consumer Discretionary,25
2005Q4,2005,Q4,20744.0,13781.0,6963.0,0.0,4124.0,4490.0,2878.0,2473.0,2452.0,1538.0,44670.0,25792.0,Consumer Discretionary,25
2006Q1,2006,Q1,19489.0,12896.0,6593.0,0.0,4123.0,4545.0,2555.0,2048.0,2021.0,1285.0,44405.0,26909.0,Consumer Discretionary,25
2006Q2,2006,Q2,21461.0,14233.0,7228.0,0.0,4386.0,4806.0,2872.0,2422.0,2370.0,1484.0,52679.0,27799.0,Consumer Discretionary,25
2006Q3,2006,Q3,22592.0,15136.0,7456.0,0.0,4146.0,4541.0,3397.0,2915.0,2817.0,1862.0,51769.0,27225.0,Consumer Discretionary,25
2006Q4,2006,Q4,14704.0,11054.0,3650.0,0.0,4613.0,1723.0,2714.0,1927.0,1836.0,1490.0,52628.0,27758.0,Consumer Discretionary,25
2007Q1,2007,Q1,20265.0,13627.0,6638.0,0.0,4594.0,5036.0,2064.0,1602.0,1479.0,925.0,52263.0,25030.0,Consumer Discretionary,25
2007Q2,2007,Q2,18545.0,12282.0,6263.0,0.0,4807.0,4591.0,2157.0,1672.0,1512.0,1046.0,56081.0,25673.0,Consumer Discretionary,25
2007Q3,2007,Q3,22184.0,14843.0,7341.0,0.0,4370.0,4784.0,3035.0,2557.0,2412.0,1587.0,56864.0,27175.0,Consumer Discretionary,25
2007Q4,2007,Q4,18961.0,12622.0,6339.0,0.0,4144.0,4575.0,2226.0,1764.0,1639.0,1091.0,45506.0,17446.0,Consumer Discretionary,25
2008Q1,2008,Q1,17659.0,11605.0,6054.0,0.0,4353.0,4805.0,1730.0,1249.0,1057.0,671.0,44324.0,17714.0,Consumer Discretionary,25
2008Q2,2008,Q2,17907.0,11835.0,6072.0,0.0,4900.0,5344.0,1202.0,728.0,564.0,356.0,45596.0,17706.0,Consumer Discretionary,25
2008Q3,2008,Q3,20990.0,14026.0,6964.0,0.0,4470.0,4922.0,2524.0,2042.0,1885.0,1202.0,45099.0,18649.0,Consumer Discretionary,25
2008Q4,2008,Q4,17784.0,11790.0,5994.0,0.0,4225.0,4671.0,1799.0,1323.0,1172.0,756.0,44162.0,18396.0,Consumer Discretionary,25
2009Q1,2009,Q1,14607.0,9647.0,4960.0,0.0,4251.0,4694.0,591.0,266.0,-31.0,-54.0,41164.0,17777.0,Consumer Discretionary,25
2009Q2,2009,Q2,16175.0,10725.0,5450.0,0.0,4042.0,4470.0,1438.0,980.0,805.0,514.0,43767.0,17994.0,Consumer Discretionary,25
2009Q3,2009,Q3,19071.0,12683.0,6388.0,0.0,4121.0,4555.0,2273.0,1833.0,1672.0,1116.0,43998.0,19169.0,Consumer Discretionary,25
2009Q4,2009,Q4,16361.0,10800.0,5561.0,0.0,3870.0,4298.0,1695.0,1263.0,1099.0,689.0,43050.0,19380.0,Consumer Discretionary,25
2010Q1,2010,Q1,14569.0,9556.0,5013.0,0.0,3869.0,4286.0,1009.0,727.0,406.0,342.0,40877.0,19393.0,Consumer Discretionary,25
2010Q2,2010,Q2,16863.0,11069.0,5794.0,0.0,4078.0,4489.0,1669.0,1305.0,1116.0,725.0,43619.0,19371.0,Consumer Discretionary,25
2010Q3,2010,Q3,19410.0,12828.0,6582.0,0.0,4127.0,4533.0,2507.0,2049.0,1901.0,1192.0,42535.0,19445.0,Consumer Discretionary,25
2010Q4,2010,Q4,16598.0,10913.0,5685.0,0.0,3837.0,4237.0,1878.0,1448.0,1306.0,834.0,41741.0,19115.0,Consumer Discretionary,25
2011Q1,2011,Q1,15126.0,9883.0,5243.0,0.0,3807.0,4206.0,1467.0,1037.0,950.0,587.0,40125.0,18889.0,Consumer Discretionary,25
2011Q2,2011,Q2,16823.0,10995.0,5828.0,0.0,4009.0,4406.0,1848.0,1422.0,1283.0,812.0,42797.0,18198.0,Consumer Discretionary,25
2011Q3,2011,Q3,20232.0,13356.0,6876.0,0.0,4186.0,4582.0,2722.0,2294.0,2148.0,1363.0,42277.0,18233.0,Consumer Discretionary,25
2011Q4,2011,Q4,17326.0,11365.0,5961.0,0.0,3956.0,4346.0,2035.0,1615.0,1457.0,934.0,41499.0,17769.0,Consumer Discretionary,25
2012Q1,2012,Q1,16014.0,10417.0,5597.0,0.0,3877.0,4267.0,1751.0,1330.0,1180.0,774.0,40518.0,17898.0,Consumer Discretionary,25
2012Q2,2012,Q2,17808.0,11625.0,6183.0,0.0,4086.0,4469.0,2196.0,1714.0,1630.0,1035.0,43300.0,17975.0,Consumer Discretionary,25
2012Q3,2012,Q3,20570.0,13544.0,7026.0,0.0,4066.0,4457.0,2996.0,2569.0,2418.0,1532.0,41983.0,17634.0,Consumer Discretionary,25
2012Q4,2012,Q4,18130.0,11863.0,6267.0,0.0,4139.0,4534.0,2162.0,1733.0,1583.0,947.0,41661.0,17738.0,Consumer Discretionary,25
