Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1892.2,1428.6,463.6,0.0,154.5,362.3,319.4,101.3,112.2,25.2,8196.6,3146.8,Energy,10
1995Q2,1995,Q2,1773.3,1345.1,428.2,0.0,158.8,361.0,278.8,67.2,8.9,-40.2,8146.8,3086.8,Energy,10
1995Q3,1995,Q3,1641.9,1283.3,358.6,0.0,170.6,378.5,198.7,-19.9,-68.2,-104.6,8252.9,2968.3,Energy,10
1995Q4,1995,Q4,1994.9,1461.4,533.5,0.0,159.9,435.1,373.6,98.4,-405.5,-274.8,7756.4,2660.4,Energy,10
1996Q1,1996,Q1,2214.5,1706.6,507.9,0.0,150.1,351.6,357.8,156.3,121.5,66.0,7731.3,2700.1,Energy,10
1996Q2,1996,Q2,2094.8,1659.0,435.8,0.0,151.6,335.2,284.2,100.6,507.7,376.4,7036.8,3111.4,Energy,10
1996Q3,1996,Q3,1746.6,1349.0,397.6,0.0,149.8,316.5,247.8,81.1,170.7,97.8,7304.8,3202.6,Energy,10
1996Q4,1996,Q4,2216.2,1634.0,582.2,0.0,166.9,398.3,415.3,183.9,213.9,119.8,7784.5,3383.6,Energy,10
1997Q1,1997,Q1,2396.8,1921.1,475.7,0.0,149.1,346.6,326.6,129.1,114.8,4.6,7378.9,3319.0,Energy,10
1997Q2,1997,Q2,1834.0,1439.7,394.3,0.0,158.8,329.1,270.7,65.2,76.2,41.7,7347.8,3306.0,Energy,10
1997Q3,1997,Q3,1884.6,1489.2,395.4,0.0,168.2,341.4,245.6,54.0,37.0,22.7,7637.9,3289.9,Energy,10
1997Q4,1997,Q4,2118.3,1824.2,294.1,0.0,173.8,305.5,120.3,-11.4,-101.3,-61.4,7934.6,3215.7,Energy,10
1998Q1,1998,Q1,1825.8,1515.9,309.9,0.0,178.5,340.3,133.7,-30.4,32.9,-12.6,7676.4,3199.1,Energy,10
1998Q2,1998,Q2,1617.3,1291.0,326.3,0.0,180.8,340.8,148.0,-14.5,-20.8,-21.7,7777.9,3131.5,Energy,10
1998Q3,1998,Q3,1530.9,1192.9,338.0,0.0,164.6,323.0,153.6,15.0,-6.8,-6.3,8645.2,3106.6,Energy,10
1998Q4,1998,Q4,1616.0,1362.2,253.8,0.0,229.3,406.1,24.5,-152.3,-519.3,-418.3,7883.0,2643.4,Energy,10
1999Q1,1999,Q1,1538.7,1234.2,304.5,0.0,144.0,282.3,160.5,22.2,94.4,70.6,7974.3,2693.6,Energy,10
1999Q2,1999,Q2,1430.0,1096.0,334.0,0.0,149.7,285.9,184.7,48.1,109.9,77.5,8205.8,2768.5,Energy,10
1999Q3,1999,Q3,1801.7,1278.0,523.7,0.0,178.1,337.6,345.6,186.1,320.0,158.5,7939.0,2926.8,Energy,10
1999Q4,1999,Q4,2268.8,1597.7,671.1,0.0,147.0,361.7,524.1,309.4,177.5,131.1,7727.7,3038.2,Energy,10
2000Q1,2000,Q1,2831.0,2127.0,704.0,0.0,157.0,331.0,547.0,373.0,374.0,224.0,8034.0,3250.0,Energy,10
2000Q2,2000,Q2,2644.0,1987.0,657.0,0.0,173.0,340.0,484.0,317.0,348.0,202.0,8880.0,3408.0,Energy,10
2000Q3,2000,Q3,2833.0,2032.0,801.0,0.0,207.0,383.0,594.0,418.0,430.0,257.0,9069.0,3543.0,Energy,10
2000Q4,2000,Q4,3685.0,2816.0,869.0,0.0,229.0,427.0,640.0,442.0,520.0,340.0,10274.0,3883.0,Energy,10
2001Q1,2001,Q1,4229.0,3226.0,1003.0,0.0,218.0,399.0,785.0,604.0,564.0,337.0,10246.0,4286.0,Energy,10
2001Q2,2001,Q2,3565.0,2536.0,1029.0,0.0,210.0,439.0,819.0,590.0,549.0,357.0,10864.0,4621.0,Energy,10
2001Q3,2001,Q3,2934.0,2173.0,761.0,0.0,232.0,486.0,529.0,275.0,224.0,167.0,15291.0,4820.0,Energy,10
2001Q4,2001,Q4,2685.0,1513.0,1172.0,0.0,315.0,1210.0,465.0,-38.0,100.0,54.0,15369.0,4907.0,Energy,10
