Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,15735.0,9071.0,6664.0,913.0,3633.0,4546.0,3568.0,2118.0,2184.0,1289.0,80880.0,24086.0,Information Technology,45
1995Q2,1995,Q2,17531.0,9900.0,7631.0,974.0,3883.0,4857.0,4076.0,2774.0,2824.0,1716.0,81601.0,24846.0,Information Technology,45
1995Q3,1995,Q3,16754.0,9833.0,6921.0,1035.0,3858.0,4893.0,3348.0,2028.0,237.0,-538.0,77502.0,21664.0,Information Technology,45
1995Q4,1995,Q4,21920.0,12769.0,9151.0,3088.0,5392.0,8480.0,3148.0,671.0,2568.0,1711.0,80292.0,22423.0,Information Technology,45
1996Q1,1996,Q1,16559.0,9790.0,6769.0,1091.0,3697.0,4788.0,3195.0,1981.0,1547.0,774.0,77766.0,21820.0,Information Technology,45
1996Q2,1996,Q2,18183.0,10992.0,7191.0,1116.0,3889.0,5005.0,3484.0,2186.0,2174.0,1347.0,77474.0,21528.0,Information Technology,45
1996Q3,1996,Q3,18062.0,10804.0,7258.0,1115.0,4175.0,5290.0,3164.0,1968.0,1979.0,1285.0,77996.0,21368.0,Information Technology,45
1996Q4,1996,Q4,21519.0,12198.0,9321.0,1767.0,5093.0,6860.0,4472.0,2461.0,2887.0,2023.0,81132.0,21628.0,Information Technology,45
1997Q1,1997,Q1,17308.0,10716.0,6592.0,1069.0,3684.0,4753.0,3035.0,1839.0,1852.0,1195.0,76527.0,19951.0,Information Technology,45
1997Q2,1997,Q2,18872.0,11471.0,7401.0,1221.0,3958.0,5179.0,3435.0,2222.0,2180.0,1446.0,78819.0,20109.0,Information Technology,45
1997Q3,1997,Q3,18605.0,11507.0,7098.0,1162.0,3932.0,5094.0,3181.0,2004.0,1983.0,1359.0,78293.0,19756.0,Information Technology,45
1997Q4,1997,Q4,23723.0,14205.0,9518.0,1425.0,5060.0,6485.0,5105.0,3033.0,3012.0,2093.0,81499.0,19816.0,Information Technology,45
1998Q1,1998,Q1,17618.0,11168.0,6450.0,1179.0,3719.0,4898.0,2775.0,1552.0,1523.0,1036.0,77944.0,18865.0,Information Technology,45
1998Q2,1998,Q2,18823.0,11677.0,7146.0,1220.0,3812.0,5032.0,3228.0,2114.0,2083.0,1452.0,77112.0,18577.0,Information Technology,45
