Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,373.6,181.1,192.5,0.0,75.7,85.4,116.8,107.1,111.1,70.0,1519.6,1095.3,Materials,15
1995Q2,1995,Q2,394.3,187.2,207.1,0.0,78.3,89.0,128.8,118.1,120.0,75.7,1535.2,1119.2,Materials,15
1995Q3,1995,Q3,360.1,176.0,184.1,0.0,75.4,86.1,108.7,98.0,99.6,63.3,1517.1,1120.4,Materials,15
1995Q4,1995,Q4,311.5,162.0,149.5,0.0,79.1,88.7,70.4,60.8,62.9,39.8,1534.3,1116.6,Materials,15
1996Q1,1996,Q1,382.8,192.4,190.4,0.0,78.2,89.9,112.2,100.5,104.3,66.2,1545.0,1131.3,Materials,15
1996Q2,1996,Q2,374.4,190.4,184.0,0.0,78.5,89.9,105.5,94.1,46.4,29.7,1547.7,1113.3,Materials,15
1996Q3,1996,Q3,354.9,182.2,172.7,0.0,79.1,90.7,93.6,82.0,83.6,53.1,1534.1,1101.6,Materials,15
1996Q4,1996,Q4,324.1,166.1,158.0,0.0,81.1,94.2,76.9,63.8,64.8,40.9,1506.9,1076.5,Materials,15
1997Q1,1997,Q1,382.8,195.0,187.8,23.6,56.3,92.2,107.9,95.6,99.1,63.2,1463.8,1029.6,Materials,15
1997Q2,1997,Q2,381.5,191.6,189.9,23.5,57.0,93.0,109.4,96.9,98.8,63.3,1478.8,1030.1,Materials,15
1997Q3,1997,Q3,356.2,179.3,176.9,23.1,54.9,90.7,98.9,86.2,87.9,56.7,1473.4,1033.2,Materials,15
1997Q4,1997,Q4,306.3,157.1,149.2,24.3,58.9,96.0,66.0,53.2,54.3,34.9,1422.3,1000.5,Materials,15
1998Q1,1998,Q1,373.4,186.2,187.2,23.9,57.4,93.3,105.9,93.9,96.8,62.6,1381.2,953.1,Materials,15
1998Q2,1998,Q2,365.3,183.3,182.0,24.4,60.5,96.9,97.1,85.1,86.1,55.9,1384.6,947.8,Materials,15
1998Q3,1998,Q3,349.8,180.9,168.9,24.7,58.3,95.3,85.9,73.6,74.7,50.2,1417.1,958.0,Materials,15
1998Q4,1998,Q4,318.8,164.1,154.7,25.4,62.6,100.7,66.7,54.0,53.4,35.0,1388.1,945.1,Materials,15
1999Q1,1999,Q1,367.8,193.8,174.0,25.9,63.6,102.2,84.465,71.8,73.4,48.8,1376.0,923.2,Materials,15
1999Q2,1999,Q2,371.1,192.4,178.7,25.9,64.2,102.9,90.106,75.8,41.1,27.4,1385.0,895.4,Materials,15
1999Q3,1999,Q3,364.7,185.1,179.6,25.1,61.8,101.2,92.7,78.4,74.0,49.2,1437.8,923.7,Materials,15
1999Q4,1999,Q4,336.0,164.1,171.9,26.8,73.0,116.4,72.1,55.5,55.1,36.6,1401.5,858.5,Materials,15
2000Q1,2000,Q1,369.912,186.585,183.327,26.812,65.341,106.653,91.174,76.674,65.512,43.776,1357.349,790.041,Materials,15
2000Q2,2000,Q2,368.759,199.292,169.467,26.945,66.024,92.969,91.692,76.498,73.221,48.916,1384.587,734.284,Materials,15
2000Q3,2000,Q3,339.591,172.437,167.154,28.666,66.205,109.909,72.283,57.245,42.751,28.927,1366.938,645.598,Materials,15
2000Q4,2000,Q4,384.533,219.189,165.344,30.248,61.083,115.943,74.013,49.401,2.643,1.386,2489.033,631.259,Materials,15
2001Q1,2001,Q1,483.661,284.139,199.522,35.406,85.845,132.606,96.329,66.916,32.436,20.272,2406.963,532.883,Materials,15
2001Q2,2001,Q2,478.216,269.506,208.71,35.502,81.001,127.903,113.724,80.807,53.387,33.005,2385.306,538.609,Materials,15
2001Q3,2001,Q3,462.719,268.631,194.088,31.596,72.545,115.632,109.309,78.456,54.906,33.555,2374.634,540.673,Materials,15
2001Q4,2001,Q4,419.17,241.157,178.013,32.744,73.944,118.531,89.792,59.482,47.048,29.17,2268.051,524.17,Materials,15
2002Q1,2002,Q1,445.844,259.864,185.98,35.17,75.386,113.714,92.74,72.266,63.804,41.947,2239.348,537.649,Materials,15
2002Q2,2002,Q2,476.336,272.612,203.724,35.022,78.921,117.101,108.547,86.623,68.894,45.401,2285.704,579.515,Materials,15
2002Q3,2002,Q3,462.777,261.075,201.702,37.664,75.142,115.964,106.731,85.738,74.857,49.599,2225.52,575.388,Materials,15
2002Q4,2002,Q4,424.292,242.284,182.008,36.171,75.707,115.036,88.039,66.972,58.862,38.996,2232.694,574.678,Materials,15
2003Q1,2003,Q1,466.224,270.447,195.777,38.962,76.115,118.235,98.945,77.542,46.514,32.017,2290.722,588.396,Materials,15
2003Q2,2003,Q2,482.611,275.235,207.376,38.897,72.888,114.943,114.048,92.433,75.39,51.398,2321.043,653.224,Materials,15
2003Q3,2003,Q3,480.886,278.191,202.695,39.184,75.638,117.98,106.122,80.799,74.713,51.071,2300.429,669.045,Materials,15
2003Q4,2003,Q4,471.799,268.583,203.216,42.243,84.31,129.711,95.801,62.104,55.243,38.111,2306.892,742.631,Materials,15
2004Q1,2004,Q1,535.015,306.786,228.229,44.648,89.726,138.073,113.14,90.156,82.274,56.358,2342.026,784.029,Materials,15
2004Q2,2004,Q2,524.177,295.716,228.461,44.342,83.184,131.235,120.324,89.51,82.091,56.502,2343.002,810.027,Materials,15
2004Q3,2004,Q3,506.229,289.052,217.177,43.124,83.694,130.527,108.956,66.7,60.335,42.305,2305.432,842.084,Materials,15
2004Q4,2004,Q4,468.232,268.681,199.551,43.059,84.702,131.474,90.685,63.913,56.302,40.906,2363.294,910.487,Materials,15
2005Q1,2005,Q1,523.052,308.397,214.655,44.753,84.744,133.265,104.279,81.39,76.37,52.543,2373.345,902.508,Materials,15
2005Q2,2005,Q2,515.578,299.065,216.513,44.38,82.866,131.013,109.04,85.5,81.996,56.713,2367.008,888.565,Materials,15
2005Q3,2005,Q3,493.118,286.712,206.406,44.651,86.022,134.441,95.082,71.965,66.253,68.572,2415.153,928.551,Materials,15
2005Q4,2005,Q4,461.645,274.818,186.827,46.028,85.691,135.487,73.722,28.021,21.569,15.238,2638.196,915.347,Materials,15
2006Q1,2006,Q1,511.432,294.818,216.614,45.602,85.588,134.9,103.975,81.053,75.241,53.69,2586.947,890.241,Materials,15
2006Q2,2006,Q2,530.505,302.889,227.616,45.588,87.684,136.983,112.974,90.937,84.923,61.182,2452.58,945.998,Materials,15
2006Q3,2006,Q3,539.135,310.149,228.986,46.471,88.092,138.276,113.018,90.394,90.702,63.646,2581.954,959.112,Materials,15
2006Q4,2006,Q4,514.318,303.403,210.915,48.031,90.559,142.299,91.439,66.609,62.416,47.982,2478.904,905.168,Materials,15
2007Q1,2007,Q1,566.101,329.382,236.719,46.632,91.271,141.459,116.399,95.26,87.113,62.689,2497.393,939.584,Materials,15
2007Q2,2007,Q2,573.726,327.668,246.058,48.76,91.198,143.513,123.693,102.545,96.968,78.372,2546.988,994.656,Materials,15
2007Q3,2007,Q3,583.313,339.175,244.138,49.733,94.464,147.752,116.924,96.386,80.608,58.844,2533.659,547.707,Materials,15
2007Q4,2007,Q4,553.498,328.199,225.299,53.898,98.354,154.464,90.798,70.835,63.995,47.223,2726.788,617.197,Materials,15
2008Q1,2008,Q1,596.605,351.123,245.482,52.056,90.149,143.743,112.704,95.517,74.991,55.948,2740.855,583.151,Materials,15
2008Q2,2008,Q2,636.126,372.345,263.781,56.166,104.662,162.367,120.077,101.669,87.241,67.032,2818.778,642.985,Materials,15
2008Q3,2008,Q3,617.538,370.799,246.739,52.129,92.465,146.131,121.1,100.608,79.566,57.684,2775.734,724.032,Materials,15
2008Q4,2008,Q4,539.103,324.465,214.638,52.344,94.564,148.446,66.747,66.192,38.729,48.969,2749.913,573.111,Materials,15
2009Q1,2009,Q1,559.63,337.43,222.2,50.189,89.424,141.151,101.642,81.049,62.43,47.197,2619.632,637.712,Materials,15
2009Q2,2009,Q2,568.261,340.164,228.097,48.761,93.012,143.312,101.593,84.785,65.065,48.083,2775.538,712.593,Materials,15
2009Q3,2009,Q3,612.634,363.665,248.969,52.272,97.947,151.756,107.598,97.213,73.234,52.8,2790.761,755.878,Materials,15
2009Q4,2009,Q4,585.633,349.774,235.859,42.621,96.157,140.316,110.759,95.543,75.821,47.448,2644.774,769.003,Materials,15
2010Q1,2010,Q1,653.909,383.702,270.207,52.631,106.471,160.64,121.849,109.567,89.081,63.789,2678.226,813.306,Materials,15
2010Q2,2010,Q2,665.8,380.799,285.001,55.844,119.523,175.367,125.873,109.634,93.633,67.152,2726.882,844.77,Materials,15
2010Q3,2010,Q3,673.283,388.235,285.048,53.214,108.955,162.169,138.343,122.879,106.183,77.038,2864.307,947.154,Materials,15
2010Q4,2010,Q4,629.869,377.523,252.346,57.084,110.905,167.989,22.237,84.357,70.696,55.577,2872.455,999.422,Materials,15
2011Q1,2011,Q1,714.271,416.811,297.46,57.456,106.619,164.075,145.263,133.385,115.621,84.043,2946.546,1098.562,Materials,15
2011Q2,2011,Q2,715.589,431.166,284.423,56.229,106.224,162.453,136.324,121.97,104.921,76.188,3008.601,1184.615,Materials,15
2011Q3,2011,Q3,713.775,435.4,278.375,53.637,96.783,150.42,141.643,127.955,112.474,82.241,2953.529,1195.375,Materials,15
2011Q4,2011,Q4,644.383,399.985,244.398,52.459,134.348,186.807,-5.045,57.591,40.53,24.394,2965.581,1104.412,Materials,15
2012Q1,2012,Q1,710.616,425.217,285.399,57.408,105.416,162.824,140.192,122.575,110.342,81.056,3013.398,1197.499,Materials,15
2012Q2,2012,Q2,721.317,419.774,301.543,56.4,112.835,169.235,151.208,132.308,122.54,88.596,3025.307,1223.28,Materials,15
2012Q3,2012,Q3,708.955,407.431,301.524,57.658,109.691,167.349,150.989,134.175,121.844,16.363,3059.905,1250.81,Materials,15
2012Q4,2012,Q4,680.558,393.49,287.068,62.245,125.594,187.839,119.447,99.229,88.69,68.119,3249.6,1252.555,Materials,15
2013Q1,2013,Q1,727.836,416.476,311.36,59.101,114.653,173.754,158.08,137.606,127.523,90.697,3200.549,1306.606,Materials,15
2013Q2,2013,Q2,757.635,423.649,333.986,64.672,124.813,189.485,174.007,144.501,140.745,102.322,3308.921,1369.686,Materials,15
2013Q3,2013,Q3,742.256,416.852,325.404,65.654,118.221,183.875,166.886,141.529,133.984,99.046,3324.511,1435.957,Materials,15
2013Q4,2013,Q4,725.169,411.714,313.455,70.409,148.19,218.599,33.004,94.855,82.958,61.479,3331.731,1467.051,Materials,15
2014Q1,2014,Q1,770.224,428.812,341.412,61.504,123.733,185.237,177.44,156.175,142.933,106.707,3321.353,1516.516,Materials,15
2014Q2,2014,Q2,788.414,435.767,352.647,66.431,132.919,199.35,184.057,153.297,146.353,110.285,3400.533,1598.298,Materials,15
2014Q3,2014,Q3,773.813,433.702,340.111,63.701,123.212,186.913,172.7,153.198,142.185,107.415,3476.509,1639.519,Materials,15
2014Q4,2014,Q4,756.082,428.102,327.98,62.005,135.027,197.032,150.284,130.948,117.589,90.135,3494.621,1522.689,Materials,15
2015Q1,2015,Q1,774.907,428.63,346.277,63.462,120.835,184.297,187.488,161.793,156.408,128.258,3507.172,1567.317,Materials,15
2015Q2,2015,Q2,767.541,422.501,345.04,62.514,134.063,196.577,169.441,148.821,136.978,105.374,3653.628,1623.0,Materials,15
2015Q3,2015,Q3,765.092,417.966,347.126,62.75,127.663,190.413,178.812,156.713,142.899,106.447,3911.685,1591.872,Materials,15
2015Q4,2015,Q4,715.649,402.493,313.156,57.376,137.527,194.903,139.018,110.489,92.285,71.585,3713.864,1588.71,Materials,15
2016Q1,2016,Q1,783.312,423.103,360.209,63.385,123.543,192.989,194.071,167.22,154.896,118.603,4162.46,1630.364,Materials,15
2016Q2,2016,Q2,793.478,427.837,365.641,63.252,132.784,201.166,190.156,164.475,152.05,116.733,4154.628,1673.872,Materials,15
2016Q3,2016,Q3,777.001,434.665,342.336,64.415,126.26,190.675,151.696,151.661,113.39,89.577,4097.129,1693.776,Materials,15
2016Q4,2016,Q4,762.56,435.232,327.328,63.211,131.714,194.925,132.077,132.402999,103.381,79.717,4016.984,1626.244,Materials,15
2017Q1,2017,Q1,828.293,470.596,357.697,69.711,125.0,200.061,177.908,157.636,138.487,115.464,4252.259,1626.077,Materials,15
2017Q2,2017,Q2,842.861,478.984,363.877,72.761,138.3,211.08,188.413,152.797,142.04,109.595,4618.875,1674.358,Materials,15
2017Q3,2017,Q3,872.94,502.136,370.804,73.762,145.652,219.414,189.972,151.39,141.326,110.061,4520.438,1757.313,Materials,15
2017Q4,2017,Q4,854.625,499.153,355.472,76.82,132.669,209.489,163.276,145.983,115.192,-40.355,4598.926,1684.202,Materials,15
2018Q1,2018,Q1,930.928,528.578999,402.349,78.476,142.13,220.606,208.6,181.743,158.837,129.116,4681.276,1773.15,Materials,15
2018Q2,2018,Q2,920.016,527.157,392.859,74.767,157.403,232.17,181.595,160.689,121.918,98.949,4673.442,1749.855,Materials,15
2018Q3,2018,Q3,907.548,511.735,395.813,75.302,143.455,218.757,180.715,177.056,100.702,95.616,9615.542,4031.814,Materials,15
2018Q4,2018,Q4,1219.047,762.041,457.006,83.038,202.91,285.948,9.109,171.058,66.3,9.773,12889.395,6032.951,Materials,15
2019Q1,2019,Q1,1297.402,810.545,486.857,90.596,211.482,302.078,252.707,184.779,134.576,109.099,13211.42,6143.211,Materials,15
2019Q2,2019,Q2,1291.568,797.68,493.888,84.816,197.7,282.516,274.897,211.372,169.481,135.664,13348.082,6199.379,Materials,15
2019Q3,2019,Q3,1267.345,786.099,481.246,85.077,196.529,281.606,270.762,199.64,156.866,128.66,12984.724,6055.819,Materials,15
2019Q4,2019,Q4,1283.769,832.055,451.714,85.637,194.976,280.613,219.774,171.101,96.527,79.352,13287.411,6217.304,Materials,15
2020Q1,2020,Q1,1347.317,833.571,513.746,85.909,210.143,296.052,266.027,217.694,153.508,130.213,12689.076,5827.85,Materials,15
2020Q2,2020,Q2,1198.773,766.674,432.099,80.948,194.49,275.438,214.562,156.661,103.065,84.398,12989.13,5987.805,Materials,15
2020Q3,2020,Q3,1268.076,792.491,475.585,89.968,193.627,283.595,223.461,191.99,105.5,85.592,13085.374,6078.207,Materials,15
2020Q4,2020,Q4,1270.073,804.806,465.267,100.038,210.418,310.456,193.624,154.811,79.298,63.928,13555.671,6311.153,Materials,15
2021Q1,2021,Q1,2465.0,1865.0,600.0,143.0,324.0,467.0,253.0,133.0,-54.0,-43.0,40817.0,21642.0,Materials,15
2021Q2,2021,Q2,3089.0,2381.0,708.0,164.0,392.0,556.0,443.0,152.0,44.0,29.0,40864.0,21761.0,Materials,15
2021Q3,2021,Q3,3071.0,2177.0,894.0,156.0,412.0,568.0,621.0,326.0,250.0,193.0,40252.0,21426.0,Materials,15
2021Q4,2021,Q4,3031.0,2231.0,800.0,166.0,403.0,569.0,482.0,231.0,114.0,89.0,39658.0,21082.0,Materials,15
2022Q1,2022,Q1,3226.0,2267.0,959.0,157.0,440.0,597.0,660.0,362.0,285.0,244.0,39747.0,20933.0,Materials,15
2022Q2,2022,Q2,3307.0,2355.0,952.0,158.0,426.0,584.0,508.0,368.0,130.0,109.0,39304.0,20260.0,Materials,15
2022Q3,2022,Q3,3063.0,2244.0,819.0,145.0,388.0,533.0,-1659.0,286.0,-2035.0,-2196.0,34537.0,16887.0,Materials,15
2022Q4,2022,Q4,2844.0,2150.0,694.0,143.0,399.0,542.0,381.0,152.0,-5.0,-25.0,35522.0,17655.0,Materials,15
2023Q1,2023,Q1,3027.0,2234.0,793.0,161.0,433.0,594.0,401.0,199.0,14.0,-9.0,35470.0,17758.0,Materials,15
2023Q2,2023,Q2,2929.0,2170.0,759.0,161.0,400.0,561.0,453.0,198.0,50.0,27.0,34459.0,17623.0,Materials,15
2023Q3,2023,Q3,2820.0,2064.0,756.0,157.0,383.0,540.0,461.0,216.0,59.0,25.0,33395.0,16978.0,Materials,15
2023Q4,2023,Q4,2703.0,2010.0,693.0,157.0,367.0,524.0,-2311.0,169.0,-2641.0,-2607.0,30978.0,14611.0,Materials,15
2024Q1,2024,Q1,2899.0,2043.0,856.0,166.0,432.0,598.0,476.0,258.0,115.0,60.0,30642.0,14291.0,Materials,15
2024Q2,2024,Q2,2889.0,1974.0,915.0,173.0,403.0,576.0,508.0,339.0,183.0,170.0,29543.0,14254.0,Materials,15
2024Q3,2024,Q3,2925.0,2019.0,906.0,162.0,424.0,586.0,417.0,320.0,95.0,59.0,29928.0,14775.0,Materials,15
2024Q4,2024,Q4,2771.0,1937.0,834.0,170.0,439.0,609.0,241.0,225.0,-115.0,-46.0,28667.0,13876.0,Materials,15
2025Q1,2025,Q1,2843.0,1951.0,892.0,164.0,391.0,555.0,-687.0,337.0,-994.0,-1018.0,28265.0,13177.0,Materials,15
2025Q2,2025,Q2,2764.0,1879.0,885.0,182.0,447.0,629.0,837.0,256.0,534.0,612.0,26121.0,14404.0,Materials,15
