Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,3557.0,1609.0,1948.0,294.0,387.0,681.0,1577.0,1267.0,1416.0,889.0,14910.0,10007.0,Information Technology,45
1995Q2,1995,Q2,3894.0,1805.0,2089.0,316.0,447.0,763.0,1647.0,1326.0,1399.0,879.0,15473.0,10667.0,Information Technology,45
1995Q3,1995,Q3,4171.0,2008.0,2163.0,334.0,440.0,774.0,1752.0,1389.0,1483.0,931.0,17002.0,11126.0,Information Technology,45
1995Q4,1995,Q4,4580.0,2389.0,2191.0,352.0,569.0,921.0,1655.0,1270.0,1340.0,867.0,17504.0,12140.0,Information Technology,45
1996Q1,1996,Q1,4644.0,2421.0,2223.0,401.0,517.0,918.0,1716.0,1305.0,1376.0,894.0,18219.0,12901.0,Information Technology,45
1996Q2,1996,Q2,4621.0,2150.0,2471.0,438.0,518.0,956.0,1977.0,1515.0,1601.0,1041.0,19300.0,13884.0,Information Technology,45
1996Q3,1996,Q3,5142.0,2201.0,2941.0,449.0,565.0,1014.0,2423.0,1927.0,2018.0,1312.0,21072.0,14964.0,Information Technology,45
1996Q4,1996,Q4,6440.0,2392.0,4048.0,520.0,722.0,1242.0,3325.0,2806.0,2939.0,1910.0,23735.0,16872.0,Information Technology,45
1997Q1,1997,Q1,6448.0,2307.0,4141.0,581.0,693.0,1274.0,3388.0,2867.0,3075.0,1983.0,25102.0,17108.0,Information Technology,45
1997Q2,1997,Q2,5960.0,2343.0,3617.0,575.0,704.0,1279.0,2867.0,2338.0,2550.0,1645.0,25147.0,17406.0,Information Technology,45
1997Q3,1997,Q3,6155.0,2604.0,3551.0,586.0,676.0,1262.0,2848.0,2289.0,2440.0,1574.0,27201.0,19946.0,Information Technology,45
1997Q4,1997,Q4,6507.0,2691.0,3816.0,605.0,818.0,1423.0,2976.0,2393.0,2594.0,1743.0,28880.0,19295.0,Information Technology,45
