Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,460.4,400.4,60.0,0.0,0.0,25.2,60.0,34.8,26.8,15.2,3609.3,695.0,Communication Services,50
1995Q2,1995,Q2,557.2,414.2,143.0,0.0,0.0,21.4,143.0,121.6,111.2,63.8,3905.6,713.6,Communication Services,50
1995Q3,1995,Q3,492.5,421.5,71.0,0.0,0.0,23.4,71.0,47.6,38.2,22.2,3785.3,722.4,Communication Services,50
1995Q4,1995,Q4,669.6,-177.3,846.9,0.0,0.0,758.8,109.3,88.1,76.5,28.7,4259.8,749.7,Communication Services,50
1996Q1,1996,Q1,506.2,442.6,63.6,0.0,0.0,23.5,63.6,40.1,30.9,17.8,3982.9,727.7,Communication Services,50
1996Q2,1996,Q2,675.3,496.2,179.1,0.0,0.0,25.4,179.1,153.7,144.1,82.9,4510.7,811.1,Communication Services,50
1996Q3,1996,Q3,567.7,481.4,86.3,0.0,0.0,27.6,86.3,58.7,48.0,27.5,4276.2,810.7,Communication Services,50
1996Q4,1996,Q4,788.3,-179.5,967.8,0.0,0.0,822.4,172.4,145.4,132.1,77.0,4765.1,872.0,Communication Services,50
1997Q1,1997,Q1,583.4,519.0,64.4,0.0,0.0,29.0,64.4,35.4,38.8,22.0,4711.8,835.4,Communication Services,50
1997Q2,1997,Q2,788.6,603.1,185.5,0.0,0.0,31.0,185.5,154.5,159.6,89.8,5204.1,910.4,Communication Services,50
1997Q3,1997,Q3,723.5,629.1,81.8,0.0,0.0,31.4,83.7,50.4,57.2,35.3,5081.7,911.6,Communication Services,50
1997Q4,1997,Q4,992.8,-183.1,1175.9,0.0,0.0,990.3,225.6,185.6,163.0,92.0,5702.5,1107.2,Communication Services,50
1998Q1,1998,Q1,719.4,712.9,104.1,0.0,0.0,40.1,104.1,64.0,63.2,27.6,5511.0,1152.2,Communication Services,50
1998Q2,1998,Q2,943.2,766.1,237.0,0.0,0.0,41.5,237.5,195.5,205.2,116.4,6346.0,1199.2,Communication Services,50
1998Q3,1998,Q3,837.4,762.5,124.0,0.0,0.0,42.4,124.0,81.6,85.6,45.2,6204.7,1232.5,Communication Services,50
1998Q4,1998,Q4,1302.6,-2270.7,3573.3,0.0,0.0,3405.9,226.2,167.4,193.7,112.5,6942.8,1265.1,Communication Services,50
1999Q1,1999,Q1,908.1,785.1,123.0,0.0,0.0,45.0,123.0,78.0,78.4,44.8,6906.5,1248.5,Communication Services,50
1999Q2,1999,Q2,1096.6,-60.496,1291.609,0.0,0.0,1039.966,312.139,251.643,253.996,139.4,7689.3,1344.0,Communication Services,50
1999Q3,1999,Q3,1021.4,-47.5,1198.906,0.0,0.0,1067.993,188.421,130.913,119.78,59.0,7657.7,1376.5,Communication Services,50
1999Q4,1999,Q4,1401.2,-2690.6,4091.8,0.0,0.0,3898.4,265.9,193.4,134.8,78.7,8727.3,1628.1,Communication Services,50
2000Q1,2000,Q1,1089.638,-35.639,1261.004,0.0,982.492,1179.558,147.459,81.446,78.043,36.345,8400.145,1544.238,Communication Services,50
2000Q2,2000,Q2,1418.192,-71.22,1489.412,0.0,1124.685,1195.905,364.727,293.507,241.904,136.839,9770.597,1880.215,Communication Services,50
2000Q3,2000,Q3,1320.439,-82.224,1402.663,0.0,1154.277,1624.924,358.739,191.5,172.9,61.86,9566.629,1867.264,Communication Services,50
2000Q4,2000,Q4,1689.003,27.122,1661.881,0.0,1314.137,1399.493,347.744,262.388,207.182,122.664,10238.222,2046.356,Communication Services,50
2001Q1,2001,Q1,1302.199,0.0,1674.8,0.0,1137.47,1526.4,258.8,148.4,-28.1,-38.357,9746.738,1972.725,Communication Services,50
2001Q2,2001,Q2,1743.415,0.0,1759.8,0.0,1456.24,1793.5,130.3,-33.7,-63.1,-110.158,11790.844,2312.249,Communication Services,50
2001Q3,2001,Q3,1605.7,0.0,1622.0,0.0,1459.0,2198.6,129.4,-576.6,-664.1,-477.5,11328.1,1863.5,Communication Services,50
2001Q4,2001,Q4,1715.9,0.0,1715.9,0.0,1469.7,1515.9,338.2,200.0,172.8,81.8,11375.3,1840.1,Communication Services,50
2002Q1,2002,Q1,1420.0,0.0,1420.0,0.0,1288.6,1291.4,198.5,128.6,100.5,59.8,10893.9,1894.5,Communication Services,50
2002Q2,2002,Q2,1612.7,0.0,1612.7,0.0,1381.5,1383.8,300.9,228.9,190.7,111.3,11700.6,2191.6,Communication Services,50
2002Q3,2002,Q3,1502.2,0.0,1386.8,0.0,1435.8,1465.1,1.4,-78.3,-119.4,-89.6,11277.4,2046.6,Communication Services,50
2002Q4,2002,Q4,1668.7,0.0,1668.7,0.0,1537.5,1549.4,197.3,119.3,-63.5,20.3,11793.7,2100.0,Communication Services,50
2003Q1,2003,Q1,1433.0,0.0,1433.0,0.0,1392.6,1407.9,94.9,25.1,-8.7,-8.6,11963.1,2151.5,Communication Services,50
2003Q2,2003,Q2,1499.4,0.0,1499.4,0.0,1338.0,1447.5,210.6,51.9,6.5,-13.5,12096.7,2225.5,Communication Services,50
2003Q3,2003,Q3,1418.9,0.0,1418.9,0.0,1317.5,1590.0,-53.0,-171.1,-396.7,-327.1,11272.1,1941.1,Communication Services,50
2003Q4,2003,Q4,1629.4,0.0,1629.4,0.0,1401.3,1478.8,257.5,150.6,123.5,-102.5,12234.5,2605.9,Communication Services,50
2004Q1,2004,Q1,1395.1,0.0,1389.4,0.0,1405.5,1464.7,49.3,-75.3,-111.3,-16.9,11700.5,2567.1,Communication Services,50
2004Q2,2004,Q2,1544.1,0.0,1512.8,0.0,1400.6,1538.3,37.5,-25.5,-54.9,-5.4,12156.2,2562.4,Communication Services,50
2004Q3,2004,Q3,1508.8,0.0,1519.1,0.0,1444.3,1823.9,-247.0,-304.8,-370.9,-578.4,11202.3,2001.8,Communication Services,50
