Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,929.1,585.4,343.7,0.0,173.9,212.3,169.8,131.4,121.0,75.0,2753.2,1610.7,Industrials,20
1995Q2,1995,Q2,1090.7,673.7,417.0,0.0,196.9,237.4,220.1,179.6,171.3,106.2,3047.0,1750.1,Industrials,20
1995Q3,1995,Q3,1045.1,663.0,382.1,0.0,184.2,218.0,197.9,164.1,161.3,100.0,3106.2,1825.5,Industrials,20
1995Q4,1995,Q4,1087.3,675.0,412.3,0.0,221.6,260.8,190.7,151.5,170.0,106.3,3613.1,1924.2,Industrials,20
1996Q1,1996,Q1,1136.9,720.5,416.4,0.0,211.1,254.9,205.3,161.5,156.8,98.8,3808.4,2037.8,Industrials,20
1996Q2,1996,Q2,1324.8,833.4,491.4,0.0,229.4,276.4,262.0,215.0,207.0,130.4,4018.9,2168.0,Industrials,20
1996Q3,1996,Q3,1238.3,782.5,455.8,0.0,212.5,256.9,243.3,198.9,195.0,122.8,4056.6,2278.7,Industrials,20
1996Q4,1996,Q4,1296.7,805.9,490.8,0.0,222.4,265.4,268.4,225.4,211.5,134.3,4806.2,2396.0,Industrials,20
1997Q1,1997,Q1,1229.8,768.4,461.4,0.0,215.7,264.9,245.7,196.5,194.1,123.3,4771.3,2459.5,Industrials,20
1997Q2,1997,Q2,1326.3,816.6,509.7,0.0,215.9,264.0,293.8,245.7,243.3,154.4,4928.5,2580.8,Industrials,20
1997Q3,1997,Q3,1315.4,819.6,495.8,0.0,210.7,260.0,285.1,235.8,234.8,149.1,4889.1,2666.0,Industrials,20
1997Q4,1997,Q4,1348.9,832.8,516.1,0.0,228.1,266.9,288.0,249.2,252.2,160.2,5394.8,2806.5,Industrials,20
1998Q1,1998,Q1,1341.0,832.1,508.9,0.0,221.1,274.6,287.8,234.3,234.2,148.7,5509.2,2908.9,Industrials,20
1998Q2,1998,Q2,1420.5,869.2,551.3,0.0,213.7,267.6,337.6,283.7,277.1,176.0,5569.0,3048.1,Industrials,20
1998Q3,1998,Q3,1377.2,849.8,527.4,0.0,211.0,262.8,316.4,264.6,258.1,163.9,5966.4,3160.1,Industrials,20
1998Q4,1998,Q4,1509.2,915.1,594.1,0.0,244.8,297.4,349.3,296.7,290.3,184.3,6118.2,3338.0,Industrials,20
1999Q1,1999,Q1,1473.8,897.7,576.1,0.0,253.3,313.6,387.892,262.5,258.8,188.432,6461.7,3434.3,Industrials,20
1999Q2,1999,Q2,1624.2,978.5,645.7,0.0,258.4,322.1,481.538,323.6,314.7,239.716,6738.9,3590.5,Industrials,20
1999Q3,1999,Q3,1593.8,964.6,629.2,0.0,254.6,319.5,470.26,309.7,294.8,232.9,6891.0,3741.6,Industrials,20
1999Q4,1999,Q4,4641.4,2936.2,1705.2,0.0,960.1,1114.5,745.1,590.7,484.3,289.7,9060.3,4815.4,Industrials,20
2000Q1,2000,Q1,2404.96,1503.299,901.661,0.0,454.171,543.358,447.49,358.303,342.429,219.129,9141.614,4960.049,Industrials,20
2000Q2,2000,Q2,2577.446,1576.062,1001.384,0.0,455.901,554.881,545.483,446.503,426.972,273.272,9309.911,5127.499,Industrials,20
2000Q3,2000,Q3,2472.342,1523.817,948.525,0.0,416.949,514.262,531.576,434.263,412.585,264.085,9555.537,5289.721,Industrials,20
2000Q4,2000,Q4,2528.829,1589.97,938.859,0.0,486.434,614.491,452.425,324.368,296.194,201.494,9603.456,5400.987,Industrials,20
