Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,4496.0,1243.0,3253.0,353.0,1720.0,2277.0,1180.0,976.0,921.0,654.0,16639.0,7881.0,Healthcare,35
1995Q2,1995,Q2,4762.0,1362.0,3400.0,0.0,2237.0,2437.0,1163.0,963.0,931.0,661.0,17389.0,8564.0,Healthcare,35
1995Q3,1995,Q3,4738.0,1343.0,3395.0,0.0,2314.0,2514.0,1081.0,881.0,872.0,623.0,17689.0,8912.0,Healthcare,35
1995Q4,1995,Q4,4846.0,1430.0,3416.0,0.0,2417.0,2670.0,999.0,746.0,593.0,465.0,17873.0,9045.0,Healthcare,35
1996Q1,1996,Q1,5334.0,1475.0,3859.0,0.0,2424.0,2668.0,1435.0,1191.0,1124.0,790.0,18940.0,9828.0,Healthcare,35
1996Q2,1996,Q2,5382.0,1484.0,3898.0,0.0,2475.0,2723.0,1423.0,1175.0,1119.0,791.0,19305.0,10240.0,Healthcare,35
1996Q3,1996,Q3,5402.0,1449.0,3953.0,0.0,2533.0,2799.0,1420.0,1154.0,1059.0,750.0,19910.0,10678.0,Healthcare,35
1996Q4,1996,Q4,5502.0,1601.0,3901.0,0.0,2867.0,3118.0,1034.0,783.0,731.0,556.0,20010.0,10836.0,Healthcare,35
1997Q1,1997,Q1,5715.0,1492.0,4223.0,478.0,2138.0,2896.0,1607.0,1327.0,1302.0,909.0,20620.0,11174.0,Healthcare,35
1997Q2,1997,Q2,5698.0,1481.0,4217.0,520.0,2142.0,2930.0,1555.0,1287.0,1294.0,909.0,21005.0,11722.0,Healthcare,35
1997Q3,1997,Q3,5586.0,1430.0,4156.0,516.0,2149.0,2985.0,1491.0,1171.0,1197.0,855.0,21677.0,12182.0,Healthcare,35
1997Q4,1997,Q4,5630.0,1682.0,3948.0,626.0,2286.0,3111.0,1036.0,837.0,783.0,630.0,21453.0,12359.0,Healthcare,35
1998Q1,1998,Q1,5783.0,1483.0,4300.0,494.0,2100.0,2888.0,1706.0,1412.0,1434.0,1010.0,21915.0,12805.0,Healthcare,35
1998Q2,1998,Q2,5783.0,1484.0,4299.0,532.0,2114.0,2965.0,1653.0,1334.0,1371.0,1005.0,22308.0,13312.0,Healthcare,35
1998Q3,1998,Q3,5724.0,1465.0,4259.0,511.0,2151.0,2955.0,1597.0,1304.0,1317.0,961.0,23333.0,13938.0,Healthcare,35
1998Q4,1998,Q4,6367.0,1758.0,4609.0,732.0,2542.0,3614.0,1335.0,995.0,147.0,83.0,27292.0,14077.0,Healthcare,35
1999Q1,1999,Q1,6739.0,1651.0,5088.0,557.0,2437.0,3413.0,2094.0,1675.0,1622.0,1138.0,26746.0,14222.0,Healthcare,35
1999Q2,1999,Q2,6971.0,1807.0,5164.0,596.0,2588.0,3500.0,1992.0,1664.0,1629.0,1164.0,27126.0,14744.0,Healthcare,35
1999Q3,1999,Q3,6884.0,1679.0,5205.0,635.0,2617.0,3641.0,1953.0,1564.0,1531.0,1111.0,28108.0,15384.0,Healthcare,35
1999Q4,1999,Q4,7230.0,1943.0,5287.0,877.0,2987.0,4209.0,1423.0,1078.0,1023.0,785.0,29163.0,16213.0,Healthcare,35
2000Q1,2000,Q1,7319.0,1810.0,5509.0,637.0,2609.0,3677.0,2263.0,1832.0,1892.0,1314.0,29963.0,17150.0,Healthcare,35
2000Q2,2000,Q2,7670.0,2261.0,5409.0,713.0,2829.0,3542.0,2268.0,1867.0,1913.0,1363.0,30305.0,17979.0,Healthcare,35
2000Q3,2000,Q3,7438.0,2191.0,5247.0,739.0,2767.0,3506.0,2148.0,1741.0,1834.0,1323.0,30784.0,18486.0,Healthcare,35
