Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,3536.0,1630.0,1906.0,0.0,653.0,1246.0,660.0,660.0,660.0,385.0,185281.0,10791.0,Financial ,40
1995Q2,1995,Q2,3728.0,1725.0,2003.0,0.0,674.0,1248.0,755.0,755.0,755.0,453.0,178531.0,11380.0,Financial ,40
1995Q3,1995,Q3,3810.0,1758.0,2052.0,0.0,720.0,1257.0,795.0,795.0,795.0,477.0,187853.0,11831.0,Financial ,40
1995Q4,1995,Q4,3810.0,1794.0,2016.0,0.0,719.0,1250.0,852.0,766.0,766.0,490.0,182926.0,11912.0,Financial ,40
1996Q1,1996,Q1,6932.0,3142.0,3790.0,0.0,1381.0,4093.0,-95.0,-303.0,-303.0,-89.0,301984.0,19767.0,Financial ,40
1996Q2,1996,Q2,6720.0,3016.0,3704.0,0.0,1271.0,2324.0,1578.0,1380.0,1380.0,856.0,321761.0,20340.0,Financial ,40
1996Q3,1996,Q3,6774.0,3069.0,3705.0,0.0,1251.0,2320.0,1610.0,1385.0,1385.0,858.0,322604.0,21690.0,Financial ,40
1996Q4,1996,Q4,6995.0,3239.0,3756.0,0.0,1255.0,2407.0,1587.0,1349.0,1349.0,836.0,336099.0,20994.0,Financial ,40
1997Q1,1997,Q1,7224.0,3294.0,3930.0,0.0,1346.0,2447.0,1718.0,1483.0,1483.0,927.0,340338.0,21292.0,Financial ,40
1997Q2,1997,Q2,7504.0,3540.0,3964.0,0.0,1329.0,2484.0,1716.0,1480.0,1480.0,925.0,352033.0,21343.0,Financial ,40
1997Q3,1997,Q3,7864.0,3639.0,4225.0,0.0,1498.0,2667.0,1799.0,1558.0,1558.0,982.0,366574.0,21716.0,Financial ,40
1997Q4,1997,Q4,7808.0,3929.0,3879.0,0.0,1264.0,2490.0,1628.0,1389.0,1389.0,874.0,365521.0,21742.0,Financial ,40
1998Q1,1998,Q1,8252.0,3961.0,4291.0,0.0,1478.0,3141.0,1392.0,1150.0,1150.0,725.0,365715.0,22041.0,Financial ,40
1998Q2,1998,Q2,8342.0,3915.0,4427.0,0.0,1485.0,2722.0,2021.0,1705.0,1705.0,1074.0,366995.0,22610.0,Financial ,40
1998Q3,1998,Q3,7444.0,3498.0,3946.0,0.0,1426.0,2647.0,1577.0,1299.0,1299.0,837.0,356450.0,23218.0,Financial ,40
1998Q4,1998,Q4,8347.0,3487.0,4860.0,0.0,1490.0,3084.0,2110.0,1776.0,1776.0,1146.0,365875.0,23838.0,Financial ,40
1999Q1,1999,Q1,7967.0,3204.0,4763.0,0.0,1639.0,2945.0,2158.0,1818.0,1818.0,1173.0,361258.0,23268.0,Financial ,40
1999Q2,1999,Q2,8344.0,3116.0,5228.0,0.0,1654.0,3068.0,2512.0,2160.0,2160.0,1393.0,356868.0,22708.0,Financial ,40
1999Q3,1999,Q3,8017.0,3224.0,4793.0,0.0,1783.0,2981.0,2148.0,1812.0,1812.0,1187.0,371044.0,22341.0,Financial ,40
1999Q4,1999,Q4,9382.0,3570.0,5812.0,0.0,1797.0,3227.0,2960.0,2585.0,2585.0,1693.0,406105.0,23617.0,Financial ,40
2000Q1,2000,Q1,14795.0,6368.0,8427.0,0.0,3457.0,5353.0,3467.0,3074.0,3074.0,1988.0,391484.0,23973.0,Financial ,40
2000Q2,2000,Q2,14463.0,6892.0,7571.0,0.0,3107.0,5075.0,3216.0,2496.0,2496.0,1633.0,396045.0,24884.0,Financial ,40
2000Q3,2000,Q3,14803.0,7378.0,7425.0,0.0,3135.0,5352.0,2324.0,2073.0,2073.0,1398.0,425816.0,29440.0,Financial ,40
2000Q4,2000,Q4,32101.0,16306.0,15795.0,0.0,7053.0,12192.0,4928.0,3603.0,3603.0,2392.0,715348.0,42888.0,Financial ,40
2001Q1,2001,Q1,15087.0,7209.0,7878.0,0.0,3477.0,5998.0,2610.0,1880.0,1880.0,1199.0,713624.0,43366.0,Financial ,40
2001Q2,2001,Q2,12559.0,6213.0,6346.0,0.0,3196.0,5761.0,1236.0,585.0,585.0,378.0,712702.0,42426.0,Financial ,40
2001Q3,2001,Q3,12399.0,5795.0,6604.0,0.0,3020.0,5935.0,1382.0,669.0,669.0,449.0,799300.0,42735.0,Financial ,40
2001Q4,2001,Q4,10456.0,5347.0,5109.0,0.0,2831.0,5677.0,229.0,-568.0,-568.0,-332.0,693575.0,41099.0,Financial ,40
2002Q1,2002,Q1,10957.0,4112.0,6845.0,0.0,2969.0,5358.0,2118.0,1487.0,1487.0,982.0,712508.0,41131.0,Financial ,40
2002Q2,2002,Q2,11190.0,4437.0,6753.0,0.0,2905.0,5194.0,2387.0,1559.0,1559.0,1028.0,740546.0,42736.0,Financial ,40
2002Q3,2002,Q3,10527.0,5416.0,5111.0,0.0,2546.0,5051.0,589.0,60.0,60.0,40.0,741759.0,43437.0,Financial ,40
2002Q4,2002,Q4,10698.0,4124.0,6574.0,0.0,3252.0,7161.0,851.0,-587.0,-587.0,-387.0,758800.0,42306.0,Financial ,40
