Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1416.4,620.0,796.4,0.0,279.9,560.9,285.4,235.5,235.5,209.7,67709.0,4817.5,Financial ,40
1995Q2,1995,Q2,1521.8,653.0,868.8,0.0,270.6,568.5,367.7,300.3,300.3,199.0,67481.2,4674.4,Financial ,40
1995Q3,1995,Q3,1533.8,660.2,873.6,0.0,278.7,560.4,359.7,313.2,313.2,209.6,67967.1,5083.4,Financial ,40
1995Q4,1995,Q4,1582.0,651.6,930.4,0.0,285.6,621.7,367.7,308.7,308.7,206.7,66339.0,5153.0,Financial ,40
1996Q1,1996,Q1,1485.0,611.0,874.0,0.0,291.0,570.0,360.0,304.0,304.0,208.0,65052.0,5124.0,Financial ,40
1996Q2,1996,Q2,1498.0,599.0,899.0,0.0,298.0,579.0,378.0,320.0,320.0,217.0,64764.0,4996.0,Financial ,40
1996Q3,1996,Q3,1527.0,604.0,923.0,0.0,300.0,615.0,364.0,308.0,308.0,207.0,65356.0,4976.0,Financial ,40
1996Q4,1996,Q4,1528.0,617.0,911.0,0.0,301.0,700.0,271.0,211.0,211.0,151.0,67621.0,4881.0,Financial ,40
1997Q1,1997,Q1,1514.0,633.0,881.0,0.0,311.0,575.0,366.0,306.0,306.0,212.0,67893.0,4674.0,Financial ,40
1997Q2,1997,Q2,1583.0,674.0,909.0,0.0,305.0,582.0,387.0,327.0,327.0,223.0,69672.0,4814.0,Financial ,40
1997Q3,1997,Q3,1740.0,745.0,995.0,0.0,321.0,648.0,407.0,347.0,347.0,236.0,72077.0,5076.0,Financial ,40
1997Q4,1997,Q4,1731.0,736.0,995.0,0.0,330.0,630.0,427.0,365.0,365.0,248.0,73699.0,5181.0,Financial ,40
1998Q1,1998,Q1,1683.0,740.0,943.0,0.0,322.0,600.0,401.0,343.0,343.0,235.0,73198.0,5338.0,Financial ,40
1998Q2,1998,Q2,1752.0,764.0,988.0,0.0,330.0,616.0,436.0,372.0,372.0,249.0,75778.0,5525.0,Financial ,40
1998Q3,1998,Q3,1807.0,805.0,1002.0,0.0,342.0,628.0,492.0,374.0,374.0,252.0,77691.0,5553.0,Financial ,40
1998Q4,1998,Q4,1858.0,783.0,1075.0,0.0,362.0,685.0,534.0,390.0,390.0,260.0,80020.0,6167.0,Financial ,40
1999Q1,1999,Q1,1996.0,807.0,1189.0,0.0,397.0,754.0,534.0,435.0,435.0,293.0,79992.0,6105.0,Financial ,40
1999Q2,1999,Q2,1924.0,771.0,1153.0,0.0,407.0,723.0,529.0,430.0,430.0,280.0,80889.0,6235.0,Financial ,40
1999Q3,1999,Q3,1929.0,811.0,1118.0,0.0,384.0,708.0,510.0,410.0,410.0,270.0,82577.0,6397.0,Financial ,40
1999Q4,1999,Q4,2159.0,867.0,1292.0,0.0,393.0,883.0,507.0,409.0,409.0,264.0,83395.0,6389.0,Financial ,40
2000Q1,2000,Q1,2295.0,1001.0,1294.0,0.0,404.0,727.0,663.0,567.0,567.0,367.0,83504.0,6493.0,Financial ,40
2000Q2,2000,Q2,2015.0,935.0,1080.0,0.0,392.0,698.0,477.0,382.0,382.0,248.0,84719.0,6507.0,Financial ,40
2000Q3,2000,Q3,2001.0,1043.0,958.0,0.0,371.0,787.0,267.0,171.0,171.0,121.0,85500.0,6520.0,Financial ,40
2000Q4,2000,Q4,2160.0,1058.0,1102.0,0.0,388.0,705.0,492.0,397.0,397.0,266.0,87270.0,6623.0,Financial ,40
2001Q1,2001,Q1,2025.0,992.0,1033.0,0.0,391.0,698.0,432.0,335.0,335.0,217.0,86457.0,6702.0,Financial ,40
2001Q2,2001,Q2,1865.0,1155.0,710.0,0.0,374.0,858.0,99.0,-148.0,-148.0,-160.0,85838.0,6467.0,Financial ,40
2001Q3,2001,Q3,1834.0,772.0,1062.0,0.0,365.0,683.0,472.0,379.0,379.0,249.0,84419.0,6575.0,Financial ,40
2001Q4,2001,Q4,1628.0,1233.0,395.0,0.0,360.0,702.0,-214.0,-307.0,-307.0,-174.0,80938.0,6155.0,Financial ,40
2002Q1,2002,Q1,1535.0,574.0,961.0,0.0,389.0,661.0,364.0,300.0,300.0,240.0,81359.0,6402.0,Financial ,40
2002Q2,2002,Q2,1550.0,554.0,996.0,0.0,391.0,665.0,388.0,331.0,331.0,246.0,82778.0,6592.0,Financial ,40
2002Q3,2002,Q3,1527.0,530.0,997.0,0.0,391.0,659.0,394.0,338.0,338.0,245.0,83518.0,6654.0,Financial ,40
2002Q4,2002,Q4,1523.0,512.0,1011.0,0.0,387.0,668.0,392.0,343.0,343.0,245.0,85202.0,6835.0,Financial ,40
2003Q1,2003,Q1,1418.0,470.0,948.0,0.0,388.0,657.0,341.0,291.0,291.0,217.0,86490.0,6898.0,Financial ,40
2003Q2,2003,Q2,1456.0,451.0,1005.0,0.0,371.0,688.0,372.0,317.0,317.0,225.0,85479.0,6989.0,Financial ,40
2003Q3,2003,Q3,1434.0,417.0,1017.0,0.0,410.0,699.0,371.0,318.0,318.0,227.0,84460.0,6977.0,Financial ,40
2003Q4,2003,Q4,1422.0,408.0,1014.0,0.0,411.0,698.0,368.0,316.0,316.0,234.0,84487.0,6969.0,Financial ,40
2004Q1,2004,Q1,1370.0,359.0,1011.0,0.0,396.0,659.0,352.0,352.0,352.0,250.0,84448.0,6999.0,Financial ,40
