Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,3854.0,1335.0,2519.0,0.0,1530.0,1640.0,989.0,879.0,931.0,638.0,13971.0,5134.0,Consumer Staples,30
1995Q2,1995,Q2,4936.0,1767.0,3169.0,0.0,1802.0,1911.0,1367.0,1258.0,1304.0,898.0,15145.0,5297.0,Consumer Staples,30
1995Q3,1995,Q3,4895.0,1831.0,3064.0,0.0,1940.0,2058.0,1124.0,1006.0,1168.0,802.0,15094.0,5267.0,Consumer Staples,30
1995Q4,1995,Q4,4333.0,1553.0,2780.0,0.0,1714.0,1831.0,1066.0,949.0,925.0,648.0,15041.0,5392.0,Consumer Staples,30
1996Q1,1996,Q1,4194.0,1418.0,2776.0,0.0,1631.0,1743.0,1145.0,1033.0,1033.0,713.0,15627.0,5540.0,Consumer Staples,30
1996Q2,1996,Q2,5286.0,1783.0,3503.0,0.0,1998.0,2121.0,1505.0,1382.0,1522.0,1050.0,16523.0,5936.0,Consumer Staples,30
1996Q3,1996,Q3,4656.0,1689.0,2967.0,0.0,2388.0,2513.0,579.0,454.0,937.0,967.0,15874.0,6235.0,Consumer Staples,30
1996Q4,1996,Q4,4443.0,1369.0,3074.0,0.0,1909.0,2028.0,1165.0,1046.0,1104.0,762.0,16161.0,6156.0,Consumer Staples,30
1997Q1,1997,Q1,4138.0,1157.0,2981.0,0.0,1701.0,1839.0,1280.0,1142.0,1431.0,987.0,16359.0,6581.0,Consumer Staples,30
1997Q2,1997,Q2,5075.0,1446.0,3629.0,0.0,2023.0,2186.0,1606.0,1443.0,1935.0,1314.0,18323.0,7264.0,Consumer Staples,30
1997Q3,1997,Q3,4954.0,1510.0,3444.0,0.0,2052.0,2201.0,1392.0,1243.0,1505.0,1011.0,17402.0,7281.0,Consumer Staples,30
1997Q4,1997,Q4,4701.0,1276.0,3425.0,0.0,2076.0,2252.0,1349.0,1173.0,1184.0,817.0,16940.0,7311.0,Consumer Staples,30
1998Q1,1998,Q1,4457.0,1166.0,3291.0,0.0,1857.0,2009.0,1434.0,1282.0,1243.0,857.0,17299.0,7639.0,Consumer Staples,30
1998Q2,1998,Q2,5151.0,1331.0,3820.0,0.0,2141.0,2309.0,1679.0,1511.0,1803.0,1191.0,18256.0,7985.0,Consumer Staples,30
1998Q3,1998,Q3,4747.0,1295.0,3452.0,0.0,2064.0,2215.0,1388.0,1237.0,1287.0,888.0,17871.0,7861.0,Consumer Staples,30
1998Q4,1998,Q4,4458.0,1125.0,3333.0,0.0,2222.0,2396.0,1111.0,937.0,865.0,597.0,19145.0,8403.0,Consumer Staples,30
1999Q1,1999,Q1,4428.0,1146.0,3282.0,0.0,1953.0,2138.0,1329.0,1144.0,1082.0,747.0,19482.0,8488.0,Consumer Staples,30
1999Q2,1999,Q2,5335.0,1592.0,3743.0,0.0,2353.0,2353.0,1605.0,1390.0,1366.0,942.0,21217.0,9073.0,Consumer Staples,30
1999Q3,1999,Q3,5139.0,1441.0,3698.0,0.0,2390.0,2599.0,1308.0,1099.0,1141.0,787.0,21746.0,9468.0,Consumer Staples,30
1999Q4,1999,Q4,4803.0,1153.0,3650.0,0.0,3118.0,3301.0,532.0,349.0,230.0,-45.0,21623.0,9513.0,Consumer Staples,30
2000Q1,2000,Q1,4256.0,1398.0,2858.0,0.0,2618.0,2618.0,457.0,240.0,97.0,-58.0,22223.0,8902.0,Consumer Staples,30
2000Q2,2000,Q2,5487.0,1868.0,3619.0,0.0,2334.0,2334.0,1511.0,1285.0,1342.0,926.0,23258.0,9184.0,Consumer Staples,30
2000Q3,2000,Q3,5413.0,1736.0,3677.0,0.0,2350.0,2350.0,1456.0,1327.0,1483.0,1067.0,23141.0,9848.0,Consumer Staples,30
2000Q4,2000,Q4,4903.0,1965.0,2938.0,0.0,2671.0,2099.0,1040.0,839.0,477.0,242.0,20834.0,9316.0,Consumer Staples,30
