Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,5644.0,5189.0,455.0,0.0,0.0,-165.0,534.0,290.0,233.0,137.0,17958.0,6178.0,Industrials,20
1995Q2,1995,Q2,5606.0,5136.0,470.0,0.0,0.0,-525.0,230.0,-55.0,-86.0,-53.0,18275.0,6059.0,Industrials,20
1995Q3,1995,Q3,5551.0,5041.0,510.0,0.0,0.0,0.0,710.0,510.0,464.0,287.0,18366.0,6255.0,Industrials,20
1995Q4,1995,Q4,6052.0,5514.0,538.0,0.0,0.0,0.0,794.0,538.0,478.0,311.0,17648.0,6433.0,Industrials,20
1996Q1,1996,Q1,5109.0,4637.0,472.0,0.0,0.0,0.0,686.0,472.0,431.0,272.0,17682.0,6656.0,Industrials,20
1996Q2,1996,Q2,7076.0,6383.0,693.0,0.0,0.0,0.0,1012.0,693.0,505.0,299.0,30328.0,6912.0,Industrials,20
1996Q3,1996,Q3,7028.0,6353.0,675.0,0.0,0.0,0.0,1021.0,675.0,510.0,311.0,30269.0,7189.0,Industrials,20
1996Q4,1996,Q4,7662.0,7221.0,441.0,0.0,0.0,0.0,1104.0,441.0,587.0,465.0,29257.0,6856.0,Industrials,20
1997Q1,1997,Q1,6674.0,6018.0,656.0,0.0,0.0,0.0,967.0,656.0,476.0,290.0,29367.0,7092.0,Industrials,20
1997Q2,1997,Q2,6898.0,6261.0,637.0,0.0,0.0,0.0,850.0,637.0,488.0,308.0,29398.0,7330.0,Industrials,20
1997Q3,1997,Q3,6619.0,5942.0,677.0,0.0,0.0,0.0,1003.0,677.0,534.0,331.0,29577.0,7654.0,Industrials,20
1997Q4,1997,Q4,7878.0,7551.0,327.0,0.0,0.0,0.0,599.0,327.0,439.0,371.0,28361.0,5176.0,Industrials,20
1998Q1,1998,Q1,6217.0,5599.0,618.0,0.0,0.0,0.0,871.0,618.0,434.0,269.0,29376.0,5436.0,Industrials,20
1998Q2,1998,Q2,6520.0,5882.0,638.0,0.0,0.0,0.0,879.0,638.0,458.0,289.0,29557.0,5736.0,Industrials,20
1998Q3,1998,Q3,6349.0,5653.0,696.0,0.0,0.0,0.0,946.0,696.0,509.0,318.0,29762.0,6008.0,Industrials,20
1998Q4,1998,Q4,7180.0,6779.0,401.0,0.0,0.0,0.0,662.0,401.0,260.0,125.0,28744.0,6137.0,Industrials,20
1999Q1,1999,Q1,6188.0,5701.0,487.0,0.0,0.0,0.0,717.0,487.0,424.0,-87.0,28596.0,6053.0,Industrials,20
1999Q2,1999,Q2,6203.0,6072.0,131.0,0.0,0.0,0.0,364.0,131.0,-57.0,-41.0,28382.0,5971.0,Industrials,20
1999Q3,1999,Q3,6157.0,5427.0,730.0,0.0,0.0,242.0,730.0,488.0,358.0,217.0,29558.0,6126.0,Industrials,20
1999Q4,1999,Q4,6982.0,7128.0,-146.0,0.0,0.0,-705.0,739.0,559.0,475.0,293.0,30012.0,6361.0,Industrials,20
2000Q1,2000,Q1,5562.0,5249.0,313.0,0.0,0.0,0.0,544.0,313.0,99.0,54.0,29603.0,6475.0,Industrials,20
2000Q2,2000,Q2,6212.0,5544.0,668.0,0.0,0.0,240.0,668.0,428.0,105.0,42.0,29892.0,6439.0,Industrials,20
2000Q3,2000,Q3,5960.0,5299.0,661.0,0.0,0.0,253.0,661.0,408.0,-255.0,-704.0,32271.0,7082.0,Industrials,20
2000Q4,2000,Q4,7595.0,6886.0,709.0,0.0,0.0,244.0,709.0,465.0,337.0,89.0,30349.0,7160.0,Industrials,20
2001Q1,2001,Q1,5010.0,4681.0,329.0,0.0,0.0,0.0,544.0,329.0,175.0,105.0,30510.0,7260.0,Industrials,20
2001Q2,2001,Q2,5961.0,5568.0,393.0,0.0,0.0,0.0,658.0,393.0,239.0,144.0,28968.0,7410.0,Industrials,20
2001Q3,2001,Q3,6384.0,5955.0,429.0,0.0,0.0,0.0,579.0,429.0,408.0,213.0,29197.0,7832.0,Industrials,20
2001Q4,2001,Q4,6635.0,6243.0,392.0,0.0,0.0,0.0,737.0,392.0,-634.0,-1508.0,27654.0,6443.0,Industrials,20
2002Q1,2002,Q1,5966.0,5528.0,438.0,0.0,0.0,0.0,572.0,438.0,326.0,218.0,27779.0,6861.0,Industrials,20
2002Q2,2002,Q2,6290.0,5807.0,483.0,0.0,0.0,0.0,621.0,483.0,381.0,339.0,28331.0,7394.0,Industrials,20
2002Q3,2002,Q3,6542.0,5989.0,553.0,0.0,0.0,0.0,684.0,553.0,429.0,290.0,28919.0,7700.0,Industrials,20
2002Q4,2002,Q4,7780.0,7305.0,475.0,0.0,0.0,-34648.0,-353.0,475.0,-559.0,-347.0,25758.0,5865.0,Industrials,20
2003Q1,2003,Q1,7059.0,6587.0,472.0,0.0,0.0,0.0,611.0,472.0,365.0,250.0,25015.0,5839.0,Industrials,20
2003Q2,2003,Q2,7709.0,7299.0,410.0,0.0,0.0,0.0,410.0,410.0,351.0,242.0,24795.0,6091.0,Industrials,20
2003Q3,2003,Q3,8078.0,7540.0,538.0,0.0,0.0,0.0,538.0,538.0,311.0,217.0,24880.0,6298.0,Industrials,20
2003Q4,2003,Q4,8978.0,8422.0,556.0,0.0,0.0,-42852.0,770.0,556.0,505.0,344.0,26175.0,6756.0,Industrials,20
2004Q1,2004,Q1,8347.0,7879.0,468.0,0.0,0.0,0.0,468.0,468.0,428.0,291.0,26823.0,7024.0,Industrials,20
2004Q2,2004,Q2,8776.0,8243.0,533.0,0.0,0.0,0.0,533.0,533.0,438.0,296.0,26240.0,7034.0,Industrials,20
2004Q3,2004,Q3,8438.0,7921.0,517.0,0.0,0.0,0.0,517.0,517.0,452.0,307.0,26644.0,7240.0,Industrials,20
2004Q4,2004,Q4,9965.0,9515.0,450.0,0.0,0.0,-33558.0,742.0,571.0,346.0,372.0,25554.0,7021.0,Industrials,20
2005Q1,2005,Q1,8488.0,7946.0,542.0,0.0,0.0,0.0,705.0,542.0,540.0,369.0,26878.0,7441.0,Industrials,20
2005Q2,2005,Q2,9295.0,8637.0,658.0,0.0,0.0,0.0,828.0,658.0,670.0,461.0,27393.0,7886.0,Industrials,20
2005Q3,2005,Q3,9201.0,8585.0,616.0,0.0,0.0,-90.0,706.0,706.0,613.0,427.0,27357.0,7733.0,Industrials,20
2005Q4,2005,Q4,10229.0,9508.0,721.0,0.0,0.0,284.0,1082.0,886.0,793.0,568.0,27744.0,7867.0,Industrials,20
2006Q1,2006,Q1,9214.0,8454.0,760.0,0.0,0.0,0.0,971.0,760.0,877.0,591.0,28439.0,7936.0,Industrials,20
2006Q2,2006,Q2,9961.0,9121.0,840.0,0.0,0.0,-103.0,943.0,943.0,851.0,580.0,28436.0,7658.0,Industrials,20
2006Q3,2006,Q3,9605.0,8802.0,803.0,0.0,0.0,-102.0,905.0,905.0,815.0,629.0,29093.0,8083.0,Industrials,20
2006Q4,2006,Q4,10840.0,9809.0,1031.0,0.0,0.0,416.0,1351.0,1134.0,1049.0,729.0,28231.0,6884.0,Industrials,20
2007Q1,2007,Q1,9275.0,8365.0,910.0,0.0,0.0,-112.0,1207.0,1022.0,929.0,690.0,28853.0,7028.0,Industrials,20
2007Q2,2007,Q2,10651.0,9597.0,1054.0,0.0,0.0,-177.0,1415.0,1231.0,1138.0,778.0,29814.0,7159.0,Industrials,20
