Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1487.5,1095.6,391.9,0.0,266.5,298.2,125.4,93.7,70.7,46.3,3106.0,1419.9,Consumer Discretionary,25
1995Q2,1995,Q2,1634.7,1211.4,423.3,0.0,274.1,308.2,149.2,115.1,92.2,58.9,3218.7,1484.8,Consumer Discretionary,25
1995Q3,1995,Q3,1978.1,1483.7,494.4,0.0,302.1,338.7,192.3,155.7,133.5,85.0,3253.9,1578.4,Consumer Discretionary,25
1995Q4,1995,Q4,1766.0,1336.2,423.3,0.0,301.2,340.9,128.6,88.9,68.2,43.9,3523.6,1626.7,Consumer Discretionary,25
1996Q1,1996,Q1,1696.7,1277.2,419.5,0.0,299.6,342.8,119.9,76.7,58.1,38.1,3556.4,1656.7,Consumer Discretionary,25
1996Q2,1996,Q2,1906.5,1429.1,477.4,0.0,345.2,390.7,132.2,86.7,73.6,47.1,3903.1,1707.5,Consumer Discretionary,25
1996Q3,1996,Q3,2459.0,1829.5,629.5,0.0,391.6,440.1,237.9,189.4,177.4,114.3,4031.7,2087.6,Consumer Discretionary,25
1996Q4,1996,Q4,2193.2,1627.1,477.4,0.0,388.4,439.1,177.7,127.0,116.6,75.2,4239.8,2170.8,Consumer Discretionary,25
1997Q1,1997,Q1,2041.5,1489.1,552.4,0.0,329.7,384.8,222.7,167.6,86.2,55.7,4435.0,2217.5,Consumer Discretionary,25
1997Q2,1997,Q2,2400.8,1777.1,623.7,0.0,439.8,496.5,183.9,127.2,110.0,70.4,4749.3,2288.6,Consumer Discretionary,25
1997Q3,1997,Q3,2808.1,2076.9,731.2,0.0,459.6,518.3,271.6,212.9,196.9,126.5,4935.8,2432.9,Consumer Discretionary,25
1997Q4,1997,Q4,2530.5,1859.6,623.7,0.0,458.4,518.9,212.5,152.0,136.9,88.1,5173.5,2535.8,Consumer Discretionary,25
1998Q1,1998,Q1,2397.6,1733.4,664.2,0.0,467.1,532.3,197.1,131.9,114.8,72.5,5219.3,2600.6,Consumer Discretionary,25
1998Q2,1998,Q2,3149.8,2319.1,812.3,0.0,582.0,651.0,248.7,179.7,158.0,100.7,6115.9,2712.8,Consumer Discretionary,25
1998Q3,1998,Q3,3425.7,2522.5,903.2,0.0,560.1,626.5,372.7,276.7,259.4,165.4,6161.7,2902.0,Consumer Discretionary,25
1998Q4,1998,Q4,3278.3,2396.0,760.1,0.0,527.5,671.7,283.6,210.6,191.3,121.9,6373.7,3028.2,Consumer Discretionary,25
1999Q1,1999,Q1,2915.7,2096.3,819.4,0.0,559.1,631.3,260.3,188.1,168.2,106.2,6344.7,3136.0,Consumer Discretionary,25
1999Q2,1999,Q2,3771.919,2764.6,1007.319,0.0,682.6,760.7,324.719,246.6,199.0,125.0,8588.0,4091.6,Consumer Discretionary,25
1999Q3,1999,Q3,4435.2,3247.7,1187.5,0.0,720.3,802.2,467.2,385.3,363.2,230.2,8618.5,4347.8,Consumer Discretionary,25
1999Q4,1999,Q4,3909.2,2819.4,1007.3,0.0,718.1,804.7,371.7,285.1,266.1,168.7,8859.8,4545.7,Consumer Discretionary,25
2000Q1,2000,Q1,3789.295,2692.65,1096.645,0.0,749.876,841.098,346.769,255.547,234.917,148.895,9012.323,4695.471,Consumer Discretionary,25
2000Q2,2000,Q2,4504.141,3204.552,1299.589,0.0,832.493,926.121,415.763,322.135,296.122,187.149,9935.246,4876.962,Consumer Discretionary,25
2000Q3,2000,Q3,5264.252,3812.012,1452.24,0.0,884.904,983.612,567.336,468.628,442.404,279.599,10249.341,5151.936,Consumer Discretionary,25
2000Q4,2000,Q4,4467.114,3218.858,1248.256,0.0,846.588,951.486,453.001,348.103,320.082,202.293,10674.754,5346.23,Consumer Discretionary,25
2001Q1,2001,Q1,4543.052,3251.476,1291.576,0.0,915.9,1028.177,375.676,263.399,222.832,140.83,11375.754,5494.885,Consumer Discretionary,25
2001Q2,2001,Q2,5276.365,3782.836,1590.889,0.0,975.537,1095.283,517.992,398.246,357.588,225.28,13059.671,5767.862,Consumer Discretionary,25
2001Q3,2001,Q3,6126.726,4409.018,1717.708,0.0,1028.176,1153.471,696.281,564.237,522.347,329.083,12867.392,6153.254,Consumer Discretionary,25
2001Q4,2001,Q4,5454.534,3863.645,1493.529,0.0,1015.802,1150.823,578.39,440.066,397.614,250.497,13531.973,6419.32,Consumer Discretionary,25
2002Q1,2002,Q1,5253.483,3687.768,1565.715,0.0,1033.71,1188.641,532.005,377.074,346.702,218.402,13736.219,6674.442,Consumer Discretionary,25
2002Q2,2002,Q2,6414.812,4547.875,1965.216,0.0,1178.012,1324.135,748.516,598.587,552.414,345.811,15610.54,7057.092,Consumer Discretionary,25
2002Q3,2002,Q3,7487.662,5285.624,2202.038,0.0,1256.383,1409.593,950.304,792.445,746.122,467.072,15426.617,7602.762,Consumer Discretionary,25
2002Q4,2002,Q4,6470.597,4449.596,1922.722,0.0,1220.199,1379.5,749.561,585.716,541.877,339.214,15811.202,7957.665,Consumer Discretionary,25
2003Q1,2003,Q1,6117.929,4181.905,1936.024,0.0,1204.406,1372.59,736.801,563.434,518.587,318.903,16109.0,8302.0,Consumer Discretionary,25
2003Q2,2003,Q2,7118.0,4899.0,2238.0,0.0,1318.0,1497.0,909.0,725.0,677.0,421.0,17900.0,8735.0,Consumer Discretionary,25
2003Q3,2003,Q3,8666.0,6040.0,2647.0,0.0,1443.0,1643.0,1193.0,1004.0,959.0,597.0,18074.0,9373.0,Consumer Discretionary,25
2003Q4,2003,Q4,7802.0,5361.0,2441.0,0.0,1466.0,1679.0,966.0,768.0,726.0,452.0,18675.0,9862.0,Consumer Discretionary,25
2004Q1,2004,Q1,6929.0,4671.0,2258.0,0.0,1377.0,1578.0,890.0,680.0,1636.0,408.0,19042.0,10309.0,Consumer Discretionary,25
2004Q2,2004,Q2,8681.0,6013.0,3051.0,0.0,1875.0,1853.0,1000.0,787.0,739.0,455.0,20778.0,10506.0,Consumer Discretionary,25
2004Q3,2004,Q3,10169.0,6780.0,3389.0,0.0,1985.0,2201.0,1408.0,1188.0,1143.0,704.0,19732.0,10547.0,Consumer Discretionary,25
2004Q4,2004,Q4,8681.0,6013.0,2870.0,0.0,1938.0,2160.0,1117.0,881.0,841.0,516.0,20512.0,11085.0,Consumer Discretionary,25
2005Q1,2005,Q1,8550.0,5560.0,2990.0,0.0,1891.0,2143.0,1104.0,847.0,804.0,495.0,21209.0,11535.0,Consumer Discretionary,25
2005Q2,2005,Q2,9913.0,6515.0,3595.0,0.0,2136.0,2409.0,1259.0,1006.0,959.0,590.0,22913.0,12016.0,Consumer Discretionary,25
2005Q3,2005,Q3,11929.0,7892.0,4037.0,0.0,2388.0,2635.0,1654.0,1402.0,1363.0,838.0,23137.0,13085.0,Consumer Discretionary,25
