Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,621.0,406.1,214.9,0.0,312.0,462.7,-210.5,-247.8,20.0,11.8,3007.8,1251.6,Industrials,20
1995Q2,1995,Q2,738.2,429.6,308.6,0.0,330.0,493.3,-146.5,-184.7,100.8,59.7,3192.5,1312.7,Industrials,20
1995Q3,1995,Q3,765.0,442.7,322.3,0.0,341.2,503.0,-141.9,-180.7,114.2,67.7,3248.3,1382.1,Industrials,20
1995Q4,1995,Q4,748.551,469.4,279.151,0.0,337.9,1429.82,-879.498,-1150.669,70.04,43.326,3256.1,1427.318,Industrials,20
1996Q1,1996,Q1,772.5,492.3,280.2,0.0,359.6,549.0,-224.8,-268.8,54.8,33.0,3369.3,1466.3,Industrials,20
1996Q2,1996,Q2,910.3,517.6,392.7,0.0,387.0,585.6,-146.8,-192.9,140.0,85.3,3571.5,1553.9,Industrials,20
1996Q3,1996,Q3,891.5,547.8,343.7,0.0,389.1,591.9,-202.0,-248.2,100.3,60.9,3619.5,1615.0,Industrials,20
1996Q4,1996,Q4,831.87,549.6,282.27,0.0,383.3,1707.235,-1105.195,-1424.965,46.362,28.137,3723.479,1648.312,Industrials,20
1997Q1,1997,Q1,887.1,548.0,339.1,0.0,402.3,608.6,-221.1,-269.5,83.4,50.9,3857.2,1699.9,Industrials,20
1997Q2,1997,Q2,956.9,531.8,425.1,0.0,425.2,626.9,-154.3,-201.8,153.8,93.8,4036.0,1796.7,Industrials,20
1997Q3,1997,Q3,997.2,565.1,432.1,0.0,435.3,654.0,-172.0,-221.9,150.4,92.5,4142.0,1907.5,Industrials,20
1997Q4,1997,Q4,975.521,559.1,416.421,0.0,279.442,1808.785,-1050.996,-1392.364,129.356,80.572,4246.16,2009.018,Industrials,20
1998Q1,1998,Q1,942.6,543.4,399.2,0.0,437.6,658.0,-206.8,-258.8,114.0,70.0,4339.2,2095.6,Industrials,20
1998Q2,1998,Q2,1078.8,558.8,520.0,0.0,466.7,698.9,-124.9,-178.9,216.6,133.4,4568.6,2233.8,Industrials,20
1998Q3,1998,Q3,1094.9,561.9,533.0,0.0,482.1,717.0,-124.4,-184.0,211.0,129.6,4586.3,2270.7,Industrials,20
1998Q4,1998,Q4,1047.68,564.303,483.377,0.0,474.2,1823.469,-949.28,-1340.092,163.512,100.431,4715.996,2397.918,Industrials,20
1999Q1,1999,Q1,1075.6,576.9,498.671,0.0,490.9,733.8,-178.329,-235.129,156.1,95.8,4968.9,2510.0,Industrials,20
1999Q2,1999,Q2,1220.5,608.4,612.032,0.0,519.4,778.0,-106.468,-165.968,256.6,157.8,5282.3,2673.0,Industrials,20
1999Q3,1999,Q3,1235.2,662.3,572.9,0.0,527.0,785.9,-149.2,-213.0,208.0,127.0,5317.6,2801.2,Industrials,20
1999Q4,1999,Q4,1204.387,687.6,516.787,0.0,359.637,2098.011,-1152.464,-1581.224,152.911,93.778,5654.0,2835.788,Industrials,20
