Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,3703.2,0.0,3703.2,0.0,383.9,3703.2,0.0,-870.8,318.2,214.5,49978.1,6043.0,Financial ,40
1995Q2,1995,Q2,4519.4,0.0,4519.4,0.0,420.6,4519.4,0.0,-1007.4,644.6,419.8,66880.7,6963.4,Financial ,40
1995Q3,1995,Q3,4959.6,0.0,4959.6,0.0,542.2,4959.6,0.0,-1155.5,609.5,386.4,68891.0,7280.5,Financial ,40
1995Q4,1995,Q4,5495.2,0.0,5495.2,0.0,508.1,5495.2,505.7,505.7,2839.3,745.1,65516.9,8238.7,Financial ,40
1996Q1,1996,Q1,5044.5,0.0,5044.5,0.0,762.0,5044.5,0.0,-1165.0,587.5,368.8,67917.4,8030.7,Financial ,40
1996Q2,1996,Q2,5044.6,0.0,5044.6,0.0,806.3,5044.6,0.0,-1120.1,605.1,378.7,66126.8,7992.6,Financial ,40
1996Q3,1996,Q3,5216.3,0.0,5216.3,0.0,882.8,5216.3,0.0,-1199.0,583.2,388.6,66774.7,8376.9,Financial ,40
1996Q4,1996,Q4,5137.0,0.0,5137.0,0.0,1604.4,5137.0,76.0,76.0,2407.8,247.8,67402.9,8731.2,Financial ,40
1997Q1,1997,Q1,4939.1,0.0,4939.1,0.0,791.3,4939.1,0.0,-1227.9,365.7,239.3,69667.2,8615.1,Financial ,40
1997Q2,1997,Q2,4749.1,0.0,4749.1,0.0,750.8,4749.1,0.0,-1268.7,133.5,63.8,69489.4,8867.8,Financial ,40
1997Q3,1997,Q3,5111.4,0.0,5111.4,0.0,859.3,5111.4,0.0,-1444.4,331.9,197.6,70521.7,9301.6,Financial ,40
1997Q4,1997,Q4,5339.2,0.0,5339.2,0.0,1144.6,5339.2,-337.8,-337.8,1593.2,292.9,69983.1,9665.1,Financial ,40
1998Q1,1998,Q1,4795.1,0.0,4795.1,0.0,1043.6,4825.2,0.0,3687.8,-105.4,-83.7,70444.8,9529.4,Financial ,40
1998Q2,1998,Q2,5404.8,0.0,5404.8,0.0,918.1,5428.7,0.0,-1522.8,416.0,247.2,71345.7,9803.0,Financial ,40
1998Q3,1998,Q3,5951.9,0.0,5951.9,0.0,1262.0,5992.3,0.0,-1652.0,1002.0,617.1,70999.4,10511.1,Financial ,40
1998Q4,1998,Q4,5056.5,0.0,5056.5,0.0,1076.7,5056.5,-462.0,-462.0,1077.4,-315.8,70979.4,10201.2,Financial ,40
1999Q1,1999,Q1,5480.3,0.0,5480.3,0.0,1069.9,5480.3,0.0,-1976.2,144.9,45.4,73300.0,10625.8,Financial ,40
1999Q2,1999,Q2,5648.6,0.0,5648.6,0.0,1017.2,5611.9,0.0,-1729.2,414.5,254.3,73749.8,10327.0,Financial ,40
1999Q3,1999,Q3,5513.8,0.0,5513.8,0.0,1057.9,5513.8,0.0,-1666.4,436.5,271.3,72611.1,9905.5,Financial ,40
1999Q4,1999,Q4,4859.2,0.0,4859.2,0.0,752.5,4859.2,-616.9,-616.9,944.2,-207.8,69463.7,9977.7,Financial ,40
2000Q1,2000,Q1,4673.8,0.0,4673.8,0.0,965.1,4655.7,0.0,-1048.9,297.8,183.6,72427.8,9851.5,Financial ,40
2000Q2,2000,Q2,5331.9,0.0,5331.9,0.0,0.0,5314.0,0.0,-766.2,811.5,510.6,71225.2,9964.4,Financial ,40
2000Q3,2000,Q3,5776.4,0.0,5776.4,0.0,0.0,5757.3,0.0,-493.6,1058.7,679.6,73452.8,10579.4,Financial ,40
2000Q4,2000,Q4,5555.7,0.0,5555.7,0.0,0.0,5555.7,0.0,-3000.8,3205.9,502.9,71588.7,10969.1,Financial ,40
2001Q1,2001,Q1,4928.9,0.0,4928.9,0.0,0.0,4928.9,0.0,-772.6,800.9,472.3,73523.9,11793.4,Financial ,40
2001Q2,2001,Q2,4140.2,0.0,4140.2,0.0,0.0,4140.2,0.0,-2304.8,-647.8,-1415.2,74386.7,9681.4,Financial ,40
2001Q3,2001,Q3,4667.4,0.0,4667.4,0.0,0.0,4667.4,0.0,-1436.1,279.5,165.7,75597.4,9710.0,Financial ,40
2001Q4,2001,Q4,5153.8,0.0,5153.8,0.0,0.0,5153.8,-1883.4,0.0,-813.1,188.1,74732.9,9170.5,Financial ,40
2002Q1,2002,Q1,4786.4,0.0,4786.4,0.0,0.0,4792.3,0.0,-1039.3,424.4,212.8,76163.4,10577.7,Financial ,40
2002Q2,2002,Q2,4648.6,0.0,4648.6,0.0,0.0,4651.5,0.0,-957.0,326.4,198.8,77583.7,10755.3,Financial ,40
2002Q3,2002,Q3,4077.5,0.0,4077.5,0.0,0.0,4071.3,0.0,-994.8,398.0,239.1,75509.3,11107.0,Financial ,40
2002Q4,2002,Q4,3982.9,0.0,3982.9,0.0,0.0,3982.9,-907.4,-907.4,1647.1,256.4,70515.6,10995.5,Financial ,40
2003Q1,2003,Q1,3949.2,0.0,3949.2,0.0,0.0,3945.8,0.0,-1286.1,282.9,190.0,72296.2,11575.3,Financial ,40
2003Q2,2003,Q2,4250.3,0.0,4250.3,0.0,0.0,4239.5,0.0,0.0,302.6,214.8,75700.0,12232.4,Financial ,40
2003Q3,2003,Q3,3940.0,0.0,3940.0,0.0,0.0,3940.0,-3561.2,0.0,-2550.6,-1382.9,77793.6,10483.3,Financial ,40
2003Q4,2003,Q4,4335.7,0.0,4335.7,0.0,0.0,4335.7,0.0,-722.7,587.2,367.4,77674.0,10855.0,Financial ,40
2004Q1,2004,Q1,3491.2,0.0,3491.2,0.0,0.0,3493.3,0.0,-1235.2,89.0,44.9,77555.8,11121.8,Financial ,40
2004Q2,2004,Q2,3914.5,0.0,3914.5,0.0,0.0,3915.7,0.0,0.0,561.3,410.5,71951.7,10681.2,Financial ,40
2004Q3,2004,Q3,3785.4,0.0,3785.4,0.0,0.0,3786.7,0.0,0.0,404.0,278.5,71456.0,11451.5,Financial ,40
2004Q4,2004,Q4,4051.2,0.0,4051.2,0.0,0.0,4051.2,0.0,-627.6,785.4,502.8,73749.5,12183.3,Financial ,40
2005Q1,2005,Q1,3741.2,0.0,3741.2,0.0,0.0,3741.2,0.0,0.0,551.9,346.3,74121.3,12154.7,Financial ,40
2005Q2,2005,Q2,4030.7,755.8,3274.9,0.0,0.0,3392.0,0.0,-1081.7,638.7,435.6,74184.9,12901.8,Financial ,40
2005Q3,2005,Q3,4137.9,763.3,3374.6,0.0,0.0,3686.7,0.0,-1191.8,451.2,302.2,74636.0,12823.0,Financial ,40
2005Q4,2005,Q4,4108.0,0.0,4108.0,0.0,0.0,4108.0,0.0,0.0,204.7,138.1,70675.6,13092.1,Financial ,40
2006Q1,2006,Q1,4244.5,0.0,4244.5,0.0,0.0,4244.5,0.0,0.0,984.6,541.0,71331.4,13310.5,Financial ,40
2006Q2,2006,Q2,4277.3,53.1,4224.2,0.0,0.0,4277.3,-931.8,0.0,1022.8,568.7,71710.0,14143.8,Financial ,40
2006Q3,2006,Q3,4507.2,60.0,4447.2,0.0,0.0,4507.2,-842.1,1115.4,42.4,635.1,75778.5,16082.5,Financial ,40
2006Q4,2006,Q4,4882.0,0.0,4882.0,0.0,0.0,4882.0,-794.8,0.0,1349.3,746.5,76880.9,16501.8,Financial ,40
2007Q2,2007,Q2,4637.3,46.7,4590.6,0.0,0.0,2670.0,-873.6,847.0,108.7,654.0,79537.5,17139.5,Financial ,40
2007Q3,2007,Q3,4653.3,65.8,4587.5,0.0,0.0,3525.0,0.0,0.0,638.0,555.0,78964.9,17279.3,Financial ,40
2007Q4,2007,Q4,4429.7,0.0,4429.7,0.0,0.0,4429.7,0.0,-1813.2,933.8,511.6,76079.0,17591.0,Financial ,40
2008Q1,2008,Q1,3612.0,0.0,3612.0,0.0,0.0,3612.0,0.0,-1984.0,862.0,662.0,76892.0,17257.0,Financial ,40
2008Q2,2008,Q2,3922.0,0.0,3922.0,0.0,0.0,3922.0,3061.0,0.0,1107.0,4963.0,74782.0,16781.0,Financial ,40
2008Q3,2008,Q3,2970.0,0.0,2970.0,0.0,0.0,2970.0,0.0,0.0,-41.0,-137.0,73417.0,15741.0,Financial ,40
