Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1226.0,815.4,410.6,0.0,261.0,261.0,149.6,149.6,124.1,74.4,4542.7,2217.1,Industrials,20
1995Q2,1995,Q2,1208.0,821.9,386.1,0.0,261.8,261.8,124.3,124.3,105.6,63.4,4698.5,2300.9,Industrials,20
1995Q3,1995,Q3,1235.0,842.8,392.2,0.0,258.5,258.5,133.7,133.7,111.9,67.1,4707.8,2326.3,Industrials,20
1995Q4,1995,Q4,-742.0,-723.9,-18.1,0.0,-103.0,-12.9,-5.2,-5.2,10.2,-646.5,3778.6,1655.4,Industrials,20
1996Q1,1996,Q1,764.0,480.3,283.7,0.0,172.1,172.1,111.6,111.6,106.8,62.0,3803.0,1684.2,Industrials,20
1996Q2,1996,Q2,787.0,496.6,290.4,0.0,169.8,172.5,120.6,117.9,109.9,68.0,3918.8,1713.5,Industrials,20
1996Q3,1996,Q3,843.0,522.0,321.0,0.0,180.9,184.2,140.1,136.8,136.3,81.8,3489.8,1777.2,Industrials,20
1996Q4,1996,Q4,843.0,461.6,381.4,0.0,176.1,267.2,205.3,114.2,149.7,83.4,3701.7,1839.8,Industrials,20
1997Q1,1997,Q1,854.0,539.5,314.5,0.0,181.0,184.7,133.5,129.8,139.2,83.5,3684.1,1886.6,Industrials,20
1997Q2,1997,Q2,913.0,578.2,334.8,0.0,187.2,191.0,147.6,143.8,152.4,91.6,3796.3,1951.8,Industrials,20
1997Q3,1997,Q3,1003.0,634.0,369.0,0.0,205.1,210.5,163.9,158.5,169.9,101.8,4223.6,2144.1,Industrials,20
1997Q4,1997,Q4,990.0,529.2,460.8,0.0,202.6,305.8,258.2,155.0,169.4,105.5,4333.8,2229.0,Industrials,20
1998Q1,1998,Q1,1039.0,659.2,379.8,0.0,207.5,213.5,172.3,166.3,184.3,110.6,4381.9,2488.7,Industrials,20
1998Q2,1998,Q2,1085.0,691.4,393.6,0.0,213.0,219.8,180.6,173.8,188.8,117.0,4766.9,2602.4,Industrials,20
1998Q3,1998,Q3,1122.0,717.1,404.9,0.0,269.2,276.7,241.5,233.7,197.1,125.9,5016.2,2663.9,Industrials,20
1998Q4,1998,Q4,1099.0,618.5,480.5,0.0,204.6,320.7,275.9,159.8,184.8,122.5,5167.4,2774.0,Industrials,20
1999Q1,1999,Q1,1147.0,730.3,416.7,0.0,273.5,281.8,243.1,234.8,197.3,124.3,5144.6,2745.5,Industrials,20
1999Q2,1999,Q2,1269.0,812.6,456.4,0.0,241.3,251.4,215.1,205.0,219.9,138.6,5395.9,2765.5,Industrials,20
1999Q3,1999,Q3,1704.0,1082.0,622.0,0.0,463.6,476.7,158.7,145.3,113.2,64.9,6647.7,3043.1,Industrials,20
1999Q4,1999,Q4,1645.0,916.5,728.5,0.0,313.0,463.1,415.5,265.4,268.7,178.7,6634.9,3136.5,Industrials,20
2000Q1,2000,Q1,1746.0,1125.9,620.1,0.0,337.4,351.6,282.7,268.5,276.0,174.0,7207.54,3317.93,Industrials,20
2000Q2,2000,Q2,1871.0,1196.7,674.3,0.0,309.6,325.5,317.2,301.3,294.4,185.4,7750.53,3391.57,Industrials,20
2000Q3,2000,Q3,1893.0,1215.9,677.1,0.0,359.2,376.9,317.9,300.2,297.5,187.4,7885.06,3516.55,Industrials,20
