Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2161.3,1182.6,978.7,0.0,275.4,444.2,703.3,534.5,435.1,280.7,14213.5,7246.6,Consumer Discretionary,25
1995Q2,1995,Q2,2467.6,1340.4,1127.2,0.0,305.4,482.5,821.8,644.7,584.9,379.7,14657.7,7371.9,Consumer Discretionary,25
1995Q3,1995,Q3,2580.1,1403.8,1176.3,0.0,314.1,490.0,862.2,686.3,609.5,400.1,14901.7,7533.3,Consumer Discretionary,25
1995Q4,1995,Q4,2585.5,-304.1,2889.6,0.0,2072.3,2259.5,817.3,630.1,539.6,366.8,15414.6,7861.3,Consumer Discretionary,25
1996Q1,1996,Q1,2426.0,1232.6,1193.4,0.0,448.4,635.0,745.0,558.4,452.1,301.6,15575.9,7994.0,Consumer Discretionary,25
1996Q2,1996,Q2,2665.1,1338.1,1327.0,0.0,467.0,652.0,860.0,675.0,625.5,420.4,16021.4,8319.1,Consumer Discretionary,25
1996Q3,1996,Q3,2773.8,1407.0,1366.8,0.0,490.1,665.2,876.7,701.6,649.9,440.6,16543.1,8554.4,Consumer Discretionary,25
1996Q4,1996,Q4,2821.6,102.8,2718.8,0.0,1870.7,2066.9,848.1,651.9,523.5,410.0,17386.0,8718.2,Consumer Discretionary,25
1997Q1,1997,Q1,2617.6,1483.5,1134.1,0.0,334.0,525.9,800.1,608.2,515.7,344.5,17257.7,8617.4,Consumer Discretionary,25
1997Q2,1997,Q2,2832.6,1596.5,1236.1,0.0,347.2,541.9,888.9,694.2,643.1,438.2,17562.0,8760.3,Consumer Discretionary,25
1997Q3,1997,Q3,3006.0,1739.6,1266.4,0.0,375.5,545.9,890.9,720.5,659.1,448.9,17972.2,9164.5,Consumer Discretionary,25
1997Q4,1997,Q4,2952.6,-375.0,3327.6,0.0,2418.9,2655.7,908.7,671.9,589.4,410.9,18241.5,8851.6,Consumer Discretionary,25
1998Q1,1998,Q1,2804.9,1615.3,1189.6,0.0,343.0,546.9,846.6,642.7,540.2,362.2,18416.2,9122.0,Consumer Discretionary,25
1998Q2,1998,Q2,3180.8,1793.6,1387.2,0.0,364.9,581.5,1022.3,805.7,533.8,357.2,18849.6,8851.7,Consumer Discretionary,25
1998Q3,1998,Q3,3215.0,1812.4,1402.6,0.0,358.5,586.3,1044.1,816.3,717.3,482.2,19221.7,8940.0,Consumer Discretionary,25
1998Q4,1998,Q4,3220.7,-385.4,3606.1,0.0,2612.4,2845.2,993.7,760.9,516.1,348.5,19784.4,9464.7,Consumer Discretionary,25
1999Q1,1999,Q1,3035.1,1762.7,1272.4,0.0,339.9,574.0,932.5,698.4,600.7,402.7,19923.7,9093.4,Consumer Discretionary,25
1999Q2,1999,Q2,3407.1,1927.9,1479.2,0.0,365.5,603.2,1113.7,876.0,772.8,518.1,19845.4,9057.0,Consumer Discretionary,25
1999Q3,1999,Q3,3444.2,1953.8,1490.4,0.0,368.0,616.6,1122.4,873.8,800.3,540.9,20466.8,9496.5,Consumer Discretionary,25
1999Q4,1999,Q4,3372.9,-451.7,3824.6,0.0,2822.5,3058.4,1002.1,766.2,710.3,486.2,20983.2,9639.1,Consumer Discretionary,25
2000Q1,2000,Q1,3343.8,1971.1,1372.7,0.0,377.6,633.4,995.1,739.3,662.7,450.9,20830.1,9411.1,Consumer Discretionary,25
2000Q2,2000,Q2,3560.6,2068.1,1492.5,0.0,393.4,666.9,1099.1,825.6,773.0,525.9,21210.9,8999.1,Consumer Discretionary,25
2000Q3,2000,Q3,3749.0,2239.4,1509.6,0.0,409.2,659.4,1100.4,850.2,789.1,548.5,20882.6,8806.1,Consumer Discretionary,25
2000Q4,2000,Q4,3589.6,553.6,3036.0,0.0,3097.3,2317.8,949.4,718.2,657.5,452.0,21683.5,9204.4,Consumer Discretionary,25
2001Q1,2001,Q1,3511.7,2440.3,1071.4,0.0,397.8,376.2,965.1,695.2,556.0,378.3,21449.2,8930.8,Consumer Discretionary,25
2001Q2,2001,Q2,3707.5,2539.5,1168.0,0.0,414.6,395.5,1041.3,772.5,653.7,440.9,21385.7,9243.5,Consumer Discretionary,25
2001Q3,2001,Q3,3879.3,2644.2,1235.1,0.0,415.9,488.5,1017.5,746.6,750.5,545.5,22305.3,9765.2,Consumer Discretionary,25
2001Q4,2001,Q4,3771.5,-271.3,4042.8,0.0,3334.6,3560.1,759.4,482.7,369.5,271.9,22534.5,9488.4,Consumer Discretionary,25
2002Q1,2002,Q1,3597.4,2512.3,1085.1,0.0,384.9,443.8,895.3,641.3,537.2,253.1,22195.6,9576.9,Consumer Discretionary,25
2002Q2,2002,Q2,3862.1,2659.9,1202.2,0.0,402.9,357.0,1097.9,845.2,731.2,497.5,23329.0,10349.6,Consumer Discretionary,25
2002Q3,2002,Q3,4047.0,2799.0,1248.0,0.0,438.2,418.2,1110.8,829.8,715.3,486.7,23593.5,10641.5,Consumer Discretionary,25
2002Q4,2002,Q4,3899.2,-302.7,4201.9,0.0,3565.0,4405.3,59.7,-203.4,-321.6,-343.8,23970.5,10280.9,Consumer Discretionary,25
2003Q1,2003,Q1,3799.7,2732.7,1067.0,0.0,396.4,392.4,961.8,674.6,547.6,327.4,24409.9,10821.7,Consumer Discretionary,25
2003Q2,2003,Q2,4280.8,2975.0,1305.8,0.0,466.4,479.6,1096.7,826.2,708.2,470.9,25092.9,11664.0,Consumer Discretionary,25
