Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,413.7,104.7,309.0,46.8,132.2,309.0,130.0,105.5,107.4,71.4,1716.9,1202.6,Healthcare,35
1995Q2,1995,Q2,516.7,127.7,389.0,55.5,176.1,389.0,157.4,128.3,132.0,87.8,1946.7,1335.0,Healthcare,35
1995Q3,1995,Q3,523.8,114.2,409.6,51.8,173.9,409.6,183.9,147.8,152.2,99.7,2027.9,1426.3,Healthcare,35
1995Q4,1995,Q4,518.6,115.8,402.8,54.2,164.7,402.8,183.9,154.5,159.7,104.6,2074.8,1508.6,Healthcare,35
1996Q1,1996,Q1,529.2,117.1,412.1,61.2,163.0,412.1,187.9,161.8,166.4,109.0,2230.3,1655.6,Healthcare,35
1996Q2,1996,Q2,596.1,129.7,466.4,68.8,192.7,466.4,204.9,184.7,191.5,125.4,2503.3,1789.3,Healthcare,35
1996Q3,1996,Q3,600.9,116.8,484.1,65.7,191.7,484.1,226.7,187.9,194.5,127.4,2568.2,1919.0,Healthcare,35
1996Q4,1996,Q4,598.2,119.5,478.7,68.3,189.0,478.7,221.4,189.8,195.9,128.3,2672.5,2019.7,Healthcare,35
1997Q1,1997,Q1,598.7,124.3,474.4,69.5,188.5,474.4,216.4,188.4,196.5,128.7,2695.2,2033.2,Healthcare,35
1997Q2,1997,Q2,640.4,132.7,507.7,76.7,194.1,507.7,236.9,218.4,222.2,145.5,2409.2,1746.2,Healthcare,35
1997Q3,1997,Q3,646.3,126.2,520.1,70.7,194.9,520.1,254.5,220.5,223.7,146.5,2515.7,1840.8,Healthcare,35
1997Q4,1997,Q4,642.1,151.9,534.3,70.7,209.7,534.3,249.9,218.3,221.2,143.5,2609.3,1941.8,Healthcare,35
1998Q1,1998,Q1,631.4,192.0,614.7,74.3,249.3,614.7,288.3,241.5,53.4,33.3,2659.3,1891.8,Healthcare,35
1998Q2,1998,Q2,685.0,137.9,547.1,81.5,181.9,547.1,283.7,241.0,244.4,160.1,2774.7,2044.2,Healthcare,35
1998Q3,1998,Q3,653.2,207.0,784.7,74.6,99.9,784.7,395.1,353.6,352.0,228.5,2792.7,2072.9,Healthcare,35
1998Q4,1998,Q4,728.4,210.1,774.4,80.8,296.4,774.4,371.7,322.2,211.4,117.0,3834.6,2910.1,Healthcare,35
1999Q1,1999,Q1,1038.9,304.8,760.0,107.5,348.6,760.0,380.2,302.7,18.5,-34.1,4910.2,3574.9,Healthcare,35
1999Q2,1999,Q2,1119.0,247.6,871.4,115.4,356.1,871.4,399.9,347.7,241.5,158.1,4870.3,3770.8,Healthcare,35
1999Q3,1999,Q3,1104.9,225.7,879.2,112.7,351.4,879.2,415.1,365.4,368.8,248.9,5002.6,3810.9,Healthcare,35
1999Q4,1999,Q4,1160.5,221.7,968.6,115.8,377.6,968.6,475.5,382.2,385.3,257.5,5177.0,3865.4,Healthcare,35
2000Q1,2000,Q1,1258.8,268.4,990.9,117.2,405.2,990.9,466.6,410.2,388.9,263.2,5421.7,4119.2,Healthcare,35
2000Q2,2000,Q2,1432.2,307.6,1124.6,131.3,447.8,1124.6,545.5,470.8,477.1,322.2,5669.4,4491.5,Healthcare,35
2000Q3,2000,Q3,1309.9,316.6,993.8,135.9,400.7,993.8,527.0,454.4,422.7,289.0,5886.1,4739.1,Healthcare,35
2000Q4,2000,Q4,1361.4,351.2,1010.7,143.1,422.3,1010.7,513.5,443.0,459.8,314.1,6171.5,4964.1,Healthcare,35
