Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,955.2,709.4,245.8,0.0,0.0,32.2,245.8,213.6,203.0,124.8,3964.2,1562.6,Financial ,40
1995Q2,1995,Q2,935.2,727.2,208.0,0.0,0.0,33.1,208.0,174.9,162.5,101.8,4147.6,1616.9,Financial ,40
1995Q3,1995,Q3,921.6,728.6,193.0,0.0,0.0,34.6,193.0,158.4,147.3,91.3,4221.1,1680.0,Financial ,40
1995Q4,1995,Q4,958.3,775.1,183.2,0.0,0.0,35.2,183.2,148.0,137.0,85.0,4329.5,1665.5,Financial ,40
1996Q1,1996,Q1,1070.7,793.3,277.4,0.0,0.0,34.9,277.4,242.5,230.8,143.1,4438.5,1775.6,Financial ,40
1996Q2,1996,Q2,1036.8,809.2,227.6,0.0,0.0,34.3,227.6,193.3,180.9,115.2,4194.2,1811.9,Financial ,40
1996Q3,1996,Q3,989.0,780.0,209.0,0.0,0.0,34.8,209.0,174.2,163.4,102.6,4300.8,1739.5,Financial ,40
1996Q4,1996,Q4,1052.5,911.3,141.2,0.0,0.0,35.9,141.2,105.3,92.9,98.4,4545.2,1888.6,Financial ,40
1997Q1,1997,Q1,1208.7,894.3,314.4,0.0,0.0,37.1,314.4,277.3,263.0,164.4,7257.6,3001.7,Financial ,40
1997Q2,1997,Q2,1449.8,1135.7,314.1,0.0,0.0,52.5,314.1,261.6,238.0,145.0,7456.8,3182.8,Financial ,40
1997Q3,1997,Q3,1455.8,1149.2,306.6,0.0,0.0,57.7,306.4,249.0,226.8,140.0,7385.1,3323.5,Financial ,40
1997Q4,1997,Q4,1894.3,1885.5,8.8,0.0,0.0,51.8,8.8,-43.0,-65.4,-50.0,7914.2,3233.0,Financial ,40
1998Q1,1998,Q1,1776.0,1316.0,460.0,0.0,0.0,56.0,460.0,404.0,381.0,231.0,8344.0,3507.0,Financial ,40
1998Q2,1998,Q2,1750.0,1339.0,411.0,0.0,0.0,65.0,411.0,346.0,320.0,193.0,8599.0,3520.0,Financial ,40
1998Q3,1998,Q3,1719.0,1324.0,395.0,0.0,0.0,60.0,395.0,335.0,307.0,186.0,8728.0,3577.0,Financial ,40
1998Q4,1998,Q4,1945.0,1540.0,405.0,0.0,0.0,70.0,405.0,335.0,297.0,186.0,11871.0,3659.0,Financial ,40
1999Q1,1999,Q1,2351.0,1742.0,609.0,0.0,0.0,90.0,609.0,519.0,466.0,279.0,11869.0,3759.0,Financial ,40
1999Q2,1999,Q2,2245.0,1810.0,435.0,0.0,0.0,88.0,435.0,347.0,296.0,177.0,11977.0,4081.0,Financial ,40
1999Q3,1999,Q3,2227.0,1703.0,524.0,0.0,0.0,99.0,524.0,425.0,372.0,223.0,12389.0,4272.0,Financial ,40
1999Q4,1999,Q4,2334.0,2043.0,291.0,0.0,0.0,123.0,291.0,168.0,113.0,47.0,13021.0,4170.0,Financial ,40
2000Q1,2000,Q1,2665.0,1953.0,712.0,0.0,0.0,100.0,712.0,612.0,557.0,337.0,13419.0,4449.0,Financial ,40
2000Q2,2000,Q2,2481.0,1875.0,606.0,0.0,0.0,100.0,606.0,506.0,444.0,276.0,13636.0,4639.0,Financial ,40
2000Q3,2000,Q3,2535.0,1916.0,619.0,0.0,0.0,103.0,619.0,516.0,460.0,282.0,13616.0,5003.0,Financial ,40
2000Q4,2000,Q4,2476.0,1746.0,730.0,0.0,0.0,185.0,730.0,545.0,473.0,286.0,13769.0,5228.0,Financial ,40
2001Q1,2001,Q1,2594.0,1949.0,645.0,0.0,0.0,0.0,776.0,645.0,593.0,369.0,13491.0,5266.0,Financial ,40
2001Q2,2001,Q2,2505.0,1979.0,526.0,0.0,0.0,0.0,660.0,526.0,472.0,293.0,13400.0,5226.0,Financial ,40
2001Q3,2001,Q3,2371.0,2059.0,312.0,0.0,0.0,0.0,440.0,312.0,272.0,168.0,13443.0,5095.0,Financial ,40
2001Q4,2001,Q4,2473.0,2193.0,280.0,0.0,0.0,0.0,407.0,280.0,243.0,144.0,13293.0,5173.0,Financial ,40
2002Q1,2002,Q1,2635.0,1948.0,687.0,0.0,0.0,0.0,773.0,687.0,650.0,418.0,13201.0,5342.0,Financial ,40
2002Q2,2002,Q2,2612.0,2047.0,565.0,0.0,0.0,0.0,654.0,565.0,531.0,336.0,13124.0,5037.0,Financial ,40
2002Q3,2002,Q3,2553.0,2041.0,512.0,0.0,0.0,0.0,602.0,512.0,467.0,299.0,13018.0,5006.0,Financial ,40
2002Q4,2002,Q4,2640.0,2130.0,510.0,0.0,0.0,0.0,604.0,510.0,491.0,312.0,13855.0,5018.0,Financial ,40
2003Q1,2003,Q1,2852.0,2135.0,717.0,0.0,0.0,0.0,812.0,717.0,680.0,443.0,13857.0,5154.0,Financial ,40
2003Q2,2003,Q2,2865.0,2266.0,599.0,0.0,0.0,0.0,698.0,599.0,560.0,365.0,14457.0,5447.0,Financial ,40
2003Q3,2003,Q3,2837.0,2244.0,593.0,0.0,0.0,0.0,691.0,593.0,545.0,357.0,14489.0,5472.0,Financial ,40
2003Q4,2003,Q4,3034.0,2447.0,587.0,0.0,0.0,0.0,686.0,587.0,561.0,375.0,15053.0,5451.0,Financial ,40
2004Q1,2004,Q1,3210.0,2437.0,773.0,0.0,0.0,0.0,881.0,773.0,728.0,446.0,15510.0,5582.0,Financial ,40
2004Q2,2004,Q2,3036.0,2404.0,632.0,0.0,0.0,0.0,735.0,632.0,588.0,389.0,14784.0,5624.0,Financial ,40
2004Q3,2004,Q3,2969.0,2841.0,128.0,0.0,1716.0,0.0,251.0,128.0,79.0,21.0,17075.0,5658.0,Financial ,40
2004Q4,2004,Q4,2944.0,0.0,2944.0,0.0,0.0,-3829.0,-763.0,-885.0,-941.0,-680.0,18337.0,5056.0,Financial ,40
2005Q1,2005,Q1,3182.0,2910.0,272.0,0.0,2809.0,0.0,392.0,261.0,212.0,134.0,17547.0,5028.0,Financial ,40
2005Q2,2005,Q2,3096.0,2790.0,306.0,0.0,924.0,0.0,423.0,293.0,244.0,166.0,17132.0,5008.0,Financial ,40
2005Q3,2005,Q3,2898.0,887.0,2011.0,0.0,861.0,1816.0,306.0,187.0,97.0,65.0,17508.0,5359.0,Financial ,40
2005Q4,2005,Q4,2476.0,993.0,1483.0,0.0,1360.0,1400.0,193.0,83.0,18.0,39.0,17892.0,5360.0,Financial ,40
2006Q1,2006,Q1,3025.0,0.0,3025.0,0.0,2337.0,2627.0,458.0,337.0,336.0,416.0,17522.0,5739.0,Financial ,40
2006Q2,2006,Q2,2980.0,1802.0,1178.0,0.0,841.0,841.0,448.0,337.0,272.0,172.0,17437.0,6016.0,Financial ,40
2006Q3,2006,Q3,2884.0,1742.0,1142.0,0.0,2288.0,822.0,355.0,244.0,261.0,176.0,17815.0,6204.0,Financial ,40
2006Q4,2006,Q4,3032.0,1820.0,1212.0,0.0,809.0,809.0,548.0,403.0,350.0,226.0,18137.0,5819.0,Financial ,40
2007Q1,2007,Q1,2812.0,0.0,2812.0,0.0,2425.0,2425.0,507.0,387.0,335.0,268.0,17228.0,5948.0,Financial ,40
2007Q2,2007,Q2,2819.0,854.0,1965.0,0.0,2546.0,2546.0,389.0,273.0,213.0,177.0,17189.0,5659.0,Financial ,40
2007Q3,2007,Q3,2794.0,810.0,1984.0,0.0,2600.0,2600.0,296.0,194.0,159.0,1945.0,17543.0,6922.0,Financial ,40
2007Q4,2007,Q4,2925.0,0.0,2925.0,0.0,2760.0,2760.0,269.0,165.0,140.0,85.0,17359.0,7822.0,Financial ,40
2008Q1,2008,Q1,3047.0,0.0,3047.0,0.0,1828.0,3127.0,39.0,-88.0,-118.0,-210.0,16473.0,7523.0,Financial ,40
2008Q2,2008,Q2,3048.0,866.0,2182.0,0.0,1879.0,2866.0,279.0,180.0,123.0,65.0,16432.0,7532.0,Financial ,40
2008Q3,2008,Q3,2838.0,957.0,1881.0,0.0,2768.0,2768.0,168.0,70.0,3.0,-8.0,16026.0,6916.0,Financial ,40
2008Q4,2008,Q4,2662.0,0.0,2662.0,0.0,2563.0,2563.0,201.0,99.0,71.0,80.0,15206.0,5722.0,Financial ,40
2009Q1,2009,Q1,2629.0,0.0,2629.0,0.0,1571.0,2298.0,405.0,324.0,266.0,176.0,14860.0,5660.0,Financial ,40
2009Q2,2009,Q2,2629.0,731.0,1898.0,0.0,1528.0,2335.0,359.0,294.0,-113.0,-193.0,14921.0,5727.0,Financial ,40
2009Q3,2009,Q3,2523.0,701.0,1822.0,0.0,1533.0,2307.0,314.0,195.0,181.0,221.0,15341.0,6004.0,Financial ,40
2009Q4,2009,Q4,2732.0,0.0,2732.0,0.0,1703.0,2742.0,105.0,-10.0,-44.0,23.0,15337.0,5828.0,Financial ,40
2010Q1,2010,Q1,2795.0,0.0,2795.0,0.0,1575.0,2356.0,534.0,425.0,391.0,248.0,14962.0,5977.0,Financial ,40
2010Q2,2010,Q2,2606.0,1042.0,1564.0,0.0,1614.0,2656.0,64.0,-50.0,-89.0,236.0,15621.0,6000.0,Financial ,40
2010Q3,2010,Q3,2524.0,699.0,1825.0,0.0,1586.0,2285.0,327.0,239.0,183.0,168.0,14903.0,6415.0,Financial ,40
2010Q4,2010,Q4,2785.0,0.0,2785.0,0.0,1690.0,2460.0,434.0,325.0,298.0,203.0,15310.0,6368.0,Financial ,40
2011Q1,2011,Q1,2884.0,0.0,2884.0,0.0,1721.0,2412.0,581.0,472.0,447.0,325.0,15073.0,6629.0,Financial ,40
2011Q2,2011,Q2,2928.0,735.0,2193.0,0.0,1728.0,2463.0,546.0,465.0,415.0,282.0,15451.0,6727.0,Financial ,40
2011Q3,2011,Q3,2806.0,743.0,2063.0,0.0,1753.0,2496.0,332.0,310.0,198.0,130.0,15121.0,6407.0,Financial ,40
2011Q4,2011,Q4,2908.0,0.0,2908.0,0.0,1767.0,2517.0,476.0,391.0,344.0,256.0,15454.0,5883.0,Financial ,40
2012Q1,2012,Q1,3051.0,0.0,3051.0,0.0,1796.0,2524.0,636.0,527.0,507.0,347.0,15010.0,6198.0,Financial ,40
2012Q2,2012,Q2,3026.0,732.0,2294.0,0.0,1776.0,2508.0,612.0,518.0,483.0,329.0,15202.0,6273.0,Financial ,40
2012Q3,2012,Q3,2845.0,707.0,2138.0,0.0,1760.0,2467.0,467.0,378.0,336.0,241.0,15736.0,6510.0,Financial ,40
2012Q4,2012,Q4,3002.0,1802.0,1200.0,0.0,1802.0,794.0,511.0,406.0,370.0,259.0,16307.0,6542.0,Financial ,40
2013Q1,2013,Q1,3126.0,1803.0,1323.0,0.0,1803.0,716.0,719.0,607.0,588.0,413.0,15537.0,6640.0,Financial ,40
2013Q2,2013,Q2,3088.0,1766.0,1322.0,0.0,1766.0,745.0,694.0,577.0,564.0,388.0,15838.0,6779.0,Financial ,40
2013Q3,2013,Q3,2932.0,1824.0,1108.0,0.0,1824.0,704.0,512.0,404.0,383.0,253.0,16976.0,7042.0,Financial ,40
2013Q4,2013,Q4,3115.0,1833.0,1282.0,0.0,1833.0,793.0,573.0,489.0,438.0,303.0,16928.0,7905.0,Financial ,40
2014Q1,2014,Q1,3264.0,1839.0,1425.0,0.0,1839.0,752.0,788.0,673.0,649.0,443.0,16577.0,7961.0,Financial ,40
2014Q2,2014,Q2,3300.0,1876.0,1424.0,0.0,1876.0,777.0,744.0,647.0,608.0,431.0,17588.0,8151.0,Financial ,40
2014Q3,2014,Q3,3141.0,1904.0,1237.0,0.0,1904.0,792.0,575.0,445.0,432.0,297.0,18058.0,7833.0,Financial ,40
2014Q4,2014,Q4,3246.0,1896.0,1350.0,0.0,1896.0,814.0,503.0,536.0,368.0,294.0,17840.0,7054.0,Financial ,40
