Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,4087.0,2419.0,1668.0,0.0,1022.0,1022.0,919.0,646.0,607.0,376.0,14203.0,7126.0,Industrials,20
1995Q2,1995,Q2,4135.0,2492.0,1643.0,0.0,1054.0,1054.0,870.0,589.0,565.0,353.0,14751.0,7294.0,Industrials,20
1995Q3,1995,Q3,4069.0,2474.0,1595.0,0.0,1009.0,1009.0,859.0,586.0,547.0,344.0,14525.0,7268.0,Industrials,20
1995Q4,1995,Q4,1169.0,335.0,834.0,0.0,355.0,355.0,432.0,400.0,372.0,-97.0,14183.0,6884.0,Industrials,20
1996Q1,1996,Q1,3468.0,1990.0,1478.0,0.0,882.0,882.0,813.0,596.0,580.0,362.0,14123.0,6973.0,Industrials,20
1996Q2,1996,Q2,3522.0,1986.0,1536.0,0.0,908.0,908.0,851.0,628.0,612.0,381.0,13211.0,6095.0,Industrials,20
1996Q3,1996,Q3,3623.0,2069.0,1554.0,0.0,916.0,916.0,857.0,638.0,619.0,398.0,13689.0,6295.0,Industrials,20
1996Q4,1996,Q4,3623.0,2054.0,1569.0,0.0,940.0,940.0,853.0,629.0,591.0,385.0,13364.0,6284.0,Industrials,20
1997Q1,1997,Q1,3714.0,2089.0,1625.0,0.0,937.0,937.0,905.0,688.0,677.0,410.0,13296.0,6236.0,Industrials,20
1997Q2,1997,Q2,3817.0,2156.0,1661.0,0.0,972.0,972.0,906.0,689.0,680.0,418.0,13594.0,6349.0,Industrials,20
1997Q3,1997,Q3,3826.0,2173.0,1653.0,0.0,952.0,952.0,921.0,701.0,1494.0,927.0,13421.0,6324.0,Industrials,20
1997Q4,1997,Q4,3713.0,2162.0,1551.0,0.0,954.0,954.0,813.0,597.0,589.0,366.0,13238.0,5926.0,Industrials,20
1998Q1,1998,Q1,3700.0,2096.0,1604.0,0.0,924.0,924.0,893.0,680.0,657.0,400.0,13657.0,6013.0,Industrials,20
1998Q2,1998,Q2,3770.0,2162.0,1608.0,0.0,967.0,967.0,855.0,641.0,617.0,386.0,13878.0,6044.0,Industrials,20
1998Q3,1998,Q3,3766.0,2190.0,1576.0,0.0,947.0,947.0,514.0,297.0,281.0,178.0,13965.0,5884.0,Industrials,20
1998Q4,1998,Q4,3785.0,2257.0,1528.0,0.0,946.0,946.0,643.0,421.0,397.0,211.0,14153.0,5936.0,Industrials,20
1999Q1,1999,Q1,3776.0,2162.0,1614.0,0.0,965.0,965.0,872.0,649.0,626.0,384.0,13746.0,5969.0,Industrials,20
1999Q2,1999,Q2,3863.0,2188.0,1675.0,0.0,871.0,871.0,1030.0,804.0,785.0,476.0,13367.0,6173.0,Industrials,20
1999Q3,1999,Q3,3997.0,2253.0,1744.0,0.0,1009.0,1009.0,981.0,761.0,742.0,459.0,13905.0,6370.0,Industrials,20
1999Q4,1999,Q4,4023.0,2249.0,1774.0,0.0,1034.0,1034.0,973.0,742.0,727.0,444.0,13896.0,6289.0,Industrials,20
2000Q1,2000,Q1,4052.0,2266.0,1786.0,0.0,1021.0,971.0,1043.0,815.0,795.0,487.0,13969.0,6259.0,Industrials,20
