Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,3817.3,1726.2,2091.1,288.2,770.0,1106.0,1032.9,985.1,1095.8,757.4,21720.3,11047.8,Healthcare,35
1995Q2,1995,Q2,4135.7,1746.0,2389.7,329.7,849.6,1226.7,1210.4,1163.0,1241.5,858.1,21826.7,11361.3,Healthcare,35
1995Q3,1995,Q3,4171.1,1858.2,2312.9,332.5,767.2,1147.3,1213.3,1165.6,1247.0,861.9,22445.7,11516.8,Healthcare,35
1995Q4,1995,Q4,4557.0,1458.7,3098.3,381.0,911.0,2008.3,1806.3,1090.0,1212.9,857.8,23831.8,11735.7,Healthcare,35
1996Q1,1996,Q1,4530.4,2233.1,2297.3,349.5,814.3,1210.8,1133.5,1086.5,1239.0,863.8,23983.9,11663.4,Healthcare,35
1996Q2,1996,Q2,4908.8,2283.8,2625.0,347.7,946.2,1341.1,1331.1,1283.9,1394.4,972.1,23246.2,11333.3,Healthcare,35
1996Q3,1996,Q3,4983.4,2328.4,2655.0,366.8,941.8,1358.6,1346.4,1296.4,1437.4,1001.9,23981.5,11396.5,Healthcare,35
1996Q4,1996,Q4,5406.1,1743.0,3663.1,423.3,1139.0,2345.2,2100.8,1317.9,1470.0,1043.5,24293.1,11970.5,Healthcare,35
1997Q1,1997,Q1,5567.9,2786.3,2781.6,368.6,1060.7,1477.1,1352.3,1304.5,1463.4,1020.3,24732.4,12432.2,Healthcare,35
1997Q2,1997,Q2,5909.2,2944.3,2964.9,396.4,1044.2,1488.9,1524.3,1476.0,1632.3,1154.4,25627.9,12821.1,Healthcare,35
1997Q3,1997,Q3,5927.7,2991.0,2936.7,424.7,1048.4,1521.6,1463.6,1415.1,1694.9,1197.2,25897.8,12834.2,Healthcare,35
1997Q4,1997,Q4,6232.1,2231.6,4000.5,493.9,1146.0,2529.6,2360.6,1470.9,1671.7,1242.2,25735.9,12594.6,Healthcare,35
1998Q1,1998,Q1,6058.8,3235.6,2823.2,388.5,995.1,1431.9,1439.6,1391.3,1635.2,1164.4,26399.9,13146.3,Healthcare,35
1998Q2,1998,Q2,6470.4,3383.4,3087.0,441.0,1058.8,1548.1,1587.2,1538.9,1826.1,1316.1,27494.0,13663.6,Healthcare,35
1998Q3,1998,Q3,6838.3,3544.1,3294.2,450.4,1087.2,1621.9,2338.8,1672.3,2715.3,1367.0,31157.0,12560.8,Healthcare,35
1998Q4,1998,Q4,7530.7,3593.7,3937.0,541.2,1370.2,2163.5,2025.6,1773.5,1956.5,1400.7,31853.4,12801.8,Healthcare,35
1999Q1,1999,Q1,7536.7,3952.6,3584.1,441.8,1154.3,1881.0,1988.0,1703.1,1842.8,1299.6,32289.1,13342.6,Healthcare,35
1999Q2,1999,Q2,8018.2,4155.7,3862.5,482.7,1184.4,1959.4,2195.4,1903.1,2330.6,1478.1,33210.1,12974.9,Healthcare,35
1999Q3,1999,Q3,8195.7,4158.4,4037.3,516.0,1272.7,2074.0,2248.6,1963.3,2234.7,1539.6,34587.5,12856.6,Healthcare,35
1999Q4,1999,Q4,8963.4,4440.1,4523.3,627.8,1588.6,2498.7,2306.9,2024.6,2211.4,1573.2,35634.9,13241.6,Healthcare,35
2000Q1,2000,Q1,8851.4,4592.3,4259.1,523.6,1417.2,2260.7,2318.3,1998.4,2194.0,1499.6,35778.4,12101.7,Healthcare,35
2000Q2,2000,Q2,9477.1,4846.7,4630.4,548.0,1463.6,2330.5,2618.8,2299.9,2477.3,1721.7,37443.3,12719.0,Healthcare,35
2000Q3,2000,Q3,10567.5,5710.5,4857.0,609.8,1512.8,2445.4,2734.4,2411.6,2641.6,1835.9,38007.6,13520.0,Healthcare,35
2000Q4,2000,Q4,11467.3,6016.7,5450.6,662.3,1774.2,3071.3,3014.1,2379.3,2511.1,1764.4,39910.4,14832.4,Healthcare,35
2001Q1,2001,Q1,11345.1,7046.5,4298.6,547.4,1506.2,2134.2,2524.6,2164.4,2367.5,1657.3,40226.3,14856.7,Healthcare,35
2001Q2,2001,Q2,11893.1,7204.8,4688.3,602.4,1637.4,2320.3,2731.4,2368.0,2593.5,1815.4,41748.5,14766.3,Healthcare,35
2001Q3,2001,Q3,11919.6,7082.8,4836.8,590.3,1525.3,2199.3,3006.0,2637.5,2783.1,1948.2,43705.6,15356.7,Healthcare,35
2001Q4,2001,Q4,12557.9,7642.4,4915.5,716.4,1555.4,2357.1,2930.1,2558.4,2658.5,1860.9,44021.2,16050.1,Healthcare,35
2002Q1,2002,Q1,12169.3,7980.7,4188.6,530.3,1464.8,2046.5,2504.2,2142.1,2321.5,1625.0,45474.7,16446.0,Healthcare,35
2002Q2,2002,Q2,12809.7,8292.6,4517.1,631.2,1477.8,2160.0,2722.2,2357.1,2501.0,1750.7,45960.4,16777.1,Healthcare,35
2002Q3,2002,Q3,5426.1,973.2,4452.9,676.9,1407.6,2114.4,2534.9,2338.5,2510.3,1884.0,47337.4,17532.5,Healthcare,35
2002Q4,2002,Q4,13918.4,8700.1,5218.3,838.8,1681.5,2571.7,3029.7,2646.6,2699.8,1889.8,47561.2,18200.5,Healthcare,35
2003Q1,2003,Q1,5571.4,1080.1,4491.3,810.7,1513.9,2355.9,2461.5,2135.4,2216.2,1710.4,48953.5,18876.1,Healthcare,35
2003Q2,2003,Q2,5525.4,988.5,4536.9,786.4,1589.9,2413.2,2464.5,2123.7,2469.8,1867.0,50008.1,19607.2,Healthcare,35
2003Q3,2003,Q3,5762.0,1083.4,4678.6,776.5,1463.6,2240.1,2765.2,2438.5,2604.8,1858.3,42589.0,15312.7,Healthcare,35
2003Q4,2003,Q4,5627.1,1228.3,4398.8,894.9,1794.1,2725.5,1993.9,1673.3,1760.9,1395.2,40587.5,15576.4,Healthcare,35
2004Q1,2004,Q1,5630.8,1148.2,4482.6,996.3,1611.4,2607.7,2223.1,1874.9,2342.9,1618.6,41665.2,16271.2,Healthcare,35
2004Q2,2004,Q2,6021.7,1163.7,4858.0,986.0,1616.2,2602.2,2608.1,2255.8,2438.8,1768.1,41854.6,16967.4,Healthcare,35
2004Q3,2004,Q3,5538.1,1364.2,4173.9,919.3,1752.9,2672.2,1852.5,1501.7,1813.0,1325.6,42874.4,17311.5,Healthcare,35
2004Q4,2004,Q4,5747.9,1283.6,4464.3,1108.6,2365.8,3474.4,1389.3,989.9,1379.8,1101.1,42572.8,17288.2,Healthcare,35
2005Q1,2005,Q1,5362.2,1271.4,4090.8,846.6,1605.5,2452.1,2018.5,1638.7,1920.7,1370.1,43117.1,17649.0,Healthcare,35
2005Q2,2005,Q2,5467.5,1160.6,4306.9,946.8,1755.3,2702.1,2004.1,1604.8,1924.9,720.6,43006.3,17385.1,Healthcare,35
2005Q3,2005,Q3,5416.2,1238.8,4177.4,942.6,1741.2,2683.8,1916.7,1493.6,1998.4,1420.9,43831.0,17778.4,Healthcare,35
2005Q4,2005,Q4,5765.9,1478.7,4287.2,1112.0,2045.7,3157.7,1635.4,1129.5,1519.9,1119.7,44845.8,17977.7,Healthcare,35
2006Q1,2006,Q1,5409.8,1342.7,4067.1,942.0,1715.0,2657.0,2033.5,1410.1,1970.4,1520.0,43418.0,18846.2,Healthcare,35
2006Q2,2006,Q2,5771.7,1445.2,4326.5,1172.5,1734.0,2906.5,1958.7,1420.0,2108.3,1499.3,43478.7,19298.8,Healthcare,35
2006Q3,2006,Q3,5410.4,1544.1,3866.3,945.4,2370.6,3316.0,1113.6,550.3,1230.8,940.6,43719.1,19285.3,Healthcare,35
2006Q4,2006,Q4,6044.1,1669.1,4375.0,1723.0,2345.8,4068.8,849.2,306.2,911.9,473.9,44569.8,17559.7,Healthcare,35
2007Q1,2007,Q1,5769.4,1525.8,4243.6,1030.0,1802.0,2832.0,1912.0,1411.6,2254.4,1704.3,42992.5,18479.3,Healthcare,35
