Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2690.0,2235.0,455.0,0.0,73.0,332.0,330.0,123.0,128.0,75.0,10901.0,3268.0,Energy,10
1995Q2,1995,Q2,2847.0,2257.0,590.0,0.0,79.0,339.0,460.0,251.0,173.0,107.0,10844.0,3327.0,Energy,10
1995Q3,1995,Q3,2774.0,2224.0,550.0,0.0,74.0,328.0,429.0,222.0,112.0,92.0,10749.0,3291.0,Energy,10
1995Q4,1995,Q4,2852.0,2444.0,408.0,0.0,71.0,310.0,292.0,-561.0,-603.0,-366.0,10109.0,2872.0,Energy,10
1996Q1,1996,Q1,2994.0,2463.0,531.0,0.0,78.0,309.0,404.0,222.0,320.0,216.0,10091.0,3040.0,Energy,10
1996Q2,1996,Q2,3371.0,2765.0,606.0,0.0,82.0,300.0,479.0,306.0,165.0,124.0,9927.0,3115.0,Energy,10
1996Q3,1996,Q3,3438.0,2925.0,513.0,0.0,77.0,291.0,389.0,222.0,251.0,164.0,10103.0,3232.0,Energy,10
1996Q4,1996,Q4,3761.0,3171.0,590.0,0.0,82.0,315.0,446.0,275.0,255.0,160.0,10151.0,3340.0,Energy,10
1997Q1,1997,Q1,3427.0,2791.0,636.0,0.0,84.0,308.0,499.0,328.0,165.0,108.0,9975.0,3397.0,Energy,10
1997Q2,1997,Q2,3111.0,2520.0,591.0,0.0,83.0,296.0,458.0,295.0,175.0,118.0,10108.0,3469.0,Energy,10
1997Q3,1997,Q3,3191.0,2578.0,613.0,0.0,96.0,309.0,467.0,304.0,296.0,192.0,10248.0,3617.0,Energy,10
1997Q4,1997,Q4,3203.0,2692.0,511.0,0.0,92.0,308.0,370.0,203.0,36.0,38.0,10565.0,3618.0,Energy,10
1998Q1,1998,Q1,4460.0,3904.0,556.0,0.0,131.0,453.0,373.0,351.0,294.0,183.0,13758.0,3746.0,Energy,10
1998Q2,1998,Q2,4641.0,3840.0,801.0,0.0,120.0,385.0,625.0,414.0,246.0,162.0,14401.0,3893.0,Energy,10
1998Q3,1998,Q3,4684.0,4034.0,650.0,0.0,132.0,400.0,472.0,249.0,82.0,51.0,15123.0,3937.0,Energy,10
1998Q4,1998,Q4,4360.0,3860.0,500.0,0.0,122.0,413.0,327.0,87.0,-170.0,-86.0,14544.0,4312.0,Energy,10
1999Q1,1999,Q1,3927.0,3468.0,459.0,0.0,122.0,416.0,280.0,43.0,183.0,119.0,14670.0,4368.0,Energy,10
1999Q2,1999,Q2,4444.0,3728.0,716.0,0.0,132.0,417.0,521.0,299.0,216.0,134.0,14905.0,4440.0,Energy,10
1999Q3,1999,Q3,5457.0,4661.0,796.0,0.0,121.0,397.0,618.0,399.0,341.0,230.0,15413.0,4649.0,Energy,10
1999Q4,1999,Q4,6411.0,5654.0,757.0,0.0,111.0,451.0,578.0,306.0,238.0,171.0,15705.0,4800.0,Energy,10
2000Q1,2000,Q1,6807.0,5950.0,857.0,0.0,134.0,447.0,656.0,410.0,399.0,254.0,15772.0,4987.0,Energy,10
2000Q2,2000,Q2,7755.0,6493.0,1262.0,0.0,124.0,432.0,1070.0,830.0,589.0,367.0,16421.0,5289.0,Energy,10
2000Q3,2000,Q3,8107.0,6974.0,1133.0,0.0,151.0,463.0,911.0,670.0,561.0,121.0,16376.0,5300.0,Energy,10
