Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1587.0,165.0,1422.0,219.0,584.0,873.0,619.0,549.0,592.0,396.0,6592.0,4930.0,Information Technology,45
1995Q2,1995,Q2,1621.0,168.0,1453.0,264.0,591.0,921.0,598.0,532.0,547.0,368.0,7210.0,5333.0,Information Technology,45
1995Q3,1995,Q3,2016.0,253.0,1763.0,302.0,684.0,1055.0,777.0,708.0,770.0,499.0,8160.0,5739.0,Information Technology,45
1995Q4,1995,Q4,2195.0,252.0,1943.0,313.0,766.0,1157.0,864.0,786.0,885.0,575.0,9106.0,6180.0,Information Technology,45
1996Q1,1996,Q1,2205.0,106.0,2099.0,364.0,772.0,1325.0,963.0,774.0,864.0,562.0,9590.0,6595.0,Information Technology,45
1996Q2,1996,Q2,2255.0,97.0,2158.0,453.0,751.0,1348.0,954.0,810.0,860.0,559.0,10093.0,6908.0,Information Technology,45
1996Q3,1996,Q3,2295.0,88.0,2207.0,432.0,711.0,1305.0,1064.0,902.0,945.0,614.0,10740.0,7277.0,Information Technology,45
1996Q4,1996,Q4,2680.0,152.0,2528.0,485.0,818.0,1447.0,1225.0,1081.0,1140.0,741.0,12786.0,9642.0,Information Technology,45
1997Q1,1997,Q1,3208.0,189.0,3019.0,492.0,851.0,1451.0,1676.0,1568.0,1603.0,1042.0,12613.0,9134.0,Information Technology,45
1997Q2,1997,Q2,3175.0,99.0,3076.0,516.0,838.0,1497.0,1722.0,1579.0,1626.0,1057.0,14387.0,10777.0,Information Technology,45
1997Q3,1997,Q3,3130.0,25.0,3105.0,567.0,883.0,1678.0,1655.0,1427.0,1202.0,663.0,15366.0,11464.0,Information Technology,45
1997Q4,1997,Q4,3585.0,44.0,3541.0,627.0,982.0,1878.0,1932.0,1663.0,1770.0,1133.0,16840.0,12344.0,Information Technology,45
1998Q1,1998,Q1,3774.0,38.0,3736.0,597.0,933.0,1809.0,2206.0,1927.0,2057.0,1337.0,19545.0,14676.0,Information Technology,45
1998Q2,1998,Q2,3995.0,66.0,3929.0,711.0,1047.0,2006.0,2171.0,1923.0,2088.0,1357.0,22357.0,16627.0,Information Technology,45
1998Q3,1998,Q3,4193.0,470.0,3723.0,611.0,811.0,1641.0,2261.0,2082.0,2503.0,1683.0,25569.0,19124.0,Information Technology,45
1998Q4,1998,Q4,5195.0,611.0,4584.0,667.0,943.0,1835.0,2926.0,2749.0,3051.0,1983.0,30049.0,22578.0,Information Technology,45
1999Q1,1999,Q1,4595.0,550.0,4045.0,611.0,993.0,1815.0,2388.0,2230.0,2949.0,1917.0,33561.0,25722.0,Information Technology,45
1999Q2,1999,Q2,6525.0,1228.0,5297.0,1081.0,762.0,2339.0,3454.0,2958.0,3388.0,2202.0,38625.0,28438.0,Information Technology,45
1999Q3,1999,Q3,5384.0,367.0,5017.0,834.0,1070.0,2228.0,3134.0,2789.0,3320.0,2191.0,39672.0,31340.0,Information Technology,45
1999Q4,1999,Q4,6112.0,431.0,5681.0,911.0,1527.0,2750.0,3256.0,2931.0,3691.0,2436.0,45093.0,34589.0,Information Technology,45
2000Q1,2000,Q1,5656.0,477.0,5179.0,990.0,1195.0,2444.0,3010.0,2735.0,3613.0,2385.0,50895.0,39792.0,Information Technology,45
2000Q2,2000,Q2,5804.0,1074.0,4730.0,1040.0,1353.0,2101.0,2337.0,2629.0,3651.0,2409.0,52150.0,41368.0,Information Technology,45
2000Q3,2000,Q3,5766.0,825.0,4941.0,956.0,1208.0,2164.0,3027.0,2777.0,3852.0,2206.0,56089.0,45343.0,Information Technology,45
2000Q4,2000,Q4,6550.0,864.0,5686.0,990.0,1502.0,2492.0,3433.0,3194.0,3917.0,2624.0,57691.0,46422.0,Information Technology,45
2001Q1,2001,Q1,6403.0,899.0,5504.0,1069.0,1437.0,2506.0,3481.0,2998.0,3658.0,2451.0,59605.0,48090.0,Information Technology,45
2001Q2,2001,Q2,6455.0,1717.0,4738.0,1364.0,1595.0,1987.0,3315.0,2751.0,98.0,65.0,58830.0,47289.0,Information Technology,45
2001Q3,2001,Q3,6126.0,884.0,5242.0,1013.0,1332.0,2345.0,3179.0,2897.0,1887.0,1283.0,61367.0,48505.0,Information Technology,45
2001Q4,2001,Q4,7741.0,1544.0,6197.0,1044.0,2312.0,3356.0,3136.0,2841.0,3357.0,2283.0,65387.0,51548.0,Information Technology,45
2002Q1,2002,Q1,7245.0,1395.0,5850.0,1066.0,1486.0,2552.0,3446.0,3298.0,4026.0,2738.0,68379.0,54300.0,Information Technology,45
2002Q2,2002,Q2,7253.0,1368.0,5885.0,1184.0,1827.0,3011.0,3233.0,2874.0,2243.0,1525.0,67646.0,52180.0,Information Technology,45
2002Q3,2002,Q3,7746.0,1344.0,6402.0,1094.0,1667.0,3374.0,3301.0,3028.0,3047.0,2041.0,70235.0,53516.0,Information Technology,45
2002Q4,2002,Q4,8541.0,2137.0,6404.0,1118.0,2656.0,4171.0,2508.0,2233.0,2596.0,1865.0,72359.0,55812.0,Information Technology,45
2003Q1,2003,Q1,7835.0,1274.0,6561.0,1111.0,2125.0,3817.0,3163.0,2744.0,3197.0,2142.0,74482.0,58282.0,Information Technology,45
2003Q2,2003,Q2,8065.0,1238.0,6827.0,1336.0,3298.0,4634.0,2665.0,2193.0,2867.0,1921.0,81732.0,61020.0,Information Technology,45
2003Q3,2003,Q3,8215.0,1480.0,6735.0,1611.0,1976.0,3587.0,3476.0,3148.0,3901.0,2614.0,84281.0,66680.0,Information Technology,45
2003Q4,2003,Q4,10153.0,2344.0,7809.0,2971.0,3363.0,6334.0,1775.0,1475.0,2312.0,1549.0,85937.0,69343.0,Information Technology,45
2004Q1,2004,Q1,9175.0,1411.0,7764.0,1538.0,4948.0,6486.0,1527.0,1278.0,2279.0,1315.0,89767.0,70580.0,Information Technology,45
2004Q2,2004,Q2,9292.0,1481.0,7811.0,1659.0,3019.0,4678.0,3442.0,3133.0,3704.0,2690.0,94368.0,74825.0,Information Technology,45
2004Q3,2004,Q3,9189.0,1405.0,7784.0,1548.0,2760.0,4290.0,3677.0,3494.0,3773.0,2528.0,94268.0,75946.0,Information Technology,45
2004Q4,2004,Q4,10818.0,1922.0,8896.0,1437.0,2710.0,4147.0,4857.0,4749.0,5169.0,3463.0,64941.0,47232.0,Information Technology,45
2005Q1,2005,Q1,9620.0,1363.0,8257.0,1482.0,3446.0,4928.0,3611.0,3329.0,3825.0,2563.0,66275.0,47373.0,Information Technology,45
2005Q2,2005,Q2,10161.0,1410.0,8751.0,1691.0,4071.0,5762.0,3271.0,2989.0,3861.0,3700.0,70815.0,48115.0,Information Technology,45
2005Q3,2005,Q3,9741.0,1253.0,8488.0,1515.0,2927.0,4442.0,4280.0,4046.0,4552.0,3141.0,71462.0,48327.0,Information Technology,45
2005Q4,2005,Q4,11837.0,2239.0,9598.0,1591.0,3350.0,4941.0,4888.0,4657.0,5137.0,3653.0,67257.0,44208.0,Information Technology,45
2006Q1,2006,Q1,10900.0,2028.0,8872.0,1617.0,3367.0,4984.0,4065.0,3888.0,4315.0,2977.0,66854.0,42038.0,Information Technology,45
2006Q2,2006,Q2,11804.0,2130.0,9674.0,1861.0,3932.0,5793.0,4142.0,3881.0,4258.0,2828.0,69597.0,40104.0,Information Technology,45
2006Q3,2006,Q3,10811.0,1696.0,9115.0,1786.0,2855.0,4641.0,4723.0,4474.0,5041.0,3478.0,65354.0,36101.0,Information Technology,45
2006Q4,2006,Q4,12542.0,3620.0,8922.0,1637.0,3813.0,5450.0,3837.0,3472.0,3805.0,2626.0,66371.0,36634.0,Information Technology,45
2007Q1,2007,Q1,14398.0,2140.0,12258.0,1750.0,3919.0,5669.0,7034.0,6589.0,6971.0,4926.0,63891.0,34973.0,Information Technology,45
2007Q2,2007,Q2,13371.0,3237.0,10134.0,1948.0,4197.0,6145.0,4370.0,3989.0,4284.0,3035.0,63171.0,31097.0,Information Technology,45
2007Q3,2007,Q3,13762.0,2675.0,11087.0,1837.0,3332.0,5169.0,6353.0,5918.0,6216.0,4289.0,65645.0,32135.0,Information Technology,45
2007Q4,2007,Q4,16367.0,3543.0,12824.0,1885.0,4458.0,6343.0,6962.0,6481.0,6820.0,4707.0,67339.0,34431.0,Information Technology,45
2008Q1,2008,Q1,14454.0,2514.0,11940.0,2035.0,5496.0,7531.0,4941.0,4409.0,4810.0,4388.0,70747.0,37554.0,Information Technology,45
2008Q2,2008,Q2,15837.0,2866.0,12971.0,2407.0,4880.0,7287.0,6292.0,5684.0,5968.0,4297.0,72793.0,36286.0,Information Technology,45
2008Q3,2008,Q3,15061.0,2848.0,12213.0,2283.0,3931.0,6214.0,6584.0,5999.0,5991.0,4373.0,65117.0,33594.0,Information Technology,45
2008Q4,2008,Q4,16629.0,3907.0,12722.0,2290.0,4493.0,6783.0,6571.0,5939.0,5638.0,4174.0,65786.0,34478.0,Information Technology,45
2009Q1,2009,Q1,13648.0,2814.0,10834.0,2212.0,4184.0,6396.0,5102.0,4438.0,4050.0,2977.0,68853.0,36943.0,Information Technology,45
2009Q2,2009,Q2,13099.0,2586.0,10513.0,2225.0,4301.0,6526.0,4668.0,3987.0,4142.0,3045.0,77888.0,39558.0,Information Technology,45
2009Q3,2009,Q3,12920.0,2842.0,10078.0,2065.0,3531.0,5596.0,5449.0,4482.0,4765.0,3574.0,81612.0,41212.0,Information Technology,45
2009Q4,2009,Q4,19022.0,3628.0,15394.0,2079.0,4802.0,6881.0,9536.0,8513.0,8883.0,6662.0,82096.0,44283.0,Information Technology,45
2010Q1,2010,Q1,14503.0,2755.0,11748.0,2220.0,4355.0,6575.0,6073.0,5173.0,5341.0,4006.0,84910.0,45710.0,Information Technology,45
2010Q2,2010,Q2,16039.0,3170.0,12869.0,2350.0,4530.0,6880.0,7714.0,5930.0,6024.0,4518.0,86113.0,46175.0,Information Technology,45
2010Q3,2010,Q3,16195.0,3139.0,13056.0,2196.0,3744.0,5940.0,7969.0,7116.0,7230.0,5410.0,91540.0,46942.0,Information Technology,45
2010Q4,2010,Q4,19953.0,4833.0,15120.0,2185.0,4770.0,6955.0,9232.0,8165.0,8497.0,6634.0,92306.0,48481.0,Information Technology,45
2011Q1,2011,Q1,16428.0,3897.0,12531.0,2269.0,4553.0,6822.0,6429.0,5709.0,6025.0,5232.0,99727.0,53452.0,Information Technology,45
2011Q2,2011,Q2,17367.0,3708.0,13659.0,2393.0,5095.0,7488.0,7102.0,6171.0,6319.0,5874.0,108704.0,57083.0,Information Technology,45
2011Q3,2011,Q3,17372.0,3777.0,13595.0,2329.0,4063.0,6392.0,8126.0,7203.0,7306.0,5738.0,107415.0,59391.0,Information Technology,45
2011Q4,2011,Q4,20885.0,5638.0,15247.0,2371.0,4882.0,7253.0,9012.0,7994.0,8239.0,6624.0,112243.0,64121.0,Information Technology,45
2012Q1,2012,Q1,17407.0,3952.0,13455.0,2517.0,4564.0,7081.0,7224.0,6374.0,6363.0,5108.0,118010.0,68659.0,Information Technology,45
2012Q2,2012,Q2,18059.0,4163.0,13896.0,2594.0,4917.0,7511.0,1873.0,192.0,359.0,-492.0,121271.0,66363.0,Information Technology,45
2012Q3,2012,Q3,16008.0,4168.0,11840.0,2460.0,4072.0,6532.0,6339.0,5308.0,5534.0,4466.0,121876.0,68836.0,Information Technology,45
2012Q4,2012,Q4,21456.0,5692.0,15764.0,2528.0,5465.0,7993.0,8884.0,7771.0,7770.0,6377.0,128683.0,72576.0,Information Technology,45
2013Q1,2013,Q1,20489.0,4787.0,15702.0,2640.0,5450.0,8090.0,8765.0,7612.0,7603.0,6055.0,134105.0,76688.0,Information Technology,45
2013Q2,2013,Q2,19896.0,5602.0,14294.0,2783.0,5438.0,8221.0,7248.0,6073.0,6145.0,4965.0,142431.0,78944.0,Information Technology,45
2013Q3,2013,Q3,18529.0,5145.0,13384.0,2767.0,4283.0,7050.0,7480.0,6334.0,6408.0,5244.0,142348.0,81641.0,Information Technology,45
2013Q4,2013,Q4,24519.0,8322.0,16197.0,2748.0,5480.0,8228.0,9274.0,7969.0,7878.0,6558.0,153543.0,85100.0,Information Technology,45
2014Q1,2014,Q1,20403.0,5978.0,14425.0,2743.0,4708.0,7451.0,8387.0,6974.0,6957.0,5660.0,156119.0,87424.0,Information Technology,45
2014Q2,2014,Q2,23382.0,7595.0,15787.0,3123.0,6055.0,9305.0,8488.0,6482.0,6577.0,4612.0,172384.0,89784.0,Information Technology,45
2014Q3,2014,Q3,23201.0,8273.0,14928.0,3065.0,4879.0,7944.0,7485.0,5844.0,5896.0,4540.0,169656.0,90170.0,Information Technology,45
2014Q4,2014,Q4,26470.0,10136.0,16334.0,2903.0,5412.0,8558.0,9533.0,7776.0,7850.0,5863.0,174848.0,91879.0,Information Technology,45
2015Q1,2015,Q1,21729.0,7161.0,14568.0,2984.0,4800.0,7784.0,8243.0,6594.0,6517.0,4985.0,176683.0,90132.0,Information Technology,45
2015Q2,2015,Q2,22180.0,7468.0,14712.0,3094.0,5233.0,8327.0,-16.0,-2053.0,-1756.0,-3195.0,174472.0,80083.0,Information Technology,45
2015Q3,2015,Q3,20379.0,7207.0,13172.0,2962.0,4417.0,7379.0,7223.0,5793.0,5513.0,4902.0,172896.0,77445.0,Information Technology,45
2015Q4,2015,Q4,23796.0,9872.0,13924.0,2900.0,4998.0,7898.0,7708.0,6026.0,5855.0,5018.0,180098.0,76780.0,Information Technology,45
2016Q1,2016,Q1,20531.0,7722.0,12809.0,2980.0,4546.0,7526.0,7083.0,5283.0,5036.0,3756.0,181869.0,74806.0,Information Technology,45
2016Q2,2016,Q2,20614.0,7979.0,12635.0,3146.0,5299.0,8445.0,5602.0,3080.0,3347.0,3122.0,193468.0,71997.0,Information Technology,45
2016Q3,2016,Q3,21928.0,7844.0,14084.0,3106.0,4263.0,7369.0,9080.0,6715.0,6827.0,5667.0,212524.0,70372.0,Information Technology,45
2016Q4,2016,Q4,25826.0,9901.0,15925.0,3062.0,4958.0,8020.0,10709.0,7905.0,8022.0,6267.0,224610.0,68809.0,Information Technology,45
2017Q1,2017,Q1,23212.0,8060.0,15152.0,3355.0,5074.0,8429.0,10156.0,6723.0,7094.0,5486.0,225017.0,69729.0,Information Technology,45
2017Q2,2017,Q2,23317.0,8456.0,14861.0,3514.0,5711.0,9225.0,8543.0,5330.0,5545.0,6513.0,250312.0,87711.0,Information Technology,45
2017Q3,2017,Q3,24538.0,8278.0,16260.0,3574.0,4978.0,8552.0,11155.0,7708.0,7984.0,6576.0,249097.0,89647.0,Information Technology,45
2017Q4,2017,Q4,28918.0,11064.0,17854.0,3504.0,5671.0,9175.0,12403.0,8679.0,9169.0,-6302.0,256003.0,78360.0,Information Technology,45
2018Q1,2018,Q1,26819.0,9269.0,17550.0,3715.0,5543.0,9258.0,12042.0,8292.0,8641.0,7424.0,245497.0,79239.0,Information Technology,45
2018Q2,2018,Q2,30085.0,9742.0,20343.0,3933.0,6031.0,9964.0,13868.0,10379.0,10680.0,8873.0,258848.0,82718.0,Information Technology,45
2018Q3,2018,Q3,29084.0,9905.0,19179.0,3977.0,5247.0,9224.0,13732.0,9955.0,10221.0,8824.0,257619.0,85967.0,Information Technology,45
2018Q4,2018,Q4,32471.0,12423.0,20048.0,4070.0,5720.0,9790.0,14052.0,10258.0,10385.0,8420.0,258859.0,92128.0,Information Technology,45
2019Q1,2019,Q1,30571.0,10170.0,20401.0,4316.0,5744.0,10060.0,14083.0,10341.0,10486.0,8809.0,263281.0,94864.0,Information Technology,45
2019Q2,2019,Q2,33717.0,10412.0,23305.0,4513.0,6387.0,10900.0,16189.0,12405.0,12596.0,13187.0,286556.0,102330.0,Information Technology,45
