Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,628.5,267.5,361.0,28.9,39.0,67.9,338.0,293.1,299.6,183.5,1956.8,1395.6,Information Technology,45
1995Q2,1995,Q2,761.2,357.2,404.0,33.6,54.4,117.0,338.0,316.0,352.4,220.2,2404.0,1617.6,Information Technology,45
1995Q3,1995,Q3,1028.0,479.5,548.5,39.3,67.1,106.4,503.5,442.1,449.7,281.1,2774.9,1896.2,Information Technology,45
1995Q4,1995,Q4,1185.8,538.1,647.7,46.6,76.4,123.0,597.9,524.7,533.1,328.5,3478.9,2227.4,Information Technology,45
1996Q1,1996,Q1,996.5,552.1,444.4,48.0,100.3,148.3,386.4,296.1,112.3,188.2,3641.9,2413.7,Information Technology,45
1996Q2,1996,Q2,771.0,558.0,213.0,51.2,67.1,118.3,192.9,94.7,96.8,58.2,3799.0,2476.1,Information Technology,45
1996Q3,1996,Q3,700.5,550.2,150.3,46.1,75.5,121.6,130.7,29.0,20.1,18.6,3751.5,2502.0,Information Technology,45
1996Q4,1996,Q4,728.1,572.9,155.2,47.2,66.6,113.8,151.7,41.4,39.3,20.6,3720.7,2528.2,Information Technology,45
1997Q1,1997,Q1,876.2,657.5,218.7,46.8,94.9,141.7,194.6,77.0,280.3,142.7,4064.2,2680.9,Information Technology,45
1997Q2,1997,Q2,965.0,650.0,315.0,52.6,93.4,146.0,291.4,169.0,170.5,96.8,4154.5,2789.1,Information Technology,45
1997Q3,1997,Q3,946.2,658.9,287.3,62.3,100.8,163.1,235.6,124.2,129.0,72.0,4851.3,2883.1,Information Technology,45
1997Q4,1997,Q4,954.6,744.1,210.5,63.9,129.1,193.0,148.7,17.5,16.3,9.6,4902.7,2896.2,Information Technology,45
1998Q1,1998,Q1,755.4,757.3,-1.9,69.9,135.7,205.6,-64.8,-207.5,-48.0,-48.1,4839.1,2874.8,Information Technology,45
1998Q2,1998,Q2,609.9,607.0,2.9,66.2,109.0,175.2,-27.6,-172.3,-171.3,-106.1,4733.3,2773.9,Information Technology,45
1998Q3,1998,Q3,691.9,652.9,39.0,71.8,98.6,170.4,40.5,-131.4,-132.3,-89.0,4688.3,2693.0,Information Technology,45
1998Q4,1998,Q4,793.6,685.5,108.1,67.7,103.0,170.7,126.9,-62.6,-69.5,-46.2,6787.6,3836.2,Information Technology,45
1999Q1,1999,Q1,1025.8,763.5,262.3,85.5,125.5,211.0,270.7,51.3,-16.1,22.4,6771.2,3945.1,Information Technology,45
1999Q2,1999,Q2,863.8,685.9,177.9,81.6,124.1,205.7,176.2,-27.8,-42.2,-27.7,6785.6,3925.5,Information Technology,45
1999Q3,1999,Q3,1080.8,868.0,212.8,87.4,133.3,220.7,222.5,-7.9,-19.9,-17.5,6965.2,3964.1,Information Technology,45
1999Q4,1999,Q4,1584.4,793.1,791.3,91.7,167.6,258.2,762.6,533.1,533.1,341.3,7581.4,4386.1,Information Technology,45
2000Q1,2000,Q1,1392.5,891.9,500.6,103.5,142.7,246.2,514.1,254.4,250.0,161.3,7734.8,4733.6,Information Technology,45
2000Q3,2000,Q3,1789.2,1104.6,684.6,100.6,174.9,275.5,693.2,409.1,423.2,274.9,8210.8,5604.7,Information Technology,45
2000Q3,2000,Q3,2570.2,1159.4,1410.8,131.7,181.3,313.0,1365.4,1097.8,1110.7,726.7,9631.5,6432.0,Information Technology,45
2000Q4,2000,Q4,1832.3,1041.0,791.3,139.5,149.6,287.3,788.5,504.0,542.8,352.2,9801.5,7496.2,Information Technology,45
2001Q1,2001,Q1,1065.7,866.8,198.9,130.9,109.0,239.9,231.2,-41.0,-1.3,-88.3,9116.7,7465.9,Information Technology,45
2001Q2,2001,Q2,818.3,1126.7,-308.4,114.5,104.3,218.8,-248.4,-527.2,-499.7,-313.4,8848.4,7198.6,Information Technology,45
2001Q3,2001,Q3,480.3,1099.4,-619.1,105.1,204.4,383.1,-707.0,-928.6,-1020.1,-575.5,8363.2,7134.8,Information Technology,45
2001Q4,2001,Q4,423.9,636.5,-212.6,154.5,84.9,239.4,-154.4,-452.0,-443.1,-265.9,8022.1,6903.3,Information Technology,45
2002Q1,2002,Q1,645.9,502.9,143.0,135.9,79.3,202.0,231.9,-59.0,-50.7,-30.4,8196.4,6896.8,Information Technology,45
2002Q2,2002,Q2,771.2,603.0,168.2,134.4,77.2,214.9,246.7,-46.7,-40.3,-24.2,8120.4,6952.5,Information Technology,45
2002Q3,2002,Q3,748.0,957.2,-209.2,136.5,95.9,258.4,-172.1,-467.6,-464.4,-586.5,7555.4,6306.4,Information Technology,45
2002Q4,2002,Q4,685.1,722.4,-37.3,154.5,104.8,259.3,3.3,-296.6,-294.5,-315.9,7385.2,6018.0,Information Technology,45
2003Q1,2003,Q1,785.0,1008.9,-223.9,174.1,92.4,376.7,-290.4,-600.6,-601.6,-619.2,7336.4,5296.1,Information Technology,45
2003Q2,2003,Q2,732.7,661.7,71.0,161.7,87.2,260.1,111.9,-183.7,-191.0,-214.9,7142.6,5087.2,Information Technology,45
