Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1177.4,344.9,832.5,0.0,0.0,583.7,449.1,248.8,165.0,99.8,12599.6,4702.0,Utilities,55
1995Q2,1995,Q2,1466.7,458.4,1008.3,0.0,0.0,696.1,575.0,312.2,229.7,138.3,12623.8,4742.1,Utilities,55
1995Q3,1995,Q3,1587.0,480.9,1106.1,0.0,0.0,658.2,660.6,447.9,377.6,240.4,12630.4,4904.3,Utilities,55
1995Q4,1995,Q4,1361.4,437.5,923.9,0.0,0.0,735.5,430.5,188.4,109.5,74.7,12459.2,4732.1,Utilities,55
1996Q1,1996,Q1,1357.7,449.7,908.0,0.0,0.0,684.7,491.0,223.3,146.3,93.7,12266.4,4723.0,Utilities,55
1996Q2,1996,Q2,1474.1,500.2,973.9,0.0,0.0,674.7,531.1,299.2,217.1,150.3,12245.1,4760.8,Utilities,55
1996Q3,1996,Q3,1769.6,628.5,1141.1,0.0,0.0,682.0,716.9,459.1,392.2,250.1,12381.8,4929.1,Utilities,55
1996Q4,1996,Q4,1435.4,552.3,883.1,0.0,0.0,694.2,392.0,188.9,117.7,85.4,12219.3,4923.7,Utilities,55
1997Q1,1997,Q1,1445.0,544.0,901.0,0.0,0.0,676.0,493.0,225.0,156.0,101.1,12669.6,4862.4,Utilities,55
1997Q2,1997,Q2,1587.0,560.0,1027.0,0.0,0.0,706.0,583.0,321.0,247.0,164.4,12753.1,4933.3,Utilities,55
1997Q3,1997,Q3,1859.0,674.0,1185.0,0.0,0.0,721.0,730.0,464.0,406.0,262.4,12880.4,5071.5,Utilities,55
1997Q4,1997,Q4,1477.7,477.5,1000.2,0.0,0.0,783.1,481.5,217.1,112.0,90.2,12449.0,5071.0,Utilities,55
1998Q1,1998,Q1,1338.0,436.0,902.0,0.0,0.0,684.0,467.0,218.0,158.0,108.0,12471.0,5082.0,Utilities,55
1998Q2,1998,Q2,1692.0,558.0,1134.0,0.0,0.0,817.0,665.0,317.0,265.0,176.0,12844.0,5162.0,Utilities,55
1998Q3,1998,Q3,1999.0,659.0,1340.0,0.0,0.0,812.0,842.0,528.0,444.0,287.0,12844.0,5349.0,Utilities,55
1998Q4,1998,Q4,1631.0,592.0,1039.0,0.0,0.0,852.0,560.0,187.0,75.0,93.0,12029.0,5352.0,Utilities,55
