Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1138.7,272.9,865.8,0.0,439.7,569.6,397.2,296.2,276.5,170.7,10799.9,4733.4,Industrials,20
1995Q2,1995,Q2,1190.2,273.5,916.7,0.0,414.2,551.8,467.5,364.9,291.1,181.2,10829.4,4769.6,Industrials,20
1995Q3,1995,Q3,1183.9,254.1,929.8,0.0,421.1,557.1,477.2,372.7,287.1,183.9,10872.9,4808.1,Industrials,20
1995Q4,1995,Q4,1155.2,256.0,899.2,0.0,447.8,1392.9,227.9,-493.7,260.0,176.9,10904.8,4829.0,Industrials,20
1996Q1,1996,Q1,1161.5,271.9,889.6,0.0,446.7,582.2,413.0,307.4,266.8,168.1,11055.2,4838.2,Industrials,20
1996Q2,1996,Q2,1217.3,279.5,937.8,0.0,413.1,553.8,491.2,384.0,306.4,199.5,11053.4,4836.0,Industrials,20
1996Q3,1996,Q3,1211.3,270.7,940.6,0.0,397.7,539.5,508.8,401.1,313.4,202.3,11261.5,4854.6,Industrials,20
1996Q4,1996,Q4,1179.9,286.1,893.8,0.0,388.0,1384.0,259.5,-490.2,310.3,200.5,11416.4,4977.6,Industrials,20
1997Q1,1997,Q1,1249.7,294.8,954.9,0.0,419.9,561.4,387.0,393.5,198.5,127.8,12432.3,5045.0,Industrials,20
1997Q2,1997,Q2,1304.0,285.1,1018.9,0.0,401.8,540.4,588.1,478.5,288.4,190.1,17397.3,5180.2,Industrials,20
1997Q3,1997,Q3,1327.4,287.9,1039.5,0.0,413.3,557.7,408.0,481.8,247.8,179.5,17508.9,5294.4,Industrials,20
1997Q4,1997,Q4,341.9,-517.9,859.8,0.0,416.0,1169.4,451.3,-309.6,263.3,223.6,17350.0,5445.0,Industrials,20
1998Q1,1998,Q1,1066.0,309.0,757.0,0.0,456.0,607.0,195.0,150.0,188.0,229.0,17647.0,5633.0,Industrials,20
1998Q2,1998,Q2,1079.0,309.0,770.0,0.0,409.0,557.0,236.0,213.0,255.0,187.0,17746.0,5760.0,Industrials,20
1998Q3,1998,Q3,1048.0,305.0,743.0,0.0,412.0,564.0,222.0,179.0,201.0,158.0,18016.0,5842.0,Industrials,20
1998Q4,1998,Q4,1028.0,-654.0,1682.0,0.0,405.0,1362.0,1107.0,320.0,201.0,160.0,18180.0,5921.0,Industrials,20
1999Q1,1999,Q1,1030.0,307.0,723.0,0.0,438.0,595.0,197.0,128.0,158.0,112.0,18480.0,5967.0,Industrials,20
1999Q2,1999,Q2,1194.0,513.0,681.0,0.0,522.0,690.0,64.0,-9.0,115.0,77.0,18874.0,5981.0,Industrials,20
1999Q3,1999,Q3,1500.0,797.0,703.0,0.0,787.0,962.0,-159.0,-259.0,36.0,19.0,19117.0,5925.0,Industrials,20
1999Q4,1999,Q4,1471.0,314.0,1157.0,0.0,384.0,575.0,1434.0,582.0,42.0,31.0,19250.0,5932.0,Industrials,20
2000Q1,2000,Q1,1495.0,683.0,812.0,0.0,719.0,1499.0,-558.0,28.0,-84.0,-48.0,19211.0,5816.0,Industrials,20
2000Q2,2000,Q2,1578.0,779.0,799.0,0.0,708.0,1458.0,27.0,278.0,184.0,116.0,18879.0,5860.0,Industrials,20
2000Q3,2000,Q3,1517.0,799.0,718.0,0.0,692.0,1458.0,-102.0,211.0,156.0,99.0,19089.0,5888.0,Industrials,20
2000Q4,2000,Q4,1569.0,161.0,1408.0,0.0,278.0,-1269.0,2807.0,116.0,-6.0,5.0,18976.0,5824.0,Industrials,20
2001Q1,2001,Q1,1540.0,794.0,746.0,0.0,698.0,1477.0,-10.0,205.0,91.0,74.0,19240.0,5882.0,Industrials,20
2001Q2,2001,Q2,1592.0,786.0,806.0,0.0,688.0,1456.0,-261.0,282.0,167.0,107.0,19239.0,5977.0,Industrials,20
