Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,422.8,174.2,248.6,0.0,104.0,177.3,36.5,71.3,71.3,49.3,18736.1,1348.1,Financial ,40
1995Q2,1995,Q2,439.6,184.6,255.0,0.0,105.2,177.9,44.6,77.1,77.1,53.1,19301.1,1390.3,Financial ,40
1995Q3,1995,Q3,459.2,198.4,260.8,0.0,104.4,175.5,52.2,85.3,85.3,58.1,20179.7,1410.6,Financial ,40
1995Q4,1995,Q4,460.5,195.2,265.3,0.0,105.5,178.3,229.6,87.0,87.0,59.5,19933.5,1452.6,Financial ,40
1996Q1,1996,Q1,472.6,196.5,276.1,0.0,108.1,184.0,85.2,92.1,92.1,61.5,20301.7,1468.6,Financial ,40
1996Q2,1996,Q2,481.3,194.6,286.7,0.0,108.4,191.6,68.2,95.1,95.1,63.4,21751.2,1493.7,Financial ,40
1996Q3,1996,Q3,484.2,193.6,290.6,0.0,110.9,191.3,125.6,99.3,99.3,66.5,21360.1,1516.8,Financial ,40
1996Q4,1996,Q4,491.3,190.5,300.8,0.0,113.9,199.9,77.3,100.9,100.9,67.4,21608.3,1544.1,Financial ,40
1997Q1,1997,Q1,508.7,194.4,314.3,0.0,122.5,205.9,93.8,108.4,108.4,71.7,23231.8,1593.2,Financial ,40
1997Q2,1997,Q2,555.0,223.1,331.9,0.0,128.1,217.0,84.8,114.9,114.9,75.4,26051.0,1648.9,Financial ,40
1997Q3,1997,Q3,593.9,234.6,359.3,0.0,136.5,234.7,116.4,124.6,124.6,81.0,26919.2,1697.5,Financial ,40
1997Q4,1997,Q4,609.1,251.5,357.6,0.0,140.2,233.6,87.2,124.0,124.0,81.3,25315.4,1739.0,Financial ,40
1998Q1,1998,Q1,613.9,247.7,366.2,0.0,145.2,236.2,80.8,130.0,130.0,84.9,24251.8,1800.5,Financial ,40
1998Q2,1998,Q2,636.0,254.1,381.9,0.0,148.0,247.7,83.1,134.2,134.2,87.2,29777.0,1841.1,Financial ,40
1998Q3,1998,Q3,657.6,275.9,381.7,0.0,149.3,243.8,142.9,137.9,137.9,90.2,28078.8,1878.7,Financial ,40
1998Q4,1998,Q4,667.2,257.2,410.0,0.0,166.9,269.4,127.5,140.6,140.6,91.6,27870.0,1940.3,Financial ,40
1999Q1,1999,Q1,656.3,245.1,411.2,0.0,161.7,266.4,133.8,144.8,144.8,95.1,27554.6,2031.0,Financial ,40
1999Q2,1999,Q2,672.3,248.4,423.9,0.0,164.5,271.7,49.8,152.2,152.2,99.7,30190.8,2076.4,Financial ,40
1999Q3,1999,Q3,710.7,276.5,434.2,0.0,169.4,276.1,131.6,158.1,158.1,104.2,33684.9,2123.0,Financial ,40
1999Q4,1999,Q4,764.5,292.3,472.2,0.0,185.5,310.8,335.6,161.4,161.4,106.0,28708.2,2174.7,Financial ,40
2000Q1,2000,Q1,798.2,300.4,497.8,0.0,194.0,326.1,167.0,171.7,171.7,113.3,33219.4,2251.6,Financial ,40
2000Q2,2000,Q2,892.8,369.1,523.7,0.0,197.3,338.2,173.3,185.5,185.5,123.0,36848.1,2304.9,Financial ,40
2000Q3,2000,Q3,923.2,393.5,529.7,0.0,207.3,344.9,212.0,184.8,184.8,123.3,34793.7,2360.5,Financial ,40
2000Q4,2000,Q4,933.9,403.5,530.4,0.0,199.8,342.3,89.0,188.1,188.1,125.5,36022.3,2462.2,Financial ,40
2001Q1,2001,Q1,882.9,350.3,532.6,0.0,204.2,341.6,161.3,191.0,191.0,127.2,38197.8,2572.6,Financial ,40
2001Q2,2001,Q2,864.0,314.8,549.2,0.0,207.0,351.8,176.7,197.4,197.4,131.3,36183.8,2661.1,Financial ,40
2001Q3,2001,Q3,794.0,252.1,541.9,0.0,204.2,351.7,252.4,190.2,190.2,126.6,35124.4,2725.8,Financial ,40
2001Q4,2001,Q4,728.7,235.5,493.2,0.0,192.6,339.9,165.3,153.3,153.3,102.4,39671.8,2773.5,Financial ,40
2002Q1,2002,Q1,706.7,170.8,535.9,0.0,198.2,342.8,174.1,193.1,193.1,127.6,37961.6,2831.7,Financial ,40
2002Q2,2002,Q2,711.5,164.8,546.7,0.0,200.9,355.9,225.0,190.8,190.8,126.8,37801.4,2913.3,Financial ,40
2002Q3,2002,Q3,678.6,178.2,500.4,0.0,204.0,357.2,173.7,143.2,143.2,96.4,39670.5,2945.1,Financial ,40
2002Q4,2002,Q4,663.0,160.2,502.8,0.0,193.8,360.9,153.9,141.9,141.9,96.3,39478.2,2999.8,Financial ,40
2003Q1,2003,Q1,630.2,138.9,491.3,0.0,192.5,349.5,199.1,141.8,141.8,94.7,36449.7,3026.1,Financial ,40
2003Q2,2003,Q2,671.3,140.7,530.6,0.0,211.7,412.5,130.6,118.1,118.1,66.6,39071.0,2946.1,Financial ,40
2003Q3,2003,Q3,645.9,125.2,520.7,0.0,190.8,347.4,204.7,173.3,173.3,113.8,40744.2,3000.3,Financial ,40
2003Q4,2003,Q4,650.5,105.2,545.3,0.0,190.2,347.4,283.0,197.9,197.9,129.7,41450.2,3055.3,Financial ,40
2004Q1,2004,Q1,680.9,110.9,570.0,0.0,203.8,377.5,218.9,192.5,192.5,127.5,40178.9,3118.4,Financial ,40
2004Q2,2004,Q2,695.9,124.3,571.6,0.0,209.7,377.2,203.7,194.4,194.4,130.8,43279.3,3178.1,Financial ,40
2004Q3,2004,Q3,686.7,140.3,546.4,0.0,195.2,377.8,262.6,168.6,168.6,114.7,41110.0,3225.5,Financial ,40
2004Q4,2004,Q4,765.6,166.6,599.0,0.0,260.2,400.0,245.7,199.0,199.0,132.6,45276.7,3295.6,Financial ,40
2005Q1,2005,Q1,792.9,186.1,606.8,0.0,224.6,395.0,253.3,211.8,211.8,139.1,47761.3,3361.4,Financial ,40
2005Q2,2005,Q2,902.4,229.7,672.7,0.0,245.9,441.6,167.8,231.1,231.1,150.0,46255.6,3446.3,Financial ,40
2005Q3,2005,Q3,912.0,244.4,667.6,0.0,246.5,441.6,230.2,226.0,226.0,147.7,48427.4,3529.0,Financial ,40
2005Q4,2005,Q4,947.1,271.5,675.6,0.0,308.4,456.7,152.3,218.9,218.9,147.6,53413.8,3600.8,Financial ,40
2006Q1,2006,Q1,1029.5,305.8,723.7,0.0,272.0,473.3,268.7,250.4,250.4,163.0,50195.0,3703.4,Financial ,40
2006Q2,2006,Q2,1134.1,360.9,773.2,0.0,78.0,492.0,297.3,281.2,281.2,167.9,53325.9,3808.4,Financial ,40
2006Q3,2006,Q3,1117.4,389.9,727.5,0.0,268.2,477.0,265.8,250.5,250.5,163.7,55200.9,3936.0,Financial ,40
2006Q4,2006,Q4,1192.0,435.3,756.7,0.0,342.2,514.6,392.0,242.1,242.1,170.8,60712.2,3943.9,Financial ,40
2007Q1,2007,Q1,1260.6,452.4,808.2,0.0,301.3,525.9,268.8,282.3,282.3,186.7,59532.4,4043.4,Financial ,40
2007Q2,2007,Q2,1338.1,473.1,865.0,0.0,310.1,555.3,287.7,309.7,309.7,206.9,59609.7,4227.2,Financial ,40
2007Q3,2007,Q3,1381.4,513.7,867.7,0.0,316.6,566.6,266.1,301.1,301.1,208.3,63098.9,4359.4,Financial ,40
2007Q4,2007,Q4,1438.9,490.9,948.0,0.0,422.1,780.3,449.6,167.7,167.7,125.0,67611.2,4509.1,Financial ,40
2008Q1,2008,Q1,1557.0,443.6,1113.4,0.0,343.5,535.3,629.0,578.1,578.1,385.2,77480.3,4758.4,Financial ,40
2008Q2,2008,Q2,1434.2,362.8,1071.4,0.0,368.7,643.3,480.9,428.1,428.1,215.6,74806.9,4964.1,Financial ,40
2008Q3,2008,Q3,1313.7,412.5,901.2,0.0,282.7,1154.0,-197.5,-252.8,-252.8,-148.3,79244.0,4836.0,Financial ,40
2008Q4,2008,Q4,1200.2,295.5,904.7,0.0,449.4,382.4,583.7,522.3,522.3,342.3,82053.6,6389.4,Financial ,40
2009Q1,2009,Q1,1010.3,171.7,838.6,0.0,324.1,593.5,300.4,245.1,245.1,161.8,78464.6,6524.7,Financial ,40
2009Q2,2009,Q2,1139.7,164.5,975.2,0.0,349.8,502.7,531.5,472.5,472.5,314.2,75045.2,6128.7,Financial ,40
2009Q3,2009,Q3,1012.6,154.9,857.7,0.0,343.2,599.2,321.3,258.5,258.5,187.9,77901.5,6223.3,Financial ,40
2009Q4,2009,Q4,1139.8,130.1,1009.7,0.0,476.7,730.6,345.7,279.1,279.1,200.3,82141.5,6312.1,Financial ,40
2010Q1,2010,Q1,981.8,123.9,857.9,0.0,337.8,619.7,297.4,238.2,238.2,157.2,76318.6,6447.1,Financial ,40
2010Q2,2010,Q2,1049.3,135.1,914.2,0.0,337.0,614.4,359.3,299.8,299.8,199.6,80048.9,6619.6,Financial ,40
2010Q3,2010,Q3,986.2,126.7,859.5,0.0,333.3,622.1,301.2,237.4,237.4,155.6,80723.4,6768.7,Financial ,40
2010Q4,2010,Q4,1008.6,152.3,856.3,0.0,489.8,641.9,281.4,214.4,214.4,157.1,83843.9,6830.3,Financial ,40
2011Q1,2011,Q1,1010.6,127.7,882.9,0.0,348.8,652.9,293.5,230.0,230.0,151.0,92679.2,6928.2,Financial ,40
2011Q2,2011,Q2,1058.4,123.6,934.8,0.0,387.4,705.3,296.8,229.5,229.5,152.0,97398.3,7025.4,Financial ,40
2011Q3,2011,Q3,1061.8,107.8,954.0,0.0,377.8,701.2,318.6,252.8,252.8,170.4,96098.2,7152.8,Financial ,40
2011Q4,2011,Q4,1038.6,95.5,943.1,0.0,560.4,771.7,239.9,171.4,171.4,130.2,100223.7,7117.3,Financial ,40
2012Q1,2012,Q1,1050.0,89.6,960.4,0.0,432.0,723.6,308.4,236.8,236.8,161.2,91604.3,7223.2,Financial ,40
2012Q2,2012,Q2,1055.9,72.4,983.5,0.0,413.7,717.3,339.6,266.2,266.2,179.6,94455.9,7390.3,Financial ,40
2012Q3,2012,Q3,1050.0,87.5,962.5,0.0,410.0,696.4,336.5,266.1,266.1,178.8,93632.5,7532.2,Financial ,40
2012Q4,2012,Q4,1037.6,72.9,964.7,0.0,535.3,741.5,297.2,223.2,223.2,167.7,97463.8,7527.0,Financial ,40
2013Q1,2013,Q1,1037.0,65.6,971.4,0.0,429.3,728.9,318.8,242.5,242.5,164.0,93156.8,7612.1,Financial ,40
