Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,841.7,661.6,180.1,0.0,33.7,74.1,146.4,106.0,104.8,67.3,2093.6,1185.1,Materials,15
1995Q2,1995,Q2,880.2,692.8,187.4,0.0,35.8,78.1,151.6,109.3,108.8,69.9,2152.6,1249.6,Materials,15
1995Q3,1995,Q3,860.5,688.5,172.0,0.0,33.5,74.9,138.5,97.1,98.0,63.0,2234.8,1307.1,Materials,15
1995Q4,1995,Q4,879.6,683.4,196.2,0.0,27.6,77.4,168.6,118.8,120.7,74.3,2296.1,1382.1,Materials,15
1996Q1,1996,Q1,876.1,724.4,151.7,0.0,29.0,71.2,122.7,80.5,81.5,52.6,2403.7,1429.5,Materials,15
1996Q2,1996,Q2,911.1,750.6,160.5,0.0,31.9,74.6,128.6,85.9,85.7,55.2,2426.0,1477.9,Materials,15
1996Q3,1996,Q3,937.4,769.4,168.0,0.0,32.5,78.1,135.5,89.9,89.7,57.9,2530.4,1529.6,Materials,15
1996Q4,1996,Q4,922.3,712.6,209.7,0.0,27.0,78.7,182.7,131.0,130.9,82.5,2619.5,1609.3,Materials,15
1997Q1,1997,Q1,1010.5,821.1,189.4,0.0,34.1,87.1,155.3,102.3,101.6,65.0,2763.0,1666.9,Materials,15
1997Q2,1997,Q2,1035.1,830.0,205.1,0.0,38.1,90.3,167.0,114.8,114.0,73.0,2782.6,1732.0,Materials,15
1997Q3,1997,Q3,1101.6,882.0,219.6,0.0,40.5,94.7,179.1,124.9,125.0,80.0,2926.8,1804.2,Materials,15
1997Q4,1997,Q4,1037.3,826.9,210.4,0.0,32.6,92.0,177.8,118.4,119.6,76.5,2984.4,1876.4,Materials,15
1998Q1,1998,Q1,1138.9,940.6,198.3,0.0,38.9,97.8,159.4,100.5,101.8,65.1,3019.5,1933.5,Materials,15
1998Q2,1998,Q2,1128.4,916.5,211.9,0.0,40.1,99.9,171.8,112.0,112.7,72.2,3112.7,1996.0,Materials,15
1998Q3,1998,Q3,1011.0,809.7,201.3,0.0,40.6,100.4,160.7,100.9,101.8,65.1,3200.5,2030.9,Materials,15
