Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,459.9,-18.8,478.7,0.0,412.1,430.9,66.6,47.8,40.7,24.1,2961.6,573.1,Communication Services,50
1995Q2,1995,Q2,526.0,-15.3,541.3,0.0,445.3,460.6,96.0,80.7,72.0,42.1,3136.0,595.1,Communication Services,50
1995Q3,1995,Q3,537.7,-28.5,566.2,0.0,491.9,520.4,74.3,45.8,39.2,23.7,3348.9,551.1,Communication Services,50
1995Q4,1995,Q4,650.5,-22.2,672.7,0.0,562.7,584.9,110.0,87.8,80.1,47.6,3527.7,551.5,Communication Services,50
1996Q1,1996,Q1,567.0,-20.5,587.5,0.0,507.4,527.9,80.1,59.6,52.2,30.5,3564.1,544.7,Communication Services,50
1996Q2,1996,Q2,666.5,-24.7,691.2,0.0,565.3,590.0,125.9,101.2,91.4,53.0,3721.1,595.1,Communication Services,50
1996Q3,1996,Q3,631.8,-24.5,656.3,0.0,572.2,596.7,84.1,59.6,54.4,32.2,3558.0,734.6,Communication Services,50
1996Q4,1996,Q4,751.9,-30.0,781.9,0.0,647.2,677.2,134.7,104.7,100.9,60.2,4055.9,800.7,Communication Services,50
1997Q1,1997,Q1,696.6,-26.0,722.6,0.0,622.6,648.6,100.0,74.0,68.4,40.1,4056.6,792.4,Communication Services,50
1997Q2,1997,Q2,786.3,-29.4,815.7,0.0,663.5,692.9,152.2,122.8,114.4,66.4,4341.5,841.5,Communication Services,50
1997Q3,1997,Q3,746.8,-29.8,776.6,0.0,667.0,696.8,109.6,79.8,71.4,41.5,4388.1,819.8,Communication Services,50
1997Q4,1997,Q4,895.0,-34.9,929.9,0.0,768.2,803.1,161.7,126.8,124.7,74.4,4965.7,866.7,Communication Services,50
1998Q1,1998,Q1,861.0,-27.2,888.2,0.0,761.8,789.0,135.5,99.2,88.9,50.9,5743.9,1023.4,Communication Services,50
1998Q2,1998,Q2,1051.5,-41.0,1092.5,0.0,876.7,917.7,218.8,174.8,155.8,86.0,6150.6,1078.7,Communication Services,50
1998Q3,1998,Q3,981.6,-42.2,1023.8,0.1,870.6,912.9,160.8,110.9,96.0,53.8,6224.3,1067.4,Communication Services,50
1998Q4,1998,Q4,1197.9,-44.0,1241.9,0.0,1022.8,1066.8,219.1,175.1,160.2,94.4,6910.1,1086.5,Communication Services,50
1999Q2,1999,Q2,1146.9,-45.0,1191.9,0.0,1012.3,1057.3,179.577,134.6,116.1,65.6,6910.2,1013.8,Communication Services,50
1999Q2,1999,Q2,1270.4,-47.0,1317.4,0.0,1059.9,1106.9,257.469,210.5,187.7,107.1,7226.6,1032.0,Communication Services,50
1999Q3,1999,Q3,1210.9,-29.0,1239.9,0.0,1063.7,1092.7,176.2,147.2,124.2,70.3,7461.8,1060.3,Communication Services,50
1999Q4,1999,Q4,1502.4,-74.7,1577.1,0.0,1270.5,1345.2,306.6,231.9,208.2,119.9,9017.6,1552.9,Communication Services,50
2000Q1,2000,Q1,1379.015,-52.636,1431.651,0.0,1215.328,1267.964,216.323,163.687,252.007,143.538,8803.246,1501.064,Communication Services,50
2000Q2,2000,Q2,1520.245,-57.043,1577.288,0.0,1266.528,1323.571,310.76,253.717,223.643,127.387,9378.992,1383.689,Communication Services,50
2000Q3,2000,Q3,1452.523,-57.338,1509.861,0.0,1270.269,1327.607,239.592,182.254,150.216,85.664,9352.515,1253.177,Communication Services,50
2000Q4,2000,Q4,1802.447,-58.653,1861.1,0.0,1524.015,1582.668,337.085,278.432,242.07,142.206,9891.499,1548.477,Communication Services,50
2001Q1,2001,Q1,1601.134,0.0,1601.134,0.0,1409.85,1409.85,251.217,191.284,170.975,95.28,9227.229,1511.689,Communication Services,50
2001Q2,2001,Q2,1746.788,0.0,1746.788,0.0,1455.682,1455.682,357.014,291.106,271.667,151.366,9825.599,1669.185,Communication Services,50
2001Q3,2001,Q3,1571.012,0.0,1571.012,0.0,1388.802,1388.802,250.158,182.21,164.09,92.355,10361.118,1809.299,Communication Services,50
2001Q4,2001,Q4,1970.473,0.0,1970.473,0.0,1666.889,1666.889,367.839,303.584,248.538,164.141,10617.414,2178.419,Communication Services,50
2002Q1,2002,Q1,1732.426,0.0,1732.426,0.0,1503.567,1503.567,277.966,228.859,217.536,128.566,10968.837,1914.604,Communication Services,50
