Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2714.0,1807.0,907.0,0.0,245.0,483.0,662.0,424.0,332.0,178.0,17905.0,4550.0,Energy,10
1995Q2,1995,Q2,2679.0,1752.0,927.0,0.0,353.0,588.0,574.0,339.0,293.0,187.0,17635.0,4655.0,Energy,10
1995Q3,1995,Q3,2557.0,1728.0,829.0,0.0,254.0,489.0,575.0,340.0,251.0,139.0,17446.0,4699.0,Energy,10
1995Q4,1995,Q4,2473.0,1818.0,655.0,0.0,292.0,537.0,363.0,118.0,37.0,7.0,17815.0,4630.0,Energy,10
1996Q1,1996,Q1,2524.0,1650.0,874.0,0.0,250.0,474.0,624.0,400.0,308.0,134.0,17469.0,4669.0,Energy,10
1996Q2,1996,Q2,2457.0,1638.0,819.0,0.0,311.0,538.0,508.0,281.0,328.0,181.0,17492.0,4839.0,Energy,10
1996Q3,1996,Q3,2786.0,1926.0,860.0,0.0,359.0,595.0,501.0,265.0,235.0,194.0,17334.0,5069.0,Energy,10
1996Q4,1996,Q4,2792.0,1847.0,945.0,0.0,353.0,594.0,592.0,351.0,281.0,159.0,14981.0,5140.0,Energy,10
1997Q1,1997,Q1,1917.0,1154.0,763.0,0.0,196.0,487.0,567.0,363.0,288.0,179.0,17534.0,5217.0,Energy,10
1997Q2,1997,Q2,2717.0,1864.0,853.0,0.0,237.0,483.0,654.0,370.0,295.0,158.0,17676.0,5286.0,Energy,10
1997Q3,1997,Q3,2007.0,1240.0,767.0,0.0,254.0,520.0,513.0,287.0,205.0,157.0,17570.0,5357.0,Energy,10
1997Q4,1997,Q4,-106.0,-326.0,220.0,0.0,362.0,481.0,-142.0,-261.0,-386.0,-884.1,15282.0,4286.0,Energy,10
1998Q1,1998,Q1,1700.0,1058.0,642.0,0.0,178.0,408.0,464.0,234.0,295.0,177.0,16628.0,4051.0,Energy,10
1998Q2,1998,Q2,1543.0,979.0,564.0,0.0,213.0,463.0,322.0,101.0,333.0,186.0,15538.0,3734.0,Energy,10
