Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2402.9,435.9,1967.0,427.0,1220.5,1336.1,746.5,630.9,628.6,420.4,12515.3,4696.8,Healthcare,35
1995Q2,1995,Q2,2482.0,512.8,1969.2,474.0,1342.3,1432.8,626.9,536.4,473.2,316.3,12945.4,4829.2,Healthcare,35
1995Q3,1995,Q3,2538.5,475.6,2062.9,481.0,1311.4,1371.5,776.7,691.4,625.9,425.3,12821.1,5281.2,Healthcare,35
1995Q4,1995,Q4,2744.3,459.6,2284.7,0.0,1503.1,1610.9,781.6,673.8,575.2,410.9,12729.3,5506.6,Healthcare,35
1996Q1,1996,Q1,2682.0,412.0,2270.0,0.0,1360.0,1461.0,910.0,809.0,750.0,517.0,13174.0,5888.0,Healthcare,35
1996Q2,1996,Q2,2661.0,415.0,2246.0,0.0,1566.0,1672.0,680.0,574.0,572.0,394.0,13619.0,5984.0,Healthcare,35
1996Q3,1996,Q3,2803.0,420.0,2383.0,551.0,1446.0,1548.0,937.0,835.0,746.0,514.0,14616.0,6566.0,Healthcare,35
1996Q4,1996,Q4,3160.0,499.0,2661.0,0.0,1739.0,1860.0,922.0,801.0,730.0,504.0,14667.0,6954.0,Healthcare,35
1997Q1,1997,Q1,3002.0,431.0,2571.0,545.0,982.0,1641.0,1044.0,930.0,861.0,602.0,15053.0,7152.0,Healthcare,35
1997Q2,1997,Q2,2913.0,380.0,2533.0,461.0,1245.0,1836.0,827.0,697.0,632.0,457.0,15732.0,7174.0,Healthcare,35
1997Q3,1997,Q3,3094.0,418.0,2676.0,477.0,1186.0,1791.0,954.0,885.0,809.0,596.0,15347.0,7405.0,Healthcare,35
1997Q4,1997,Q4,3496.0,543.0,2953.0,577.0,1411.0,2118.0,965.0,835.0,776.0,558.0,15336.0,7933.0,Healthcare,35
1998Q1,1998,Q1,3339.0,411.0,2928.0,505.0,1332.0,1971.0,1031.0,957.0,961.0,692.0,15955.0,8189.0,Healthcare,35
1998Q2,1998,Q2,3633.0,452.0,3181.0,574.0,1500.0,2208.0,1045.0,973.0,899.0,628.0,16508.0,8305.0,Healthcare,35
1998Q3,1998,Q3,3330.0,298.0,3032.0,550.0,1323.0,2049.0,1192.0,983.0,701.0,1397.0,18177.0,8645.0,Healthcare,35
1998Q4,1998,Q4,3866.0,648.0,3218.0,698.0,1679.0,2422.0,841.0,796.0,307.0,634.0,18302.0,8810.0,Healthcare,35
1999Q1,1999,Q1,3927.0,418.0,3509.0,655.0,1570.0,2353.0,1284.0,1156.0,1148.0,815.0,19025.0,9045.0,Healthcare,35
1999Q2,1999,Q2,3779.0,360.0,3419.0,667.0,1565.0,2348.0,2013.0,1071.0,1027.0,709.0,19640.0,8651.0,Healthcare,35
1999Q3,1999,Q3,3992.0,672.0,3320.0,694.0,1472.0,2303.0,1798.0,1017.0,966.0,701.0,20239.0,8786.0,Healthcare,35
1999Q4,1999,Q4,4507.0,535.0,3972.0,760.0,1745.0,2666.0,1467.0,1306.0,1302.0,954.0,20574.0,8887.0,Healthcare,35
2000Q1,2000,Q1,4315.0,343.0,3972.0,712.0,1663.0,2522.0,2375.0,1450.0,1612.0,1180.0,20225.0,10188.0,Healthcare,35
2000Q2,2000,Q2,7041.0,829.0,6212.0,1086.0,2875.0,4287.0,2103.0,1667.0,1663.0,1150.0,32044.0,14973.0,Healthcare,35
2000Q3,2000,Q3,7205.0,1194.0,6011.0,1025.0,2698.0,3723.0,2472.0,2288.0,1782.0,1361.0,33488.0,16172.0,Healthcare,35
2000Q4,2000,Q4,8106.0,1210.0,6896.0,1263.0,3075.0,4599.0,2558.0,2297.0,1912.0,1420.0,33510.0,16076.0,Healthcare,35
2001Q1,2001,Q1,7645.0,1224.0,6421.0,1028.0,2580.0,3633.0,3042.0,2788.0,2598.0,1930.0,35146.0,17748.0,Healthcare,35
2001Q2,2001,Q2,7686.0,1150.0,6536.0,1116.0,2810.0,3950.0,2854.0,2586.0,2391.0,1829.0,36941.0,17816.0,Healthcare,35
2001Q3,2001,Q3,7898.0,1177.0,6721.0,1188.0,2671.0,3882.0,3089.0,2839.0,2754.0,2072.0,38806.0,18896.0,Healthcare,35
2001Q4,2001,Q4,9030.0,1483.0,7547.0,1515.0,3238.0,4784.0,3059.0,2763.0,2584.0,1956.0,39153.0,18293.0,Healthcare,35
2002Q1,2002,Q1,8418.0,1206.0,7212.0,1201.0,2829.0,4035.0,3323.0,3177.0,3156.0,1963.0,41316.0,19674.0,Healthcare,35
2002Q2,2002,Q2,8033.0,1197.0,6836.0,1257.0,2983.0,4257.0,2716.0,2579.0,2476.0,1957.0,42568.0,18830.0,Healthcare,35
