Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,879.7,636.2,243.5,0.0,98.9,129.7,144.6,113.8,104.8,65.9,2198.7,1125.3,Industrials,20
1995Q2,1995,Q2,884.0,628.3,255.7,0.0,113.0,142.6,142.7,113.1,103.5,67.6,2302.2,1191.5,Industrials,20
1995Q3,1995,Q3,839.1,610.9,228.2,0.0,97.7,132.4,130.5,95.8,91.1,57.4,2317.1,1233.5,Industrials,20
1995Q4,1995,Q4,824.4,607.5,216.9,0.0,101.2,135.2,115.7,81.7,76.8,48.4,2340.2,1273.5,Industrials,20
1996Q1,1996,Q1,931.4,673.6,257.8,0.0,106.5,140.8,151.3,117.0,109.7,69.1,2583.6,1325.4,Industrials,20
1996Q2,1996,Q2,991.6,722.9,268.7,0.0,120.0,158.4,148.7,110.3,96.9,64.8,2887.1,1384.0,Industrials,20
1996Q3,1996,Q3,959.3,710.6,248.7,0.0,114.4,158.3,134.3,90.4,79.8,51.1,2897.4,1422.4,Industrials,20
1996Q4,1996,Q4,969.6,717.2,252.4,0.0,119.5,163.6,132.9,88.8,82.2,52.6,2887.6,1461.3,Industrials,20
1997Q1,1997,Q1,1047.1,757.1,290.0,0.0,115.7,159.2,174.3,130.8,119.7,78.0,2906.8,1488.9,Industrials,20
1997Q2,1997,Q2,1115.1,798.3,316.8,0.0,125.5,163.8,191.3,153.0,143.2,92.4,2998.9,1547.3,Industrials,20
1997Q3,1997,Q3,1083.2,781.5,301.7,0.0,125.3,170.9,176.4,130.8,121.4,78.3,3197.7,1595.6,Industrials,20
1997Q4,1997,Q4,1114.9,814.8,300.1,0.0,133.0,180.4,167.1,119.7,110.6,71.3,3197.6,1597.2,Industrials,20
1998Q1,1998,Q1,1196.5,867.2,329.3,0.0,138.5,183.6,190.8,145.7,131.9,83.2,3388.6,1635.9,Industrials,20
1998Q2,1998,Q2,1238.3,904.7,333.6,0.0,135.4,180.0,198.2,153.6,140.2,86.7,3524.8,1683.5,Industrials,20
1998Q3,1998,Q3,1218.7,897.7,321.0,0.0,134.2,183.8,186.8,137.2,121.1,78.1,3760.1,1741.1,Industrials,20
1998Q4,1998,Q4,1199.0,888.0,311.0,0.0,141.4,196.6,169.6,114.4,96.8,63.5,3721.4,1769.7,Industrials,20
1999Q1,1999,Q1,1255.8,939.9,315.9,0.0,136.3,185.5,179.6,130.4,117.7,76.5,3691.3,1783.6,Industrials,20
1999Q2,1999,Q2,1285.3,941.8,343.5,0.0,138.9,186.9,204.6,156.6,142.0,92.3,3705.9,1853.9,Industrials,20
1999Q3,1999,Q3,1242.3,923.4,318.9,0.0,138.1,191.3,180.8,127.6,112.4,73.6,3770.4,1930.2,Industrials,20
1999Q4,1999,Q4,1239.2,917.5,321.7,0.0,140.2,194.0,181.5,127.7,114.5,75.0,3722.4,1968.9,Industrials,20
2000Q1,2000,Q1,1393.659,1024.089,369.57,0.0,141.254,191.298,228.316,178.272,162.905,106.703,3902.321,2035.728,Industrials,20
2000Q2,2000,Q2,1480.178,1085.115,395.063,0.0,156.347,205.749,238.716,189.314,172.477,112.972,4646.299,2309.458,Industrials,20
2000Q3,2000,Q3,1477.366,1083.832,393.534,0.0,162.441,229.873,231.093,163.661,193.87,125.046,5329.726,2394.17,Industrials,20
2000Q4,2000,Q4,1460.076,1078.699,381.377,0.0,169.596,235.718,211.781,145.659,121.416,78.314,5308.371,2457.145,Industrials,20
2001Q1,2001,Q1,1534.202,1192.726,341.476,0.0,159.58,180.241,228.466,161.235,141.786,88.074,5251.438,2490.344,Industrials,20
2001Q2,2001,Q2,1507.96,1372.899,135.061,0.0,188.346,34.131,164.672,100.93,76.524,49.358,5337.661,2528.915,Industrials,20
2001Q3,2001,Q3,1475.867,1197.625,278.242,0.0,165.415,165.415,174.59,112.827,92.49,60.581,5495.975,2580.638,Industrials,20
2001Q4,2001,Q4,1437.33,1203.893,233.437,0.0,164.883,164.883,129.307,68.554,46.988,29.062,5548.818,2585.044,Industrials,20
2002Q1,2002,Q1,1578.332,1309.245,269.087,0.0,171.764,171.764,155.764,97.323,76.56,52.357,5755.017,2626.229,Industrials,20
2002Q2,2002,Q2,1657.593,1405.807,251.786,0.0,184.423,184.423,168.004,67.363,1.998,-11.85,5752.583,2583.516,Industrials,20
2002Q3,2002,Q3,1585.904,1299.89,286.014,0.0,176.255,176.255,173.832,109.759,91.691,60.975,5626.417,2613.158,Industrials,20
2002Q4,2002,Q4,1517.201,1258.827,258.374,0.0,177.142,177.142,146.986,81.232,58.046,37.552,5591.22,2671.126,Industrials,20
2003Q1,2003,Q1,1646.844,1368.43,278.414,0.0,182.378,182.378,96.036,96.036,73.956,48.663,5756.087,2723.891,Industrials,20
2003Q2,2003,Q2,1660.661,1382.628,278.033,0.0,185.29,185.29,92.743,92.743,73.689,49.082,5985.633,2520.911,Industrials,20
2003Q3,2003,Q3,1586.918,1298.776,288.142,0.0,180.204,180.204,107.938,107.938,84.613,56.691,5882.592,2587.861,Industrials,20
2003Q4,2003,Q4,1621.021,1331.644,289.377,0.0,190.09,190.09,99.287,99.287,81.371,55.771,5799.495,2704.273,Industrials,20
2004Q1,2004,Q1,1906.041,1544.15,361.891,0.0,201.464,201.464,218.52,160.427,142.475,107.848,6230.801,2790.664,Industrials,20
2004Q2,2004,Q2,1992.927,1567.483,425.444,0.0,228.446,228.446,260.124,196.998,185.609,125.473,6256.904,2982.454,Industrials,20
2004Q3,2004,Q3,1947.192,1528.278,418.914,0.0,203.298,203.298,269.237,215.616,188.679,132.783,6339.81,3116.465,Industrials,20
2004Q4,2004,Q4,1942.887,1546.357,396.53,0.0,220.846,220.846,238.866,175.684,160.014,171.127,6681.094,3387.402,Industrials,20
2005Q1,2005,Q1,2141.708,1712.884,428.824,0.0,218.207,218.207,273.081,210.617,191.629,139.37,6755.425,3461.051,Industrials,20
