Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,338.2,244.4,93.8,0.0,69.4,78.1,23.0,15.7,15.5,13.7,809.8,436.9,Healthcare,35
1995Q2,1995,Q2,342.3,241.6,100.7,0.0,70.3,80.2,30.6,20.5,20.2,16.3,790.1,442.0,Healthcare,35
1995Q3,1995,Q3,361.6,264.4,97.2,0.0,68.5,78.0,27.5,19.2,20.3,16.0,786.0,360.0,Healthcare,35
1995Q4,1995,Q4,377.5,262.1,115.4,0.0,76.6,87.9,36.3,27.5,30.0,21.9,803.9,366.9,Healthcare,35
1996Q1,1996,Q1,346.8,247.3,99.5,0.0,70.5,79.6,30.9,19.9,18.0,12.8,825.8,363.4,Healthcare,35
1996Q2,1996,Q2,355.9,250.9,105.0,0.0,74.4,83.6,31.7,21.4,20.3,15.6,837.4,366.3,Healthcare,35
1996Q3,1996,Q3,354.7,251.3,103.4,0.0,68.7,80.2,37.0,23.2,20.9,15.6,837.0,377.8,Healthcare,35
1996Q4,1996,Q4,369.9,258.3,111.6,0.0,77.3,88.4,36.4,23.2,21.1,16.2,822.9,365.1,Healthcare,35
1997Q1,1997,Q1,347.0,248.9,98.1,11.2,59.7,81.7,29.3,16.4,14.5,10.1,806.8,350.6,Healthcare,35
1997Q2,1997,Q2,368.7,268.5,100.2,11.9,59.8,82.2,59.3,18.0,-12.9,-11.9,816.7,324.1,Healthcare,35
1997Q3,1997,Q3,358.4,255.1,103.3,10.7,60.6,82.9,31.3,20.4,21.1,14.6,809.3,316.8,Healthcare,35
1997Q4,1997,Q4,386.8,267.6,119.2,11.1,63.4,86.2,46.3,33.0,31.3,20.8,832.1,328.3,Healthcare,35
1998Q1,1998,Q1,355.9,252.6,103.3,11.0,61.3,84.5,-3.9,18.8,53.7,34.5,862.0,349.6,Healthcare,35
1998Q2,1998,Q2,356.3,257.4,98.9,10.9,58.8,80.8,2.3,18.1,44.9,31.6,925.8,390.4,Healthcare,35
1998Q3,1998,Q3,343.5,248.6,94.9,10.4,52.4,74.7,28.2,20.2,24.1,15.4,924.4,377.4,Healthcare,35
1998Q4,1998,Q4,352.2,232.7,119.5,13.6,53.8,82.6,55.6,36.9,33.3,20.5,1184.9,399.7,Healthcare,35
1999Q1,1999,Q1,357.5,249.4,108.1,13.5,57.0,82.3,41.6,25.8,21.9,14.1,1167.1,400.2,Healthcare,35
1999Q2,1999,Q2,304.3,182.5,121.8,16.3,71.2,105.4,55.0,16.4,-4.2,3.6,1652.5,402.4,Healthcare,35
1999Q3,1999,Q3,388.4,228.1,160.3,20.3,95.7,138.5,75.1,21.8,-8.9,103.8,1665.0,516.9,Healthcare,35
1999Q4,1999,Q4,427.2,227.8,199.4,21.2,108.2,143.3,80.3,56.1,45.7,32.8,1714.6,550.8,Healthcare,35
2000Q1,2000,Q1,402.286,227.759,174.527,21.3,95.679,135.935,68.827,38.592,27.313,16.243,1752.62,651.363,Healthcare,35
