Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1261.2,640.1,621.1,0.0,201.9,437.3,245.8,183.8,183.8,125.7,62094.0,4390.0,Financial ,40
1995Q2,1995,Q2,1307.6,680.3,627.3,0.0,204.6,426.3,251.0,201.0,201.0,137.0,62763.0,4436.0,Financial ,40
1995Q3,1995,Q3,1326.8,674.7,652.1,0.0,204.8,432.9,292.2,219.2,219.2,149.0,61218.0,4504.0,Financial ,40
1995Q4,1995,Q4,2214.3,1012.5,1201.8,0.0,453.8,1178.7,134.1,23.1,23.1,-3.6,73404.0,5768.0,Financial ,40
1996Q1,1996,Q1,1577.0,648.5,928.5,0.0,278.7,565.7,423.8,362.8,362.8,238.3,72668.0,5786.0,Financial ,40
1996Q2,1996,Q2,1579.8,632.4,947.4,0.0,284.3,564.3,456.1,383.1,383.1,248.1,71961.0,5832.0,Financial ,40
1996Q3,1996,Q3,1565.0,607.7,957.3,0.0,277.8,595.3,439.0,362.0,362.0,234.0,69662.0,5798.0,Financial ,40
1996Q4,1996,Q4,1611.4,605.5,1005.9,0.0,269.3,586.6,498.3,419.3,419.3,271.7,73260.0,5869.0,Financial ,40
1997Q1,1997,Q1,1675.5,622.3,1053.2,0.0,331.2,644.4,481.8,408.8,408.8,266.3,71166.0,5478.0,Financial ,40
1997Q2,1997,Q2,1701.6,659.0,1042.6,0.0,327.2,649.8,479.8,392.8,392.8,259.1,71973.0,5384.0,Financial ,40
1997Q3,1997,Q3,1729.5,670.4,1059.1,0.0,319.9,652.1,503.0,407.0,407.0,261.6,71828.0,5476.0,Financial ,40
1997Q4,1997,Q4,1785.1,674.3,1110.8,0.0,312.2,701.4,499.4,409.4,409.4,265.0,75120.0,5384.0,Financial ,40
1998Q1,1998,Q1,1830.4,684.1,1146.3,0.0,391.7,741.2,499.1,405.1,405.1,269.3,72355.0,5487.0,Financial ,40
1998Q2,1998,Q2,1883.0,718.0,1165.0,0.0,361.0,739.1,542.9,425.9,425.9,280.4,75873.0,5633.0,Financial ,40
1998Q3,1998,Q3,1883.0,753.0,1130.0,0.0,349.0,696.0,654.0,434.0,434.0,281.0,76238.0,5793.0,Financial ,40
1998Q4,1998,Q4,2151.2,810.1,1341.1,0.0,410.3,896.0,646.1,445.1,445.1,284.7,77207.0,6043.0,Financial ,40
1999Q1,1999,Q1,2021.0,710.0,1311.0,0.0,427.0,823.0,618.0,488.0,488.0,325.0,74868.0,5931.0,Financial ,40
1999Q2,1999,Q2,1868.0,622.0,1246.0,0.0,381.0,767.0,566.0,479.0,479.0,315.0,75558.0,5755.0,Financial ,40
