Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,727.5,187.6,539.9,0.0,0.0,296.2,344.4,243.7,190.3,108.3,9426.2,2978.1,Utilities,55
1995Q2,1995,Q2,609.2,160.9,448.3,0.0,0.0,308.4,236.0,139.9,87.4,51.7,9451.1,2976.7,Utilities,55
1995Q3,1995,Q3,682.2,192.1,490.1,0.0,0.0,218.8,370.6,271.3,194.5,94.1,9470.2,3016.8,Utilities,55
1995Q4,1995,Q4,732.9,188.6,544.3,0.0,0.0,364.0,277.3,180.3,163.8,96.5,9491.7,3063.5,Utilities,55
1996Q1,1996,Q1,789.0,215.0,574.0,0.0,0.0,309.0,369.0,265.0,212.0,123.0,9531.0,3130.0,Utilities,55
1996Q2,1996,Q2,669.0,175.0,494.0,0.0,0.0,321.0,669.0,173.0,121.0,68.0,9645.0,3141.0,Utilities,55
1996Q3,1996,Q3,715.0,208.0,507.0,0.0,0.0,319.0,300.0,188.0,138.0,86.0,9627.0,3169.0,Utilities,55
1996Q4,1996,Q4,737.0,202.0,535.0,0.0,0.0,350.0,285.0,185.0,140.0,80.0,9636.0,3211.0,Utilities,55
1997Q1,1997,Q1,786.0,227.0,559.0,0.0,0.0,300.0,351.0,259.0,212.0,124.0,9902.0,3270.0,Utilities,55
1997Q2,1997,Q2,686.0,209.0,477.0,0.0,0.0,263.0,307.0,214.0,165.0,69.0,9508.0,3152.0,Utilities,55
1997Q3,1997,Q3,777.8,272.0,505.8,0.0,0.0,355.0,244.8,150.8,101.0,48.0,9485.0,2887.0,Utilities,55
1997Q4,1997,Q4,799.2,262.0,537.2,0.0,0.0,356.0,347.2,181.2,132.0,80.0,9485.0,2906.0,Utilities,55
1998Q1,1998,Q1,880.0,327.0,553.0,0.0,0.0,317.0,330.0,236.0,191.0,107.0,9778.0,2953.0,Utilities,55
1998Q2,1998,Q2,838.0,336.0,502.0,0.0,0.0,354.0,242.0,148.0,98.0,-888.0,9199.0,2004.0,Utilities,55
1998Q3,1998,Q3,1166.0,564.0,602.0,0.0,0.0,315.0,355.0,287.0,220.0,142.0,9485.0,1834.0,Utilities,55
1998Q4,1998,Q4,902.0,327.0,575.0,0.0,0.0,356.0,358.0,219.0,154.0,95.0,9607.0,1887.0,Utilities,55
1999Q1,1999,Q1,1067.0,401.0,666.0,0.0,0.0,404.0,367.0,262.0,200.0,126.0,9729.0,1969.0,Utilities,55
1999Q2,1999,Q2,1004.0,458.0,546.0,0.0,0.0,382.0,266.0,164.0,110.0,70.0,10104.0,1983.0,Utilities,55
1999Q3,1999,Q3,1386.0,691.0,695.0,0.0,0.0,457.0,338.0,238.0,145.0,108.0,10609.0,1607.0,Utilities,55
1999Q4,1999,Q4,1133.0,460.0,673.0,0.0,0.0,465.0,208.0,208.0,223.0,154.0,11174.0,1710.0,Utilities,55
2000Q1,2000,Q1,1413.0,608.0,805.0,0.0,0.0,485.0,451.0,320.0,230.0,148.0,11427.0,1834.0,Utilities,55
2000Q2,2000,Q2,1297.0,593.0,704.0,0.0,0.0,463.0,357.0,241.0,157.0,99.0,11869.0,1873.0,Utilities,55
2000Q3,2000,Q3,1468.0,690.0,778.0,0.0,0.0,465.0,421.0,313.0,217.0,142.0,11972.0,1996.0,Utilities,55
2000Q4,2000,Q4,1515.0,570.0,945.0,0.0,0.0,617.0,355.0,328.0,203.0,135.0,12360.0,2109.0,Utilities,55
2001Q1,2001,Q1,1566.0,583.0,983.0,0.0,0.0,527.0,519.0,456.0,354.0,228.0,12546.0,2099.0,Utilities,55
2001Q2,2001,Q2,1411.0,554.0,857.0,0.0,0.0,609.0,370.0,248.0,165.0,130.0,12162.0,2348.0,Utilities,55
2001Q3,2001,Q3,1225.0,315.0,910.0,0.0,0.0,573.0,469.0,337.0,254.0,168.0,12782.0,2425.0,Utilities,55
2001Q4,2001,Q4,1312.0,461.0,851.0,0.0,0.0,1040.0,-189.0,-189.0,-291.0,-295.0,12574.0,1939.0,Utilities,55
2002Q1,2002,Q1,1354.0,345.0,1009.0,0.0,0.0,609.0,539.0,400.0,251.0,15.0,12368.0,1896.0,Utilities,55
2002Q2,2002,Q2,1301.0,471.0,830.0,0.0,0.0,743.0,201.0,87.0,-8.0,-12.0,12194.0,1952.0,Utilities,55
2002Q3,2002,Q3,1462.0,428.0,1034.0,0.0,0.0,640.0,548.0,394.0,216.0,138.0,15702.0,2517.0,Utilities,55
2002Q4,2002,Q4,1374.0,403.0,971.0,0.0,0.0,700.0,271.0,271.0,147.0,131.0,15569.0,2306.0,Utilities,55
2003Q1,2003,Q1,1488.0,499.0,989.0,0.0,0.0,630.0,526.0,359.0,245.0,239.0,15953.0,2552.0,Utilities,55
2003Q2,2003,Q2,1339.0,386.0,953.0,0.0,0.0,667.0,434.0,286.0,166.0,116.0,16012.0,2952.0,Utilities,55
2003Q3,2003,Q3,1462.0,457.0,1005.0,0.0,0.0,642.0,527.0,363.0,254.0,171.0,15934.0,3023.0,Utilities,55
2003Q4,2003,Q4,1306.0,310.0,996.0,0.0,0.0,662.0,494.0,334.0,226.0,208.0,17123.0,3310.0,Utilities,55
