Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,5318.0,3976.0,1342.0,218.0,629.0,1054.0,495.0,288.0,223.0,135.0,15695.0,4161.0,Industrials,20
1995Q2,1995,Q2,5774.0,4272.0,1502.0,233.0,672.0,1119.0,597.0,383.0,350.0,218.0,15826.0,4299.0,Industrials,20
1995Q3,1995,Q3,5604.0,4125.0,1479.0,251.0,642.0,1093.0,586.0,386.0,341.0,210.0,15741.0,4338.0,Industrials,20
1995Q4,1995,Q4,5928.0,4383.0,1545.0,261.0,708.0,1192.0,576.0,353.0,300.0,187.0,15958.0,4419.0,Industrials,20
1996Q1,1996,Q1,5449.0,4000.0,1449.0,250.0,683.0,1142.0,516.0,307.0,263.0,164.0,16026.0,4481.0,Industrials,20
1996Q2,1996,Q2,6002.0,4343.0,1659.0,274.0,709.0,1198.0,676.0,461.0,410.0,259.0,16183.0,4560.0,Industrials,20
1996Q3,1996,Q3,5908.0,4265.0,1643.0,270.0,708.0,1189.0,665.0,454.0,398.0,254.0,16414.0,4686.0,Industrials,20
1996Q4,1996,Q4,6015.0,4377.0,1638.0,328.0,772.0,1318.0,538.0,320.0,358.0,229.0,16745.0,4740.0,Industrials,20
1997Q1,1997,Q1,5886.0,4325.0,1561.0,271.0,702.0,1184.0,588.0,377.0,348.0,224.0,16689.0,4678.0,Industrials,20
1997Q2,1997,Q2,6432.0,4669.0,1763.0,316.0,727.0,1262.0,720.0,501.0,466.0,304.0,17031.0,4774.0,Industrials,20
1997Q3,1997,Q3,5936.0,4281.0,1655.0,268.0,690.0,1160.0,697.0,495.0,459.0,300.0,16921.0,5164.0,Industrials,20
1997Q4,1997,Q4,6241.0,4529.0,1712.0,332.0,796.0,1344.0,584.0,368.0,372.0,244.0,16440.0,4523.0,Industrials,20
1998Q1,1998,Q1,6024.0,4398.0,1626.0,308.0,731.0,1253.0,502.0,373.0,391.0,260.0,17340.0,4688.0,Industrials,20
1998Q2,1998,Q2,6680.0,4764.0,1916.0,320.0,750.0,1284.0,797.0,632.0,542.0,360.0,17458.0,4743.0,Industrials,20
1998Q3,1998,Q3,6440.0,4579.0,1861.0,324.0,719.0,1259.0,797.0,602.0,519.0,348.0,18288.0,4832.0,Industrials,20
1998Q4,1998,Q4,6543.0,4681.0,1862.0,363.0,757.0,1330.0,742.0,532.0,426.0,287.0,17768.0,4834.0,Industrials,20
1999Q1,1999,Q1,5382.0,3794.0,1588.0,274.0,701.0,1158.0,613.0,430.0,414.0,308.0,17912.0,4953.0,Industrials,20
1999Q2,1999,Q2,5984.0,4150.0,1834.0,306.0,693.0,1196.0,835.0,638.0,613.0,1077.0,22027.0,7768.0,Industrials,20
1999Q3,1999,Q3,6068.0,4648.0,1420.0,306.0,786.0,1301.0,328.0,119.0,92.0,90.0,23080.0,7551.0,Industrials,20
1999Q4,1999,Q4,6410.0,4749.0,1661.0,406.0,953.0,1614.0,302.0,47.0,47.0,56.0,24366.0,7566.0,Industrials,20
2000Q1,2000,Q1,6307.0,4416.0,1891.0,314.0,781.0,1307.0,796.0,584.0,554.0,377.0,24201.0,7479.0,Industrials,20
