Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,716.8,405.7,311.1,0.0,264.6,283.1,46.5,28.0,29.7,18.7,2002.9,1061.6,Materials,15
1995Q2,1995,Q2,904.7,498.3,406.4,0.0,271.0,289.5,135.4,116.9,116.2,73.2,2084.3,1123.0,Materials,15
1995Q3,1995,Q3,911.3,502.2,409.1,0.0,274.0,292.7,135.7,116.4,118.9,74.9,2109.5,1178.7,Materials,15
1995Q4,1995,Q4,740.9,393.5,347.4,0.0,265.8,287.5,81.6,59.9,53.6,33.8,2141.1,1212.1,Materials,15
1996Q1,1996,Q1,857.8,496.0,361.8,0.0,299.7,324.0,62.1,37.8,31.6,19.6,2732.3,1220.5,Materials,15
1996Q2,1996,Q2,1145.3,649.6,495.7,0.0,330.5,356.2,165.2,139.5,132.1,81.9,2949.8,1293.8,Materials,15
1996Q3,1996,Q3,1171.0,653.0,518.0,0.0,338.2,364.0,179.8,154.0,147.9,88.6,2942.1,1367.7,Materials,15
1996Q4,1996,Q4,958.9,503.1,455.8,0.0,340.7,368.5,115.1,87.3,63.9,39.2,2994.6,1401.2,Materials,15
1997Q1,1997,Q1,1069.8,589.9,479.9,0.0,387.9,424.2,92.0,55.7,37.9,23.1,4161.2,1401.8,Materials,15
1997Q2,1997,Q2,1373.4,745.7,627.7,0.0,419.0,449.1,208.7,178.6,152.8,93.2,4219.3,1483.1,Materials,15
1997Q3,1997,Q3,1346.5,726.3,620.2,0.0,398.1,434.9,222.1,185.3,162.6,99.2,4186.5,1561.9,Materials,15
1997Q4,1997,Q4,1091.4,583.3,508.1,0.0,368.5,404.5,139.6,103.6,74.0,45.1,4035.8,1592.2,Materials,15
1998Q1,1998,Q1,1104.1,613.6,490.5,0.0,394.2,429.8,96.3,60.7,40.6,25.2,4193.8,1609.2,Materials,15
1998Q2,1998,Q2,1377.8,741.9,635.9,0.0,418.6,455.0,217.3,180.9,160.5,99.5,4260.4,1657.5,Materials,15
1998Q3,1998,Q3,1341.4,716.6,624.8,0.0,404.8,441.7,220.0,183.1,162.5,100.7,4191.5,1713.7,Materials,15
1998Q4,1998,Q4,1111.0,584.5,526.5,0.0,380.7,419.7,145.8,106.8,76.6,47.5,4065.5,1715.9,Materials,15
1999Q1,1999,Q1,1127.9,613.466,514.401,0.0,411.613,448.928,102.788,65.473,46.4,28.797,4057.1,1593.9,Materials,15
1999Q2,1999,Q2,1384.1,735.2,648.871,0.0,424.1,462.6,224.856,186.271,173.5,107.6,4161.4,1686.1,Materials,15
1999Q3,1999,Q3,1345.5,693.6,651.9,0.0,417.5,459.5,234.4,192.4,179.8,111.5,4106.7,1684.0,Materials,15
1999Q4,1999,Q4,1146.4,557.3,589.1,0.0,420.2,458.1,168.9,131.0,90.4,56.0,4032.812,1698.532,Materials,15
2000Q1,2000,Q1,1221.916,666.892,555.024,0.0,435.921,474.701,119.103,80.323,66.005,40.923,4209.541,1693.039,Materials,15
2000Q2,2000,Q2,1429.267,747.204,682.063,0.0,434.846,475.435,247.217,206.628,186.845,115.843,4361.316,1778.403,Materials,15
2000Q3,2000,Q3,1411.903,745.825,666.078,0.0,437.954,477.937,228.124,188.141,172.126,106.719,4266.668,1790.171,Materials,15
2000Q4,2000,Q4,1148.538,584.062,564.476,0.0,431.646,472.324,132.83,92.152,-281.57,-247.459,3750.67,1471.864,Materials,15
2001Q1,2001,Q1,1158.37,669.347,489.023,0.0,421.659,421.659,103.692,67.364,58.609,36.924,3820.568,1450.09,Materials,15
2001Q2,2001,Q2,1407.514,798.977,608.537,0.0,444.377,444.377,201.346,164.16,143.619,90.48,3802.488,1445.629,Materials,15
2001Q3,2001,Q3,1366.768,765.729,601.039,0.0,443.173,443.173,194.559,157.866,143.367,90.321,3692.133,1456.972,Materials,15
2001Q4,2001,Q4,1133.353,612.323,521.03,0.0,420.646,420.646,138.275,100.384,78.854,45.433,3627.925,1487.764,Materials,15
2002Q1,2002,Q1,1149.178,657.074,492.104,0.0,422.186,422.186,97.937,69.918,56.105,-148.351,3433.896,1278.131,Materials,15
2002Q2,2002,Q2,1453.198,801.388,651.81,0.0,465.517,465.517,214.627,186.293,173.429,107.526,3470.724,1317.005,Materials,15
2002Q3,2002,Q3,1426.266,780.974,645.292,0.0,456.101,456.101,218.442,189.191,179.569,111.333,3436.137,1337.661,Materials,15
2002Q4,2002,Q4,1156.146,606.766,549.38,0.0,440.723,440.723,138.701,108.657,88.062,57.058,3432.312,1341.89,Materials,15
2003Q1,2003,Q1,1148.461,646.697,501.764,0.0,440.45,440.45,89.531,61.314,48.507,30.802,3407.84,1279.712,Materials,15
2003Q2,2003,Q2,1471.678,805.926,665.752,0.0,484.082,484.082,210.39,181.67,173.432,110.13,3532.325,1368.64,Materials,15
2003Q3,2003,Q3,1503.086,824.44,678.646,0.0,480.076,480.076,227.918,198.57,189.444,120.297,3639.06,1431.964,Materials,15
2003Q4,2003,Q4,1284.539,675.406,609.133,0.0,477.056,477.056,162.356,132.077,111.545,70.831,3682.608,1458.857,Materials,15
2004Q1,2004,Q1,1319.522,747.895,571.627,0.0,484.546,484.546,115.613,87.081,79.182,51.468,3651.248,1451.341,Materials,15
2004Q2,2004,Q2,1617.955,896.538,721.417,0.0,514.403,514.403,235.887,207.014,195.174,126.438,3910.735,1503.34,Materials,15
2004Q3,2004,Q3,1677.13,933.585,743.545,0.0,527.124,527.124,248.228,216.421,204.804,132.863,4457.109,1570.534,Materials,15
2004Q4,2004,Q4,1499.183,834.361,664.822,0.0,542.863,542.863,170.031,121.959,101.035,82.485,4274.151,1647.246,Materials,15
2005Q1,2005,Q1,1538.545,877.771,660.774,0.0,541.597,541.597,154.807,119.177,107.643,83.294,4480.702,1593.666,Materials,15
2005Q2,2005,Q2,1965.358,1127.192,838.166,0.0,593.063,593.063,280.533,245.103,219.568,153.221,4614.228,1710.357,Materials,15
2005Q3,2005,Q3,1976.728,1136.983,839.745,0.0,602.517,602.517,273.121,237.228,218.994,151.608,4575.442,1753.069,Materials,15
2005Q4,2005,Q4,1710.03,968.35,741.68,0.0,589.043,589.043,197.924,152.637,110.01,75.135,4369.195,1730.612,Materials,15
2006Q1,2006,Q1,1768.528,997.117,771.411,0.0,597.585,597.585,209.142,173.826,161.911,113.671,5042.697,1843.288,Materials,15
2006Q2,2006,Q2,2129.97,1193.382,936.588,0.0,641.562,641.562,330.808,295.026,269.125,184.592,4935.227,1969.896,Materials,15
2006Q3,2006,Q3,2116.711,1180.933,935.778,0.0,648.92,648.92,323.355,286.858,276.691,179.112,5085.809,2062.162,Materials,15
2006Q4,2006,Q4,1794.55,1023.687,770.863,0.0,624.86,624.86,184.325,146.003,126.585,98.683,4995.087,1992.36,Materials,15
2007Q1,2007,Q1,1756.178,964.812,791.366,0.0,617.74,617.74,211.316,173.626,163.518,111.802,4943.998,1914.138,Materials,15
2007Q2,2007,Q2,2198.188,1211.618,986.57,0.0,666.899,666.899,358.84,319.671,303.145,202.607,5052.88,2015.233,Materials,15
2007Q3,2007,Q3,2197.042,1208.654,988.388,0.0,670.433,670.433,359.371,317.955,294.317,200.349,5107.885,1844.796,Materials,15
2007Q4,2007,Q4,1853.884,1021.882,832.002,0.0,642.395,642.395,234.811,189.607,151.963,100.82,4855.34,1785.727,Materials,15
2008Q1,2008,Q1,1781.682,1001.174,780.508,0.0,651.707,651.707,169.934,128.801,113.029,77.946,5010.837,1619.612,Materials,15
2008Q2,2008,Q2,2229.545,1256.642,972.903,0.0,676.984,676.984,336.608,295.919,256.172,171.683,5165.777,1665.529,Materials,15
2008Q3,2008,Q3,2268.658,1308.169,960.489,0.0,681.352,681.352,321.532,279.137,266.142,177.081,5069.156,1738.286,Materials,15
2008Q4,2008,Q4,1699.842,914.942,784.9,0.0,633.537,652.856,117.596,132.044,79.132,50.166,4415.759,1605.648,Materials,15
2009Q1,2009,Q1,1550.677,870.071,680.606,0.0,619.253,619.253,105.206,61.353,50.893,37.279,4412.356,1581.959,Materials,15
2009Q2,2009,Q2,1947.827,1052.485,895.342,0.0,656.052,656.052,285.764,239.29,232.123,158.023,4502.11,1733.998,Materials,15
2009Q3,2009,Q3,1996.909,1067.926,928.983,0.0,654.246,661.115,310.153,267.868,258.648,175.208,4449.45,1702.852,Materials,15
2009Q4,2009,Q4,1598.836,840.598,758.238,0.0,631.975,631.975,132.624,126.263,81.153,65.338,4323.855,1490.95,Materials,15
2010Q1,2010,Q1,1565.482,873.514,691.968,0.0,612.875,612.875,110.878,79.093,59.458,32.603,4509.146,1495.146,Materials,15
2010Q2,2010,Q2,2143.064,1171.171,971.893,0.0,691.215,693.659,325.15,278.234,259.248,181.706,4740.286,1531.226,Materials,15
2010Q3,2010,Q3,2172.259,1200.674,971.585,0.0,703.672,703.672,309.724,267.913,255.379,175.258,5181.0,1643.0,Materials,15
2010Q4,2010,Q4,1895.619,1049.987,845.632,0.0,720.36,717.949,177.938,127.683,103.698,72.918,5169.235,1609.44,Materials,15
2011Q1,2011,Q1,1855.586,1058.178,797.408,0.0,696.704,696.704,149.114,100.704,94.713,68.316,5443.653,1607.892,Materials,15
