Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1929.0,508.3,1420.7,0.0,0.0,1420.7,836.0,537.4,358.3,206.3,26965.0,8368.4,Utilities,55
1995Q2,1995,Q2,2183.6,616.3,1567.3,0.0,0.0,1567.3,912.2,646.5,461.0,267.5,27021.5,8438.7,Utilities,55
1995Q3,1995,Q3,2758.8,780.3,1978.5,0.0,0.0,1978.5,1297.3,996.6,791.9,468.8,30318.5,8702.8,Utilities,55
1995Q4,1995,Q4,2308.5,712.1,1596.4,0.0,0.0,1596.4,931.7,510.5,296.7,160.3,30522.0,10104.0,Utilities,55
1996Q1,1996,Q1,2429.4,774.2,1655.2,0.0,0.0,1655.2,908.7,568.6,393.5,232.9,29716.0,8771.1,Utilities,55
1996Q2,1996,Q2,2563.5,794.3,1769.2,0.0,0.0,1769.2,995.8,660.3,497.6,287.3,30340.9,8935.7,Utilities,55
1996Q3,1996,Q3,2932.6,898.9,2033.7,0.0,0.0,2033.7,1299.6,956.0,758.0,467.4,29927.1,9189.0,Utilities,55
1996Q4,1996,Q4,2487.2,2760.7,-273.5,0.0,0.0,-273.5,-438.0,353.0,-539.0,139.4,30230.0,10196.0,Utilities,55
1997Q1,1997,Q1,2584.4,944.0,1640.4,0.0,0.0,1640.4,927.8,542.3,333.2,187.0,34000.1,9261.9,Utilities,55
1997Q2,1997,Q2,2717.2,1000.4,1716.8,0.0,0.0,1716.8,956.8,583.2,368.5,214.8,34412.4,9338.4,Utilities,55
1997Q3,1997,Q3,4071.2,1832.6,2238.6,0.0,0.0,2238.6,1370.2,904.5,706.9,374.7,35384.2,9588.6,Utilities,55
1997Q4,1997,Q4,3238.2,3467.0,-228.8,0.0,0.0,-228.8,-183.9,634.9,-436.6,195.5,35255.0,10140.0,Utilities,55
1998Q1,1998,Q1,2494.9,782.3,1712.6,0.0,0.0,1712.6,960.6,572.6,377.6,241.7,35023.2,9743.7,Utilities,55
1998Q2,1998,Q2,2913.4,919.5,1993.9,0.0,0.0,1993.9,1156.8,648.7,428.9,270.8,35755.0,9802.7,Utilities,55
1998Q3,1998,Q3,3456.8,1067.7,2389.1,0.0,0.0,2389.1,1544.8,1066.8,831.5,516.0,35951.7,10147.6,Utilities,55
1998Q4,1998,Q4,2519.1,2956.5,-437.4,0.0,0.0,-437.4,-275.9,346.2,-667.2,-51.5,36191.0,10166.0,Utilities,55
1999Q1,1999,Q1,2441.565,786.9,1654.665,0.0,0.0,1654.665,842.865,484.865,332.9,224.3,35437.8,9704.1,Utilities,55
1999Q2,1999,Q2,2791.1,901.0,1890.1,0.0,0.0,1890.1,1011.2,667.3,473.9,314.0,37569.8,9524.5,Utilities,55
1999Q3,1999,Q3,3736.6,1244.1,2492.5,0.0,0.0,2492.5,1457.1,1110.1,947.0,615.2,38224.6,9525.7,Utilities,55
1999Q4,1999,Q4,2615.7,2940.9,-325.2,0.0,0.0,-325.2,931.8,585.7,248.2,122.5,29291.0,9573.0,Utilities,55
2000Q1,2000,Q1,2572.587,753.17,1819.417,0.0,0.0,1819.417,977.047,569.376,306.954,245.444,38451.514,8811.931,Utilities,55
2000Q2,2000,Q2,2522.742,800.785,1721.957,0.0,0.0,1721.957,909.566,598.165,403.395,341.904,39521.49,8920.833,Utilities,55
2000Q3,2000,Q3,3197.375,1099.65,2097.725,0.0,0.0,2097.725,1354.943,1038.79,839.189,613.533,43531.909,9379.687,Utilities,55
2000Q4,2000,Q4,-3181.213,-1020.459,-2160.754,0.0,0.0,-2160.754,-178.493,-202.615,-230.289,112.119,31260.0,11058.0,Utilities,55
2001Q1,2001,Q1,2269.518,721.507,1548.011,0.0,0.0,1548.011,2597.311,2269.518,288.687,319.545,31527.037,10562.643,Utilities,55
2001Q2,2001,Q2,2561.804,852.237,1709.567,0.0,0.0,1709.567,2897.407,2561.804,409.146,272.573,29267.181,7535.056,Utilities,55
2001Q3,2001,Q3,3164.461,1088.846,2075.615,0.0,0.0,2075.615,1325.503,997.885,838.79,554.378,29798.711,7972.1,Utilities,55
2001Q4,2001,Q4,2159.217,2484.41,-325.193,0.0,0.0,-325.193,542.999,333.013,140.377,115.504,29897.0,8352.0,Utilities,55
2002Q1,2002,Q1,2213.588,641.81,1571.778,0.0,0.0,1571.778,792.023,517.5,340.672,224.286,30197.004,8105.876,Utilities,55
2002Q2,2002,Q2,2630.772,810.188,1820.584,0.0,0.0,1820.584,935.853,658.713,486.273,331.392,31310.472,8287.616,Utilities,55
2002Q3,2002,Q3,3248.008,1028.715,2219.293,0.0,0.0,2219.293,1359.848,1070.052,867.696,595.413,31451.605,8721.294,Utilities,55
2002Q4,2002,Q4,2456.632,2922.287,-465.655,0.0,0.0,-465.655,413.522,339.981,156.607,166.909,33721.0,9008.0,Utilities,55
2003Q1,2003,Q1,2548.354,825.312,1723.042,0.0,0.0,1723.042,899.798,605.652,418.6,297.432,32850.424,8870.827,Utilities,55
2003Q2,2003,Q2,2823.964,852.742,1971.222,0.0,0.0,1971.222,1084.321,781.222,617.65,431.887,33293.294,9217.61,Utilities,55
2003Q3,2003,Q3,3300.847,1074.841,2226.006,0.0,0.0,2226.006,1390.985,1094.35,898.051,618.835,33892.522,9684.002,Utilities,55
2003Q4,2003,Q4,2538.629,3033.609,-494.98,0.0,0.0,-494.98,445.563,431.346,151.699,125.479,35178.0,10071.0,Utilities,55
2004Q1,2004,Q1,2732.315,958.53,1773.785,0.0,0.0,1773.785,924.596,623.135,454.197,331.142,35367.297,9778.282,Utilities,55
2004Q2,2004,Q2,3008.895,1088.066,1920.829,0.0,0.0,1920.829,963.222,694.917,511.152,352.132,35935.204,9915.575,Utilities,55
2004Q3,2004,Q3,3440.805,1170.264,2270.541,0.0,0.0,2270.541,1410.04,1112.967,950.088,644.473,36498.152,10301.41,Utilities,55
2004Q4,2004,Q4,2719.985,3249.162,-529.177,0.0,0.0,-529.177,639.142,395.981,203.563,204.253,36955.0,10839.0,Utilities,55
2005Q1,2005,Q1,2787.03,962.837,1824.193,0.0,0.0,1824.193,902.75,559.679,393.428,322.96,37289.953,10408.06,Utilities,55
2005Q2,2005,Q2,3119.646,1116.918,2002.728,0.0,0.0,2002.728,1065.524,721.39,535.263,386.821,38070.142,10549.438,Utilities,55
