Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,580.6,220.3,360.3,0.0,150.5,275.0,85.3,85.3,85.3,54.3,23542.1,1414.6,Financial ,40
1995Q2,1995,Q2,606.8,226.3,380.5,0.0,159.4,289.1,91.4,91.4,91.4,62.7,25570.3,1491.5,Financial ,40
1995Q3,1995,Q3,625.1,234.3,390.8,0.0,165.0,300.8,90.0,90.0,90.0,64.6,25525.5,1538.9,Financial ,40
1995Q4,1995,Q4,643.3,234.3,409.0,0.0,175.7,309.2,116.3,99.8,99.8,65.5,25785.2,1587.5,Financial ,40
1996Q1,1996,Q1,652.7,216.8,435.9,0.0,181.0,327.9,221.2,108.0,108.0,69.8,27229.2,1560.1,Financial ,40
1996Q2,1996,Q2,665.0,210.0,455.0,0.0,189.0,344.0,128.8,111.0,111.0,72.0,28943.7,1576.1,Financial ,40
1996Q3,1996,Q3,693.0,232.0,461.0,0.0,194.0,350.0,151.0,111.0,111.0,74.0,28444.9,1622.4,Financial ,40
1996Q4,1996,Q4,734.1,241.2,492.9,0.0,244.7,375.3,159.9,117.6,117.6,78.1,31524.0,1775.0,Financial ,40
1997Q1,1997,Q1,772.0,251.0,521.0,0.0,230.0,391.0,191.0,130.0,130.0,86.0,33631.0,1738.0,Financial ,40
1997Q2,1997,Q2,829.0,274.0,555.0,0.0,248.0,419.0,209.0,136.0,136.0,92.0,36686.0,1832.0,Financial ,40
1997Q3,1997,Q3,894.0,293.0,601.0,0.0,263.0,451.0,176.0,150.0,150.0,101.0,35404.0,1916.0,Financial ,40
1997Q4,1997,Q4,933.0,312.0,621.0,0.0,280.0,474.0,242.0,147.0,147.0,100.0,37975.0,1995.0,Financial ,40
1998Q1,1998,Q1,960.0,326.0,634.0,0.0,279.0,474.0,245.0,160.0,160.0,106.0,39010.0,2077.0,Financial ,40
1998Q2,1998,Q2,1043.0,372.0,671.0,0.0,310.0,507.0,243.0,164.0,164.0,109.0,46711.0,2158.0,Financial ,40
1998Q3,1998,Q3,1113.0,419.0,694.0,0.0,314.0,528.0,263.0,166.0,166.0,111.0,50607.0,2218.0,Financial ,40
1998Q4,1998,Q4,1118.0,392.0,726.0,0.0,332.0,559.0,234.0,167.0,167.0,111.0,47082.0,2311.0,Financial ,40
1999Q1,1999,Q1,1116.0,374.0,742.0,0.0,324.0,557.0,273.0,185.0,185.0,121.0,49750.0,2395.0,Financial ,40
1999Q2,1999,Q2,1185.0,420.0,765.0,0.0,338.0,577.0,260.0,188.0,188.0,123.0,53330.0,2441.0,Financial ,40
1999Q3,1999,Q3,1197.0,432.0,765.0,0.0,333.0,576.0,270.0,189.0,189.0,126.0,54972.0,2462.0,Financial ,40
1999Q4,1999,Q4,1194.0,444.0,750.0,0.0,371.0,344.0,492.0,406.0,406.0,249.0,60896.0,2652.0,Financial ,40
2000Q1,2000,Q1,1431.0,517.0,914.0,0.0,401.0,684.0,294.0,230.0,230.0,150.0,60530.0,2777.0,Financial ,40
2000Q2,2000,Q2,1424.0,555.0,869.0,0.0,381.0,642.0,343.0,227.0,227.0,148.0,64630.0,2931.0,Financial ,40
2000Q3,2000,Q3,1494.0,606.0,888.0,0.0,392.0,665.0,234.0,223.0,223.0,150.0,64979.0,3089.0,Financial ,40
2000Q4,2000,Q4,1572.0,693.0,879.0,0.0,410.0,653.0,409.0,226.0,226.0,147.0,69298.0,3262.0,Financial ,40
2001Q1,2001,Q1,1498.0,609.0,889.0,0.0,392.0,706.0,273.0,183.0,183.0,121.0,67605.0,3484.0,Financial ,40
2001Q2,2001,Q2,1463.0,496.0,967.0,0.0,431.0,719.0,295.0,248.0,248.0,167.0,70318.0,3677.0,Financial ,40
2001Q3,2001,Q3,1413.0,454.0,959.0,0.0,434.0,712.0,358.0,247.0,247.0,170.0,73176.0,3808.0,Financial ,40
2001Q4,2001,Q4,1270.0,281.0,989.0,0.0,444.0,737.0,402.0,252.0,252.0,170.0,69850.0,3845.0,Financial ,40
2002Q1,2002,Q1,1225.0,244.0,981.0,0.0,421.0,715.0,502.0,266.0,266.0,178.0,73298.0,3994.0,Financial ,40
2002Q2,2002,Q2,1265.0,262.0,1003.0,0.0,440.0,738.0,416.0,265.0,265.0,178.0,80328.0,4187.0,Financial ,40
2002Q3,2002,Q3,1208.0,253.0,955.0,0.0,398.0,683.0,384.0,272.0,272.0,182.0,77556.0,4349.0,Financial ,40
2002Q4,2002,Q4,1697.0,241.0,1456.0,0.0,411.0,704.0,941.0,752.0,752.0,477.0,85794.0,4787.0,Financial ,40
2003Q1,2003,Q1,1213.0,193.0,1020.0,0.0,443.0,834.0,376.0,186.0,186.0,96.0,79109.0,5051.0,Financial ,40
2003Q2,2003,Q2,1290.0,208.0,1082.0,0.0,444.0,1139.0,-15.0,-57.0,-57.0,-23.0,83102.0,5085.0,Financial ,40
2003Q3,2003,Q3,1287.0,161.0,1126.0,0.0,407.0,821.0,498.0,305.0,305.0,202.0,81776.0,5244.0,Financial ,40
2003Q4,2003,Q4,1673.0,167.0,1506.0,0.0,437.0,828.0,954.0,678.0,678.0,447.0,87534.0,5747.0,Financial ,40
