Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,643.3,415.7,227.6,0.0,147.3,169.2,80.3,58.4,46.3,28.7,1728.4,749.9,Industrials,20
1995Q2,1995,Q2,655.5,422.8,232.7,0.0,148.6,169.4,84.1,63.3,50.8,31.5,1737.1,766.9,Industrials,20
1995Q3,1995,Q3,655.7,427.0,228.7,0.0,148.0,169.0,80.7,59.7,6.9,-1.7,1701.2,749.7,Industrials,20
1995Q4,1995,Q4,669.8,443.0,226.8,0.0,147.8,165.3,79.0,61.5,8.8,0.6,1670.0,734.6,Industrials,20
1996Q1,1996,Q1,635.3,409.2,226.1,0.0,149.0,169.1,77.1,57.0,47.0,29.6,1628.4,743.3,Industrials,20
1996Q2,1996,Q2,677.2,434.3,242.9,0.0,153.1,171.8,89.8,71.1,57.5,32.6,1668.6,765.7,Industrials,20
1996Q3,1996,Q3,672.9,428.4,244.5,0.0,151.7,171.7,92.8,72.8,59.0,37.7,1689.6,787.7,Industrials,20
1996Q4,1996,Q4,685.4,448.9,236.5,0.0,154.7,170.6,81.8,65.9,10.7,-3.0,1659.6,780.1,Industrials,20
1997Q1,1997,Q1,646.6,412.9,233.7,0.0,153.2,171.7,80.5,62.0,58.7,36.7,1633.5,791.9,Industrials,20
1997Q2,1997,Q2,673.6,427.2,246.4,0.0,153.8,172.7,92.6,73.7,-81.5,-64.5,1666.8,716.7,Industrials,20
1997Q3,1997,Q3,650.5,418.1,232.4,0.0,148.2,166.7,84.2,65.7,-46.4,-40.6,1736.6,640.1,Industrials,20
1997Q4,1997,Q4,698.8,452.8,246.0,0.0,172.5,189.0,73.5,57.0,50.6,26.5,1758.7,607.8,Industrials,20
1998Q1,1998,Q1,671.9,415.2,256.7,0.0,171.1,190.9,85.6,65.8,58.2,36.4,1744.1,627.1,Industrials,20
1998Q2,1998,Q2,691.8,430.6,261.2,0.0,166.1,184.4,95.1,76.8,67.5,42.2,1766.0,645.9,Industrials,20
1998Q3,1998,Q3,689.6,433.2,256.4,0.0,172.7,192.7,83.7,63.7,53.6,33.4,1941.7,657.8,Industrials,20
1998Q4,1998,Q4,675.8,434.1,241.7,0.0,174.8,196.4,66.9,45.3,36.1,25.8,1932.9,669.4,Industrials,20
1999Q1,1999,Q1,683.7,427.3,256.4,0.0,173.1,197.2,83.3,59.2,47.4,30.3,1901.4,673.7,Industrials,20
1999Q2,1999,Q2,685.5,433.9,251.6,0.0,182.2,203.4,69.4,48.2,38.1,25.3,1888.0,680.9,Industrials,20
1999Q3,1999,Q3,692.0,426.0,266.0,0.0,166.9,187.8,99.1,78.2,77.4,50.3,1961.9,713.6,Industrials,20
1999Q4,1999,Q4,690.6,441.1,249.5,0.0,180.8,200.2,68.7,49.3,67.9,44.1,1890.6,735.4,Industrials,20
2000Q1,2000,Q1,695.4,438.0,257.4,0.0,171.9,171.9,109.2,85.5,73.0,48.2,1967.7,714.3,Industrials,20
