Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,326.588,236.964,111.429,3.322,107.354,110.953,30.655,0.476,0.157,0.092,1361.252,670.274,Consumer Staples,30
1995Q2,1995,Q2,399.511,282.964,174.476,3.368,132.591,136.244,69.226,38.232,26.115,15.18,1375.276,682.725,Consumer Staples,30
1995Q3,1995,Q3,567.882,289.095,166.257,4.656,133.031,136.833,59.974,29.424,38.027,22.627,1364.3,691.76,Consumer Staples,30
1995Q4,1995,Q4,381.398,261.919,119.479,4.039,120.294,109.133,38.995,10.346,8.979,5.279,1386.857,695.016,Consumer Staples,30
1996Q1,1996,Q1,368.729,260.777,107.952,2.363,108.112,110.475,26.382,-2.523,-5.107,-3.007,1340.998,687.025,Consumer Staples,30
1996Q2,1996,Q2,502.426,307.467,194.959,3.277,142.919,151.396,74.045,43.563,40.95,23.796,1370.954,704.907,Consumer Staples,30
1996Q3,1996,Q3,453.513,289.357,164.156,3.124,134.043,130.455,64.737,33.701,32.198,18.675,1360.468,716.268,Consumer Staples,30
1996Q4,1996,Q4,407.565,260.265,147.3,3.997,129.172,141.022,36.976,6.278,6.934,3.961,1362.536,715.487,Consumer Staples,30
1997Q1,1997,Q1,398.995,255.167,143.828,2.816,125.298,129.112,44.997,14.716,13.636,8.045,1351.744,704.473,Consumer Staples,30
1997Q2,1997,Q2,520.826,300.663,220.163,3.56,156.307,127.352,121.693,92.811,91.834,51.018,1415.171,739.746,Consumer Staples,30
1997Q3,1997,Q3,489.699,298.769,190.93,3.998,155.273,159.271,60.759,31.659,31.14,17.439,1417.132,746.984,Consumer Staples,30
1997Q4,1997,Q4,412.631,266.179,146.452,0.0,148.613,138.239,37.116,8.213,10.283,5.758,1412.083,736.568,Consumer Staples,30
1998Q1,1998,Q1,414.145,261.927,152.218,0.0,137.222,137.222,43.458,14.996,16.043,9.786,1366.636,721.127,Consumer Staples,30
1998Q2,1998,Q2,541.944,309.347,232.597,0.0,167.944,167.944,93.962,64.653,64.816,39.538,1406.444,755.167,Consumer Staples,30
1998Q3,1998,Q3,499.36,309.482,189.878,0.0,156.869,176.264,42.511,13.614,14.887,9.081,1417.447,765.531,Consumer Staples,30
1998Q4,1998,Q4,444.084,278.131,165.953,0.0,155.397,155.397,39.703,10.556,15.354,9.379,1460.598,774.798,Consumer Staples,30
1999Q1,1999,Q1,439.862,272.382,167.48,0.0,149.358,149.358,48.696,18.122,19.562,11.982,1424.309,786.985,Consumer Staples,30
1999Q2,1999,Q2,575.568,315.22,260.348,0.0,186.638,186.638,107.502,73.71,75.479,46.231,1578.795,818.814,Consumer Staples,30
1999Q3,1999,Q3,544.025,320.538,223.487,0.0,184.305,190.01,67.122,33.477,35.65,21.836,1549.446,839.833,Consumer Staples,30
1999Q4,1999,Q4,497.191,307.825,189.366,0.0,172.692,172.692,48.138,16.674,19.976,12.236,1546.376,841.539,Consumer Staples,30
2000Q1,2000,Q1,464.452,285.942,178.51,0.0,157.64,157.64,51.473,20.87,24.096,14.819,1508.818,849.658,Consumer Staples,30
2000Q2,2000,Q2,614.149,348.906,265.243,0.0,183.632,199.134,99.669,66.109,70.487,48.344,1610.639,890.746,Consumer Staples,30
