Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,6998.0,5169.0,1829.0,0.0,1027.0,1262.0,702.0,567.0,460.0,279.0,11697.0,3237.0,Consumer Staples,30
1995Q2,1995,Q2,4757.0,3504.0,1253.0,0.0,893.0,1128.0,265.0,125.0,18.0,11.0,11940.0,3378.0,Consumer Staples,30
1995Q3,1995,Q3,5236.0,3896.0,1340.0,0.0,941.0,1185.0,298.0,155.0,47.0,28.0,12253.0,3371.0,Consumer Staples,30
1995Q4,1995,Q4,5573.0,4113.0,1460.0,0.0,1027.0,1278.0,330.0,182.0,71.0,44.0,13140.0,3377.0,Consumer Staples,30
1996Q1,1996,Q1,7950.0,6014.0,1936.0,0.0,1182.0,1455.0,644.0,481.0,365.0,228.0,12570.0,3465.0,Consumer Staples,30
1996Q2,1996,Q2,5380.0,3949.0,1431.0,0.0,983.0,1252.0,336.0,179.0,70.0,41.0,12785.0,3486.0,Consumer Staples,30
1996Q3,1996,Q3,5751.0,4197.0,1554.0,0.0,1009.0,1276.0,437.0,278.0,167.0,101.0,13012.0,3567.0,Consumer Staples,30
1996Q4,1996,Q4,6073.0,4452.0,1621.0,0.0,1041.0,1316.0,471.0,305.0,191.0,107.0,14009.0,3647.0,Consumer Staples,30
1997Q1,1997,Q1,8167.0,6030.0,2137.0,0.0,1256.0,1540.0,765.0,597.0,355.0,214.0,13389.0,3840.0,Consumer Staples,30
1997Q2,1997,Q2,5889.0,4253.0,1636.0,0.0,1034.0,1321.0,485.0,315.0,208.0,105.0,13567.0,3921.0,Consumer Staples,30
1997Q3,1997,Q3,6293.0,4586.0,1707.0,0.0,1080.0,1367.0,514.0,340.0,233.0,130.0,13775.0,4020.0,Consumer Staples,30
1997Q4,1997,Q4,6622.0,4815.0,1807.0,0.0,1111.0,1403.0,580.0,404.0,297.0,160.0,14491.0,4152.0,Consumer Staples,30
1998Q1,1998,Q1,8953.0,6666.0,2287.0,0.0,1307.0,1604.0,856.0,683.0,588.0,356.0,14191.0,4490.0,Consumer Staples,30
1998Q2,1998,Q2,6468.0,4727.0,1741.0,0.0,1074.0,1380.0,545.0,361.0,265.0,158.0,14720.0,4621.0,Consumer Staples,30
1998Q3,1998,Q3,7056.0,5143.0,1913.0,0.0,1214.0,1528.0,578.0,385.0,284.0,172.0,15308.0,4761.0,Consumer Staples,30
1998Q4,1998,Q4,7288.0,5333.0,1955.0,0.0,1228.0,1549.0,606.0,406.0,302.0,182.0,16430.0,4913.0,Consumer Staples,30
1999Q1,1999,Q1,10139.0,7431.0,2708.0,0.0,1561.0,1906.0,1005.0,802.0,705.0,423.0,15666.0,5335.0,Consumer Staples,30
1999Q2,1999,Q2,7214.0,5240.0,1974.0,0.0,1224.0,1563.0,617.0,411.0,317.0,194.0,15986.0,5434.0,Consumer Staples,30
1999Q3,1999,Q3,7752.0,5603.0,2149.0,0.0,1333.0,1677.0,684.0,472.0,374.0,224.0,16415.0,5490.0,Consumer Staples,30
1999Q4,1999,Q4,8009.0,5799.0,2210.0,0.0,1368.0,1716.0,707.0,494.0,392.0,232.0,17622.0,5505.0,Consumer Staples,30
2000Q1,2000,Q1,10727.0,6387.0,4340.0,0.0,3565.0,3388.0,1175.0,952.0,853.0,494.0,17143.0,5862.0,Consumer Staples,30
2000Q2,2000,Q2,7746.0,5203.0,2543.0,0.0,1834.0,2058.0,709.0,485.0,389.0,239.0,17428.0,5967.0,Consumer Staples,30
2000Q3,2000,Q3,8251.0,5593.0,2658.0,0.0,1910.0,2140.0,748.0,518.0,418.0,258.0,17932.0,5974.0,Consumer Staples,30
2000Q4,2000,Q4,8582.0,5860.0,2722.0,0.0,2024.0,2263.0,698.0,459.0,351.0,217.0,19625.0,5946.0,Consumer Staples,30
2001Q1,2001,Q1,12324.0,8639.0,3685.0,0.0,2422.0,2669.0,1263.0,1016.0,895.0,552.0,19490.0,6519.0,Consumer Staples,30
2001Q2,2001,Q2,8345.0,5622.0,2723.0,0.0,1951.0,2207.0,772.0,516.0,410.0,254.0,20376.0,6744.0,Consumer Staples,30
2001Q3,2001,Q3,8952.0,6100.0,2852.0,0.0,2045.0,2304.0,807.0,548.0,439.0,271.0,21245.0,6998.0,Consumer Staples,30
2001Q4,2001,Q4,9354.0,6374.0,2980.0,0.0,2279.0,2560.0,701.0,420.0,298.0,185.0,23862.0,7158.0,Consumer Staples,30
2002Q1,2002,Q1,13237.0,9150.0,4087.0,0.0,2608.0,2891.0,1479.0,1196.0,1069.0,658.0,24154.0,7860.0,Consumer Staples,30
2002Q2,2002,Q2,9594.0,6322.0,3272.0,0.0,2292.0,2581.0,980.0,691.0,556.0,345.0,25189.0,8194.0,Consumer Staples,30
2002Q3,2002,Q3,10068.0,6640.0,3428.0,0.0,2420.0,2715.0,1008.0,713.0,559.0,344.0,27259.0,8517.0,Consumer Staples,30
2002Q4,2002,Q4,10194.0,6736.0,3458.0,0.0,2560.0,2865.0,898.0,593.0,448.0,277.0,28675.0,8756.0,Consumer Staples,30
2003Q1,2003,Q1,14061.0,9562.0,4499.0,0.0,2909.0,3232.0,1590.0,1267.0,1113.0,688.0,28603.0,9443.0,Consumer Staples,30
2003Q2,2003,Q2,10322.0,6764.0,3558.0,0.0,2536.0,2853.0,1022.0,705.0,563.0,349.0,29172.0,9760.0,Consumer Staples,30
2003Q3,2003,Q3,10984.0,7245.0,3739.0,0.0,2676.0,3005.0,959.0,734.0,578.0,358.0,29634.0,10044.0,Consumer Staples,30
2003Q4,2003,Q4,11286.0,7444.0,3842.0,0.0,2900.0,3230.0,942.0,612.0,481.0,302.0,31424.0,10265.0,Consumer Staples,30
2004Q1,2004,Q1,15571.0,10404.0,5167.0,0.0,3355.0,3699.0,1812.0,1468.0,1338.0,832.0,31392.0,11065.0,Consumer Staples,30
2004Q2,2004,Q2,11587.0,7556.0,4031.0,0.0,2838.0,3183.0,1193.0,848.0,704.0,438.0,31123.0,11463.0,Consumer Staples,30
2004Q3,2004,Q3,10556.0,7009.0,3547.0,0.0,2453.0,2752.0,1094.0,795.0,588.0,1416.0,31295.0,12366.0,Consumer Staples,30
2004Q4,2004,Q4,10909.0,7319.0,3590.0,0.0,2622.0,2946.0,968.0,644.0,531.0,537.0,31786.0,12398.0,Consumer Staples,30
2005Q1,2005,Q1,15194.0,10348.0,4846.0,0.0,3123.0,3467.0,1723.0,1379.0,1272.0,807.0,32293.0,13029.0,Consumer Staples,30
2005Q2,2005,Q2,11477.0,7556.0,3921.0,0.0,2674.0,3014.0,1247.0,907.0,796.0,494.0,31295.0,13047.0,Consumer Staples,30
2005Q3,2005,Q3,11990.0,8015.0,3975.0,0.0,2650.0,2996.0,1325.0,979.0,869.0,540.0,31919.0,13522.0,Consumer Staples,30
2005Q4,2005,Q4,12206.0,8034.0,4172.0,0.0,2987.0,3341.0,1185.0,831.0,713.0,435.0,34498.0,13556.0,Consumer Staples,30
2006Q1,2006,Q1,16947.0,11509.0,5438.0,0.0,3463.0,3832.0,1975.0,1606.0,1482.0,939.0,34995.0,14205.0,Consumer Staples,30
2006Q2,2006,Q2,12863.0,8633.0,4230.0,0.0,2879.0,3213.0,1351.0,1017.0,886.0,554.0,34749.0,14370.0,Consumer Staples,30
2006Q3,2006,Q3,13347.0,8856.0,4491.0,0.0,2987.0,3357.0,1504.0,1134.0,994.0,609.0,35423.0,14373.0,Consumer Staples,30
2006Q4,2006,Q4,13570.0,9073.0,4497.0,0.0,3151.0,3540.0,1347.0,957.0,808.0,506.0,37867.0,14800.0,Consumer Staples,30
2007Q1,2007,Q1,19710.0,12837.0,6873.0,0.0,4510.0,4912.0,2363.0,1961.0,1810.0,1119.0,37349.0,15633.0,Consumer Staples,30
2007Q2,2007,Q2,14041.0,9356.0,4685.0,0.0,3093.0,3485.0,1592.0,1200.0,1064.0,651.0,38284.0,15711.0,Consumer Staples,30
2007Q3,2007,Q3,14620.0,9621.0,4999.0,0.0,3328.0,3732.0,1671.0,1267.0,1113.0,686.0,39466.0,15954.0,Consumer Staples,30
