Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1112.5,863.6,248.9,0.0,201.2,221.5,47.7,27.4,20.4,11.6,1638.2,607.0,Consumer Discretionary,25
1995Q2,1995,Q2,911.6,677.9,233.7,0.0,188.6,209.7,45.1,24.0,15.1,8.1,1824.8,602.7,Consumer Discretionary,25
1995Q3,1995,Q3,848.9,641.1,207.8,0.0,166.9,183.4,40.9,24.4,14.5,-24.9,1810.9,565.9,Consumer Discretionary,25
1995Q4,1995,Q4,1012.7,728.5,284.2,0.0,197.0,216.5,87.2,67.7,56.5,33.9,1903.3,588.1,Consumer Discretionary,25
1996Q1,1996,Q1,1755.5,1360.4,395.1,0.0,295.9,324.8,99.2,70.3,20.6,9.2,2745.6,764.7,Consumer Discretionary,25
1996Q2,1996,Q2,1604.2,1208.6,395.6,0.0,297.0,329.1,98.6,66.5,51.5,30.1,2779.3,785.5,Consumer Discretionary,25
1996Q3,1996,Q3,1548.3,1189.2,359.1,0.0,257.9,290.9,101.2,68.2,57.2,36.1,2864.6,815.7,Consumer Discretionary,25
1996Q4,1996,Q4,1722.4,1276.2,446.2,0.0,266.9,296.0,182.6,150.2,139.9,87.5,2837.6,906.7,Consumer Discretionary,25
1997Q1,1997,Q1,1946.5,1471.4,475.1,0.0,311.1,343.7,164.0,131.4,129.6,209.5,2561.2,1127.2,Consumer Discretionary,25
1997Q2,1997,Q2,1560.2,1172.7,387.5,0.0,273.7,303.6,113.8,83.9,83.0,48.5,2788.5,1167.9,Consumer Discretionary,25
1997Q3,1997,Q3,1698.4,1292.6,405.8,0.0,283.8,314.5,122.0,91.3,89.8,52.6,2574.0,1168.9,Consumer Discretionary,25
1997Q4,1997,Q4,1887.7,1382.4,505.3,0.0,287.2,319.1,218.1,186.2,182.5,105.1,2668.8,1129.1,Consumer Discretionary,25
1998Q1,1998,Q1,2242.9,1703.9,539.0,0.0,341.1,373.5,197.9,165.5,167.1,98.6,2609.6,1164.1,Consumer Discretionary,25
