Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,97.8,0.0,97.8,0.0,41.0,97.8,128.6,125.5,26.3,15.0,299.4,222.5,Financial ,40
1995Q2,1995,Q2,104.8,0.0,104.8,0.0,41.8,104.8,135.5,132.3,32.0,18.2,323.2,241.0,Financial ,40
1995Q3,1995,Q3,113.2,0.0,113.2,0.0,43.1,113.2,146.5,143.1,36.5,20.6,352.2,261.5,Financial ,40
1995Q4,1995,Q4,123.4,0.0,123.4,0.0,52.3,123.4,160.6,155.7,36.0,21.7,365.3,274.2,Financial ,40
1996Q1,1996,Q1,132.4,0.0,132.4,0.0,76.4,132.4,153.0,149.5,35.6,20.4,387.8,282.7,Financial ,40
1996Q2,1996,Q2,143.7,0.0,143.7,0.0,77.8,143.7,166.5,162.4,42.9,24.5,412.7,299.7,Financial ,40
1996Q3,1996,Q3,150.2,0.0,150.2,0.0,58.0,150.2,198.3,192.8,45.1,25.9,458.0,321.6,Financial ,40
1996Q4,1996,Q4,159.8,0.0,159.8,0.0,64.1,159.8,208.8,203.8,47.5,27.7,478.8,345.7,Financial ,40
1997Q1,1997,Q1,168.0,0.0,168.0,0.0,71.6,168.0,215.1,210.0,49.6,28.5,504.1,363.6,Financial ,40
1997Q2,1997,Q2,180.1,0.0,180.1,0.0,93.9,180.1,209.2,203.2,58.0,33.8,545.7,400.4,Financial ,40
1997Q3,1997,Q3,199.8,0.0,199.8,0.0,97.9,199.8,235.4,227.1,69.3,41.3,618.1,448.4,Financial ,40
1997Q4,1997,Q4,207.2,0.0,207.2,0.0,36.2,207.2,315.0,305.4,68.6,40.7,646.1,486.7,Financial ,40
1998Q1,1998,Q1,210.4,0.0,210.4,0.0,20.1,210.4,333.0,325.1,70.2,41.3,688.9,533.2,Financial ,40
1998Q2,1998,Q2,222.3,0.0,222.3,0.0,17.0,222.3,353.9,345.9,76.5,44.9,724.7,574.5,Financial ,40
1998Q3,1998,Q3,218.6,0.0,218.6,0.0,92.0,218.6,275.1,266.7,73.1,43.0,731.9,563.5,Financial ,40
1998Q4,1998,Q4,234.8,0.0,234.8,0.0,102.1,234.8,298.8,290.5,73.1,45.0,796.8,614.3,Financial ,40
1999Q1,1999,Q1,245.826,0.0,245.826,0.0,101.7,245.826,302.326,294.726,89.7,53.4,861.9,662.1,Financial ,40
1999Q2,1999,Q2,245.771,0.0,245.771,0.0,99.2,245.771,304.69,296.869,90.347,53.69,921.0,713.8,Financial ,40
1999Q3,1999,Q3,259.9,0.0,259.9,0.0,96.8,259.9,322.779,314.7,102.7,62.2,953.9,701.6,Financial ,40
1999Q4,1999,Q4,284.9,0.0,284.9,0.0,105.8,284.9,357.3,348.2,111.8,70.1,998.0,770.2,Financial ,40
2000Q1,2000,Q1,316.331,0.0,316.331,0.0,118.077,316.331,393.268,383.794,124.238,75.034,1125.259,843.255,Financial ,40
2000Q2,2000,Q2,300.682,0.0,300.682,0.0,113.736,300.682,377.619,367.069,114.93,69.339,1144.306,898.225,Financial ,40
2000Q3,2000,Q3,303.704,0.0,303.704,0.0,114.459,303.704,389.42,374.829,111.983,69.183,1464.129,960.089,Financial ,40
2000Q4,2000,Q4,291.61,0.0,291.61,0.0,-258.057,291.61,-638.641,-657.718,107.041,55.473,1469.459,991.0,Financial ,40
2001Q1,2001,Q1,280.482,0.0,280.482,0.0,21.527,193.112,106.756,87.37,82.448,49.308,1458.445,1004.933,Financial ,40
2001Q2,2001,Q2,262.13,0.0,262.13,0.0,15.595,171.396,111.258,90.734,86.838,51.156,1417.737,1042.161,Financial ,40
2001Q3,2001,Q3,243.618,0.0,243.618,0.0,10.315,155.924,107.914,87.694,85.256,50.398,1422.294,1067.221,Financial ,40
2001Q4,2001,Q4,241.266,0.0,241.266,0.0,17.201,163.783,97.841,77.483,76.047,45.006,1313.115,1078.0,Financial ,40
2002Q1,2002,Q1,242.149,0.0,242.149,0.0,16.911,155.858,99.042,86.291,85.206,53.024,1361.216,1133.754,Financial ,40
2002Q2,2002,Q2,236.123,0.0,236.123,0.0,14.436,151.346,97.768,84.777,83.592,51.854,1356.401,1093.676,Financial ,40
2002Q3,2002,Q3,220.296,0.0,220.296,0.0,10.766,148.629,84.379,71.667,70.33,43.21,1375.938,1100.308,Financial ,40
2002Q4,2002,Q4,227.261,0.0,227.261,0.0,16.943,149.485,130.681,77.776,70.476,46.166,1370.433,1134.0,Financial ,40
2003Q1,2003,Q1,219.514,0.0,219.514,0.0,16.345,155.07,76.295,64.444,62.299,38.774,1383.88,1133.91,Financial ,40
2003Q2,2003,Q2,238.28,34.206,204.074,0.0,12.392,152.646,96.521,84.816,86.184,53.775,1412.39,1191.284,Financial ,40
2003Q3,2003,Q3,258.268,0.0,258.268,0.0,9.885,152.738,116.817,105.53,105.786,66.291,1512.439,1265.135,Financial ,40
2003Q4,2003,Q4,281.961,0.0,281.961,0.0,20.383,171.711,123.984,110.25,111.247,68.647,1546.577,1329.0,Financial ,40
2004Q1,2004,Q1,306.476,41.823,264.653,0.0,21.059,182.79,132.989,122.861,123.682,77.339,1634.023,1419.952,Financial ,40
2004Q2,2004,Q2,310.472,42.614,267.858,0.0,16.117,181.658,137.857,128.014,128.485,80.264,1728.136,1498.062,Financial ,40
2004Q3,2004,Q3,317.036,44.324,272.712,0.0,12.952,185.314,140.997,130.914,132.34,82.525,1843.342,1566.47,Financial ,40
2004Q4,2004,Q4,345.498,-510.08,855.578,0.0,24.14,202.008,153.454,143.49,149.276,97.132,1928.825,1697.3,Financial ,40
2005Q1,2005,Q1,357.071,0.0,357.071,0.0,23.471,209.79,157.053,147.281,149.241,94.297,2003.706,1754.325,Financial ,40
2005Q2,2005,Q2,364.458,48.577,315.881,0.0,18.823,208.025,166.023,155.521,160.947,102.749,2068.276,1801.13,Financial ,40
2005Q3,2005,Q3,389.605,50.651,338.954,0.0,15.394,208.851,190.647,179.852,184.221,116.335,2237.6,1910.656,Financial ,40
