Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,955.1,0.0,955.1,0.0,0.0,-805.3,149.8,149.8,370.9,63.4,13416.8,2033.1,Financial ,40
1995Q2,1995,Q2,1156.1,0.0,1156.1,0.0,0.0,-969.8,0.0,186.3,613.2,88.9,13774.8,2044.3,Financial ,40
1995Q3,1995,Q3,967.6,0.0,967.6,0.0,0.0,-809.5,158.1,158.1,387.7,66.7,14088.5,2099.6,Financial ,40
1995Q4,1995,Q4,1044.1,0.0,1044.1,0.0,0.0,-891.8,152.3,152.3,379.4,62.1,14787.8,2302.9,Financial ,40
1996Q1,1996,Q1,1002.6,0.0,1002.6,0.0,0.0,-838.2,164.4,164.4,397.7,72.1,14746.5,2251.5,Financial ,40
1996Q2,1996,Q2,989.3,0.0,989.3,0.0,0.0,-822.9,0.0,166.4,394.6,73.9,14869.5,2292.5,Financial ,40
1996Q3,1996,Q3,1023.9,0.0,1023.9,0.0,0.0,-900.4,123.5,123.5,350.6,44.0,15152.1,2286.3,Financial ,40
1996Q4,1996,Q4,-723.9,0.0,-723.9,0.0,0.0,678.1,-45.8,-45.8,226.2,-44.4,14992.5,1738.6,Financial ,40
1997Q1,1997,Q1,1043.0,0.0,1043.0,0.0,0.0,-827.7,0.0,215.3,492.0,115.0,12838.4,2128.4,Financial ,40
1997Q2,1997,Q2,974.5,0.0,974.5,0.0,0.0,-818.6,0.0,155.9,361.7,87.6,12737.8,2240.3,Financial ,40
1997Q3,1997,Q3,1025.0,0.0,1025.0,0.0,0.0,-866.8,0.0,158.2,369.7,91.5,13096.7,2346.4,Financial ,40
1997Q4,1997,Q4,510.7,0.0,510.7,0.0,0.0,-559.9,-49.2,-49.2,380.3,-46.8,23177.6,3279.3,Financial ,40
1998Q1,1998,Q1,1121.5,0.0,1121.5,0.0,134.1,-963.3,0.0,158.2,361.3,93.5,13821.2,2478.5,Financial ,40
1998Q2,1998,Q2,1159.6,0.0,1159.6,0.0,0.0,-994.6,0.0,165.0,362.4,98.7,14310.5,2584.3,Financial ,40
1998Q3,1998,Q3,1179.5,0.0,1179.5,0.0,196.0,-1004.6,0.0,174.9,377.2,104.4,14930.6,2747.1,Financial ,40
1998Q4,1998,Q4,477.4,0.0,477.4,0.0,0.0,-502.7,-25.3,-25.3,402.8,-42.6,23088.1,3408.5,Financial ,40
1999Q1,1999,Q1,1303.4,0.0,1303.4,0.0,142.0,-1227.8,75.6,75.6,293.9,15.5,15381.2,2666.8,Financial ,40
1999Q2,1999,Q2,2277.6,0.0,2277.6,0.0,0.0,-2518.6,0.0,-241.0,349.2,-191.2,37917.3,5391.7,Financial ,40
1999Q3,1999,Q3,2433.1,0.0,2433.1,0.0,0.0,-2661.6,0.0,-228.5,468.4,-217.0,38071.1,4938.4,Financial ,40
1999Q4,1999,Q4,2349.8,0.0,2349.8,0.0,0.0,-2104.1,0.0,245.7,-165.5,136.0,38447.5,4982.2,Financial ,40
2000Q1,2000,Q1,2394.1,0.0,2394.1,0.0,0.0,-2143.8,267.0,250.3,206.4,134.5,40308.6,5107.2,Financial ,40
2000Q2,2000,Q2,2423.7,0.0,2423.7,0.0,0.0,-2159.0,282.5,264.7,219.6,143.1,39786.2,5083.8,Financial ,40
2000Q3,2000,Q3,2311.7,0.0,2311.7,0.0,0.0,-2056.0,274.5,255.7,208.5,137.0,40202.5,5176.7,Financial ,40
2000Q4,2000,Q4,2302.8,0.0,2302.8,0.0,0.0,-2026.1,290.7,276.7,231.1,149.6,40363.9,5575.5,Financial ,40
2001Q1,2001,Q1,2340.9,0.0,2340.9,0.0,0.0,-2072.6,286.0,268.3,225.5,182.0,41052.7,5814.0,Financial ,40
2001Q2,2001,Q2,2363.0,0.0,2363.0,0.0,0.0,-2107.9,62.3,255.1,210.9,146.1,40887.1,5752.2,Financial ,40
2001Q3,2001,Q3,2377.4,0.0,2377.4,0.0,0.0,-2143.1,252.2,234.3,193.2,127.1,42258.0,6026.2,Financial ,40
2001Q4,2001,Q4,2313.5,0.0,2313.5,0.0,0.0,-2079.4,255.4,234.1,195.5,124.0,42442.7,5939.9,Financial ,40
2002Q1,2002,Q1,2297.9,407.5,1890.4,0.0,0.0,-1748.9,151.8,141.5,103.1,87.9,42381.1,5735.9,Financial ,40
2002Q2,2002,Q2,2400.2,415.1,1985.1,0.0,0.0,-1799.8,196.4,185.3,146.6,97.7,43356.0,6136.0,Financial ,40
2002Q3,2002,Q3,2443.6,400.9,2042.7,0.0,0.0,-1831.0,54.0,211.7,168.8,113.4,44491.1,6670.2,Financial ,40
2002Q4,2002,Q4,2471.3,1633.1,838.2,0.0,0.0,-8356.3,202.3,9194.5,192.4,128.5,45259.5,6843.2,Financial ,40
2003Q1,2003,Q1,2488.2,0.0,2488.2,0.0,190.6,440.2,-205.5,-344.0,-385.5,-246.4,46324.1,6545.3,Financial ,40
2003Q2,2003,Q2,2634.5,0.0,2634.5,0.0,192.5,427.4,334.5,190.0,144.1,98.5,49364.1,7719.5,Financial ,40
2003Q3,2003,Q3,2663.2,0.0,2663.2,0.0,195.4,437.3,358.0,213.9,163.9,108.7,49338.3,7850.3,Financial ,40
2003Q4,2003,Q4,2205.7,-6868.5,9074.2,0.0,0.0,9220.0,-739.0,-145.8,-357.7,-347.2,49718.3,7271.0,Financial ,40
2004Q1,2004,Q1,2623.7,235.8,2387.9,0.0,187.7,2957.2,-569.3,-569.3,-770.2,-562.3,50476.9,7134.3,Financial ,40
2004Q2,2004,Q2,2509.3,222.7,2286.6,0.0,185.1,2211.6,75.0,75.0,112.1,7.2,48503.7,6226.4,Financial ,40
2004Q3,2004,Q3,2655.3,217.2,2438.1,0.0,182.1,2270.5,441.2,167.6,255.8,167.6,49774.1,6900.4,Financial ,40
2004Q4,2004,Q4,2676.6,-6852.9,9529.5,0.0,184.7,9590.3,-138.0,-60.8,142.8,134.5,50832.3,7224.1,Financial ,40
2005Q1,2005,Q1,2571.9,224.8,2347.1,0.0,184.8,2194.9,370.7,152.2,181.6,152.2,50836.6,7052.4,Financial ,40
2005Q2,2005,Q2,2656.7,224.4,2432.3,0.0,192.8,2261.0,459.8,171.3,265.8,171.3,52430.4,7854.6,Financial ,40
2005Q3,2005,Q3,2543.9,237.6,2306.3,0.0,187.7,2253.7,251.1,52.6,68.3,52.6,51146.9,7237.7,Financial ,40
