Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2807.0,2009.1,797.9,0.0,616.5,616.5,180.4,181.4,182.2,111.6,3032.2,1689.7,Healthcare,35
1995Q2,1995,Q2,2617.4,1888.2,729.2,0.0,601.5,601.5,126.2,127.7,129.0,79.0,3157.7,1743.7,Healthcare,35
1995Q3,1995,Q3,2565.2,1712.7,852.5,0.0,597.8,729.3,121.6,123.2,124.6,76.3,3252.6,1792.6,Healthcare,35
1995Q4,1995,Q4,2692.8,1953.8,739.0,0.0,635.2,635.2,102.8,103.8,104.0,63.7,3511.6,1828.5,Healthcare,35
1996Q1,1996,Q1,3179.1,2289.8,889.3,0.0,682.9,682.9,205.2,206.4,207.0,126.8,3534.3,1922.3,Healthcare,35
1996Q2,1996,Q2,2988.8,2165.6,823.2,0.0,674.9,674.9,146.7,148.3,149.5,91.6,3504.3,1986.4,Healthcare,35
1996Q3,1996,Q3,2917.7,1958.3,959.4,0.0,666.5,813.8,144.4,145.6,146.5,89.7,3633.6,2043.1,Healthcare,35
1996Q4,1996,Q4,3054.0,2224.0,830.0,0.0,707.7,707.7,121.5,122.3,122.5,75.0,3949.4,2082.2,Healthcare,35
1997Q1,1997,Q1,3602.6,2596.5,1006.1,0.0,766.6,766.6,237.7,239.5,240.7,147.4,3911.3,2197.9,Healthcare,35
1997Q2,1997,Q2,3403.3,2470.6,932.7,0.0,757.4,757.4,173.7,175.3,176.5,108.1,3994.0,2271.1,Healthcare,35
1997Q3,1997,Q3,3303.1,2226.8,1076.3,0.0,741.3,905.3,169.3,171.0,172.3,105.4,4207.0,2373.0,Healthcare,35
1997Q4,1997,Q4,3485.0,2541.0,944.0,0.0,801.0,801.0,143.0,143.0,143.0,61.0,4453.0,2427.0,Healthcare,35
1998Q1,1998,Q1,4093.4,2960.7,1132.7,0.0,854.2,854.2,279.0,279.0,279.0,171.0,4502.0,2592.0,Healthcare,35
1998Q2,1998,Q2,3887.5,2840.8,1046.7,0.0,842.7,842.7,204.0,204.0,206.0,127.0,4580.0,2702.0,Healthcare,35
1998Q3,1998,Q3,3841.0,2609.0,1232.0,0.0,834.0,1023.0,209.0,209.0,249.0,152.0,4902.0,2849.0,Healthcare,35
1998Q4,1998,Q4,4016.4,2941.7,1074.7,0.0,906.0,906.0,170.0,170.0,171.0,104.0,5240.0,2942.0,Healthcare,35
1999Q1,1999,Q1,4691.0,3392.4,1298.6,0.0,968.6,968.6,330.0,330.0,331.0,200.2,5412.6,3143.3,Healthcare,35
1999Q2,1999,Q2,4571.4,3330.7,1240.7,0.0,984.4,984.4,256.3,256.3,262.2,159.3,5592.4,3338.3,Healthcare,35
1999Q3,1999,Q3,4560.0,3103.7,1456.3,0.0,985.8,1195.9,260.4,260.4,264.3,160.6,5906.7,3484.3,Healthcare,35
1999Q4,1999,Q4,4823.2,3551.0,1272.2,0.0,1062.0,1062.0,210.2,210.2,211.3,127.8,6472.4,3601.2,Healthcare,35
2000Q1,2000,Q1,5608.8,4065.3,1543.5,0.0,1152.3,1152.3,391.2,391.2,392.3,238.9,6414.7,3835.6,Healthcare,35
2000Q2,2000,Q2,5394.1,3943.1,1451.0,0.0,1138.2,1138.2,312.8,312.8,314.9,193.6,6630.6,4028.4,Healthcare,35
2000Q3,2000,Q3,5380.8,3676.4,1704.4,0.0,1164.4,1394.5,309.9,309.9,344.8,216.6,7103.7,4234.0,Healthcare,35
2000Q4,2000,Q4,5614.2,4126.1,1488.1,0.0,1230.5,1230.5,257.6,257.6,257.6,158.4,7911.2,4434.7,Healthcare,35
2001Q1,2001,Q1,6429.0,4658.2,1770.8,0.0,1313.9,1313.9,434.8,456.9,479.8,296.9,8175.9,4797.7,Healthcare,35
2001Q2,2001,Q2,6296.2,4644.6,1651.6,0.0,1306.1,1306.1,345.5,345.5,345.5,213.4,8446.4,5005.1,Healthcare,35
2001Q3,2001,Q3,6283.6,4620.0,1663.6,0.0,1325.3,1325.3,338.3,338.3,339.8,216.9,8833.8,5207.2,Healthcare,35
2001Q4,2001,Q4,6559.4,4861.5,1697.9,0.0,1405.9,1405.9,286.5,292.0,298.7,185.9,9696.7,5429.6,Healthcare,35
2002Q1,2002,Q1,7488.5,5454.6,2033.9,0.0,1510.5,1510.5,523.4,523.4,524.6,326.6,9180.0,5760.6,Healthcare,35
2002Q2,2002,Q2,7397.9,5460.7,1937.2,0.0,1523.1,1523.1,414.1,414.1,416.0,259.0,9456.0,6007.6,Healthcare,35
2002Q3,2002,Q3,7235.3,5299.3,1936.0,0.0,1541.3,1541.3,394.0,394.7,398.0,247.7,9878.8,6230.2,Healthcare,35
2002Q4,2002,Q4,7484.9,5489.2,1995.7,0.0,1643.0,1643.0,336.0,352.7,372.0,231.6,10368.0,6400.0,Healthcare,35
2003Q1,2003,Q1,8446.1,6098.0,2348.1,0.0,1754.9,1754.9,592.9,593.2,595.8,370.9,10751.3,6723.5,Healthcare,35
2003Q2,2003,Q2,8328.0,6098.0,2230.0,0.0,1769.3,1769.3,448.7,460.7,475.7,296.1,10959.5,6970.1,Healthcare,35
2003Q3,2003,Q3,8246.4,6021.0,2225.4,0.0,1783.7,1783.7,441.1,441.7,445.2,277.1,11405.9,7195.7,Healthcare,35
2003Q4,2003,Q4,8720.8,6420.7,2300.1,0.0,1895.1,1895.1,405.0,405.0,407.8,254.9,12097.0,7374.7,Healthcare,35
2004Q1,2004,Q1,9782.2,7076.6,2705.6,0.0,2031.6,2031.6,664.3,677.0,693.7,433.5,12299.6,7743.1,Healthcare,35
2004Q2,2004,Q2,9578.5,7000.7,2577.8,0.0,2036.8,2036.8,541.0,544.7,551.3,344.6,12754.1,8005.0,Healthcare,35
2004Q3,2004,Q3,9426.7,6812.4,2614.3,0.0,2098.3,2098.3,515.4,516.0,523.5,327.2,13342.1,8228.0,Healthcare,35
2004Q4,2004,Q4,9889.1,7181.2,2707.9,0.0,2201.8,2201.8,482.6,497.6,517.7,332.7,14149.7,8418.1,Healthcare,35
2005Q1,2005,Q1,10987.0,7856.4,3130.6,0.0,2359.7,2359.7,766.2,770.9,782.3,490.9,14174.0,8665.2,Healthcare,35
2005Q2,2005,Q2,10830.6,7814.4,3016.2,0.0,2372.1,2372.1,630.9,637.5,655.0,411.0,14341.6,8716.5,Healthcare,35
2005Q3,2005,Q3,10494.9,7561.8,2933.1,0.0,2408.6,2408.6,524.5,524.5,507.1,329.0,14608.8,8889.7,Healthcare,35
2005Q4,2005,Q4,10900.4,7897.9,3002.5,0.0,2460.7,2460.7,541.8,541.8,548.6,345.6,15402.1,9105.8,Healthcare,35
2006Q1,2006,Q1,12163.1,8703.8,3459.3,0.0,2638.4,2638.4,820.9,820.9,830.9,523.5,15639.1,9453.1,Healthcare,35
2006Q2,2006,Q2,12175.2,8832.0,3343.2,0.0,2635.6,2635.6,707.6,707.6,723.2,469.2,16441.7,9789.3,Healthcare,35
2006Q3,2006,Q3,12170.3,8806.7,3363.6,0.0,2732.4,2732.4,794.7,631.2,651.4,412.3,17131.1,10115.8,Healthcare,35
2006Q4,2006,Q4,12708.5,9132.9,3575.6,0.0,2903.7,2903.7,832.1,671.9,682.5,431.7,18026.0,10154.5,Healthcare,35
2007Q1,2007,Q1,13933.7,9897.9,4035.8,0.0,3015.3,3015.3,1179.0,1020.5,1030.7,651.9,17668.9,10566.3,Healthcare,35
2007Q2,2007,Q2,13698.3,9821.1,3877.2,0.0,3022.4,3022.4,1032.0,854.8,866.0,561.2,17944.3,10901.4,Healthcare,35
2007Q3,2007,Q3,13421.5,9666.2,3755.3,0.0,3151.8,3151.8,783.5,603.5,609.9,396.5,19313.6,11104.3,Healthcare,35
2007Q4,2007,Q4,14028.0,10107.0,3921.0,0.0,3193.0,3193.0,923.5,727.8,728.2,455.5,20475.6,11490.1,Healthcare,35
2008Q1,2008,Q1,15393.6,10957.4,4436.2,0.0,3348.0,3348.0,1289.4,1088.2,1085.7,685.9,20748.3,12063.3,Healthcare,35
2008Q2,2008,Q2,15015.0,10770.0,4245.0,0.0,3331.0,3331.0,1124.6,913.8,912.3,572.3,21587.6,12535.0,Healthcare,35
2008Q3,2008,Q3,14597.1,10542.2,4054.9,0.0,3344.0,3344.0,943.2,710.9,703.7,443.0,22410.2,12869.4,Healthcare,35
2008Q4,2008,Q4,14947.0,10796.0,4151.0,0.0,3482.0,3482.0,905.0,669.0,654.0,408.0,24513.0,13131.0,Healthcare,35
2009Q1,2009,Q1,16475.0,11818.0,4657.0,0.0,3627.0,3627.0,1271.0,1030.0,1010.0,640.0,24825.0,13679.0,Healthcare,35
2009Q2,2009,Q2,16210.0,11751.0,4459.0,0.0,3613.0,3613.0,1110.0,846.0,821.0,522.0,25143.0,14187.0,Healthcare,35
2009Q3,2009,Q3,15703.0,11357.0,4346.0,0.0,3644.0,3644.0,936.0,702.0,679.0,436.0,25142.0,14376.0,Healthcare,35
2009Q4,2009,Q4,16364.0,11826.0,4538.0,0.0,3741.0,3741.0,1054.0,797.0,776.0,489.0,26548.0,14621.0,Healthcare,35
2010Q1,2010,Q1,16987.0,12090.0,4897.0,0.0,3811.0,3811.0,1334.0,1086.0,1064.0,669.0,26334.0,14948.0,Healthcare,35
2010Q2,2010,Q2,17199.0,12450.0,4749.0,0.0,3920.0,3920.0,1092.0,829.0,805.0,463.0,26707.0,15112.0,Healthcare,35
2010Q3,2010,Q3,16870.0,12078.0,4792.0,0.0,4044.0,4044.0,1010.0,748.0,730.0,470.0,26275.0,14400.0,Healthcare,35
2010Q4,2010,Q4,17344.0,12399.0,4945.0,0.0,4004.0,4004.0,1214.0,941.0,921.0,580.0,27044.0,14363.0,Healthcare,35
2011Q1,2011,Q1,18502.0,13178.0,5324.0,0.0,4117.0,4117.0,1463.0,1207.0,1189.0,739.0,26878.0,14681.0,Healthcare,35
2011Q2,2011,Q2,18371.0,13217.0,5154.0,0.0,4203.0,4203.0,1220.0,951.0,933.0,603.0,27316.0,14723.0,Healthcare,35
2011Q3,2011,Q3,17967.0,12898.0,5069.0,0.0,4237.0,3803.0,1554.0,1266.0,1251.0,792.0,27454.0,14847.0,Healthcare,35
2011Q4,2011,Q4,18157.0,13053.0,5104.0,0.0,4204.0,4204.0,1177.0,900.0,883.0,554.0,27429.0,14674.0,Healthcare,35
2012Q1,2012,Q1,18651.0,13262.0,5389.0,0.0,4284.0,4284.0,1388.0,1105.0,1088.0,683.0,26622.0,14816.0,Healthcare,35
2012Q2,2012,Q2,17752.0,12738.0,5014.0,0.0,4141.0,4141.0,1169.0,873.0,856.0,537.0,27199.0,15040.0,Healthcare,35
2012Q3,2012,Q3,17073.0,12238.0,4835.0,0.0,4249.0,4249.0,896.0,586.0,549.0,353.0,33462.0,18236.0,Healthcare,35
2012Q4,2012,Q4,17316.0,12217.0,5099.0,0.0,4398.0,4394.0,1020.0,727.0,668.0,413.0,35259.0,18379.0,Healthcare,35
2013Q1,2013,Q1,18647.0,13040.0,5607.0,0.0,4497.0,4392.0,1429.0,1123.0,1192.0,756.0,35564.0,18973.0,Healthcare,35
2013Q2,2013,Q2,18313.0,13091.0,5222.0,0.0,4362.0,4231.0,1199.0,907.0,1018.0,624.0,35841.0,18980.0,Healthcare,35
2013Q3,2013,Q3,17941.0,12750.0,5191.0,0.0,4286.0,4162.0,1203.0,911.0,1017.0,657.0,35481.0,19454.0,Healthcare,35
2013Q4,2013,Q4,18329.0,13177.0,5152.0,0.0,4379.0,4228.0,1078.0,967.0,1151.0,723.0,36481.0,20056.0,Healthcare,35
2014Q1,2014,Q1,19605.0,13955.0,5650.0,0.0,4569.0,4433.0,1439.0,1217.0,1121.0,716.0,37081.0,20833.0,Healthcare,35
2014Q2,2014,Q2,19401.0,13961.0,5440.0,0.0,4551.0,4416.0,1322.0,1024.0,1113.0,714.0,37391.0,21485.0,Healthcare,35
2014Q3,2014,Q3,19057.0,13730.0,5327.0,0.0,4493.0,4358.0,1310.0,986.0,172.0,-221.0,37182.0,20561.0,Healthcare,35
2014Q4,2014,Q4,19554.0,14258.0,5296.0,0.0,4456.0,4242.0,1200.0,1054.0,1198.0,850.0,48612.0,20767.0,Healthcare,35
2015Q1,2015,Q1,26573.0,19691.0,6882.0,0.0,5606.0,5505.0,1976.0,1377.0,2451.0,2042.0,71357.0,30814.0,Healthcare,35
2015Q2,2015,Q2,28795.0,21314.0,7481.0,0.0,6080.0,6080.0,1950.0,1401.0,1718.0,1302.0,70644.0,31929.0,Healthcare,35
2015Q3,2015,Q3,28522.0,21257.0,7265.0,0.0,6429.0,6429.0,1951.0,836.0,-32.0,26.0,68782.0,31300.0,Healthcare,35
2015Q4,2015,Q4,29033.0,21614.0,7419.0,0.0,5951.0,5951.0,1942.0,1468.0,1284.0,1110.0,68657.0,30709.0,Healthcare,35
2016Q1,2016,Q1,30184.0,22317.0,7867.0,0.0,6007.0,6007.0,2353.0,1860.0,1233.0,930.0,66385.0,29506.0,Healthcare,35
2016Q2,2016,Q2,29498.0,22065.0,7433.0,0.0,5903.0,5900.0,1953.0,1533.0,1429.0,1103.0,67333.0,30881.0,Healthcare,35
