Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,1716.2,599.6,1116.6,0.0,398.5,792.6,384.7,324.0,324.0,216.8,61845.1,4387.5,Financial ,40
1995Q2,1995,Q2,1840.4,665.6,1174.8,0.0,425.4,825.9,412.7,348.9,348.9,234.3,66623.0,4726.0,Financial ,40
1995Q3,1995,Q3,1965.6,722.9,1242.7,0.0,455.7,871.9,448.4,370.8,370.8,245.2,71411.9,4940.1,Financial ,40
1995Q4,1995,Q4,2091.7,772.3,1319.4,0.0,465.5,940.3,488.8,379.1,379.1,259.7,72134.4,5312.1,Financial ,40
1996Q1,1996,Q1,2076.8,721.0,1355.8,0.0,509.1,943.2,549.8,412.6,412.6,271.4,73942.1,5446.5,Financial ,40
1996Q2,1996,Q2,2221.6,745.9,1475.7,0.0,568.2,1015.8,620.0,459.9,459.9,285.4,77849.3,5634.9,Financial ,40
1996Q3,1996,Q3,2242.9,769.3,1473.6,0.0,595.8,1032.4,633.6,441.2,441.2,289.0,78427.6,5938.4,Financial ,40
1996Q4,1996,Q4,2346.3,775.5,1570.8,0.0,370.8,1103.0,659.7,467.8,467.8,308.1,80175.4,6064.2,Financial ,40
1997Q1,1997,Q1,2298.0,758.1,1539.9,0.0,546.6,1047.5,670.8,492.4,492.4,321.9,83580.3,6187.2,Financial ,40
1997Q2,1997,Q2,2417.9,784.5,1633.4,0.0,633.6,1119.7,741.3,513.7,513.7,331.4,83856.3,6507.1,Financial ,40
1997Q3,1997,Q3,2446.3,817.0,1629.3,0.0,671.3,1111.3,715.3,518.0,518.0,341.6,85252.2,6823.0,Financial ,40
1997Q4,1997,Q4,2503.5,829.1,1674.4,0.0,451.0,1148.8,775.5,525.6,525.6,356.1,185685.0,19778.0,Financial ,40
1998Q1,1998,Q1,4972.0,1550.0,3422.0,0.0,1007.0,2296.0,1592.0,1126.0,1126.0,684.0,96093.7,7105.4,Financial ,40
1998Q2,1998,Q2,5205.0,1567.0,3638.0,0.0,1054.0,2452.0,1757.0,1186.0,1186.0,719.0,93153.3,7346.1,Financial ,40
1998Q3,1998,Q3,5149.0,1572.0,3577.0,0.0,1061.0,2347.0,1839.0,1230.0,1230.0,742.0,103727.0,7487.9,Financial ,40
1998Q4,1998,Q4,12392.9,4023.3,8369.6,0.0,2097.0,6778.2,1802.0,1591.4,1591.4,807.3,202475.0,20759.0,Financial ,40
1999Q1,1999,Q1,5215.0,1492.0,3723.0,0.0,1058.0,2342.0,1680.0,1381.0,1381.0,884.0,201430.0,21276.0,Financial ,40
1999Q2,1999,Q2,5310.0,1445.0,3865.0,0.0,1102.0,2364.0,2238.0,1501.0,1501.0,931.0,205421.0,21375.0,Financial ,40
1999Q3,1999,Q3,5450.0,1499.0,3951.0,0.0,1108.0,2418.0,1989.0,1533.0,1533.0,962.0,207060.0,22182.0,Financial ,40
1999Q4,1999,Q4,5820.0,1629.0,4191.0,0.0,1128.0,2658.0,1934.0,1533.0,1533.0,970.0,241053.0,23871.0,Financial ,40
2000Q1,2000,Q1,6421.0,2022.0,4399.0,0.0,1304.0,2736.0,2084.0,1663.0,1663.0,1040.0,222276.0,23629.0,Financial ,40
2000Q2,2000,Q2,6199.0,1897.0,4302.0,0.0,1219.0,2626.0,2005.0,1676.0,1676.0,1039.0,234159.0,23127.0,Financial ,40
2000Q3,2000,Q3,6925.0,2520.0,4405.0,0.0,1457.0,3024.0,1837.0,1381.0,1381.0,821.0,241119.0,25192.0,Financial ,40
