Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,642.4,0.0,0.0,0.0,125.6,476.7,249.2,165.7,132.9,1088.9,10158.7,2567.6,Energy,10
1995Q2,1995,Q2,663.9,0.0,0.0,0.0,127.5,527.6,226.2,136.3,81.4,83.3,9880.6,3113.5,Energy,10
1995Q3,1995,Q3,712.4,0.0,0.0,0.0,126.5,565.4,246.4,147.0,105.2,68.5,10099.0,3081.5,Energy,10
1995Q4,1995,Q4,837.0,0.0,0.0,0.0,146.9,698.9,234.7,138.1,81.9,77.5,10494.8,3187.1,Energy,10
1996Q1,1996,Q1,893.7,0.0,0.0,0.0,146.5,645.9,360.6,247.8,165.9,104.9,11513.4,3282.5,Energy,10
1996Q2,1996,Q2,837.5,0.0,0.0,0.0,149.1,643.0,837.5,194.5,109.5,80.4,11580.4,3336.6,Energy,10
1996Q3,1996,Q3,842.2,0.0,0.0,0.0,149.6,658.9,290.7,183.3,103.6,71.0,11793.9,3344.1,Energy,10
1996Q4,1996,Q4,957.8,0.0,0.0,0.0,181.7,743.2,299.6,214.6,166.4,106.0,12418.8,3421.0,Energy,10
1997Q1,1997,Q1,1928.6,0.0,0.0,0.0,188.8,1548.4,520.8,380.2,283.7,178.6,12107.8,3513.9,Energy,10
1997Q2,1997,Q2,1870.9,0.0,0.0,0.0,223.1,1597.8,419.2,273.1,159.7,118.5,12748.4,3587.3,Energy,10
1997Q3,1997,Q3,2099.0,0.0,0.0,0.0,238.2,1847.7,397.4,251.3,144.5,13.7,13253.7,3528.5,Energy,10
1997Q4,1997,Q4,1266.6,0.0,0.0,0.0,247.7,1000.5,396.0,266.1,115.9,66.1,13879.0,4232.6,Energy,10
1998Q1,1998,Q1,1958.8,0.0,0.0,0.0,276.4,1699.5,414.6,259.3,118.4,68.1,16413.3,4346.6,Energy,10
1998Q2,1998,Q2,1774.3,0.0,0.0,0.0,267.0,1526.1,398.7,248.2,103.0,60.7,17572.0,4368.0,Energy,10
1998Q3,1998,Q3,1886.8,0.0,0.0,0.0,297.0,1674.2,378.6,212.6,55.8,32.1,17733.9,4321.6,Energy,10
1998Q4,1998,Q4,2016.9,0.0,0.0,0.0,374.4,1847.4,344.0,169.5,-20.2,-33.4,18647.3,4257.4,Energy,10
1999Q1,1999,Q1,1984.0,0.0,0.0,0.0,321.6,1764.2,392.7,219.8,95.8,50.3,19172.2,4330.5,Energy,10
1999Q2,1999,Q2,1986.3,0.0,0.0,0.0,340.4,1771.4,393.0,214.9,65.8,17.0,20012.5,4332.5,Energy,10
1999Q3,1999,Q3,2207.2,0.0,0.0,0.0,323.9,1990.8,410.5,216.4,68.5,28.1,21367.6,4230.4,Energy,10
1999Q4,1999,Q4,2410.1,0.0,0.0,0.0,386.7,2178.7,428.3,231.4,112.9,138.4,25288.5,5585.2,Energy,10
2000Q1,2000,Q1,1899.3,0.0,0.0,0.0,203.3,1513.3,540.3,386.0,239.2,99.7,25799.9,5706.9,Energy,10
2000Q2,2000,Q2,2349.7,0.0,0.0,0.0,237.1,1741.3,768.0,608.4,469.0,351.8,28397.1,5992.4,Energy,10
2000Q3,2000,Q3,2858.8,0.0,0.0,0.0,361.0,2531.2,645.2,327.6,184.0,121.1,32228.3,6195.4,Energy,10
2000Q4,2000,Q4,2252.4,0.0,0.0,0.0,5.3,1565.3,887.5,687.1,458.6,-48.3,40197.0,5892.0,Energy,10
2001Q1,2001,Q1,3057.7,0.0,0.0,0.0,224.5,2262.2,969.8,795.5,599.8,199.2,36492.6,7065.1,Energy,10
2001Q2,2001,Q2,2921.3,0.0,0.0,0.0,220.9,2340.7,755.9,580.6,539.7,339.5,33625.7,5901.6,Energy,10
2001Q3,2001,Q3,2810.4,0.0,0.0,0.0,276.1,2107.1,915.9,703.3,419.0,221.3,38213.1,7455.0,Energy,10
2001Q4,2001,Q4,2315.7,0.0,0.0,0.0,180.1,2086.9,464.3,228.8,-127.8,-1237.7,38906.2,6044.0,Energy,10
