Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,25365.8,20117.9,5247.9,0.0,3502.4,3663.2,2815.5,1584.7,1657.3,1029.6,32819.0,12726.0,Consumer Staples,30
1995Q2,1995,Q2,20652.0,16196.0,4456.0,0.0,3377.0,3589.0,1355.0,867.0,879.0,553.0,34382.0,13116.0,Consumer Staples,30
1995Q3,1995,Q3,23007.0,18095.0,4912.0,0.0,3693.0,3977.0,1547.0,935.0,1007.0,633.0,35318.0,13380.0,Consumer Staples,30
1995Q4,1995,Q4,23181.0,18176.0,5005.0,0.0,3801.0,4069.0,1538.0,936.0,973.0,612.0,40018.0,14091.0,Consumer Staples,30
1996Q1,1996,Q1,27909.0,22097.0,5812.0,0.0,4080.0,4439.0,2098.0,1373.0,1487.0,942.0,37541.0,14756.0,Consumer Staples,30
1996Q2,1996,Q2,23001.0,18064.0,4937.0,0.0,3810.0,4077.0,1475.0,898.0,907.0,571.0,38249.0,15216.0,Consumer Staples,30
1996Q3,1996,Q3,25844.0,20376.0,5468.0,0.0,4130.0,4437.0,1697.0,1081.0,1120.0,706.0,38898.0,15791.0,Consumer Staples,30
1996Q4,1996,Q4,26077.0,20450.0,5627.0,0.0,4329.0,4797.0,1651.0,865.0,1086.0,684.0,42207.0,16381.0,Consumer Staples,30
1997Q1,1997,Q1,31223.0,24772.0,6451.0,0.0,4519.0,4886.0,2334.0,1565.0,1737.0,1095.0,39604.0,17143.0,Consumer Staples,30
1997Q2,1997,Q2,25684.0,20127.0,5557.0,0.0,4333.0,4619.0,1601.0,949.0,1046.0,652.0,39777.0,16982.0,Consumer Staples,30
1997Q3,1997,Q3,28699.0,22478.0,6221.0,0.0,4767.0,5085.0,1863.0,1141.0,1262.0,795.0,40673.0,17263.0,Consumer Staples,30
1997Q4,1997,Q4,29118.0,22680.0,6438.0,0.0,4958.0,5308.0,1897.0,1139.0,1291.0,792.0,46172.0,17555.0,Consumer Staples,30
1998Q1,1998,Q1,35773.0,28153.0,7620.0,0.0,5300.0,5687.0,2776.0,1933.0,2115.0,1287.0,45384.0,18503.0,Consumer Staples,30
1998Q2,1998,Q2,30157.0,23526.0,6631.0,0.0,5073.0,5411.0,1999.0,1220.0,1364.0,828.0,46044.0,18819.0,Consumer Staples,30
1998Q3,1998,Q3,33880.0,26422.0,7458.0,0.0,5577.0,5936.0,2325.0,1522.0,1696.0,1034.0,46874.0,19543.0,Consumer Staples,30
1998Q4,1998,Q4,33924.0,26380.0,7544.0,0.0,5691.0,6106.0,2368.0,1438.0,1651.0,1009.0,51239.0,19714.0,Consumer Staples,30
1999Q1,1999,Q1,41247.0,32397.0,8850.0,0.0,6022.0,6484.0,3300.0,2366.0,2612.0,1559.0,49996.0,21112.0,Consumer Staples,30
1999Q2,1999,Q2,35123.0,27241.0,7882.0,0.0,5888.0,6300.0,2530.0,1588.0,1809.0,1110.0,52023.0,22017.0,Consumer Staples,30
1999Q3,1999,Q3,38910.0,30123.0,8787.0,0.0,6573.0,6573.0,2743.0,1774.0,2026.0,1249.0,66265.0,22948.0,Consumer Staples,30
1999Q4,1999,Q4,40907.0,31606.0,9301.0,0.0,6907.0,7373.0,2941.0,1919.0,2068.0,1299.0,72369.0,24279.0,Consumer Staples,30
2000Q1,2000,Q1,51869.0,40694.0,11175.0,0.0,7672.0,8147.0,4266.0,3028.0,3180.0,1917.0,70349.0,25834.0,Consumer Staples,30
2000Q2,2000,Q2,43447.0,33665.0,9782.0,0.0,7318.0,5888.0,3120.0,2002.0,2134.0,1326.0,72363.0,27141.0,Consumer Staples,30
2000Q3,2000,Q3,46112.0,36044.0,10544.0,0.0,7625.0,8101.0,3594.0,2443.0,2575.0,1596.0,73407.0,28096.0,Consumer Staples,30
2000Q4,2000,Q4,45676.0,35694.0,10487.0,0.0,7918.0,8423.0,3252.0,2064.0,2194.0,1369.0,79051.0,29234.0,Consumer Staples,30
2001Q1,2001,Q1,57079.0,44852.0,12227.0,0.0,8688.0,8688.0,4393.0,3016.0,3213.0,2004.0,78130.0,31343.0,Consumer Staples,30
2001Q2,2001,Q2,48565.0,37850.0,10202.0,0.0,8143.0,8143.0,3323.0,2059.0,2220.0,1380.0,79428.0,31964.0,Consumer Staples,30
2001Q3,2001,Q3,53269.0,41412.0,11387.0,0.0,8893.0,8893.0,3694.0,2494.0,2613.0,1622.0,81576.0,33078.0,Consumer Staples,30
2001Q4,2001,Q4,53186.0,41388.0,11350.0,0.0,9114.0,9114.0,3527.0,2685.0,2390.0,1481.0,88345.0,34277.0,Consumer Staples,30
2002Q1,2002,Q1,64765.0,50912.0,13853.0,0.0,10024.0,10024.0,4831.0,5288.0,3529.0,2189.0,83527.0,35102.0,Consumer Staples,30
2002Q2,2002,Q2,52126.0,43059.0,12295.0,0.0,9454.0,9454.0,3599.0,2789.0,2537.0,1631.0,85141.0,35848.0,Consumer Staples,30
2002Q3,2002,Q3,60255.0,46639.0,13616.0,0.0,10147.0,10147.0,4176.0,3351.0,3127.0,2019.0,88585.0,36966.0,Consumer Staples,30
