Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,46.5,25.5,21.0,0.0,6.1,11.5,14.9,9.5,7.6,4.8,338.2,113.3,Industrials,20
1995Q2,1995,Q2,111.2,63.6,47.6,0.0,46.1,60.3,9.1,-12.7,-27.0,-27.8,813.7,137.7,Industrials,20
1995Q3,1995,Q3,120.0,65.1,54.9,0.0,13.9,28.5,41.0,26.4,19.1,18.9,836.9,191.2,Industrials,20
1995Q4,1995,Q4,124.7,66.9,57.8,0.0,-15.3,-0.7,73.1,58.5,24.3,39.1,908.0,402.8,Industrials,20
1996Q1,1996,Q1,124.6,69.6,55.0,0.0,14.5,29.4,86.8,25.6,21.9,20.5,941.2,424.0,Industrials,20
1996Q2,1996,Q2,227.3,127.7,99.6,0.0,25.4,48.3,110.3,51.3,-5.5,9.9,1389.9,616.9,Industrials,20
1996Q3,1996,Q3,352.8,186.5,166.3,0.0,41.7,83.1,177.5,83.2,-58.4,-38.9,2629.0,1087.2,Industrials,20
1996Q4,1996,Q4,350.4,182.2,168.2,0.0,41.9,83.9,126.3,84.3,77.0,46.2,2830.5,1155.3,Industrials,20
1997Q1,1997,Q1,364.9,187.7,177.2,0.0,42.8,88.4,165.5,88.8,81.9,58.0,3686.8,1668.9,Industrials,20
1997Q2,1997,Q2,535.2,275.7,259.5,0.0,59.8,122.4,244.4,137.1,120.5,87.3,4617.8,1866.1,Industrials,20
1997Q3,1997,Q3,761.8,388.9,372.9,0.0,81.9,169.6,1288.3,203.3,48.7,18.9,6044.6,2500.4,Industrials,20
1997Q4,1997,Q4,735.3,375.4,359.9,0.0,77.5,161.4,282.4,198.5,171.3,102.8,6622.8,2629.0,Industrials,20
1998Q1,1998,Q1,769.4,397.5,371.9,0.0,81.9,168.0,810.9,203.9,201.6,121.0,7589.4,2775.1,Industrials,20
1998Q2,1998,Q2,882.0,437.8,444.2,0.0,83.7,183.3,958.9,260.9,211.8,123.2,8374.8,2950.2,Industrials,20
1998Q3,1998,Q3,3160.3,1821.9,1338.4,0.0,294.7,668.7,1069.5,669.7,-1692.2,-1267.5,21374.8,3972.9,Industrials,20
1998Q4,1998,Q4,3467.0,1938.6,1528.4,0.0,305.4,697.0,1223.0,831.4,231.4,81.0,22715.2,4372.5,Industrials,20
1999Q1,1999,Q1,3070.6,1674.4,1396.2,0.0,258.2,608.5,1138.035,787.7,624.9,364.3,22607.9,4830.7,Industrials,20
