Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,2745.0,1941.0,804.0,0.0,202.0,385.0,557.0,419.0,328.0,207.0,13478.0,4433.0,Real Estate,60
1995Q2,1995,Q2,3074.0,2186.0,888.0,0.0,225.0,416.0,620.0,472.0,386.0,246.0,13453.0,4514.0,Real Estate,60
1995Q3,1995,Q3,3112.0,2170.0,942.0,0.0,242.0,408.0,669.0,534.0,149.0,95.0,13338.0,4466.0,Real Estate,60
1995Q4,1995,Q4,2857.0,1900.0,957.0,0.0,245.0,489.0,668.0,468.0,380.9,250.9,13253.0,4486.0,Real Estate,60
1996Q1,1996,Q1,2605.0,1903.0,702.0,0.0,229.0,415.0,434.0,287.0,222.0,142.0,13715.0,4524.0,Real Estate,60
1996Q2,1996,Q2,2886.0,2208.0,678.0,0.0,224.0,416.0,412.0,262.0,161.0,103.0,13774.0,4558.0,Real Estate,60
1996Q3,1996,Q3,2852.0,2143.0,709.0,0.0,232.0,423.0,438.0,286.0,187.0,120.0,13679.0,4588.0,Real Estate,60
1996Q4,1996,Q4,2771.0,2082.0,689.0,0.0,247.0,457.0,400.0,232.0,150.1,98.1,13596.0,4604.0,Real Estate,60
1997Q1,1997,Q1,2608.0,2041.0,567.0,13.0,197.0,414.0,318.0,153.0,33.0,21.0,13674.0,4546.0,Real Estate,60
1997Q2,1997,Q2,2909.0,2248.0,661.0,15.0,220.0,434.0,386.0,227.0,172.0,109.0,13001.0,4583.0,Real Estate,60
1997Q3,1997,Q3,2823.0,2220.0,603.0,13.0,165.0,360.0,389.0,243.0,180.0,114.0,13118.0,4643.0,Real Estate,60
1997Q4,1997,Q4,2870.0,2266.0,604.0,15.0,161.0,369.0,393.0,235.0,154.0,98.0,13075.0,4649.0,Real Estate,60
1998Q1,1998,Q1,2603.0,2039.0,564.0,14.0,177.0,376.0,337.0,188.0,135.0,85.0,12582.0,4620.0,Real Estate,60
1998Q2,1998,Q2,2676.0,2153.0,523.0,15.0,168.0,362.0,305.0,161.0,109.0,69.0,12497.0,4594.0,Real Estate,60
1998Q3,1998,Q3,2736.0,2124.0,612.0,12.0,194.0,387.0,371.0,225.0,175.0,110.0,12672.0,4605.0,Real Estate,60
