Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,661.2,234.5,426.7,0.0,43.7,338.9,180.1,87.8,87.2,65.0,5914.4,2160.6,Utilities,55
1995Q2,1995,Q2,589.7,189.4,400.3,0.0,39.7,332.1,158.8,68.2,81.3,56.7,6003.9,2184.2,Utilities,55
1995Q3,1995,Q3,664.9,187.6,477.3,0.0,45.3,365.6,206.7,111.7,109.6,85.7,6073.3,2243.6,Utilities,55
1995Q4,1995,Q4,652.8,215.6,437.2,0.0,57.3,211.5,319.9,225.7,207.3,56.0,6228.6,2267.9,Utilities,55
1996Q1,1996,Q1,718.7,271.8,446.9,0.0,34.9,357.6,180.5,89.3,63.2,64.1,6381.2,2306.8,Utilities,55
1996Q2,1996,Q2,592.3,180.5,411.8,0.0,40.4,340.9,164.9,70.9,40.2,40.3,6401.3,2314.0,Utilities,55
1996Q3,1996,Q3,633.3,165.7,467.6,0.0,41.2,362.1,202.6,105.5,80.2,81.1,6394.9,2345.9,Utilities,55
1996Q4,1996,Q4,710.0,258.7,451.3,0.0,32.1,189.3,361.1,262.0,237.8,76.7,6636.9,2376.4,Utilities,55
1997Q1,1997,Q1,742.5,291.6,450.9,0.0,34.6,362.4,185.3,88.5,59.4,61.8,6599.4,2348.1,Utilities,55
1997Q2,1997,Q2,594.3,182.6,411.7,0.0,36.3,375.2,135.3,36.5,1.5,15.9,6869.0,2304.6,Utilities,55
1997Q3,1997,Q3,697.4,193.1,504.4,0.0,37.5,333.0,697.4,171.3,131.2,83.1,7058.6,2572.9,Utilities,55
1997Q4,1997,Q4,699.6,260.2,439.4,0.0,33.3,331.0,211.1,108.4,68.9,63.0,7144.1,2572.0,Utilities,55
1998Q1,1998,Q1,701.4,261.7,439.7,0.0,37.8,360.6,182.9,79.0,43.1,54.7,7191.0,2494.2,Utilities,55
1998Q2,1998,Q2,638.7,209.5,429.2,0.0,36.5,364.0,170.1,65.2,23.2,33.9,7130.4,2470.9,Utilities,55
1998Q3,1998,Q3,766.4,234.6,531.8,0.0,36.9,396.9,243.5,134.9,83.7,100.6,7266.2,2535.1,Utilities,55
1998Q4,1998,Q4,712.8,250.5,462.3,0.0,38.9,231.7,336.6,230.6,237.3,87.6,7396.3,2586.5,Utilities,55
1999Q1,1999,Q1,743.183,280.206,462.977,0.0,30.563,339.035,235.584,130.2,78.7,51.261,7379.4,2601.5,Utilities,55
1999Q2,1999,Q2,627.157,223.678,403.479,0.0,35.234,350.005,165.889,55.2,-0.1,9.38,8538.6,2592.8,Utilities,55
1999Q3,1999,Q3,813.4,294.4,519.0,0.0,34.3,396.5,243.643,122.5,107.6,110.2,8685.1,2652.9,Utilities,55
1999Q4,1999,Q4,652.9,253.7,399.2,0.0,27.3,183.6,344.3,215.6,232.2,48.1,9767.7,2662.8,Utilities,55
2000Q1,2000,Q1,793.005,323.952,469.053,0.0,38.1,357.32,244.404,111.733,70.267,46.941,11596.293,2641.965,Utilities,55
2000Q2,2000,Q2,2416.216,518.036,1898.18,0.0,32.899,1527.717,658.863,95.081,84.105,62.162,11926.352,2866.239,Utilities,55
2000Q3,2000,Q3,2562.719,1172.651,1390.068,0.0,0.0,984.786,620.563,405.282,195.65,91.554,21080.576,5605.51,Utilities,55
2000Q4,2000,Q4,4636.313,3535.164,1101.149,0.0,0.0,919.49,403.383,181.659,199.952,136.741,21768.843,5667.104,Utilities,55
2001Q1,2001,Q1,4207.106,779.665,3427.441,0.0,0.0,2957.648,702.1,469.793,315.591,208.25,23610.552,5963.027,Utilities,55
2001Q2,2001,Q2,3697.354,836.977,2860.377,0.0,0.0,2427.128,677.027,375.098,238.054,166.797,26385.32,6129.185,Utilities,55
2001Q3,2001,Q3,2981.639,947.914,2033.725,0.0,0.0,1396.138,899.154,661.662,422.803,271.843,27746.286,6310.472,Utilities,55
2001Q4,2001,Q4,3118.535,6896.084,-3777.549,0.0,0.0,-3911.61,398.298,134.061,144.954,143.835,28735.062,6299.797,Utilities,55
2002Q1,2002,Q1,3317.587,488.114,2829.473,0.0,0.0,2501.555,593.057,327.918,136.781,102.444,29333.626,6800.486,Utilities,55
2002Q2,2002,Q2,2225.747,544.405,1681.342,0.0,0.0,1366.956,595.633,345.561,138.52,86.242,30404.936,7477.606,Utilities,55
2002Q3,2002,Q3,2473.005,618.442,1854.563,0.0,0.0,3995.307,-1876.66,-2540.956,-2755.16,-2073.96,28405.775,5352.826,Utilities,55
2002Q4,2002,Q4,2283.601,2761.591,-477.99,0.0,0.0,-971.75,739.071,493.76,228.558,-334.837,27257.842,4770.304,Utilities,55
2003Q1,2003,Q1,2075.557,592.151,1483.406,0.0,0.0,1191.082,499.232,307.574,25.92,138.952,27771.878,4869.8,Utilities,55
2003Q2,2003,Q2,1712.459,639.342,1073.117,0.0,0.0,910.588,368.73,166.173,-293.649,-282.562,17096.528,4488.277,Utilities,55
2003Q3,2003,Q3,2001.6,814.446,1187.154,0.0,0.0,821.266,585.161,361.007,274.902,286.435,18264.367,4818.59,Utilities,55
2003Q4,2003,Q4,1962.195,660.307,1301.888,0.0,0.0,1056.069,444.472,245.819,504.879,476.386,20205.38,5271.42,Utilities,55
2004Q1,2004,Q1,2261.648,678.693,1582.955,0.0,0.0,1261.717,508.402,314.123,213.843,148.851,19829.42,5342.477,Utilities,55
2004Q2,2004,Q2,1763.099,723.021,1040.078,0.0,0.0,841.299,385.066,192.351,94.436,85.246,19736.213,5362.678,Utilities,55
2004Q3,2004,Q3,1974.935,888.845,1086.09,0.0,0.0,748.256,533.836,338.057,240.401,45.66,20058.581,5318.338,Utilities,55
2004Q4,2004,Q4,2259.361,750.199,1509.162,0.0,0.0,1294.358,416.727,214.804,123.888,71.964,20304.843,5307.898,Utilities,55
2005Q1,2005,Q1,2390.533,761.408,1629.125,0.0,0.0,1354.106,480.526,274.524,171.391,120.418,20300.838,5371.887,Utilities,55
2005Q2,2005,Q2,2064.055,912.4,1151.655,0.0,0.0,949.42,400.532,202.505,103.18,82.346,20473.527,5352.37,Utilities,55
2005Q3,2005,Q3,2286.123,1121.154,1164.969,0.0,0.0,800.244,566.768,364.725,258.45,194.959,21538.879,5483.013,Utilities,55
2005Q4,2005,Q4,2884.938,1127.372,1757.566,0.0,0.0,1507.011,460.492,250.555,142.263,111.008,21648.316,5500.235,Utilities,55
2006Q1,2006,Q1,2888.104,994.695,1893.409,0.0,0.0,1580.66,531.672,312.749,203.148,150.238,21141.182,5623.571,Utilities,55
2006Q2,2006,Q2,2073.873,951.214,1122.659,0.0,0.0,896.956,446.968,224.658,118.473,97.215,21258.846,5660.23,Utilities,55
2006Q3,2006,Q3,2411.591,1160.896,1250.695,0.0,0.0,840.592,2642.928,410.103,307.2,222.342,21220.397,5791.885,Utilities,55
2006Q4,2006,Q4,2466.736,996.251,1470.485,0.0,0.0,1241.002,452.812,229.483,121.27,96.658,21958.346,5921.802,Utilities,55
2007Q1,2007,Q1,2763.662,979.571,1784.091,0.0,0.0,1505.963,509.988,278.128,166.423,118.651,21979.495,5973.231,Utilities,55
2007Q2,2007,Q2,2267.292,1251.473,1015.819,0.0,0.0,725.272,522.141,290.547,186.385,66.635,22288.43,6099.896,Utilities,55
2007Q3,2007,Q3,2399.997,1191.089,1208.908,0.0,0.0,713.138,708.611,495.77,382.29,250.654,22824.199,6266.48,Utilities,55
2007Q4,2007,Q4,2603.219,1521.701,1081.518,0.0,0.0,795.732,510.161,285.786,130.577,128.861,23184.727,6405.982,Utilities,55
2008Q1,2008,Q1,3028.388,1088.08,1940.308,0.0,0.0,1610.19,567.829,330.118,230.578,152.047,23358.62,6462.028,Utilities,55
2008Q2,2008,Q2,2615.515,1589.222,1026.293,0.0,0.0,766.457,502.974,259.836,160.579,104.512,23718.643,6479.45,Utilities,55
2008Q3,2008,Q3,2851.68,1674.267,1177.413,0.0,27.483,729.419,716.656,447.994,344.451,221.729,24500.73,6953.32,Utilities,55
2008Q4,2008,Q4,2707.573,1610.51,1097.063,0.0,0.0,744.22,616.549,352.843,248.798,163.015,24958.495,7068.721,Utilities,55
2009Q1,2009,Q1,2695.542,1521.879,1173.663,0.0,45.219,802.866,637.138,370.797,259.801,173.007,24628.261,7154.062,Utilities,55
2009Q2,2009,Q2,2016.083,947.476,1068.607,0.0,41.417,789.239,529.524,279.368,171.655,113.927,24987.251,7178.703,Utilities,55
2009Q3,2009,Q3,2314.562,1058.656,1255.906,0.0,47.157,790.758,711.681,465.148,353.04,219.768,25081.208,7296.16,Utilities,55
2009Q4,2009,Q4,2618.116,1433.026,1185.09,0.0,48.319,831.831,615.378,353.259,272.342,167.824,25488.428,7388.225,Utilities,55
2010Q1,2010,Q1,2807.462,1577.283,1230.179,0.0,58.039,826.514,669.529,403.665,289.238,166.058,25334.501,7460.851,Utilities,55
2010Q2,2010,Q2,2307.764,1117.755,1190.009,0.0,55.551,864.705,582.281,325.304,212.491,138.716,25563.212,7496.802,Utilities,55
2010Q3,2010,Q3,2628.787,1186.2,1442.587,0.0,60.861,873.957,878.405,568.63,478.688,311.246,26301.466,7710.657,Utilities,55
2010Q4,2010,Q4,2566.934,1321.888,1245.046,0.0,65.376,922.676,598.612,322.37,208.174,135.573,27387.69,8188.499,Utilities,55
2011Q1,2011,Q1,2816.54,1483.259,1333.281,0.0,75.298,906.618,714.59,426.663,315.468,202.509,27466.649,8286.463,Utilities,55
2011Q2,2011,Q2,2438.222,1159.36,1278.862,0.0,65.497,919.42,641.519,359.442,243.204,157.702,28003.224,8339.545,Utilities,55
2011Q3,2011,Q3,2831.598,1244.513,1587.085,0.0,71.28,935.589,951.792,651.496,531.599,333.658,28537.854,8536.283,Utilities,55
2011Q4,2011,Q4,2568.41,1298.935,1269.475,0.0,69.303,925.474,596.341,344.001,219.419,140.509,29497.267,8482.198,Utilities,55
2012Q1,2012,Q1,2578.079,1799.914,778.165,0.0,2.799,398.003,657.524,380.162,259.284,183.893,29453.253,8537.671,Utilities,55
2012Q2,2012,Q2,2274.668,1484.09,790.578,0.0,1.061,384.888,677.863,405.69,284.876,183.06,29820.143,8573.505,Utilities,55
2012Q3,2012,Q3,2724.341,1595.3,1129.041,0.0,2.042,408.607,1011.181,720.434,600.992,398.106,31057.498,8850.163,Utilities,55
2012Q4,2012,Q4,2551.135,3406.91,-855.775,0.0,-183.877,-1172.172,579.241,316.397,210.25,140.17,31140.686,8874.077,Utilities,55
2013Q1,2013,Q1,2782.849,1902.06,880.789,0.0,2.139,426.165,760.594,454.624,355.022,236.57,31587.675,9155.113,Utilities,55
2013Q2,2013,Q2,2578.913,1770.247,808.666,0.0,1.407,406.43,696.675,402.236,295.775,196.857,32266.262,9300.245,Utilities,55
2013Q3,2013,Q3,2822.338,1755.636,1066.702,0.0,2.386,401.589,947.173,665.113,557.885,364.752,33126.652,9547.286,Utilities,55
2013Q4,2013,Q4,2730.822,1980.335,750.487,0.0,2.36,424.905,633.585,325.582,223.355,150.055,33907.49,9565.95,Utilities,55
2014Q1,2014,Q1,3202.604,2260.421,942.183,0.0,1.808,448.191,799.951,493.992,396.992,261.221,34198.752,9747.424,Utilities,55
2014Q2,2014,Q2,2685.096,1845.469,839.627,0.0,2.438,442.419,714.27,397.208,299.422,195.164,34717.644,9920.772,Utilities,55
2014Q3,2014,Q3,2869.807,1755.602,1114.205,0.0,0.417,448.525,983.689,665.68,564.551,368.582,35363.441,10154.66,Utilities,55
2014Q4,2014,Q4,2928.628,2089.86,838.768,0.0,2.26,447.518,703.489,391.25,284.156,196.339,36957.884,10214.482,Utilities,55
2015Q1,2015,Q1,2962.219,2018.382,943.837,0.0,2.045,592.992,674.597,350.845,235.646,152.066,36878.651,10214.87,Utilities,55
2015Q2,2015,Q2,2515.134,1633.815,881.319,0.0,0.222,458.474,739.029,422.845,306.812,196.931,37268.809,10269.066,Utilities,55
2015Q3,2015,Q3,2901.312,1654.984,1246.328,0.0,-0.689,460.516,1122.88,785.812,665.492,426.463,38029.696,10544.83,Utilities,55
2015Q4,2015,Q4,2645.821,1726.452,919.369,0.0,2.273,478.359,784.947,441.01,319.254,209.025,39053.535,10600.92,Utilities,55
2016Q1,2016,Q1,2772.273,1759.624,1012.649,0.0,0.5,522.779,863.59,489.87,369.962,241.312,39069.844,10671.634,Utilities,55
2016Q2,2016,Q2,2499.849,1551.349,948.5,0.0,0.92,516.919,809.95,431.581,301.192,196.795,39490.164,10703.134,Utilities,55
2016Q3,2016,Q3,3040.147,1703.486,1336.661,0.0,1.148,509.607,1212.026,827.054,696.207,457.795,40324.75,10987.942,Utilities,55
2016Q4,2016,Q4,2794.651,1798.548,996.103,0.0,0.805,530.753,849.473,465.35,337.235,227.477,41155.277,11020.849,Utilities,55
2017Q1,2017,Q1,2946.0,1879.0,1067.0,0.0,1.0,575.0,909.0,486.219,355.941,239.0,41285.341,11070.111,Utilities,55
2017Q2,2017,Q2,2645.0,1613.0,1032.0,0.0,1.0,566.0,875.0,459.692,329.645,227.0,41860.989,11123.155,Utilities,55
