Year_Quarter,year,quarter,revenue,costOfRevenue,grossProfit,rnd,snaExpenses,operatingExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,totalAssets,totalEquity,gics_sectors,gics_sector_code
1995Q1,1995,Q1,26127.0,15450.0,10677.0,0.0,1731.0,8531.0,3482.0,2146.0,2511.0,1660.0,91271.0,39182.0,Energy,10
1995Q2,1995,Q2,27846.0,16570.0,11276.0,0.0,1755.0,8923.0,3681.0,2353.0,2674.0,1630.0,91158.0,39999.0,Energy,10
1995Q3,1995,Q3,27025.0,15459.0,11566.0,0.0,1857.0,9191.0,3715.0,2375.0,2491.0,1500.0,90706.0,40035.0,Energy,10
1995Q4,1995,Q4,26895.0,14873.0,12022.0,0.0,2286.0,9698.0,3706.0,2324.0,2766.0,1680.0,91296.0,40436.0,Energy,10
1996Q1,1996,Q1,27164.0,16025.0,11139.0,0.0,1936.0,8814.0,3697.0,2325.0,2841.0,1885.0,92579.0,41022.0,Energy,10
1996Q2,1996,Q2,27975.0,16744.0,11231.0,0.0,2020.0,8949.0,3588.0,2282.0,2652.0,1570.0,92396.0,41378.0,Energy,10
1996Q3,1996,Q3,29086.0,17423.0,11663.0,0.0,2051.0,9330.0,3640.0,2333.0,2547.0,1560.0,93468.0,41791.0,Energy,10
1996Q4,1996,Q4,32503.0,20232.0,12271.0,0.0,1954.0,9153.0,4462.0,3118.0,3876.0,2495.0,95527.0,43542.0,Energy,10
1997Q1,1997,Q1,29556.0,17915.0,11641.0,0.0,1879.0,8437.0,4569.0,3204.0,3518.0,2175.0,95647.0,43670.0,Energy,10
1997Q2,1997,Q2,28683.0,17051.0,11632.0,0.0,2012.0,8803.0,4171.0,2829.0,3160.0,1965.0,94920.0,43815.0,Energy,10
1997Q3,1997,Q3,28765.0,16979.0,11786.0,0.0,2088.0,9185.0,3962.0,2601.0,2766.0,1820.0,97123.0,43356.0,Energy,10
1997Q4,1997,Q4,30403.0,18069.0,12334.0,0.0,2130.0,9465.0,4275.0,2869.0,3336.0,2500.0,96064.0,43660.0,Energy,10
1998Q1,1998,Q1,29964.0,15195.0,14769.0,0.0,2004.0,11962.0,4151.0,2807.0,2709.0,1820.0,94953.0,43745.0,Energy,10
1998Q2,1998,Q2,25201.0,14391.0,10810.0,0.0,2179.0,9059.0,3097.0,1751.0,2258.0,1620.0,93216.0,43357.0,Energy,10
1998Q3,1998,Q3,24512.0,13919.0,10593.0,0.0,2106.0,9095.0,2788.0,1498.0,2040.0,1400.0,95227.0,43759.0,Energy,10
1998Q4,1998,Q4,24102.0,13561.0,10541.0,0.0,2066.0,9467.0,2299.0,1074.0,1988.0,1460.0,92630.0,43750.0,Energy,10
1999Q1,1999,Q1,33804.0,18294.0,15510.0,0.0,3244.0,13635.0,4046.0,1875.0,1677.0,1484.0,90731.0,43002.0,Energy,10
1999Q2,1999,Q2,38055.0,21667.0,16388.0,0.0,3338.0,13549.0,4828.0,2839.0,2684.0,1954.0,91235.0,42829.0,Energy,10
1999Q3,1999,Q3,43595.0,26451.0,17144.0,0.0,2770.0,13443.0,5692.0,3701.0,3492.0,2188.0,94394.0,43834.0,Energy,10
1999Q4,1999,Q4,83591.0,49027.0,34564.0,0.0,6759.0,28648.0,10026.0,5916.0,6247.0,4185.0,144521.0,63466.0,Energy,10
2000Q1,2000,Q1,47780.0,29459.0,18321.0,0.0,2877.0,13087.0,7362.0,5234.0,5266.0,3480.0,143238.0,64605.0,Energy,10
2000Q2,2000,Q2,49479.0,30962.0,18517.0,0.0,2830.0,12393.0,8063.0,6124.0,6706.0,4530.0,146618.0,66936.0,Energy,10
2000Q3,2000,Q3,52178.0,32211.0,19967.0,0.0,3358.0,13788.0,8080.0,6179.0,6697.0,4490.0,148252.0,68111.0,Energy,10
2000Q4,2000,Q4,83311.0,35390.0,47921.0,0.0,2979.0,13614.0,36469.0,34307.0,8412.0,5220.0,149000.0,70757.0,Energy,10
2001Q1,2001,Q1,57300.0,30147.0,27153.0,0.0,3060.0,13229.0,15900.0,13924.0,8220.0,5000.0,148786.0,71889.0,Energy,10
2001Q2,2001,Q2,56184.0,30623.0,25561.0,0.0,3215.0,13143.0,14289.0,12418.0,6872.0,4460.0,147660.0,72974.0,Energy,10
2001Q3,2001,Q3,56448.0,27638.0,28810.0,0.0,3196.0,13573.0,17194.0,15237.0,5240.0,3180.0,147904.0,73825.0,Energy,10
2001Q4,2001,Q4,47891.0,23223.0,24668.0,0.0,3429.0,14276.0,12532.0,10392.0,3787.0,2680.0,143174.0,73161.0,Energy,10
2002Q1,2002,Q1,43393.0,22008.0,21385.0,0.0,3137.0,13080.0,10325.0,8305.0,3328.0,2090.0,142037.0,72367.0,Energy,10
2002Q2,2002,Q2,50804.0,27060.0,23744.0,0.0,3310.0,13704.0,12060.0,10040.0,4281.0,2640.0,148232.0,75118.0,Energy,10
2002Q3,2002,Q3,54098.0,30182.0,23916.0,0.0,2730.0,13393.0,12718.0,10523.0,4484.0,2640.0,149473.0,74690.0,Energy,10
2002Q4,2002,Q4,55884.0,30242.0,25642.0,0.0,3178.0,14004.0,13713.0,11638.0,5356.0,4090.0,152644.0,74597.0,Energy,10
2003Q1,2003,Q1,63780.0,33565.0,30215.0,0.0,3102.0,14091.0,18306.0,16124.0,9878.0,7040.0,162495.0,79585.0,Energy,10
2003Q2,2003,Q2,57165.0,29729.0,27436.0,0.0,3340.0,14622.0,14983.0,12814.0,6748.0,4170.0,165103.0,82581.0,Energy,10
2003Q3,2003,Q3,59841.0,32777.0,27064.0,0.0,3246.0,15060.0,14207.0,12004.0,5962.0,3650.0,166987.0,83764.0,Energy,10
2003Q4,2003,Q4,65952.0,33857.0,32095.0,0.0,3708.0,16315.0,18273.0,15780.0,9378.0,6650.0,174278.0,89915.0,Energy,10
2004Q1,2004,Q1,67602.0,36243.0,31359.0,0.0,3242.0,15779.0,17953.0,15580.0,8962.0,5440.0,180202.0,91681.0,Energy,10
2004Q2,2004,Q2,70693.0,38894.0,31799.0,0.0,3332.0,15613.0,18536.0,16186.0,9480.0,5790.0,180989.0,93535.0,Energy,10
2004Q3,2004,Q3,76375.0,43156.0,33219.0,0.0,3372.0,15982.0,19668.0,17237.0,9534.0,5680.0,187433.0,95442.0,Energy,10
2004Q4,2004,Q4,83365.0,45254.0,38111.0,0.0,3903.0,17196.0,23528.0,20915.0,13265.0,8420.0,195256.0,101756.0,Energy,10
2005Q1,2005,Q1,82051.0,45570.0,36481.0,0.0,3451.0,16189.0,22845.0,20292.0,12903.0,7860.0,201252.0,103698.0,Energy,10
2005Q2,2005,Q2,88568.0,51358.0,37210.0,0.0,3508.0,16493.0,23233.0,20717.0,12759.0,7640.0,201816.0,104596.0,Energy,10
2005Q3,2005,Q3,100717.0,59130.0,41587.0,0.0,3765.0,17128.0,26972.0,24459.0,16052.0,9920.0,209721.0,107890.0,Energy,10
2005Q4,2005,Q4,99344.0,56944.0,42400.0,0.0,3678.0,16399.0,28672.0,26001.0,17718.0,10710.0,208335.0,111186.0,Energy,10
2006Q1,2006,Q1,88980.0,50527.0,38453.0,0.0,3466.0,22647.0,18450.0,15806.0,15459.0,8400.0,216002.0,112463.0,Energy,10
2006Q2,2006,Q2,99034.0,55772.0,43262.0,0.0,3557.0,16487.0,29535.0,26775.0,18204.0,10360.0,221010.0,115764.0,Energy,10
2006Q3,2006,Q3,99593.0,56773.0,42820.0,0.0,3412.0,16305.0,29245.0,26515.0,18178.0,10490.0,223947.0,116593.0,Energy,10
2006Q4,2006,Q4,90028.0,50183.0,39845.0,0.0,3838.0,47498.0,-4371.0,-7653.0,15561.0,10250.0,219015.0,113844.0,Energy,10
2007Q1,2007,Q1,87223.0,47597.0,39626.0,0.0,3392.0,15925.0,26643.0,23701.0,16064.0,9280.0,223299.0,114110.0,Energy,10
2007Q2,2007,Q2,98350.0,55658.0,42692.0,0.0,3788.0,24480.0,21206.0,18212.0,17928.0,10260.0,228315.0,116350.0,Energy,10
2007Q3,2007,Q3,102337.0,60206.0,42131.0,0.0,3656.0,17044.0,28246.0,25087.0,16760.0,9410.0,236661.0,118603.0,Energy,10
2007Q4,2007,Q4,116642.0,69391.0,47251.0,0.0,4054.0,18454.0,31952.0,28797.0,19722.0,11660.0,242082.0,121762.0,Energy,10
2008Q1,2008,Q1,116854.0,78638.0,38216.0,0.0,3802.0,17612.0,23708.0,20604.0,20474.0,10890.0,258202.0,123139.0,Energy,10
2008Q2,2008,Q2,138072.0,96637.0,41435.0,0.0,4389.0,18897.0,25628.0,22538.0,22431.0,11680.0,266758.0,124826.0,Energy,10
2008Q3,2008,Q3,134913.0,83176.0,51737.0,0.0,3823.0,27550.0,30019.0,24187.0,26693.0,14830.0,256218.0,125286.0,Energy,10
2008Q4,2008,Q4,84696.0,47926.0,36770.0,0.0,3859.0,15642.0,24305.0,21128.0,13195.0,7820.0,228052.0,112965.0,Energy,10
2009Q1,2009,Q1,64028.0,41679.0,22349.0,0.0,3448.0,14392.0,10750.0,7957.0,7850.0,4550.0,222491.0,107003.0,Energy,10
2009Q2,2009,Q2,74457.0,51638.0,22819.0,0.0,3519.0,14959.0,10864.0,7860.0,7517.0,3950.0,224661.0,106592.0,Energy,10
2009Q3,2009,Q3,80585.0,49786.0,30799.0,0.0,3887.0,23208.0,12193.0,7591.0,9204.0,4730.0,229307.0,107265.0,Energy,10
2009Q4,2009,Q4,87426.0,55342.0,32084.0,0.0,3881.0,24257.0,13435.0,7827.0,10206.0,6050.0,233323.0,110569.0,Energy,10
2010Q1,2010,Q1,87714.0,62035.0,25679.0,0.0,3514.0,16093.0,15403.0,9586.0,12068.0,6300.0,242748.0,112541.0,Energy,10
2010Q2,2010,Q2,90242.0,63791.0,26451.0,0.0,3607.0,15949.0,16112.0,10502.0,12706.0,7560.0,291068.0,140172.0,Energy,10
2010Q3,2010,Q3,92855.0,65029.0,27826.0,0.0,3707.0,17357.0,16756.0,10469.0,12858.0,7350.0,299994.0,145031.0,Energy,10
2010Q4,2010,Q4,101733.0,92376.0,9357.0,0.0,3855.0,-2627.0,19707.0,11984.0,15327.0,9250.0,302510.0,146839.0,Energy,10
2011Q1,2011,Q1,110177.0,77933.0,32244.0,0.0,3627.0,17125.0,22707.0,15119.0,18917.0,10650.0,319533.0,151480.0,Energy,10
2011Q2,2011,Q2,121766.0,79769.0,41997.0,0.0,3681.0,18440.0,22545.0,23557.0,18619.0,10680.0,326204.0,155551.0,Energy,10
2011Q3,2011,Q3,121415.0,87972.0,33443.0,0.0,3764.0,18580.0,22644.0,14863.0,18680.0,10330.0,323227.0,155939.0,Energy,10
2011Q4,2011,Q4,117782.0,86018.0,31764.0,0.0,3911.0,18475.0,21191.0,13289.0,17041.0,9400.0,331052.0,154396.0,Energy,10
2012Q1,2012,Q1,119189.0,92010.0,27179.0,0.0,3601.0,14421.0,21464.0,12758.0,17515.0,9450.0,345152.0,157012.0,Energy,10
2012Q2,2012,Q2,112745.0,88057.0,24688.0,0.0,3486.0,13065.0,30140.0,11623.0,26191.0,15910.0,329645.0,162811.0,Energy,10
2012Q3,2012,Q3,110989.0,85917.0,25072.0,0.0,3468.0,11845.0,21416.0,13227.0,17320.0,9570.0,335191.0,166713.0,Energy,10
2012Q4,2012,Q4,97248.0,97196.0,52.0,0.0,3322.0,166.0,21921.0,-114.0,17700.0,9950.0,333795.0,165863.0,Energy,10
2013Q1,2013,Q1,103378.0,80787.0,22591.0,0.0,3118.0,11508.0,20172.0,11083.0,16038.0,9500.0,339639.0,167001.0,Energy,10
2013Q2,2013,Q2,103050.0,81913.0,21137.0,0.0,3268.0,11900.0,17258.0,9237.0,12768.0,6860.0,341615.0,165647.0,Energy,10
2013Q3,2013,Q3,108390.0,85972.0,22418.0,0.0,3150.0,12159.0,18528.0,10259.0,14189.0,7870.0,347564.0,169245.0,Energy,10
2013Q4,2013,Q4,106018.0,83780.0,22238.0,0.0,3341.0,12516.0,18944.0,9722.0,14716.0,8350.0,346808.0,174003.0,Energy,10
2014Q1,2014,Q1,101312.0,79562.0,21750.0,0.0,3132.0,11470.0,19485.0,10280.0,15227.0,9100.0,353033.0,176398.0,Energy,10
2014Q2,2014,Q2,105719.0,84844.0,20875.0,0.0,3169.0,12149.0,18500.0,8726.0,14151.0,8780.0,358586.0,181155.0,Energy,10
2014Q3,2014,Q3,103206.0,81900.0,21306.0,0.0,3169.0,11732.0,17860.0,9574.0,13410.0,8070.0,352764.0,180587.0,Energy,10
2014Q4,2014,Q4,82621.0,65917.0,16704.0,0.0,3128.0,11202.0,13368.0,5502.0,8842.0,6570.0,349493.0,174399.0,Energy,10
2015Q1,2015,Q1,64758.0,51258.0,13500.0,0.0,2713.0,9637.0,11023.0,3863.0,6635.0,4940.0,342961.0,171227.0,Energy,10
2015Q2,2015,Q2,71360.0,56963.0,14397.0,0.0,2831.0,10111.0,11490.0,4286.0,6954.0,4190.0,348260.0,172668.0,Energy,10
2015Q3,2015,Q3,65679.0,51245.0,14434.0,0.0,2967.0,10272.0,10369.0,4162.0,5749.0,4240.0,340662.0,170723.0,Energy,10
2015Q4,2015,Q4,57691.0,46850.0,10841.0,0.0,2990.0,10269.0,7443.0,572.0,2628.0,2780.0,336758.0,170811.0,Energy,10
2016Q1,2016,Q1,47105.0,37848.0,9257.0,0.0,2593.0,9052.0,6572.0,205.0,1730.0,1810.0,342789.0,172187.0,Energy,10
2016Q2,2016,Q2,56360.0,45462.0,10898.0,0.0,2646.0,9761.0,7292.0,1137.0,2396.0,1700.0,342473.0,170591.0,Energy,10
2016Q3,2016,Q3,56767.0,45786.0,10981.0,0.0,2736.0,9559.0,7937.0,1422.0,3226.0,2650.0,339386.0,170597.0,Energy,10
2016Q4,2016,Q4,58376.0,50400.0,7976.0,0.0,2824.0,9804.0,8929.0,-1828.0,617.0,1680.0,330314.0,167325.0,Energy,10
2017Q1,2017,Q1,56474.0,42444.0,14030.0,0.0,2505.0,9790.0,10583.0,4240.0,5918.0,4010.0,344209.0,177151.0,Energy,10
2017Q2,2017,Q2,56026.0,42906.0,13120.0,0.0,2556.0,10438.0,8966.0,2682.0,4156.0,3350.0,343012.0,179178.0,Energy,10
2017Q3,2017,Q3,59350.0,44264.0,15086.0,0.0,2632.0,10667.0,10574.0,4419.0,5583.0,3970.0,349427.0,182276.0,Energy,10
2017Q4,2017,Q4,50832.0,34821.0,16011.0,0.0,3004.0,14011.0,9045.0,2000.0,3017.0,8380.0,348691.0,187688.0,Energy,10
2018Q1,2018,Q1,65436.0,49249.0,16187.0,0.0,2747.0,11181.0,11914.0,5006.0,7240.0,4650.0,348826.0,188195.0,Energy,10
2018Q2,2018,Q2,71456.0,54834.0,16622.0,0.0,2993.0,11700.0,11248.0,4922.0,6512.0,3950.0,348790.0,187222.0,Energy,10
2018Q3,2018,Q3,74187.0,55531.0,18656.0,0.0,2892.0,11487.0,13938.0,7169.0,9080.0,6240.0,354628.0,190365.0,Energy,10
2018Q4,2018,Q4,68253.0,51985.0,16268.0,0.0,2848.0,11241.0,13364.0,5027.0,8121.0,6000.0,346196.0,191794.0,Energy,10
2019Q1,2019,Q1,61646.0,48342.0,13304.0,0.0,2770.0,10455.0,9041.0,2849.0,4289.0,2350.0,356189.0,191222.0,Energy,10
2019Q2,2019,Q2,67491.0,53095.0,14396.0,0.0,2827.0,10835.0,9479.0,3561.0,4632.0,3130.0,360729.0,191377.0,Energy,10
2019Q3,2019,Q3,63422.0,49011.0,14411.0,0.0,2753.0,10728.0,9826.0,3683.0,4721.0,3170.0,359361.0,189915.0,Energy,10
2019Q4,2019,Q4,63024.0,49177.0,13847.0,0.0,3048.0,11174.0,11538.0,2673.0,6414.0,5690.0,362597.0,191650.0,Energy,10
2020Q1,2020,Q1,55134.0,46199.0,8935.0,0.0,2579.0,9699.0,5810.0,-764.0,-258.0,-610.0,355804.0,182079.0,Energy,10
2020Q2,2020,Q2,32277.0,25880.0,6397.0,0.0,2409.0,7777.0,3593.0,-1380.0,-1640.0,-1080.0,361495.0,180183.0,Energy,10
2020Q3,2020,Q3,45425.0,36036.0,9389.0,0.0,2444.0,9984.0,4890.0,-595.0,-372.0,-680.0,358043.0,177400.0,Energy,10
2020Q4,2020,Q4,45738.0,62332.0,-16594.0,0.0,2736.0,10115.0,3991.0,-26709.0,-26613.0,-20070.0,332750.0,157150.0,Energy,10
2021Q1,2021,Q1,57552.0,45667.0,11885.0,0.0,2428.0,9252.0,8854.0,2633.0,3592.0,2730.0,333770.0,156974.0,Energy,10
2021Q2,2021,Q2,65943.0,50752.0,15191.0,0.0,2345.0,10267.0,11513.0,4924.0,6307.0,4690.0,337289.0,158571.0,Energy,10
2021Q3,2021,Q3,71892.0,53454.0,18438.0,0.0,2287.0,10366.0,14810.0,8072.0,9606.0,6750.0,336688.0,160589.0,Energy,10
2021Q4,2021,Q4,81305.0,61933.0,19372.0,0.0,2514.0,10982.0,17611.0,8390.0,11729.0,8870.0,338923.0,168577.0,Energy,10
2022Q1,2022,Q1,87734.0,71512.0,16222.0,0.0,2409.0,10136.0,17627.0,6086.0,8556.0,5480.0,354771.0,169215.0,Energy,10
2022Q2,2022,Q2,111265.0,80750.0,30515.0,0.0,2530.0,9684.0,29578.0,20831.0,24933.0,17850.0,367774.0,177316.0,Energy,10
2022Q3,2022,Q3,106512.0,77156.0,29356.0,0.0,2324.0,9129.0,31273.0,20227.0,25422.0,19660.0,370152.0,186100.0,Energy,10
2022Q4,2022,Q4,93164.0,66190.0,26974.0,0.0,2832.0,10090.0,24113.0,16884.0,18842.0,12750.0,369067.0,195049.0,Energy,10
2023Q1,2023,Q1,83644.0,59683.0,23961.0,0.0,2390.0,9752.0,21206.0,14209.0,16803.0,11430.0,369371.0,198685.0,Energy,10
2023Q2,2023,Q2,80795.0,60700.0,20095.0,0.0,2449.0,10145.0,16147.0,9950.0,11656.0,7880.0,363248.0,199046.0,Energy,10
2023Q3,2023,Q3,88570.0,66187.0,22383.0,0.0,2489.0,10539.0,18283.0,11844.0,13699.0,9070.0,372259.0,199703.0,Energy,10
2023Q4,2023,Q4,81688.0,63985.0,17703.0,879.0,2591.0,9245.0,18637.0,8458.0,10625.0,7630.0,376317.0,204802.0,Energy,10
2024Q1,2024,Q1,80411.0,61504.0,18907.0,0.0,2495.0,8966.0,17402.0,9941.0,12369.0,8220.0,377918.0,205250.0,Energy,10
2024Q2,2024,Q2,89986.0,69790.0,20196.0,0.0,2568.0,9300.0,19723.0,10896.0,13665.0,9240.0,460707.0,268405.0,Energy,10
2024Q3,2024,Q3,87792.0,67400.0,20392.0,0.0,2296.0,9350.0,19491.0,11042.0,13026.0,8610.0,461916.0,268592.0,Energy,10
2024Q4,2024,Q4,81058.0,63811.0,17247.0,0.0,2617.0,9474.0,16695.0,7773.0,9813.0,7610.0,453475.0,263705.0,Energy,10
2025Q1,2025,Q1,81058.0,62573.0,18485.0,0.0,2540.0,8639.0,17507.0,9846.0,11600.0,7713.0,451908.0,262720.0,Energy,10
2025Q2,2025,Q2,79477.0,61530.0,17947.0,0.0,2528.0,9036.0,16951.0,8911.0,10705.0,7082.0,447597.0,262593.0,Energy,10
