date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,ADM,USD,0000007084,1995-05-12,1995-05-12 00:00:00,1995,Q1,3299700000,2759900000,539800000,0.1635906295,0,0,0,98700000,114200000,212900000,2972800000,0,0,103400000,441100000,0.1336788193,326900000,0.0990696124,-30400000,296500000,0.0898566536,100800000,195700000,0.059308422,0.19,0.19,1024794052,1024794052,https://www.sec.gov/Archives/edgar/data/7084/000000708495000009/0000007084-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/7084/,9939900000,5807900000,Consumer Defensive,Agricultural Farm Products,NYSE,1980-03-17
1995-06-30,ADM,USD,0000007084,1995-08-17,1995-08-17 00:00:00,1995,Q2,3135200000,2640100000,495100000,0.1579165603,0,0,0,108300000,100600000,208900000,2849000000,0,0,100600000,386800000,0.1233733095,286200000,0.0912860424,43800000,330000000,0.105256443,104400000,225600000,0.0719571319,0.24,0.24,955430567,955430567,https://www.sec.gov/Archives/edgar/data/7084/000000708495000024/0000007084-95-000024-index.html,https://www.sec.gov/Archives/edgar/data/7084/,9756900000,5854200000,Consumer Defensive,Agricultural Farm Products,NYSE,1980-03-17
1995-09-30,ADM,USD,0000007084,1995-11-14,1995-11-14 00:00:00,1995,Q3,3120700000,2693800000,426900000,0.1367962316,0,0,0,98700000,102600000,201300000,2895100000,0,0,102600000,328200000,0.1051687121,225600000,0.0722914731,21500000,247100000,0.079180953,84000000,163100000,0.0522639151,0.17,0.17,955430567,955430567,https://www.sec.gov/Archives/edgar/data/7084/000000708495000031/0000007084-95-000031-index.html,https://www.sec.gov/Archives/edgar/data/7084/,10134200000,5989200000,Consumer Defensive,Agricultural Farm Products,NYSE,1980-03-17
1995-12-31,ADM,USD,0000007084,1996-02-13,1996-02-13 00:00:00,1995,Q4,3415100000,2914000000,501100000,0.146730696,0,0,0,128500000,104200000,232700000,3146700000,0,0,104200000,372600000,0.1091036866,268400000,0.0785921349,74000000,342400000,0.1002606073,116400000,226000000,0.0661766859,0.24,0.24,943547939,943547939,https://www.sec.gov/Archives/edgar/data/7084/000000708496000003/0000007084-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/7084/,10640400000,5982300000,Consumer Defensive,Agricultural Farm Products,NYSE,1980-03-17
1996-02-09,ADM,USD,0000007084,1996-02-13,1996-02-13 00:00:00,1996,Q1,3486700000,3046900000,439800000,0.1261364614,0,0,0,121000000,100900000,221900000,3268800000,0,0,100900000,318800000,0.0914331603,217900000,0.0624946224,29500000,247400000,0.0709553446,84100000,163300000,0.0468351163,0.17,0.17,937549671,937549671,https://www.sec.gov/Archives/edgar/data/7084/000000708496000003/0000007084-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/7084/,10402800000,6068800000,Consumer Defensive,Agricultural Farm Products,NYSE,1980-03-17
1996-06-30,ADM,USD,0000007084,1996-09-30,1996-09-30 00:00:00,1996,Q2,3291500000,2875700000,415800000,0.1263253836,0,0,0,101800000,111500000,213300000,3089000000,0,0,111500000,314000000,0.0953972353,202500000,0.0615221024,15000000,217500000,0.0660792952,74000000,143500000,0.0435971442,0.16,0.16,889697153,889697153,https://www.sec.gov/Archives/edgar/data/7084/000000708496000017/0000007084-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/7084/,10449900000,6144800000,Consumer Defensive,Agricultural Farm Products,NYSE,1980-03-17
1996-09-30,ADM,USD,0000007084,1996-09-30,1996-09-30 00:00:00,1996,Q3,3389400000,2911200000,478200000,0.141086918,0,0,0,306400000,113100000,419500000,3330700000,0,0,113100000,171800000,0.0506874373,58700000,0.0173186995,19500000,78200000,0.0230719301,74600000,3600000,0.0010621349,0.0061,0.0061,889697153,889697153,,,10784900000,6075200000,Consumer Defensive,Agricultural Farm Products,NYSE,1980-03-17
1996-12-31,ADM,USD,0000007084,1996-12-31,1996-12-31 00:00:00,1996,Q4,3548100000,3050700000,497400000,0.1401877061,0,0,0,108900000,116100000,225000000,3275700000,0,0,116100000,388500000,0.1094952228,272400000,0.0767734844,15300000,287700000,0.0810856515,97800000,189900000,0.0535216031,0.21,0.21,887984383,887984383,,,11016600000,6230200000,Consumer Defensive,Agricultural Farm Products,NYSE,1980-03-17
1997-04-15,ADM,USD,0000007084,1997-05-15,1997-05-15 00:00:00,1997,Q1,3414800000,3080600000,334200000,0.0978681035,0,0,0,119800000,117800000,237600000,3318200000,0,0,117800000,214400000,0.0627855218,96600000,0.028288626,-3900000,92700000,0.0271465386,31500000,61200000,0.0179219866,0.0821,0.0821,745878835,745878835,https://www.sec.gov/Archives/edgar/data/7084/000000708497000006/0000007084-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/7084/,11634200000,6024600000,Consumer Defensive,Agricultural Farm Products,NYSE,1980-03-17
1997-06-30,ADM,USD,0000007084,1997-09-29,1997-09-29 00:00:00,1997,Q2,3449900000,2978400000,471500000,0.1366706281,0,0,0,145100000,128500000,273600000,3252000000,0,0,128500000,326400000,0.094611438,197900000,0.0573639816,-12100000,185800000,0.0538566335,63200000,122600000,0.0355372619,0.15,0.15,825288632,825288632,https://www.sec.gov/Archives/edgar/data/7084/000000708497000032/0000007084-97-000032-index.html,https://www.sec.gov/Archives/edgar/data/7084/,11354400000,6050100000,Consumer Defensive,Agricultural Farm Products,NYSE,1980-03-17
